,fluxes,reduced_costs
biomass_dilution,0.07647568892777608,-0.36945307494414653
protein_biomass_to_biomass,0.030805671574285907,-9.624278412395112e-35
mRNA_biomass_to_biomass,8.942271214835079e-05,0.0
tRNA_biomass_to_biomass,0.0005478304136568204,5.695468905137111e-35
rRNA_biomass_to_biomass,0.0038855151319001544,8.891347201478029e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.004534985484194198,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.01927234739305625,0.0
prosthetic_group_biomass_to_biomass,1.1725957998574077e-05,-6.790014677470619e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.00020720148394291413,0.0
DM_atp_c_,0.0,-0.00985709191885269
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.8955534155256468
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-0.050673286222256905,0.0
EX_ac(e),-0.07626135249537633,0.0
EX_ade(e),0.990805582113474,0.0
EX_ala_L(e),-0.027448710578396252,0.0
EX_alaasp(e),0.0,-0.004933335378919906
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.0024710566603396576
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-5.163610575837918e-06
EX_alathr(e),0.0,0.0
EX_asn_L(e),-0.225,-0.009860188712852685
EX_asp_L(e),-0.225,-0.007392512415497388
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cgly(e),-1.0,-0.002469676266730543
EX_chol(e),0.0,0.0
EX_cl(e),-5.064917599318675e-08,0.0
EX_co2(e),4.124229301205235,0.0
EX_cobalt2(e),-0.00023681549979881857,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9922145772737676,0.0
EX_cytd(e),0.0,-3.7799982854614752e-06
EX_dad_2(e),-1.0,-0.0024623870577454125
EX_dgsn(e),1.0,0.0
EX_fe2(e),-1.0699852934834173e-09,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0007104209122945758,0.0
EX_for(e),5.829638211149908,0.0
EX_gcald(e),0.0,0.0
EX_gln_L(e),-0.03286813380730395,0.0
EX_glu_L(e),0.14469212424500333,0.0
EX_gly(e),-0.45,-0.00985893420930351
EX_glyasn(e),0.0,-0.012330518617950134
EX_glyasp(e),0.0,-0.014791542832981206
EX_glycys(e),0.0,-0.002469676266730543
EX_glygln(e),0.0,-0.0024703299050974474
EX_glyglu(e),0.0,-0.0024704030219727534
EX_glyleu(e),0.0,-0.017256271708572517
EX_glymet(e),0.0,-0.0024703299050974474
EX_glyphe(e),0.0,-0.0024703299050974474
EX_glypro(e),0.0,-0.012330894318356758
EX_glytyr(e),0.0,-0.0024703299050974474
EX_gua(e),-1.0,7.224418517733829e-34
EX_h(e),1.1271208095348815,0.0
EX_h2o(e),-10.0,-0.0024596701334885446
EX_his_L(e),-0.007138522509556803,0.0
EX_hxan(e),-0.005154738558922064,0.0
EX_ile_L(e),0.0,0.0
EX_k(e),-5.144443357407126e-09,0.0
EX_lac_L(e),0.0,0.0
EX_leu_L(e),-0.04538431390155361,0.0
EX_lys_L(e),-0.06268819294587856,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.009528107353796516,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.00046068820924284186,0.0
EX_mn2(e),-1.1384117128840007e-07,0.0
EX_mqn8(e),-0.0002664124575868031,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.00023681680002617868,0.0
EX_nh4(e),3.978840888383476,0.0
EX_o2(e),0.0,-0.0246360921474686
EX_ocdca(e),-0.00651450721468891,0.0
EX_orn(e),-0.010652518692693068,0.0
EX_phe_L(e),-0.019881118950032875,0.0
EX_pheme(e),-0.0002368069707648586,0.0
EX_pi(e),-1.0,-0.0012293351624442588
EX_ppa(e),0.0,0.0
EX_ppi(e),0.4739559370526017,0.0
EX_pro_L(e),-0.18,-0.012323970171749637
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),0.0,0.0
EX_pydxn(e),-0.00023686805688639595,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-0.0002368069707648586,0.0
EX_ser_L(e),-2.0,-0.013555102454115321
EX_sheme(e),-0.0002368069707648586,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0002368069707648586,0.0
EX_succ(e),0.0,-0.012321932958292332
EX_thm(e),-0.00023681278523175552,0.0
EX_thr_L(e),-0.013121970882496491,0.0
EX_thymd(e),-0.005166699148988495,0.0
EX_trp_L(e),-0.0011823222730923042,0.0
EX_ttdca(e),-0.011476412611882491,0.0
EX_tyr_L(e),-0.016989317539260727,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.010134524425761085,0.0
EX_val_L(e),-0.01789838548557543,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-1.355202531780142e-07,0.0
translation_306263.1.peg.1,0.0,-1.0764814495778551e-32
transcription_TU_306263.1.peg.1,0.0,3.310224888009045e-33
translation_g.726.peg.3,0.0,-5.147713967847376e-33
transcription_TU_g.726.peg.3,0.0,-30.730705408591856
translation_g.726.peg.6,0.0,6.85128333432517e-33
transcription_TU_g.726.peg.6,0.0,-51.132078662007174
translation_g.726.peg.9,0.0,6.604379182426812e-33
transcription_TU_g.726.peg.9,0.0,-1.607950916881431e-32
translation_306263.1.peg.21,0.0,6.067557266123539e-33
transcription_TU_306263.1.peg.21,0.0,-1.5293291392252804e-33
translation_g.726.peg.24,2.6914176650969245e-06,1.238217342194938e-32
transcription_TU_g.726.peg.24,9.912858780163361e-08,-7.90537167110381e-34
translation_g.726.peg.26,9.772192880129386e-12,2.07288026812363e-33
transcription_TU_g.726.peg.26,3.5992320794161074e-13,5.2801620803170595e-33
translation_g.726.peg.28,0.0,9.783601439266759e-33
transcription_TU_g.726.peg.28,0.0,-2.7312628724842062e-33
translation_306263.1.peg.29,7.565277184428574e-08,1.1593050924083873e-32
transcription_TU_306263.1.peg.29,2.786394892720288e-09,-1.1334904197576013e-32
translation_306263.1.peg.33,3.514552022950877e-24,-4.876111455340398e-33
transcription_TU_306263.1.peg.33,0.0,-63.18608963525184
translation_306263.1.peg.37,4.943397534548685e-08,1.3435191906994614e-32
transcription_TU_306263.1.peg.37,1.820720815266854e-09,3.5912528664470016e-32
translation_g.726.peg.40,9.407168028400212e-43,1.5752493608651772e-32
transcription_TU_g.726.peg.40,-8.400848842413637e-44,1.4785695514387094e-32
translation_g.726.peg.41,7.822938286131829e-09,1.1642861841363868e-32
transcription_TU_g.726.peg.41,2.881294994902448e-10,6.844288470906663e-33
translation_g.726.peg.43,4.340232224600814e-12,-6.543838598452514e-33
