,fluxes,reduced_costs
biomass_dilution,0.211834335280766,-0.4374449160077494
protein_biomass_to_biomass,0.08026607607891471,6.35130331365746e-35
mRNA_biomass_to_biomass,0.0003217158960764207,0.0
tRNA_biomass_to_biomass,0.001914823913850679,5.362990183981851e-35
rRNA_biomass_to_biomass,0.018350329028420233,4.5877449596083496e-35
ncRNA_biomass_to_biomass,0.0,5.91635636613426e-35
tmRNA_biomass_to_biomass,0.0,5.91635636613426e-35
DNA_biomass_to_biomass,0.012405005236579343,5.91635636613426e-35
lipid_biomass_to_biomass,0.0,5.91635636613426e-35
constituent_biomass_to_biomass,0.053383564849787034,5.91635636613426e-35
prosthetic_group_biomass_to_biomass,4.3152482748070125e-05,-6.891617786716184e-35
peptidoglycan_biomass_to_biomass,0.0,5.91635636613426e-35
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.012659802136149355
DM_dhptd(c),0.0007898828970711251,0.0
DM_hcys_L[c],0.0,-0.010751479084199473
EX_26dap_M(e),0.0,0.0
EX_34dhphe(e),0.0,-0.0031609909554721374
EX_3mop(e),-1.0,-0.007592292448465622
EX_4abut(e),0.0,0.0
EX_4abz(e),-0.0019678350575906755,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.0031609909554721374
EX_ac(e),10.682017180929845,0.0
EX_acald(e),0.0,-0.005060248285926098
EX_acgam(e),-1.0,-0.033514385824619346
EX_actn_R(e),0.0,-0.010123212396663488
EX_adn(e),-1.0,-0.0006280715271357753
EX_akg(e),0.0,-0.010124986354350265
EX_ala_L(e),-1.0,-0.0025204543163991067
EX_alaasp(e),2.451239649711955e-23,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.0037813203680832617
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.06788294556141841,0.0
EX_asn_L(e),-0.225,-0.0037941715909122985
EX_asp_L(e),-0.09200151782269347,0.0
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.021872551816663005
EX_cgly(e),-1.0,-0.003775800967553002
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5101203509626604,0.0
EX_cobalt2(e),-0.0006560569988989173,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.007586754868896409
EX_cytd(e),0.0,-0.02595847467264803
EX_dad_2(e),-2.5697667978979e-23,0.0
EX_dcyt(e),-0.012296261980006027,0.0
EX_dgsn(e),-0.012296261980006027,0.0
EX_din(e),2.5697667978979e-23,0.0
EX_dopa(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),1.2189564041325684,0.0
EX_fe2(e),-1.86787366198868e-06,0.0
EX_fe3(e),0.0,0.0
EX_for(e),11.023107263049463,0.0
EX_fru(e),-0.14898579,-0.03541834114466213
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.0328844679945898
EX_gcald(e),0.0019678350575906755,0.0
EX_glc_D(e),-0.14898579,-0.035417906786535745
EX_gln_L(e),-0.05709812019661137,0.0
EX_glu_L(e),-0.18,-0.002525527285042888
EX_gly(e),-0.45,-0.0050502484296819136
EX_glyasn(e),2.4935308015587107e-23,0.0
EX_glyasp(e),0.0,-0.0025203650628800645
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.012642433203225443
EX_glycys(e),0.0,-0.003775800967553002
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.005686172346697891
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.0037777497929148965
EX_gthrd(e),-0.0006559450191968919,0.0
EX_gua(e),-0.0019849152778744048,0.0
EX_h(e),13.29558462439913,0.0
EX_h2o(e),-10.0,-0.002530057296140844
EX_h2s(e),1.9949136934817855,0.0
EX_his_L(e),-0.15,-0.0031609909554721374
EX_hista(e),0.12056309775141107,0.0
EX_hxan(e),5.88195369119086e-39,0.0
EX_ile_L(e),0.8845110704606806,0.0
EX_ins(e),0.9586059971149475,0.0
EX_k(e),-1.0799428800513138e-06,0.0
EX_lac_L(e),0.0,-0.005060674999823531
EX_leu_L(e),-0.09433674056294068,0.0
EX_lys_L(e),-0.039233106302861816,0.0
EX_mal_L(e),0.0,-0.008862378341871613
EX_malt(e),-0.07449289,-0.06830326773543838
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,-0.010097592976308307
EX_man(e),-0.14898579,-0.03541726718177642
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.03992175944087409,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0016458689978253345,0.0
EX_mn2(e),-1.2111685858855069e-06,0.0
EX_mnl(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0006560184369110799,0.0
EX_nh4(e),7.578545417735412,0.0
EX_no2(e),0.0,0.0
EX_o2(e),0.0,-0.08591081520996183
EX_ocdca(e),-0.01804489601655677,0.0
EX_orn(e),0.06788294556141841,0.0
EX_phe_L(e),0.9315902003192897,0.0
EX_pheme(e),-0.0006559450191968919,0.0
EX_pi(e),-1.0,-0.0012636560468016955
EX_ppa(e),0.17659233940651387,0.0
EX_ppi(e),0.41487353110471303,-1.5110743444840536e-35
EX_pro_L(e),-0.022846974561278193,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0006591171664675937,0.0
EX_pydxn(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-2.0,-0.010118060759461237
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0006559450191968919,0.0
EX_srtn(e),0.0,0.0
EX_succ(e),0.0006559446735083128,0.0
EX_sucr(e),-0.07449289,-0.06830408448687429
EX_thm(e),-0.0006559735366389728,0.0
EX_thr_L(e),-0.225,-0.010118417456337592
EX_thymd(e),0.0,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-0.0031605821975900037
EX_trypta(e),0.06209325222288418,0.0
EX_ttdca(e),-0.031789131358243426,0.0
EX_tym(e),0.0,-0.004427712738786166
EX_tyr_L(e),-1.0,-0.00758829493637617
EX_uri(e),-0.04274658791960801,0.0
EX_val_L(e),1.0157559077872298,0.0
EX_zn2(e),-7.064832192446092e-07,0.0
translation_g.2212.peg.3,8.917082517838686e-08,-3.8066827471985514e-32
transcription_TU_g.2212.peg.3,1.5457636547402675e-09,-6.601245377152773e-32
translation_g.2212.peg.6,9.111712399107465e-06,-2.2238429538494533e-32
transcription_TU_g.2212.peg.6,1.5795024696486005e-07,-2.2479957856768846e-32
translation_g.2212.peg.22,0.0,-5.216035999909875e-33
transcription_TU_g.2212.peg.22,0.0,-48.10401499486103
translation_g.2212.peg.25,0.0,4.94853466289872e-33
transcription_TU_g.2212.peg.25,0.0,1.3761965299345814e-32
translation_g.2212.peg.28,0.0,5.1004908492487324e-33
transcription_TU_g.2212.peg.28,0.0,-6.643890296072552e-33
translation_g.2212.peg.37,-1.837244666540649e-29,2.036828273166149e-32
transcription_TU_g.2212.peg.37,-3.1848376694087933e-31,-7.76503377882875e-34
translation_548476.3.peg.40,0.0,2.9837252906821965e-32
transcription_TU_548476.3.peg.40,0.0,-137.42502530351555
translation_g.2212.peg.65,0.0,4.80754949748661e-33
transcription_TU_g.2212.peg.65,0.0,-80.49834952678033
translation_g.2212.peg.70,0.0,1.9888335452644277e-33
transcription_TU_g.2212.peg.70,0.0,-67.62701586444692
translation_g.2212.peg.71,1.50700157414072e-09,-1.624952508058783e-32
transcription_TU_g.2212.peg.71,2.6123659350274912e-11,-3.41757555706323e-32
translation_g.2212.peg.78,0.0,1.559747292891543e-32
transcription_TU_g.2212.peg.78,0.0,-36.35103009455159
translation_g.2212.peg.79,3.4064804203043886e-09,9.291729114162213e-33
transcription_TU_g.2212.peg.79,5.90508567545156e-11,-1.59401926822139e-33
translation_g.2212.peg.82,0.0,5.151434935503238e-32
transcription_TU_g.2212.peg.82,0.0,-3.0096298190273454e-32
translation_g.2212.peg.83,0.0,1.083880392491553e-32
transcription_TU_g.2212.peg.83,0.0,-40.346178611150656
translation_g.2212.peg.84,3.927186077027358e-07,-2.6610115220234923e-33
transcription_TU_g.2212.peg.84,6.8077215738744394e-09,-7.19557952153015e-33
translation_548476.3.peg.84,0.0,6.592763029792512e-33
transcription_TU_548476.3.peg.84,0.0,-57.756668386502376
translation_g.2212.peg.94,0.0,1.1664338628890727e-32
transcription_TU_g.2212.peg.94,0.0,-26.79236924022794
translation_g.2212.peg.99,0.0,-6.274047599808445e-33
transcription_TU_g.2212.peg.99,0.0,-32.52683531155139
translation_g.2212.peg.100,0.0,-6.842047926829958e-33
transcription_TU_g.2212.peg.100,0.0,-116.24099576299622
translation_g.2212.peg.102,0.0,-1.285305640803057e-32
transcription_TU_g.2212.peg.102,0.0,-84.3290682239528
translation_g.2212.peg.109,0.0,-9.49709827083345e-33
transcription_TU_g.2212.peg.109,0.0,7.03265754372764e-33
translation_g.2212.peg.111,0.0,-4.5006798545679555e-33
transcription_TU_g.2212.peg.111,0.0,-77.62073038410256
translation_g.2212.peg.114,1.5526985763055162e-10,-1.290532426381735e-32
transcription_TU_g.2212.peg.114,2.6915810425871894e-12,-7.632278693368354e-32
translation_g.2212.peg.116,0.0,-1.1139960759051654e-33
transcription_TU_g.2212.peg.116,0.0,-40.810894343359934
translation_g.2212.peg.120,3.0660709750517568e-12,6.439511180154805e-33
transcription_TU_g.2212.peg.120,5.314990712049389e-14,7.619278799393925e-33
translation_g.2212.peg.124,4.437493036289598e-10,6.80127667562696e-33
transcription_TU_g.2212.peg.124,7.692331477181452e-12,-3.6486703708053524e-32
translation_g.2212.peg.127,0.0,1.804872380845581e-33
transcription_TU_g.2212.peg.127,0.0,-3.1663617612183124e-34
translation_g.2212.peg.131,0.0,1.548587593454467e-33
transcription_TU_g.2212.peg.131,0.0,-1.2407201490007095e-32
translation_g.2212.peg.136,1.4628551331518685e-06,-1.1998236079030797e-32
transcription_TU_g.2212.peg.136,2.535838703357056e-08,1.9718919042097456e-32
translation_g.2212.peg.143,0.0,1.1629604366307479e-32
transcription_TU_g.2212.peg.143,0.0,-63.55967815400984
translation_g.2212.peg.147,1.2691793635648341e-09,9.845946403743746e-34
transcription_TU_g.2212.peg.147,2.20010449339255e-11,-8.212646018819688e-33
translation_548476.3.peg.147,0.0,-1.0179808399651027e-32
transcription_TU_548476.3.peg.147,0.0,3.375138983457801e-33
translation_g.2212.peg.149,9.376587405825306e-10,-7.361485166357656e-33
transcription_TU_g.2212.peg.149,1.625418177798037e-11,1.1351491916242333e-32
translation_g.2212.peg.155,9.621900087603603e-11,-1.5767688627495178e-32
transcription_TU_g.2212.peg.155,1.6679427845605261e-12,-5.47854008307836e-32
translation_g.2212.peg.156,2.5982272278758742e-11,4.079472176109002e-33
transcription_TU_g.2212.peg.156,4.503990186894153e-13,-3.602191951225091e-33
translation_g.2212.peg.157,0.0,1.8596538274237633e-33
transcription_TU_g.2212.peg.157,0.0,-5.545956447304313e-33
translation_g.2212.peg.158,0.0,-4.5169681718297576e-33
transcription_TU_g.2212.peg.158,0.0,3.223604908967189e-32
translation_g.2212.peg.160,0.0,-2.7431896237279467e-32
transcription_TU_g.2212.peg.160,0.0,-55.77667897042847
translation_g.2212.peg.167,9.567087495731814e-06,-2.4813475721945235e-33
transcription_TU_g.2212.peg.167,1.6584410992090643e-07,-6.495009827337938e-33
translation_548476.3.peg.168,0.0,-1.6738828934635122e-32
transcription_TU_548476.3.peg.168,0.0,1.0524638484810097e-32
translation_g.2212.peg.170,0.0,-4.062319571276273e-32
transcription_TU_g.2212.peg.170,0.0,-99.59136803208634
translation_g.2212.peg.178,0.0,1.3872327007125616e-32
transcription_TU_g.2212.peg.178,0.0,2.3414298563713967e-32
translation_g.2212.peg.183,0.0,-1.3129224908586998e-32
transcription_TU_g.2212.peg.183,0.0,-131.24348439766243
translation_g.2212.peg.185,0.0,-1.7070648343155938e-34
transcription_TU_g.2212.peg.185,0.0,-6.187384802092775e-32
translation_g.2212.peg.189,0.0,3.1548929585436776e-34
transcription_TU_g.2212.peg.189,0.0,-40.28493124247245
translation_g.2212.peg.190,0.0,2.898523640225872e-32
transcription_TU_g.2212.peg.190,0.0,-82.69543376750225
translation_g.2212.peg.193,4.277141533291134e-08,5.3248846504328145e-33
transcription_TU_g.2212.peg.193,7.414364412480475e-10,3.243652053368414e-32
translation_548476.3.peg.199,0.0,-2.459618307885919e-32
transcription_TU_548476.3.peg.199,0.0,2.025026069377575e-32
translation_548476.3.peg.202,4.779917379879211e-10,5.660112987344477e-34
transcription_TU_548476.3.peg.202,8.285919238380516e-12,2.985525110693368e-32
translation_548476.3.peg.203,0.0,-6.27872122209422e-33
transcription_TU_548476.3.peg.203,0.0,2.639213472004339e-32
translation_g.2212.peg.215,6.592633264299619e-08,4.573000090473764e-33
transcription_TU_g.2212.peg.215,1.1428236610572534e-09,1.4777099916167045e-32
translation_g.2212.peg.216,0.0,-2.7250177568764715e-33
transcription_TU_g.2212.peg.216,0.0,-66.78972780253511
translation_g.2212.peg.218,0.0,6.497503117064463e-33
transcription_TU_g.2212.peg.218,0.0,-2.527485529918521e-32
translation_g.2212.peg.219,0.0,-4.634696725104709e-32
transcription_TU_g.2212.peg.219,0.0,4.3834508857867277e-32
translation_g.2212.peg.222,8.564494977183194e-07,-2.2157475861956986e-33
transcription_TU_g.2212.peg.222,1.4846431027694625e-08,4.014133315583727e-32
translation_g.2212.peg.224,0.0,-6.82942450464478e-33
transcription_TU_g.2212.peg.224,0.0,-31.847056011829842
translation_g.2212.peg.229,0.0,8.704164081499625e-33
transcription_TU_g.2212.peg.229,0.0,-7.362374578216278e-33
translation_g.2212.peg.234,0.0,-1.8023669351925897e-32
transcription_TU_g.2212.peg.234,0.0,-4.854261253564142e-32
translation_548476.3.peg.237,0.0,1.3189279190724914e-32
transcription_TU_548476.3.peg.237,0.0,-48.233439652032146
translation_g.2212.peg.238,0.0,1.0277997141471739e-32
transcription_TU_g.2212.peg.238,0.0,-65.83389685992218
translation_g.2212.peg.248,0.0,8.688821123406852e-33
transcription_TU_g.2212.peg.248,0.0,-72.87250998919853
translation_g.2212.peg.249,1.732151485250584e-11,7.884933030036342e-33
transcription_TU_g.2212.peg.249,3.0026601245961043e-13,-3.87814023616631e-32
translation_g.2212.peg.257,0.0,7.715165300902083e-34
transcription_TU_g.2212.peg.257,0.0,-60.75273623641003
translation_g.2212.peg.258,2.1107295620448983e-08,-3.33966681239624e-32
transcription_TU_g.2212.peg.258,3.6589198714577487e-10,4.6386608092948253e-32
translation_g.2212.peg.272,0.0,1.6092607397054426e-32
transcription_TU_g.2212.peg.272,0.0,-90.37189766307652
translation_548476.3.peg.276,2.1501091088892387e-10,1.2242425390159143e-33
transcription_TU_548476.3.peg.276,3.727183759484297e-12,8.223139256235424e-34
translation_548476.3.peg.277,2.1501091088892387e-10,4.0045130687710307e-32
transcription_TU_548476.3.peg.277,3.727183759484297e-12,2.295181967843153e-32
translation_548476.3.peg.278,2.1501091088892387e-10,1.621344394629531e-32
transcription_TU_548476.3.peg.278,3.727183759484297e-12,-1.070889906965681e-32
translation_g.2212.peg.279,0.0,-8.752975820906043e-33
transcription_TU_g.2212.peg.279,0.0,-67.34392240174685
translation_g.2212.peg.280,0.0,-1.434654763112334e-32
transcription_TU_g.2212.peg.280,0.0,-57.8795197561046
translation_g.2212.peg.284,4.746398529739951e-08,-1.511475315300994e-32
transcription_TU_g.2212.peg.284,8.227814785281305e-10,2.3881331718536128e-32
translation_g.2212.peg.288,1.1512950193433655e-09,-2.9810949159845074e-32
transcription_TU_g.2212.peg.288,1.995753648375806e-11,2.6471740001299105e-32
translation_g.2212.peg.289,8.252901836545773e-07,1.586563016499448e-32
transcription_TU_g.2212.peg.289,1.4306288721172112e-08,2.6682950911020856e-32
translation_g.2212.peg.300,2.8027811827786884e-08,1.0603568052728115e-32
transcription_TU_g.2212.peg.300,4.858581577396153e-10,1.8326418288382293e-32
translation_g.2212.peg.301,1.4683930144049226e-08,5.5484850393797685e-33
transcription_TU_g.2212.peg.301,2.54543854225965e-10,2.2138916205739817e-32
translation_548476.3.peg.306,7.237937984519985e-06,-4.839650555554287e-33
transcription_TU_548476.3.peg.306,1.2546863224998829e-07,1.0651405044220971e-32
translation_548476.3.peg.312,2.7072949257601897e-08,-9.827718435959355e-34
transcription_TU_548476.3.peg.312,4.693057500063563e-10,-9.15923326895062e-33
translation_g.2212.peg.314,0.0,-5.944485893450954e-33
transcription_TU_g.2212.peg.314,0.0,-2.897791687452389e-32
translation_g.2212.peg.316,9.621900087603603e-11,1.2583911232421326e-32
transcription_TU_g.2212.peg.316,1.6679427845605261e-12,8.79753088819623e-33
translation_548476.3.peg.317,0.0,1.48164110012987e-33
transcription_TU_548476.3.peg.317,0.0,-56.58825114994723
translation_g.2212.peg.318,0.0,-6.505553961339014e-33
transcription_TU_g.2212.peg.318,0.0,-91.57255993627112
translation_g.2212.peg.328,0.0,9.394630488097459e-33
transcription_TU_g.2212.peg.328,0.0,-59.97766674409044
translation_g.2212.peg.329,6.606684355784467e-08,1.7481668056419632e-32
transcription_TU_g.2212.peg.329,1.1452593979121337e-09,-2.582540920578303e-32
translation_g.2212.peg.333,0.0,-3.851888413895254e-33
transcription_TU_g.2212.peg.333,0.0,-5.7698047819731164e-33
translation_g.2212.peg.355,1.0625676524698207e-09,7.898215998423953e-33
transcription_TU_g.2212.peg.355,1.841946011607212e-11,-1.4612260816793735e-32
translation_g.2212.peg.366,0.0,2.1149074189439892e-32
transcription_TU_g.2212.peg.366,0.0,-54.79467598532582
translation_g.2212.peg.369,0.0,-7.217715660724428e-33
transcription_TU_g.2212.peg.369,0.0,-33.6698925544837
translation_g.2212.peg.379,0.0,-3.559932816653191e-33
transcription_TU_g.2212.peg.379,0.0,-34.74784801909735
translation_548476.3.peg.379,0.0,-2.785474834108145e-33
transcription_TU_548476.3.peg.379,0.0,5.036749406653988e-32
translation_g.2212.peg.380,0.0,2.4084704994263534e-33
transcription_TU_g.2212.peg.380,0.0,-9.833487486005621e-33
translation_g.2212.peg.382,9.567087495731814e-06,6.87308631241988e-33
transcription_TU_g.2212.peg.382,1.6584410992090643e-07,-3.210326053431172e-34
translation_g.2212.peg.384,8.66075742625292e-12,8.459588206366053e-34
transcription_TU_g.2212.peg.384,1.5013300622980522e-13,-1.2116400194435829e-32
translation_g.2212.peg.394,0.0,-3.8090963481260595e-33
transcription_TU_g.2212.peg.394,0.0,-114.12217936529808
translation_g.2212.peg.397,9.567087495731814e-06,1.2489206903757616e-32
transcription_TU_g.2212.peg.397,1.6584410992090643e-07,1.2947380184291588e-32
