,fluxes,reduced_costs
biomass_dilution,0.08061342112473042,-0.3214914295938152
protein_biomass_to_biomass,0.032371800907425446,-3.165851225028993e-35
mRNA_biomass_to_biomass,9.821796196029085e-05,4.642213688757674e-35
tRNA_biomass_to_biomass,0.0005986509792871805,0.0
rRNA_biomass_to_biomass,0.004227316810551851,-9.002383522941194e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0047800866032502816,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.020315081540825064,0.0
prosthetic_group_biomass_to_biomass,1.3128311003497661e-05,6.684999859057708e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.011330775507154443
DM_5MTR,0.0,-0.021638269891224464
DM_atp_c_,0.0,-0.008245751280587783
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.00206216973137561
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),0.0,0.0
EX_2obut(e),-0.6875399785680331,0.0
EX_34dhphe(e),0.0,-0.0020596568475308263
EX_5htrp(e),0.0,-0.0020596568475308263
EX_ac(e),5.790580262499515,0.0
EX_acald(e),0.0,-0.0030918683468081783
EX_acgam(e),0.0,0.0
EX_ade(e),0.9957309563671941,0.0
EX_adn(e),-1.0,-0.0051422043283688565
EX_akg(e),0.0,-0.003092992840782319
EX_ala_L(e),-1.0,-0.003088380527313243
EX_alaasp(e),0.0,-0.009271441962833901
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.0005081525865328777
EX_alahis(e),0.0,-0.001024751933455855
EX_alaleu(e),3.1926835583816204e-23,0.0
EX_alathr(e),2.8901841559760345e-23,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.01030519782848764
EX_asp_L(e),-0.225,-0.010306314365910929
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.016467929313739565
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.667215551706278,0.0
EX_cobalt2(e),-0.000249631760676421,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.003645953948135291,0.0
EX_cytd(e),0.0,-0.018553973246483606
EX_dad_2(e),-0.0036981584853994476,0.0
EX_dgsn(e),-0.0040629685066018275,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),0.0,-2.704244861587108e-08
EX_fe2(e),-1.0407266955773082e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),5.8760233016354375,0.0
EX_fru(e),-0.14898579,-0.0010196477746219927
EX_fum(e),-1.0,-0.01030569677390372
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-0.004032444551501265,0.0
EX_gcald(e),0.0007488583755381833,0.0
EX_glc_D(e),-0.14898579,-0.004112416232115015
EX_gln_L(e),-0.03969442018716164,0.0
EX_glu_L(e),-0.008468557854310582,0.0
EX_gly(e),-0.45,-0.001542601438050686
EX_glyasn(e),0.0,-0.007725002398705218
EX_glyasp(e),0.0,-0.007726612418736832
EX_glyb(e),0.0,0.0
EX_glyc(e),0.1515609051244084,0.0
EX_glyclt(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.003604262129688612
EX_glymet(e),0.0,0.0
EX_glyphe(e),2.872655569278926e-23,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.0005100316647134677
EX_gthrd(e),-0.00024961945851272776,0.0
EX_gua(e),-0.0047356882843601015,0.0
EX_h(e),6.949417774837957,0.0
EX_h2o(e),-4.68131071818382,0.0
EX_h2s(e),-0.00020287158076304015,0.0
EX_hdca(e),0.0,0.0
EX_his_L(e),-0.15,-0.0020596568475308263
EX_hista(e),0.1419193018044844,0.0
EX_hxan(e),4.352855962104354e-23,0.0
EX_ile_L(e),0.6521997157839365,0.0
EX_k(e),-1.8773581972657415e-07,0.0
EX_lac_D(e),0.0,-0.00309025762665782
EX_lac_L(e),0.0,-0.0030893908837615813
EX_leu_L(e),-0.052991534345677174,0.0
EX_lys_L(e),-0.022833067224877414,0.0
EX_mal_L(e),0.0,-0.01030649382412749
EX_malt(e),-0.07449289,-0.007190300937990017
EX_man(e),-0.14898579,-0.0010164581102628557
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.013982315167128096,0.0
EX_metala(e),2.982814759324476e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0005005222617583122,0.0
EX_mn2(e),-7.924824346917616e-08,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-0.0004992389170254555,0.0
EX_n2(e),0.0,0.0
EX_n2o(e),0.0,-0.010306106297699288
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),3.2991784585392043,0.0
EX_nmn(e),-0.00024962808426667833,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.014428673488033388
EX_o2(e),0.0,-0.03710337065477446
EX_ocdca(e),-0.006866973665089036,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-0.020505310111393425,0.0
EX_phe_L(e),0.9598284207407907,0.0
EX_pheme(e),-0.00024961945851272776,0.0
EX_pi(e),-0.05563531383247472,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.0,-3.3684377613462464e-07
EX_pro_L(e),-0.01144879524454143,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0002503294371410649,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-2.0,-0.006180547532725926
EX_sheme(e),-0.00024961945851272776,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.00024961945851272776,0.0
EX_srtn(e),0.0,0.0
EX_succ(e),0.8831028403340775,0.0
EX_sucr(e),-0.07449289,-0.0071900433167861435
EX_taur(e),0.0,0.0
EX_thm(e),-0.00024968009007026115,0.0
