,fluxes,reduced_costs
biomass_dilution,0.0882504044979627,-0.44516210655400074
protein_biomass_to_biomass,0.0355316999158578,-2.1329287514152307e-34
mRNA_biomass_to_biomass,0.00011063264600372127,-4.6534094764512477e-35
tRNA_biomass_to_biomass,0.0006627119226441324,-5.389756929638294e-35
rRNA_biomass_to_biomass,0.0044725259754869184,0.0
ncRNA_biomass_to_biomass,0.0,-5.702018325843222e-35
tmRNA_biomass_to_biomass,0.0,-5.702018325843222e-35
DNA_biomass_to_biomass,0.0052322707875934755,-5.702018325843222e-35
lipid_biomass_to_biomass,0.0,-5.702018325843222e-35
constituent_biomass_to_biomass,0.022239648663625714,-5.702018325843222e-35
prosthetic_group_biomass_to_biomass,1.4333384080925415e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-5.702018325843222e-35
DM_atp_c_,0.0,-0.01812904782077673
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.04078037735635068
EX_26dap_M(e),0.0,0.0
EX_2ddglcn(e),0.0,0.0
EX_2dmmq8(e),-0.0002732673775279415,0.0
EX_2obut(e),0.0,0.0
EX_3mop(e),-0.007517522456754454,0.0
EX_4abz(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),2.82997840847521,0.0
EX_acac(e),0.0,-0.027187576697584728
EX_acald(e),0.0,0.0
EX_acgam(e),0.0,0.0
EX_ade(e),1.0442486177395787,0.0
EX_adocbl(e),-0.0002732673775279415,0.0
EX_ala_L(e),-0.0400374006738939,0.0
EX_alaasp(e),0.0,-0.004526726893389506
EX_alagln(e),0.0,-0.004523466546201435
EX_alaglu(e),0.0,-0.004525179133561144
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_amp(e),-0.06073402999789063,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.018127926353992907
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.013590358902452228
EX_asp_L(e),-0.225,-0.01359153021239638
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),-3.4067083656277487e-11,0.0
EX_cbl1(e),-7.201013222814537e-12,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.047947662621191
EX_cgly(e),-0.0002732673775279415,0.0
EX_cit(e),-4.573037218335864e-09,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.8618370382918321,0.0
EX_cobalt2(e),-0.00027327281799225213,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0031330845596967615,0.0
EX_cytd(e),0.0,-0.03173053148394406
EX_dad_2(e),-0.9909538673965158,0.0
EX_dcyt(e),-0.005158287519181315,0.0
EX_dgsn(e),0.9909538673965158,0.0
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-2.286518609167932e-09,0.0
EX_fol(e),-0.0008198021325838245,0.0
EX_for(e),3.5799342065660458,0.0
EX_fru(e),0.0,0.0
EX_fum(e),-1.0,-0.013593016846711013
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,-0.022651545454568347
EX_glc_D(e),-0.002320083260761942,0.0
EX_gln_L(e),-0.18,-0.01358826986520831
EX_glu_L(e),-0.18,-0.013589977027002743
EX_gly(e),0.15486820365411016,0.0
EX_glyasn(e),0.0,-0.004524801209134348
EX_glyasp(e),0.0,-0.0045259725190784994
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.018119793676903716
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.004522712171890429
EX_glyglu(e),0.0,-0.004524424759250138
EX_glyleu(e),0.0,-0.004531414235662253
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),2.8923423017988135e-23,0.0
EX_gua(e),-1.0,-0.004529188219798905
EX_h(e),3.363903463534175,0.0
EX_h2o(e),-2.4070788817866773,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.015265662985601898,0.0
EX_hxan(e),5.4833961247295225e-25,0.0
EX_ile_L(e),-0.026751654142820408,0.0
EX_ins(e),0.0,-0.027189606372045698
EX_isetac(e),0.0,0.0
EX_isobut(e),0.0,0.0
