,fluxes,reduced_costs
biomass_dilution,0.3568901215007762,-0.4286872533569833
protein_biomass_to_biomass,0.1374052026285544,1.7893806843002802e-34
mRNA_biomass_to_biomass,0.0006506734816843413,0.0
tRNA_biomass_to_biomass,0.003959712287425417,5.514634387615732e-35
rRNA_biomass_to_biomass,0.028205352535321287,4.6068489885258746e-35
ncRNA_biomass_to_biomass,0.0,-6.002009542178742e-35
tmRNA_biomass_to_biomass,0.0,-6.002009542178742e-35
DNA_biomass_to_biomass,0.019344784644285275,-6.002009542178742e-35
lipid_biomass_to_biomass,0.0,-6.002009542178742e-35
constituent_biomass_to_biomass,0.08993852162886333,-6.002009542178742e-35
prosthetic_group_biomass_to_biomass,9.54478160803085e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-6.002009542178742e-35
DM_4HBA,0.0011051102612271535,0.0
DM_5MTR,0.0,-0.11085754130577306
DM_AMOB,-1.1506352534144975e-33,0.0
DM_atp_c_,0.0,-0.01303862677071744
DM_btn,-1.1506352534144975e-33,0.0
DM_clpn180(c),0.0,-0.28835329983109026
DM_clpnai17(c),0.0,-0.8422477347072065
DM_clpni17(c),0.0,-0.8000756455247754
DM_dad_5,-1.1506352534144975e-33,0.0
DM_dhptd(c),0.0,0.0
DM_kdo2lipid4L(c),0.0,-0.48477414227323545
DM_teich_45_BS(c),0.0,-5.932317266230922
EX_12ppd_S(e),0.14898579,0.0
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-1.0,-0.013019935584395473
EX_4abut(e),0.0,-0.01218842531979497
EX_4hpro(e),0.0,-0.011351560451117572
EX_C02528(e),0.0,0.0
EX_Ser_Thr(e),0.0,0.0
EX_T_antigen(e),0.0,-0.04389746926063419
EX_Tn_antigen(e),0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),7.6773626602926575,0.0
EX_acald(e),0.0,-0.01220200723864081
EX_acgal(e),0.0,0.0
EX_acgam(e),-1.0,-0.05041237686720094
EX_acnam(e),-1.0,-0.056910677204422236
EX_ade(e),0.9214356065774929,0.0
EX_adn(e),-1.0,-0.055047038279809224
EX_adocbl(e),-0.0010098161334151786,0.0
EX_amylopect900(e),-1.567e-05,-41.466970890859585
EX_amylose300(e),-4.702e-05,-12.518612453579752
EX_arab_L(e),-0.17878295,-0.038751433790482306
EX_arabinoxyl(e),-0.00030665,-2.201832575516218
EX_arabttr(e),0.0,-0.11625388869808805
EX_arg_L(e),-0.15,-0.006497156978388315
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.015445145767910657
