,fluxes,reduced_costs
biomass_dilution,0.2732785864541918,-0.31191281387084885
protein_biomass_to_biomass,0.10574719935721984,3.17311614962699e-35
mRNA_biomass_to_biomass,0.00046950955880660375,6.619310684453017e-35
tRNA_biomass_to_biomass,0.0027962535951641053,0.0
rRNA_biomass_to_biomass,0.02017079191423817,0.0
ncRNA_biomass_to_biomass,0.0,3.0430158817353373e-35
tmRNA_biomass_to_biomass,0.0,3.0430158817353373e-35
DNA_biomass_to_biomass,0.015670278803509217,3.0430158817353373e-35
lipid_biomass_to_biomass,0.0,3.0430158817353373e-35
constituent_biomass_to_biomass,0.06886789680577378,3.0430158817353373e-35
prosthetic_group_biomass_to_biomass,7.385678104391122e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,3.0430158817353373e-35
DM_atp_c_,0.0,-0.00830895213085677
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0020762067253790664
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),-1.0,-0.0020716278024899694
EX_2dmmq8(e),0.0,0.0
EX_2obut(e),-0.0006656970460208242,0.0
EX_3mop(e),-1.0,-0.0020772520341548833
EX_4abz(e),0.0,0.0
EX_4hoxpacd(e),0.0,0.0
EX_ac(e),23.139442735330693,0.0
EX_acac(e),0.0,-0.008302643124609025
EX_acald(e),0.3274766824116545,0.0
EX_acgam(e),-1.0,-0.026922428048464044
EX_adn(e),-1.0,-0.024837481333880064
EX_ala_D(e),-1.0,-0.004120679233815132
EX_ala_L(e),-1.0,-0.004122453388942288
EX_alaasp(e),0.0,-0.014484218021519942
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.002023140211468995
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.002020399265314691
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.101750912513858,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.014511119496002456
EX_asp_L(e),-0.225,-0.014517327581533438
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.01603081415076266
EX_cgly(e),-1.0,-0.004104378299236213
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),4.999327311744209,0.0
EX_cobalt2(e),-0.0008560637224655568,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.006203994139385273
EX_cytd(e),0.0,-0.010383306978213639
EX_dad_2(e),-0.01742097855138374,0.0
EX_dcyt(e),-0.01742097855138374,0.0
EX_drib(e),-0.17878295,-0.004112902995936351
EX_fe2(e),-2.447045446073246e-06,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-0.0025386214288662143,0.0
EX_for(e),0.014394216923772294,0.0
EX_fru(e),-0.14898579,-0.024852320716373773
EX_fum(e),-1.0,-0.01452099620369648
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.024849250634357205
EX_gcald(e),0.0,-0.008291116815146816
EX_glc_D(e),-0.14898579,-0.02485186026024775
EX_gln_L(e),-0.04096091163771277,0.0
EX_glu_L(e),-0.14523366126603626,0.0
EX_gly(e),-0.45,-0.0020544655786396255
EX_glyasn(e),0.0,-0.012411503655853395
EX_glyasp(e),0.0,-0.012420022447685806
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.89982743,-0.010337111902710102
EX_glyc3p(e),-1.0,-0.018648126962825078
EX_glycys(e),0.0,-0.004104378299236213
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0041300545078811444
EX_glymet(e),2.3728533215893212e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-0.0008462071429554049,0.0
EX_gua(e),0.9545657003301949,0.0
EX_h(e),11.55811955621626,0.0
EX_h2o(e),-8.81963078821109,0.0
EX_h2s(e),1.995617765282719,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.046865308219611976,0.0
EX_hxan(e),-2.105465765278109e-36,0.0
EX_inost(e),0.0,-0.03108533101420672
EX_ins(e),0.0,-0.02484435981358661
EX_k(e),-4.358102261499653e-06,0.0
EX_lac_L(e),0.0,-0.004126304387075142
EX_leu_L(e),0.7293346698135139,0.0
EX_lys_L(e),0.9589134054979568,0.0
EX_malt(e),-0.07449289,-0.041390233095705276
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.024852201432014852
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0439980230863519,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.002380474401210738,0.0
EX_mn2(e),-4.729040337598358e-06,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-0.0016924142859108097,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0008505838363134047,0.0
EX_nh4(e),7.773112927125746,0.0
EX_ni2(e),0.0,0.0
EX_no2(e),0.0,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.037327832227735606
EX_ocdcea(e),0.0,0.0
EX_orn(e),-2.881307504203687e-23,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9171652573061523,0.0
EX_pheme(e),-0.0008462071429554049,0.0
EX_pi(e),0.0,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.39555409922392787,0.0
EX_pro_L(e),-0.07628845329364395,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.0008514513355298056,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),-0.17878295,-0.012396190083410693
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.006206889730843896
EX_sheme(e),-0.0008462071429554049,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0008462071429554049,0.0
EX_succ(e),0.0,-0.004166779902126242
EX_sucr(e),-0.07449289,-0.0497019435453843
EX_thm(e),-0.000849585377357155,0.0
EX_thr_L(e),-0.225,-0.0020535088253281868
EX_thymd(e),-0.008015285391733795,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-0.002071833829129859
EX_trypta(e),0.057911441757299724,0.0
EX_tym(e),0.0,0.0
EX_tyr_L(e),-1.0,-0.0020798665488599606
EX_ura(e),0.0,0.0
EX_uri(e),-0.04123713695653024,0.0
EX_val_L(e),-0.11790475467751736,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-1.3854317335141859e-05,0.0
translation_g.25726.CDS.3,0.0,8.503141418181021e-33
transcription_TU_g.25726.CDS.3,0.0,-3.9977613001074595e-32
translation_g.25726.CDS.6,0.0,-1.6696720250979624e-33
transcription_TU_g.25726.CDS.6,-8.778114447044162e-65,-1.0770868570608205e-32
translation_g.25726.CDS.18,0.0,-3.565810249799427e-33
transcription_TU_g.25726.CDS.18,0.0,-52.05971261981597
translation_1229781.4.peg.19,0.0,-2.2945608272910772e-35
transcription_TU_1229781.4.peg.19,0.0,-30.740092075589285
translation_1229781.4.peg.20,0.0,-4.860355982227739e-33
transcription_TU_1229781.4.peg.20,0.0,-73.33132579230167
translation_g.25726.CDS.22,0.0,-1.1706549556222949e-33
transcription_TU_g.25726.CDS.22,0.0,-55.29037091125171
translation_1229781.4.peg.25,2.4221896326298565e-08,1.005445196412186e-32
transcription_TU_1229781.4.peg.25,3.6042745656717603e-10,-9.656559116021299e-34
translation_g.25726.CDS.26,1.8920626588205036e-07,-9.293488337707479e-33
transcription_TU_g.25726.CDS.26,2.815433286468096e-09,1.3054015800100732e-32
translation_g.25726.CDS.27,0.0,5.4456008737920235e-33
transcription_TU_g.25726.CDS.27,0.0,1.7458182760456319e-32
translation_g.25726.CDS.28,0.0,6.791997710387841e-33
transcription_TU_g.25726.CDS.28,0.0,-52.1618764882161
translation_g.25726.CDS.33,7.962094022629248e-40,1.5153630010514488e-32
transcription_TU_g.25726.CDS.33,2.7667272528439827e-42,-1.4439773813916942e-32
translation_1229781.4.peg.34,1.5482447475993347e-05,-7.072085390675582e-33
transcription_TU_1229781.4.peg.34,2.3038242299585973e-07,-1.1433538498008375e-32
translation_g.25726.CDS.35,0.0,-6.916834689821783e-33
transcription_TU_g.25726.CDS.35,0.0,-69.01569021647731
translation_g.25726.CDS.48,1.3885392071890814e-05,-2.3054197802895286e-33
transcription_TU_g.25726.CDS.48,2.0661786676363088e-07,5.8699125679757715e-33
translation_g.25726.CDS.49,0.0,-3.435424728107585e-33
transcription_TU_g.25726.CDS.49,0.0,8.658246729561133e-33
translation_g.25726.CDS.52,0.0,-1.099602339388469e-32
transcription_TU_g.25726.CDS.52,0.0,-6.819531865241813e-33
translation_g.25726.CDS.59,1.3885392071890814e-05,-2.646148329407445e-33
transcription_TU_g.25726.CDS.59,2.0661786676363088e-07,3.904619129863886e-33
translation_g.25726.CDS.70,8.444305346386761e-09,-8.871908216979646e-33
transcription_TU_g.25726.CDS.70,1.2565322951904006e-10,-2.3240787784327456e-32
translation_g.25726.CDS.73,3.362551906237721e-08,-2.4711871714516307e-33
transcription_TU_g.25726.CDS.73,5.003555521887475e-10,2.2440966036206297e-33
translation_g.25726.CDS.75,3.780041514978586e-07,-3.3573345515110225e-33
