,fluxes,reduced_costs
biomass_dilution,0.063883610455989,-0.7020109081324711
protein_biomass_to_biomass,0.03226373221215962,1.2988105242117466e-34
mRNA_biomass_to_biomass,9.19469665944905e-05,0.0
tRNA_biomass_to_biomass,0.0005673889430928195,0.0
rRNA_biomass_to_biomass,0.001909964416664231,0.0
ncRNA_biomass_to_biomass,0.0,-1.1844481681947197e-34
tmRNA_biomass_to_biomass,0.0,-1.1844481681947197e-34
DNA_biomass_to_biomass,0.003788743380698992,-1.1844481681947197e-34
lipid_biomass_to_biomass,0.0,-1.1844481681947197e-34
constituent_biomass_to_biomass,0.007101142904085426,-1.1844481681947197e-34
prosthetic_group_biomass_to_biomass,1.234226335363963e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-1.1844481681947197e-34
DM_4HBA,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.017398983772974032
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-0.2805310030596427
DM_clpn160(c),0.0,-0.28053314989228095
DM_clpn180(c),0.0,-0.28053096583722265
DM_clpni16(c),0.0,-0.280533187114701
DM_dad_5,0.0,-0.12903386108534093
EX_15dap(e),0.0,-0.017396094527012535
EX_2obut(e),-1.0,-0.010871533342219075
EX_4abut(e),0.0,-0.008698165588895936
EX_ac(e),6.571208140158425,0.0
EX_acac(e),0.0,-0.015223139236052216
EX_acald(e),0.0,-0.010872374044958825
EX_acgam(e),-1.0,-0.00433106566545379
EX_ade(e),0.9872292639809327,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.016582875901122163,0.0
EX_alaasp(e),0.0,-0.019572028205610697
EX_alagln(e),0.0,-0.0043470275137400495
EX_alaglu(e),0.0,-0.006522635339597829
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.002170579232225125
EX_alaleu(e),0.0,0.0
EX_alathr(e),3.6574509102100165e-23,8.818541986474124e-35
EX_arg_L(e),-0.012082651517607226,0.0
EX_asn_L(e),-0.225,-0.028271102255196395
EX_asp_L(e),-0.225,-0.030446505496245696
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),0.0,-0.002172256637009363
EX_but(e),1.4608266747970517,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cgly(e),-1.0,-0.0021708132347010526
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.6573344635513628,0.0
EX_cobalt2(e),-0.0004989132942699378,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.01304628860696178
EX_cytd(e),0.0,-0.07031126294746033
EX_dad_2(e),-0.9956362005850555,0.0
EX_ddca(e),0.0,0.0
EX_dgsn(e),0.9956362005850555,0.0
EX_drib(e),0.0,0.0
EX_etha(e),0.0,-0.006521766273628329
EX_etoh(e),0.0,-0.006522234302427767
EX_fe2(e),-6.115848086626172e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),6.466631527546153,3.6981657609276187e-35
EX_fru(e),-0.14898579,-0.004332538173209464
EX_gal(e),0.0,0.0
EX_gcald(e),0.0,-0.004348453562416466
EX_gln_L(e),-0.18,-0.015221649743460651
EX_glu_L(e),-0.18,-0.0173974569782793
EX_glutar(e),0.0,-0.047845186696351016
EX_gly(e),0.9748982506170465,0.0
EX_glyasn(e),0.0,-0.017395626882935666
EX_glyasp(e),0.0,-0.01957103012398497
EX_glyc(e),-0.89982743,-0.006514753308993995
EX_glycys(e),0.0,-0.0021708132347010526
EX_glygln(e),0.0,-0.004346029432114322
EX_glyglu(e),0.0,-0.006521637257972101
EX_glyleu(e),0.0,-0.002173851559604455
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-1.0,-0.004347162935598001
EX_h(e),8.406871466467988,0.0
EX_h2o(e),-10.0,-0.002174421225601149
EX_h2s(e),1.9968823512357252,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.013045056522860126
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.039960874746457105,0.0
EX_indole(e),0.07917678945144267,0.0
EX_k(e),-5.815433045888833e-10,0.0
EX_lac_D(e),0.0,-0.010871591244999838
EX_leu_L(e),-0.037220721747125346,0.0
EX_lys_L(e),-0.15,-0.017394357960329662
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),3.69683095441158e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.011199171713337418,0.0
EX_mg2(e),-0.00047741070572929385,0.0
EX_mn2(e),-2.942954519460007e-07,0.0
EX_mqn8(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0004988926674950006,0.0
EX_nh4(e),5.970408327961572,0.0
EX_o2(e),0.0,-0.0130486289192667
EX_ocdca(e),0.0,0.0
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0203161029347601,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-0.03618762674389288,0.0
EX_pnto_R(e),-0.0004988926674950006,0.0
EX_ppa(e),1.2047750953213405,0.0
EX_pro_L(e),-0.01227744436837383,0.0
EX_ptrc(e),0.0,0.0
EX_pyr(e),0.0,-0.015222347873856673
EX_rib_D(e),4.447768870771119e-05,0.0
EX_ser_L(e),-1.0,-0.015221097292641456
EX_sheme(e),0.0,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.0,-0.026096976833848755
EX_thr_L(e),-0.225,-0.010870525560661232
EX_thymd(e),0.0,0.0
EX_trp_L(e),-0.08181818,-0.017395885939329604
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.026739657562716516,0.0
EX_ura(e),-0.010598122405837416,0.0
EX_urea(e),0.0,0.0
EX_uri(e),0.0,0.0
EX_val_L(e),-0.030432915141030643,0.0
EX_zn2(e),-2.1565844746374696e-07,0.0
translation_469606.3.peg.2,1.00100573164016e-06,5.415198611577454e-32
transcription_TU_469606.3.peg.2,4.290316789306672e-08,1.3884297865255072e-33
translation_469606.3.peg.3,0.0,2.3191906086532408e-32
transcription_TU_469606.3.peg.3,0.0,-116.18010694533106
translation_469606.3.peg.4,0.0,-1.048311298133003e-32
transcription_TU_469606.3.peg.4,0.0,-86.31172473555367
translation_469606.3.peg.39,0.0,4.9010152671492107e-32
transcription_TU_469606.3.peg.39,0.0,-68.30719791756802
translation_469606.3.peg.42,0.0,-2.808733002850945e-32
transcription_TU_469606.3.peg.42,0.0,-3.5742036831110615e-32
translation_469606.3.peg.47,0.0,1.2193495671494318e-32
transcription_TU_469606.3.peg.47,0.0,-119.86038281799907
translation_469606.3.peg.60,0.0,3.610068661229974e-32
transcription_TU_469606.3.peg.60,0.0,2.513256169775663e-32
translation_469606.3.peg.63,0.0,-5.573777115362971e-32
transcription_TU_469606.3.peg.63,0.0,5.589860289604545e-32
translation_469606.3.peg.69,0.0,2.3523955840111787e-32
transcription_TU_469606.3.peg.69,0.0,-111.7447544447146
translation_469606.3.peg.75,2.9287561945077507e-08,-4.529757296440215e-32
transcription_TU_469606.3.peg.75,1.2552667258452296e-09,4.621400471792463e-32
translation_469606.3.peg.86,1.541011212809775e-08,-1.0646714407673845e-32
transcription_TU_469606.3.peg.86,6.604783638945516e-10,2.6846917955718654e-33
translation_469606.3.peg.87,1.3665720031989768e-07,1.5454376978989528e-32
