,fluxes,reduced_costs
biomass_dilution,0.08730507740439039,-0.17543721396899947
protein_biomass_to_biomass,0.03212765840724236,2.365580358076055e-35
mRNA_biomass_to_biomass,9.388541636901446e-05,0.0
tRNA_biomass_to_biomass,0.0005527075767668431,0.0
rRNA_biomass_to_biomass,0.0040574729350527075,0.0
ncRNA_biomass_to_biomass,0.0,2.222582721474613e-35
tmRNA_biomass_to_biomass,0.0,2.222582721474613e-35
DNA_biomass_to_biomass,0.005176313871182877,2.222582721474613e-35
lipid_biomass_to_biomass,0.0,2.222582721474613e-35
constituent_biomass_to_biomass,0.02721290316554977,2.222582721474613e-35
prosthetic_group_biomass_to_biomass,1.2328178152989246e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,2.222582721474613e-35
DM_4HBA,0.0,-0.015738762604303087
DM_5DRIB,0.0013863522461352766,0.0
DM_5MTR,0.0,-0.032688081997860594
DM_GCALD,0.0,-0.038745128921415524
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.004843091530695271
DM_clpn180(c),0.0,-0.21063916303103544
DM_clpnai17(c),0.0,-0.31234283540022323
DM_clpni17(c),0.0,-0.31234220802451307
DM_dad_5,0.0,-0.006047304196385468
DM_dhptd(c),0.0,0.0
EX_2obut(e),-0.0006570444356519699,0.0
EX_4abz(e),0.0,0.0
EX_ac(e),1.0127414233562895,0.0
EX_acald(e),0.0,-0.004840799453486918
EX_acgam(e),-1.0,-0.010886312127808327
EX_akg(e),0.0,-0.004846823075910965
EX_ala_D(e),-0.011353082421605003,0.0
EX_ala_L(e),-0.03248769688284509,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-0.0012111604572014832
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,-0.009677997835209748
EX_arg_L(e),-0.02824982292467701,0.0
EX_asn_L(e),-0.225,-0.0012051365798892383
EX_asp_L(e),-0.225,-0.0012064411207856436
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.009530076980415714
EX_cellb(e),-0.07449289,-0.019355048188326177
EX_cgly(e),0.0,0.0
EX_chsterol(e),-0.002478975,-1.9772231120636468e-06
EX_cl(e),0.0,0.0
EX_co2(e),0.4045374093499376,0.0
EX_cobalt2(e),-0.0006931761230676383,0.0
EX_coprost(e),0.002478975,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0020543879513576584,0.0
EX_ddca(e),-0.007259065543923824,0.0
EX_drib(e),0.0,0.0
EX_etoh(e),0.0,-0.004838644296212633
EX_fe2(e),-0.0006931783534936194,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.002079528369202915,0.0
EX_for(e),0.005817396186001749,0.0
EX_fru(e),-0.14898579,-0.009678466545651526
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.009677023180128872
EX_gcald(e),0.0,-0.03874475582279414
EX_glc_D(e),-0.14898579,-0.009678133780102034
EX_gln_L(e),-0.013229529437114208,0.0
EX_glu_L(e),-0.046595452865058076,0.0
EX_gly(e),-0.007198556478147104,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.89982743,-0.00483594638647216
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.0012111491377741915
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0012109935045644114
EX_glymet(e),0.0,-0.00120926250771733
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-0.001211073052190467
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.017516683626343926,0.0
EX_h(e),6.522495886270385,0.0
EX_h2o(e),-2.781374441572831,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00849601656919073,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.029731736268379164,0.0
EX_k(e),-3.104217832946987e-07,0.0
EX_kesto(e),0.0,-0.029034693772783695
EX_kestopt(e),-0.00282117,-0.04839162686408675
EX_kestottr(e),0.0,-0.03871316031843522
EX_lac_D(e),8.158666182967279,0.0
EX_lcts(e),-0.07449289,-0.014509191598768815
EX_leu_L(e),-0.04656477467045256,0.0
EX_lys_L(e),-0.04130988625749446,0.0
EX_mal_L(e),0.0,-1.9882625320263894e-06
EX_malt(e),-0.07449289,-0.019354938634694615
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.009678303093514045
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0012092738271446218
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.010786837507318982,0.0
EX_mg2(e),-0.0004801681467615049,0.0
EX_mn2(e),-3.052150986856661e-07,0.0
