,fluxes,reduced_costs
biomass_dilution,0.17021716419747418,-0.5354458467235537
protein_biomass_to_biomass,0.061336107599218044,-1.8842707754360222e-34
mRNA_biomass_to_biomass,0.0002213647118713216,0.0
tRNA_biomass_to_biomass,0.0013149489547063895,0.0
rRNA_biomass_to_biomass,0.00970670863362789,0.0
ncRNA_biomass_to_biomass,0.0,5.939568645712583e-35
tmRNA_biomass_to_biomass,0.0,5.939568645712583e-35
DNA_biomass_to_biomass,0.010040998631929494,5.939568645712583e-35
lipid_biomass_to_biomass,0.0,5.939568645712583e-35
constituent_biomass_to_biomass,0.05305651565904701,5.939568645712583e-35
prosthetic_group_biomass_to_biomass,3.8959482513879354e-05,-6.81278395797508e-35
peptidoglycan_biomass_to_biomass,0.0,5.939568645712583e-35
DM_5MTR,0.0,-0.07863493858821069
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.013677590921209308
DM_btn,0.0,0.0
DM_clpn180(c),0.0,-0.12309252527002548
DM_clpnai17(c),0.0,-0.5335198061536212
DM_clpni17(c),0.0,-0.5335198061536212
DM_dad_5,0.0,-0.09573354872591368
DM_dhptd(c),0.004167226039263762,0.0
EX_12dgr180(e),-0.007076404123748755,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_4abut(e),0.18,0.0
EX_C02528(e),0.0,-7.274237786216838e-07
EX_ac(e),7.272177345118892,0.0
EX_acald(e),0.0,-0.0068386940187634354
EX_acgam(e),-1.0,-0.044414355533204705
EX_actn_R(e),0.0,-0.013673580658284707
EX_adocbl(e),-0.0013522416753727164,0.0
EX_ala_D(e),-1.0,-0.00682511866195733
EX_ala_L(e),-1.0,-0.006826955418345086
EX_alaasp(e),0.0,-0.010230965287947133
EX_alagln(e),0.0,-0.003399987753040068
EX_alaglu(e),0.0,-0.0034045696376575744
EX_alagly(e),0.0,-0.006814412057051106
EX_alahis(e),0.0,0.0
EX_alaleu(e),2.4477959577973243e-23,0.0
EX_alathr(e),0.0,-0.013651272779766934
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.04099987878346546
EX_arg_L(e),-0.03165611595967715,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.010237254175181213
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.010242338588311218
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.026460750604107276
EX_cellb(e),-0.07449289,-0.08199759676811591
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,-7.274237786216838e-07
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.6198072626194149,0.0
EX_cobalt2(e),-0.0013515245056822088,0.0
EX_crn(e),0.0,0.0
EX_csn(e),-0.036373814559817814,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-3.404533216893615e-05,0.0
EX_ddca(e),0.0,0.0
EX_dextrin(e),0.0,-0.23230429950726217
EX_dgchol(e),0.0,-0.006824920772343518
EX_etha(e),0.0,-0.0034165324300289043
EX_etoh(e),4.52467928977905,0.0
EX_fe2(e),-0.0013515712754646311,0.0
EX_fe3(e),0.0,0.0
EX_for(e),10.235121043675914,0.0
EX_fru(e),-0.14898579,-0.04100193250780823
EX_galt(e),0.0,-0.03416542785348318
EX_gam(e),-1.0,-0.0409974485563351
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.004054419655736057,0.0
EX_gchola(e),0.0,-0.006824920772343518
EX_glc_D(e),-0.14898579,-0.04100102418110473
EX_gln_L(e),-0.18,-0.0034113610534041525
EX_glu_L(e),-0.18,-0.003416332386643566
EX_gly(e),-0.45,-0.006824920772343518
EX_glyasn(e),0.0,-0.010224710813887233
EX_glyasp(e),0.0,-0.010229795227017236
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.89982743,-0.01365998870883287
EX_glyclt(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.0033988176921101723
EX_glyglu(e),0.0,-0.003403399576727679
EX_glyleu(e),0.0,-0.010245872228189354
EX_glymet(e),0.0,-0.0034080670961715367
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.5116966299654413e-23,0.0
EX_glytyr(e),2.492239444720413e-23,0.0
EX_h(e),11.861943515957561,0.0
EX_h2o(e),-9.743097843807218,0.0
EX_hdca(e),9.574413271370741e-25,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.012979546258302964,0.0
EX_hxan(e),-0.02283081088549453,0.0
EX_ile_L(e),-0.08767807206595869,0.0
EX_ind3ac(e),0.0,0.0
EX_isobut(e),0.0,-4.628876237060839e-06
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-6.265021816896835e-07,0.0
EX_lac_L(e),0.0,-0.006832320571013119
EX_lcts(e),-0.07449289,-0.06831395297491524
EX_leu_L(e),-0.06494245423079224,0.0
EX_lys_L(e),-0.07815537488030043,0.0
EX_malt(e),-0.07449289,-0.08199414383366242
EX_malthx(e),0.0,-0.24598440701124685
EX_malttr(e),0.0,-0.12299088444723622
EX_man(e),-0.14898579,-0.041000366601873846
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.003409237157101432
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.03321310088806667,0.0
EX_mg2(e),-0.001467610413528028,0.0
EX_mn2(e),-5.08177815381183e-06,0.0
EX_mnl(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0013515302765503303,0.0
EX_nh4(e),6.14612318984495,0.0
EX_no2(e),0.0,0.0
EX_o2(e),0.0,-0.04784797396808868
EX_ocdca(e),9.096338111599882e-23,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.031423481050490636,0.0
EX_pheme(e),-0.0013514732185786857,0.0
EX_pi(e),-0.18815627688420267,0.0
EX_ppi(e),0.0,-4.018418913426669e-06
EX_pro_L(e),0.0021110425214123513,0.0
EX_ptrc(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-0.0027029903612561155,0.0
EX_rmn(e),-0.14898579,-0.023916012312697812
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,-0.03416140549427692
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.013666507532968995
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0013514732185786857,0.0
EX_succ(e),0.0027029464371573714,0.0
EX_sucr(e),-0.07449289,-0.08199778727823259
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thm(e),-0.0013514806122665477,0.0
EX_thr_L(e),-0.225,-0.01366264608013102
EX_tre(e),-0.07449289,-0.08199610312638338
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.024643317411796654,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,-9.55778351094007e-06
EX_val_L(e),-0.08217661304199457,0.0
EX_xan(e),-0.018188182782540013,0.0
EX_zn2(e),-1.04543071500883e-06,0.0
translation_863767.5.peg.1,0.0,-1.2075225037548875e-32
transcription_TU_863767.5.peg.1,0.0,5.180782105585661e-32
translation_863767.5.peg.2,0.0,1.2755677693643933e-32
transcription_TU_863767.5.peg.2,0.0,-122.90058602106902
translation_863767.5.peg.6,0.0,-1.3046430399911673e-32
transcription_TU_863767.5.peg.6,0.0,-208.06321967109866
translation_863767.5.peg.7,0.0,2.614938447413336e-32
transcription_TU_863767.5.peg.7,0.0,2.613314754549989e-32
translation_863767.5.peg.8,0.0,-1.3394058760164645e-32
transcription_TU_863767.5.peg.8,0.0,6.0021126613448e-32
translation_863767.5.peg.9,0.0,-4.655500803352582e-33
transcription_TU_863767.5.peg.9,0.0,-55.16012669264547
translation_863767.5.peg.11,0.0,1.57563172180094e-32
transcription_TU_863767.5.peg.11,0.0,-101.76834402128863
translation_863767.5.peg.12,0.0,-2.2758877616223343e-32
transcription_TU_863767.5.peg.12,0.0,-103.78890722925414
translation_863767.5.peg.13,0.0,2.2612848288776603e-32
transcription_TU_863767.5.peg.13,0.0,-114.84436656898241
translation_863767.5.peg.14,0.0,-2.559890918313358e-32
transcription_TU_863767.5.peg.14,0.0,-118.05177691986044
translation_863767.5.peg.15,0.0,-1.0995270703882298e-32
transcription_TU_863767.5.peg.15,0.0,-8.487555409757116e-32
translation_863767.5.peg.16,0.0,-3.698323693940793e-32
transcription_TU_863767.5.peg.16,0.0,-66.08851694747035
translation_863767.5.peg.17,0.0,1.3874830988258536e-33
transcription_TU_863767.5.peg.17,0.0,-36.17136452244757
translation_863767.5.peg.19,0.0,1.8629660388317909e-32
transcription_TU_863767.5.peg.19,0.0,2.193512261512028e-32
translation_863767.5.peg.23,0.0,1.7608973100436428e-33
transcription_TU_863767.5.peg.23,0.0,-9.35763857566887e-33
translation_863767.5.peg.24,0.0,-1.680694222790088e-32
transcription_TU_863767.5.peg.24,0.0,-2.898449588027079e-32
translation_863767.5.peg.25,1.180607139819908e-07,-1.6256233522496334e-32
transcription_TU_863767.5.peg.25,2.363174500332031e-09,-5.640358871336285e-34
translation_863767.5.peg.28,0.0,1.8022493832478478e-31
transcription_TU_863767.5.peg.28,0.0,-205.5051244204319
translation_863767.5.peg.40,0.0,3.121335340067377e-33
transcription_TU_863767.5.peg.40,0.0,1.46328826639828e-32
translation_863767.5.peg.41,0.0,8.059425182171396e-33
transcription_TU_863767.5.peg.41,0.0,-3.80062852404034e-32
translation_863767.5.peg.44,0.0,-1.0981520317642268e-32
transcription_TU_863767.5.peg.44,0.0,-115.80177411018664
translation_863767.5.peg.45,0.0,4.32366533490939e-33
transcription_TU_863767.5.peg.45,0.0,-99.5660244293996
translation_863767.5.peg.46,0.0,9.909928045128774e-34
transcription_TU_863767.5.peg.46,0.0,-117.48421844191459
translation_863767.5.peg.49,0.0,-8.609568672411862e-34
transcription_TU_863767.5.peg.49,0.0,-130.49210830013652
translation_863767.5.peg.50,6.636098629067426e-06,4.83847569299953e-33
transcription_TU_863767.5.peg.50,1.328321550240048e-07,-5.6842231406627395e-33
translation_863767.5.peg.51,0.0,-4.7819615591336645e-33
transcription_TU_863767.5.peg.51,0.0,-57.297305212325924
translation_863767.5.peg.52,6.636098629067426e-06,2.588276540873575e-33
transcription_TU_863767.5.peg.52,1.328321550240048e-07,1.1130780982753114e-33
translation_863767.5.peg.59,6.636098629067426e-06,-3.711457829886099e-34
transcription_TU_863767.5.peg.59,1.328321550240048e-07,-1.937620961953647e-33
translation_863767.5.peg.62,1.5366898444271344e-08,1.8124519013926362e-32
transcription_TU_863767.5.peg.62,3.075931131352764e-10,3.9334108887748176e-33
translation_863767.5.peg.88,5.517281724822203e-24,-1.754554805079474e-32
transcription_TU_863767.5.peg.88,0.0,-92.50166529986718
translation_863767.5.peg.98,0.0,3.3807632603127365e-33
transcription_TU_863767.5.peg.98,0.0,5.509314353861797e-33
translation_863767.5.peg.100,2.389849802954247e-08,-7.631311835880632e-33
transcription_TU_863767.5.peg.100,4.783667592275028e-10,-5.095612018220205e-32
translation_863767.5.peg.101,2.389849802954247e-08,1.7406967672882626e-33
transcription_TU_863767.5.peg.101,4.783667592275028e-10,1.6589023330915e-34
translation_863767.5.peg.102,2.389849802954247e-08,1.447147931206704e-32
transcription_TU_863767.5.peg.102,4.783667592275028e-10,9.762649846905297e-34
translation_863767.5.peg.106,0.0,-2.066404626314738e-32
transcription_TU_863767.5.peg.106,0.0,7.002087390695456e-33
translation_863767.5.peg.107,0.0,-1.2109407379578268e-32
transcription_TU_863767.5.peg.107,0.0,7.998679626721353e-34
translation_863767.5.peg.108,0.0,-1.7017774593573528e-32
transcription_TU_863767.5.peg.108,0.0,2.2016851363617178e-32
translation_863767.5.peg.113,0.0,8.177011026090393e-33
transcription_TU_863767.5.peg.113,0.0,2.0447254438307522e-33
translation_863767.5.peg.145,0.0,-8.148610170973971e-32
transcription_TU_863767.5.peg.145,0.0,3.3286639495324625e-32
translation_863767.5.peg.147,0.0,-3.4305292746305005e-32
transcription_TU_863767.5.peg.147,0.0,-162.92206358615013
translation_863767.5.peg.150,0.0,-7.050470942411169e-33
transcription_TU_863767.5.peg.150,0.0,-168.85223254130688
translation_863767.5.peg.152,0.0,-2.3460045291789518e-32
transcription_TU_863767.5.peg.152,0.0,-2.4703327989528784e-32
translation_863767.5.peg.158,0.0,-1.0048368141854307e-32
transcription_TU_863767.5.peg.158,0.0,-178.1426646845265
translation_863767.5.peg.159,0.0,1.542642847422965e-32
transcription_TU_863767.5.peg.159,0.0,4.235687981760699e-33
translation_863767.5.peg.160,0.0,1.2244403820417412e-33
transcription_TU_863767.5.peg.160,0.0,-74.86684381825044
translation_863767.5.peg.161,0.0,-1.2067921443507825e-32
transcription_TU_863767.5.peg.161,0.0,-78.34369758461571
translation_863767.5.peg.168,0.0,4.8524491823881306e-33
transcription_TU_863767.5.peg.168,0.0,-105.75864323636553
translation_863767.5.peg.173,0.0,2.372605642067137e-33
