,fluxes,reduced_costs
biomass_dilution,0.10269226901181439,0.014864599560123698
protein_biomass_to_biomass,0.041005482349744875,-5.3112951177271045e-36
mRNA_biomass_to_biomass,0.00013223302551211544,0.0
tRNA_biomass_to_biomass,0.0007725150001683914,0.0
rRNA_biomass_to_biomass,0.0057332912819910925,0.0
ncRNA_biomass_to_biomass,0.0,1.826113917629958e-36
tmRNA_biomass_to_biomass,0.0,1.826113917629958e-36
DNA_biomass_to_biomass,0.006086427935513835,1.826113917629958e-36
lipid_biomass_to_biomass,0.0,1.826113917629958e-36
constituent_biomass_to_biomass,0.02587908799155718,1.826113917629958e-36
prosthetic_group_biomass_to_biomass,1.7647605595408113e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,1.826113917629958e-36
DM_5DRIB,0.0,-1.2870372461339205e-05
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-5.595983926535227e-06
DM_dhptd(c),6.342802976507427e-05,0.0
DM_hcys_L[c],0.0,-2.0043829326707024e-06
EX_26dap_M(e),-0.042498059402993005,0.0
EX_2dmmq8(e),-0.0003179866109950832,0.0
EX_2obut(e),-1.840836163907645e-56,0.0
EX_4abz(e),-0.0009539598329852497,0.0
EX_Tyr_ggn(e),0.0,-4.3885585047783885e-07
EX_ac(e),2.615692501556734,0.0
EX_acald(e),0.0,-6.425821887044755e-08
EX_ade(e),0.994152010554177,0.0
EX_adn(e),-1.0,-6.599587712568217e-06
EX_adocbl(e),-0.0003179866109950832,0.0
EX_ala_L(e),-0.040305016121400056,0.0
EX_arg_L(e),-0.15,-2.77190509866232e-06
EX_asp_L(e),-0.225,-3.3266360230448487e-06
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0003337064619474395
EX_cgly(e),-0.0059011946257418865,0.0
EX_chtbs(e),0.0,-2.8209127379916738e-05
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-2.7140670067811634e-06
EX_cobalt2(e),-0.0003180003855148638,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-1.3472932257932244e-05
EX_dad_2(e),-0.005751024720087419,0.0
EX_dcyt(e),-0.0041327974873025045,0.0
EX_dgsn(e),-0.0041327974873025045,0.0
EX_din(e),0.0,-1.0076703333213537e-06
EX_duri(e),4.200893068427356e-23,5.288980228874738e-37
EX_fe2(e),-9.737866664910207e-10,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.529422829242093,0.0
EX_fru(e),-0.14898579,-2.7186054958160585e-06
EX_gcald(e),0.0009539598329852497,0.0
EX_glc_D(e),0.9868255385074166,0.0
EX_gln_L(e),-0.06470685291114273,0.0
EX_gly(e),0.13793354044871095,0.0
EX_glyc(e),0.003280401841313399,0.0
EX_glygn2(e),1.6554553746974585e-24,0.0
EX_glygn4(e),0.0,-4.3885585047783885e-07
EX_glygn5(e),0.0,-8.777117009556777e-07
EX_gsn(e),0.0,-8.550741202239975e-06
EX_gthox(e),-0.0001589933054975416,0.0
EX_gua(e),-0.006227675789975587,0.0
EX_h(e),5.309328348286166,0.0
EX_h2o(e),-2.8158082557925317,0.0
EX_h2s(e),4.746312569930893e-25,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.01346862655199165,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.04600366340501645,0.0
EX_ins(e),0.0,-8.621264473549546e-06
EX_inulin(e),-0.00047019,-0.00011368614750654282
EX_isobut(e),0.0,-1.1567936172885485e-06
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-1.7945386473719628e-07,0.0
EX_lac_D(e),0.0,-6.426641911331182e-07
EX_lcts(e),-0.008140241701272448,0.0
EX_leu_L(e),-0.058555874100062674,0.0
EX_lys_L(e),5.7044813184448416e-34,0.0
EX_malt(e),-0.07449289,-8.777117009556777e-07
EX_man(e),0.0,0.0
EX_met_L(e),-0.016770995076953052,0.0
EX_mg2(e),-0.0006793411951491001,0.0
EX_mn2(e),-1.1421411303825385e-06,0.0
EX_mqn8(e),-0.0003179866109950832,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.00031800090159576645,0.0
EX_nh4(e),1.4270584640946535,0.0
EX_o2(e),0.0,-1.6787436842755868e-05
EX_ocdca(e),-0.00874774016300045,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),-1.0,-8.94991494632581e-07
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.023787234880925098,0.0
EX_pheme(e),-0.0003179866109950832,0.0
EX_pi(e),-0.07232686676598923,0.0
EX_pnto_R(e),-0.00031812746066208115,0.0
EX_ppa(e),0.0,0.0
