,fluxes,reduced_costs
biomass_dilution,0.0015436951775061086,0.014588104391823757
protein_biomass_to_biomass,0.0007544149865017983,4.866762502226342e-36
mRNA_biomass_to_biomass,2.0080674996317195e-06,2.15262497168335e-36
tRNA_biomass_to_biomass,1.2103595282992612e-05,-2.0326808302393825e-36
rRNA_biomass_to_biomass,8.73821756204013e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,9.156290673578016e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0001715933081673646,0.0
prosthetic_group_biomass_to_biomass,2.7170779087831733e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,1.0497876845007068e-09,0.0
DM_atp_c_,0.0,-1.5896873524011694e-07
DM_clpn140(c),0.0,-4.462162744941359e-06
DM_clpn160(c),0.0,-3.284008647290682e-06
DM_clpn180(c),0.0,0.0
DM_clpni16(c),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),-1.2862111634554213e-38,0.0
EX_acald(e),0.004792598834063536,0.0
EX_adocbl(e),-1.0058457560570308e-12,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.0012248130740783749,0.0
EX_alaasp(e),0.0,-3.8203566401724345e-40
EX_alagln(e),0.0,-1.887513319634425e-37
EX_alaglu(e),0.0,-5.142787784847508e-41
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-4.7437350140710293e-08
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.0007078041512047575,-2.3778725089312137e-36
EX_asn_L(e),-0.00028275533777751205,0.0
EX_asp_L(e),-0.004526344080050814,0.0
EX_biomass(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0003997649159022248
EX_cellb(e),0.0,0.0
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.9109085560341268,0.0
EX_cobalt2(e),-1.2055343734944936e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00014869712200100732,0.0
EX_ddca(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.4478660464602292,0.0
EX_fe2(e),-2.6225973011994267e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-0.0006490431163655954,0.0
EX_fum(e),-0.45336638535979046,0.0
EX_glc_D(e),-0.000506989986754108,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.0019112967624830865,0.0
EX_gly(e),-0.0008373719590419309,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,-2.8204738700435072e-08
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,3.6541711263249335e-37
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-1.7677696947999058e-07
EX_glymet(e),0.0,-6.308292034515092e-07
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),-0.962622624450264,-7.265638746936401e-37
EX_h2(e),-1.0,-5.984689331690293e-08
EX_h2o(e),0.6169511557178011,0.0
EX_h2s(e),-0.00032057059350426635,0.0
EX_hdca(e),0.0,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0002083846504786484,0.0
EX_hxan(e),1.2151390773712263e-21,0.0
EX_ile_L(e),-0.0004936368942374914,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-1.6337541513356113e-12,0.0
EX_lac_D(e),0.0,-1.1789694059969059e-36
EX_lac_L(e),0.0,-1.86013418446147e-08
EX_leu_L(e),-0.0011657960750007775,0.0
EX_lys_L(e),-0.0004559386984691263,0.0
EX_mal_L(e),0.0,-5.857090990584842e-09
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-1.4807243668050505e-22,0.0
EX_metala(e),0.0,-6.35570130317001e-07
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.0393958088606074e-05,0.0
EX_mn2(e),-8.931306758045615e-10,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-1.2055345245651335e-05,0.0
EX_nh4(e),0.0,-7.61622654708336e-09
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-5.2354848427578777e-08
EX_o2(e),0.0,-3.808002566117109e-07
EX_ocdca(e),0.0,0.0
EX_orn(e),0.0007078041512047575,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0004089038035663288,0.0
EX_pi(e),-0.0009978936149305294,0.0
EX_ppi(e),0.0,-3.9608120419842357e-07
EX_pro_L(e),-0.0005175628267688231,0.0
EX_pyr(e),0.0,-8.016383478247972e-09
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-5.758670645906418e-21,0.0
EX_so3(e),0.0,-5.625533183157274e-07
EX_so4(e),0.0,0.0
EX_succ(e),0.0,-5.206148377419589e-09
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tet(e),0.0,-1.0457070062962189e-06
EX_thr_L(e),-0.0005222236853495067,0.0
EX_tma(e),0.0,3.6417825178932207e-37
EX_tmao(e),0.0,-2.173676157002066e-08
EX_trp_L(e),-0.0001332405033834737,0.0
EX_tsul(e),0.0,-5.552520590986286e-07
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.00024430606398196997,0.0
EX_ura(e),-0.000327463811067647,0.0
EX_urea(e),0.0,-1.3405845546936117e-08
EX_val_L(e),-0.0007773045254983547,0.0
EX_zn2(e),-9.183080629914689e-08,0.0
translation_457398.5.peg.3,0.0,1.1029214924417006e-33
transcription_TU_457398.5.peg.3,0.0,-0.01401401343931489
translation_457398.5.peg.9,0.0,-1.8422574996947565e-33
transcription_TU_457398.5.peg.9,0.0,-0.021705760431098575
translation_457398.5.peg.10,0.0,-2.5787495373920233e-33
