,fluxes,reduced_costs
biomass_dilution,0.002433732584822365,0.015110295561073657
protein_biomass_to_biomass,0.0009042333188758171,1.0748343733685853e-36
mRNA_biomass_to_biomass,2.3175308764934776e-06,0.0
tRNA_biomass_to_biomass,1.3553687389287238e-05,2.2813696764922763e-36
rRNA_biomass_to_biomass,0.0001017333785536075,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.000144354684050764,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0007585919528465321,0.0
prosthetic_group_biomass_to_biomass,3.167903622165345e-07,-2.2806640058631642e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-9.503741144640264e-08
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],1.1848831264712676e-06,0.0
EX_26dap_M(e),0.0,0.0
EX_2obut(e),-4.10618397865664e-50,0.0
EX_3mop(e),-0.29313193249344593,0.0
EX_4abut(e),6.548209561096578e-57,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),0.7363294839533162,0.0
EX_acald(e),0.0,-3.148828459419395e-08
EX_acgam(e),-1.1431980752802613e-23,0.0
EX_actn_R(e),0.0,-2.7172166396278928e-08
EX_ade(e),1.1848831264712676e-06,0.0
EX_adn(e),0.0023706649596881733,0.0
EX_ala_D(e),-0.0003164806383442325,0.0
EX_ala_L(e),-0.0008279845088929965,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,-9.789769951637165e-08
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_amp(e),-0.002487241735840533,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-1.1197054454271448e-09
EX_arg_L(e),-0.0004355698970027812,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),0.00011961524662510392,0.0
EX_asp_L(e),-0.0038254826476521045,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.00031003817920177967
EX_cellb(e),-5.172175143618065e-35,0.0
EX_cgly(e),4.1061377979347314e-26,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.003156559739453062,0.0
EX_cobalt2(e),-1.9323107053791265e-05,0.0
EX_csn(e),4.001280552694834e-37,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-7.983606229542511e-05,0.0
EX_cytd(e),0.0,0.0
EX_dad_2(e),-0.00014686331698510083,0.0
EX_dcyt(e),-8.757273266426217e-05,0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-8.757273266426217e-05,0.0
EX_din(e),0.0,-2.4041412911308877e-10
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_etoh(e),1.980521121922524e-46,0.0
EX_fe2(e),-4.892175804218883e-13,0.0
EX_fe3(e),1.8930314478352314e-55,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-5.796931981114239e-05,0.0
EX_for(e),0.7396443764601603,0.0
EX_fru(e),-0.14898579,-2.8718472173585868e-08
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-9.183549615799121e-39,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-6.855331719901619e-09
EX_gln_L(e),-0.0017504124622860163,0.0
EX_glu_L(e),-6.548209561096578e-57,0.0
EX_gly(e),-0.000840655460526978,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),0.15036069252578194,0.0
EX_glyc3p(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,-1.1691196518071461e-07
EX_glyleu(e),0.0,-1.3314067153078942e-08
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-9.955145304493216e-05,0.0
EX_h(e),1.1421764663524123,0.0
EX_h2o(e),-0.3918494718883326,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00020506520024291807,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.29196554001140246,0.0
EX_ins(e),0.0,-2.8575279464318083e-08
EX_k(e),-3.3608534086123703e-10,0.0
EX_lac_D(e),0.0,0.0
EX_lac_L(e),0.0,-1.7304258597650864e-08
EX_lcts(e),4.0964280107111784e-51,0.0
EX_leu_L(e),-0.0014028664104189402,0.0
EX_lys_L(e),-0.000948223299157655,0.0
EX_mal_L(e),-4.031521943339574e-56,0.0
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),5.05056477725656e-46,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00038375896109001817,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.2071374157901226e-05,0.0
EX_mn2(e),-5.716871890712134e-10,0.0
EX_mnl(e),0.0,0.0
