,fluxes,reduced_costs
biomass_dilution,0.0016701876900204783,0.01483512722267797
protein_biomass_to_biomass,0.0008190644250890985,4.6202705834601694e-36
mRNA_biomass_to_biomass,2.078858961981818e-06,0.0
tRNA_biomass_to_biomass,1.2702453585651772e-05,0.0
rRNA_biomass_to_biomass,9.061060134667522e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,9.906569763106812e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00018565390056735385,0.0
prosthetic_group_biomass_to_biomass,2.8801372603111577e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,0.0
DM_AMOB,0.0,0.0
DM_HQN,0.0,-4.911364286121771e-08
DM_atp_c_,0.0,-1.030332113926802e-07
DM_btn,0.0,0.0
DM_clpn140(c),0.0,-1.9075969221588868e-07
DM_clpn160(c),0.0,0.0
DM_clpn180(c),0.0,-1.9075969221588868e-07
DM_clpni16(c),0.0,-1.9452839216857137e-06
DM_dad_5,0.0,-5.355811118204883e-06
EX_15dap(e),0.0,-3.0094234303210286e-08
EX_2ddglcn(e),0.0,-5.961709953994946e-08
EX_4abut(e),0.0,0.0
EX_7dhcdchol(e),0.0,-2.243380700748383e-08
EX_7ocholate(e),0.0,-2.243380700748383e-08
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.3410699506881923,0.0
EX_acac(e),0.0,-4.986117792323153e-08
EX_acald(e),0.0,-2.1569567333998883e-08
EX_acgam(e),-5.928367341348321e-18,0.0
EX_adocbl(e),-2.8081432012841497e-15,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.0006735989821829674,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0003526865372004772,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.0006468052674203265,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.0012095379953513657,0.0
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),0.0,-5.28804653682916e-08
EX_but(e),0.0,-1.6979152637637434e-09
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.000317730478178875
EX_cellb(e),-8.867794848275953e-18,0.0
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.3423988625621668,0.0
EX_cobalt2(e),-1.304317822951155e-05,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-8.610240751975562e-05,0.0
EX_dgchol(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_etha(e),0.0,-2.2292508860563913e-08
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0011585672852330838,0.0
EX_fe2(e),-4.724685866366199e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-0.0008023027791575584,0.0
EX_fru(e),-0.14898579,-7.517499616012223e-08
EX_fum(e),-0.6757977146640954,3.65505274708805e-40
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-6.12219341207308e-08
EX_gln_L(e),-0.0011309118368623679,0.0
EX_glu_L(e),-0.0004988269012104778,0.0
EX_glutar(e),0.0,-1.0025753284463123e-07
EX_gly(e),0.0,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-8.088175878645962e-18,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),1.5034319120491815e-22,8.632536638851174e-41
EX_glytyr(e),0.0,0.0
EX_h(e),0.8428333054489845,0.0
EX_h2o(e),-0.3444598731484168,0.0
EX_h2s(e),0.0,0.0
EX_hdca(e),0.0,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00011444084285601473,0.0
EX_hxan(e),1.0687813807211893e-06,0.0
EX_ile_L(e),-0.0011491630298787353,0.0
EX_ind3ac(e),0.0,-2.8120340796900467e-08
EX_indole(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-9.447281243638058e-10,0.0
EX_lac_D(e),0.5495763874798798,0.0
EX_lac_L(e),3.815018804132932e-18,0.0
EX_leu_L(e),-0.0009517906894902026,0.0
EX_lys_L(e),-0.0011091302895928792,0.0
EX_mal_L(e),0.0,-2.1726657027894386e-08
EX_malt(e),-0.07449289,-9.565864883571668e-08
EX_malthx(e),0.0,-2.1470813396869875e-07
EX_malttr(e),0.0,0.0
EX_man(e),-3.7103343649842235e-24,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00033943268741561133,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.094429400362478e-05,0.0
EX_mn2(e),-9.691729648417899e-10,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-1.3043163746445924e-05,0.0
EX_nh4(e),0.0,-6.959526952324788e-09
EX_o2(e),0.0,-1.7213476044043483e-08
EX_ocdca(e),0.0,0.0
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0005346967538718226,0.0
EX_pi(e),-0.0010666122655676067,0.0
EX_pnto_R(e),-1.3043163746445924e-05,0.0
EX_ppa(e),0.0,-2.202620666050827e-08
EX_pro_L(e),3.220894845973181e-38,0.0
EX_ptrc(e),-1.2042541259139635e-22,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-1.3043166280716496e-05,0.0
EX_pydxn(e),0.0,0.0
EX_pyr(e),0.0,-7.511996777944925e-09
EX_rib_D(e),-0.0007967114483120683,0.0
EX_salcn(e),1.4339316824300114e-22,0.0
EX_ser_L(e),-0.0007464018597374922,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.6764227666714329,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thm(e),-4.209083767253084e-12,0.0
EX_thr_L(e),-0.0017103865312600621,0.0
EX_trp_L(e),-7.145947158225318e-05,0.0
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.0004635933630647251,0.0
EX_ura(e),-0.00034945807609104896,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.0006790367902265243,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-8.943864532247637e-08,0.0
translation_469618.3.peg.1,7.933776012993717e-11,-4.519432177425591e-33
transcription_TU_469618.3.peg.1,1.1171581020351042e-10,1.2310827504759693e-33
translation_469618.3.peg.4,3.8687006700783266e-13,-1.769896353367579e-33
transcription_TU_469618.3.peg.4,5.44753253790915e-13,-5.330494708485467e-34
translation_469618.3.peg.5,3.8687006700783266e-13,-2.1360964929926917e-33
transcription_TU_469618.3.peg.5,5.44753253790915e-13,-2.849350425445028e-34
translation_469618.3.peg.6,0.0,4.404683545941307e-33
transcription_TU_469618.3.peg.6,0.0,-0.036877929753746284
translation_469618.3.peg.11,9.215303266339846e-13,-6.668362163704413e-34
transcription_TU_469618.3.peg.11,1.2976104555814707e-12,5.168441754106588e-34
translation_469618.3.peg.12,1.1819784936307585e-11,-5.066666284780376e-34
transcription_TU_469618.3.peg.12,1.6643485377306373e-11,8.619351055285052e-34
translation_469618.3.peg.13,0.0,-0.7820464576633339
transcription_TU_469618.3.peg.13,0.0,-0.015844700642834237
translation_469618.3.peg.15,2.712049369740908e-13,-9.160301105499477e-34
transcription_TU_469618.3.peg.15,3.8188473200694744e-13,-1.9963938105991113e-35
translation_469618.3.peg.16,2.6310958253766147e-10,1.0423087231250455e-33
transcription_TU_469618.3.peg.16,3.7048563177687893e-10,-1.3309292070660742e-34
translation_469618.3.peg.17,7.933776012993772e-11,-1.1688667195867676e-33
transcription_TU_469618.3.peg.17,1.1171581020351121e-10,-8.525164927536329e-34
translation_469618.3.peg.18,6.286950295426938e-08,2.533711796293685e-34
transcription_TU_469618.3.peg.18,8.85267928931353e-08,1.397123569745551e-34
translation_469618.3.peg.19,0.0,-1.3572107806958447e-33
transcription_TU_469618.3.peg.19,0.0,-0.012985472448620757
translation_469618.3.peg.22,6.286950295426938e-08,6.273282873378302e-34
transcription_TU_469618.3.peg.22,8.85267928931353e-08,-4.1195427837759443e-35
translation_469618.3.peg.23,8.943899058126107e-08,-5.905113437796182e-34
transcription_TU_469618.3.peg.23,1.2593939229196174e-07,5.710496122963261e-34
translation_469618.3.peg.24,6.286950793960438e-08,-3.608530345663718e-35
transcription_TU_469618.3.peg.24,8.852679991300502e-08,-4.22195604567435e-34
translation_469618.3.peg.25,6.286950295426938e-08,-7.273781883400793e-34
transcription_TU_469618.3.peg.25,8.85267928931353e-08,-1.8669449267595182e-34
translation_469618.3.peg.26,6.286950295426938e-08,8.832578321058212e-34
transcription_TU_469618.3.peg.26,8.85267928931353e-08,3.006297963553415e-34
translation_469618.3.peg.27,6.286950295426938e-08,1.6015285287604935e-35
transcription_TU_469618.3.peg.27,8.85267928931353e-08,3.7128699705057546e-35
translation_469618.3.peg.28,2.712049369740908e-13,4.947213796433307e-34
transcription_TU_469618.3.peg.28,3.8188473200694744e-13,-7.360601871353514e-35
translation_469618.3.peg.29,1.3159718325132341e-14,-1.648806314278106e-33
transcription_TU_469618.3.peg.29,1.8530250820471543e-14,6.127819890866717e-34
translation_469618.3.peg.30,2.428369947805902e-10,-5.626652877341504e-34
transcription_TU_469618.3.peg.30,3.4193972170210733e-10,6.781401197908093e-34
translation_469618.3.peg.33,5.940098380156716e-26,4.882389746384755e-33
transcription_TU_469618.3.peg.33,0.0,-0.004256070494442211
translation_469618.3.peg.36,6.286950295426938e-08,9.673163205901641e-34
transcription_TU_469618.3.peg.36,8.85267928931353e-08,-2.9153687392875914e-34
translation_469618.3.peg.37,6.286950295426938e-08,-3.923603365358589e-35
transcription_TU_469618.3.peg.37,8.85267928931353e-08,4.025169958799698e-35
translation_469618.3.peg.38,6.286950295426938e-08,-1.1989437688762905e-33
transcription_TU_469618.3.peg.38,8.85267928931353e-08,9.597478393176469e-34
translation_469618.3.peg.39,6.286950295426938e-08,-1.1022674591124148e-33
transcription_TU_469618.3.peg.39,8.85267928931353e-08,-1.5089226871192714e-34
translation_469618.3.peg.40,6.286950295426938e-08,1.5713402127714024e-33
transcription_TU_469618.3.peg.40,8.85267928931353e-08,-9.168623426455178e-35
translation_469618.3.peg.41,6.286950295426938e-08,-1.9528349136034854e-34
transcription_TU_469618.3.peg.41,8.85267928931353e-08,7.901071800677964e-35
translation_469618.3.peg.42,6.286950295426938e-08,-1.5526604451137503e-35
transcription_TU_469618.3.peg.42,8.85267928931353e-08,6.675771895759991e-35
translation_469618.3.peg.43,6.286950295426938e-08,-6.779685548147373e-34
transcription_TU_469618.3.peg.43,8.85267928931353e-08,2.8505827673034224e-34
translation_469618.3.peg.44,6.286950295426938e-08,1.7210027789437779e-34
transcription_TU_469618.3.peg.44,8.85267928931353e-08,-2.538953358627502e-34
translation_469618.3.peg.45,6.286950295426938e-08,-5.20532755943877e-34
transcription_TU_469618.3.peg.45,8.85267928931353e-08,1.6857549400101299e-34
translation_469618.3.peg.46,6.286950295426938e-08,-3.4604733199388036e-34
transcription_TU_469618.3.peg.46,8.85267928931353e-08,1.0203790587506569e-34
translation_469618.3.peg.47,6.286950295426938e-08,4.79200168129388e-34
transcription_TU_469618.3.peg.47,8.85267928931353e-08,5.960133373706607e-35
translation_469618.3.peg.48,6.286950295426938e-08,1.4520734416384575e-35
transcription_TU_469618.3.peg.48,8.85267928931353e-08,2.7373449263974017e-34
translation_469618.3.peg.49,6.286950295426938e-08,-3.5313266111490344e-34
transcription_TU_469618.3.peg.49,8.85267928931353e-08,6.238440050105515e-34
translation_469618.3.peg.50,6.286950295426938e-08,-3.70376073966761e-35
transcription_TU_469618.3.peg.50,8.85267928931353e-08,-3.315318048686589e-34
translation_469618.3.peg.51,6.286950295426938e-08,-5.269579155974425e-34
transcription_TU_469618.3.peg.51,8.85267928931353e-08,1.29768727218739e-34
translation_469618.3.peg.52,6.286950295426938e-08,1.9796766801971044e-34
transcription_TU_469618.3.peg.52,8.85267928931353e-08,2.4082213428716143e-34
translation_469618.3.peg.53,9.970670001770415e-15,2.503361451499254e-34
transcription_TU_469618.3.peg.53,1.4039739409019547e-14,-1.0096181286972235e-34
translation_469618.3.peg.54,6.286950793960438e-08,-1.6118460373516027e-33
transcription_TU_469618.3.peg.54,8.852679991300502e-08,4.288927534447542e-34
translation_469618.3.peg.55,6.286950793960438e-08,-1.958075819035622e-35
transcription_TU_469618.3.peg.55,8.852679991300502e-08,4.450393041626743e-34
translation_469618.3.peg.56,6.286950793960438e-08,3.5573317576443714e-34
transcription_TU_469618.3.peg.56,8.852679991300502e-08,-2.6903272716080032e-34
translation_469618.3.peg.62,0.0,-2.188612911279966e-33
transcription_TU_469618.3.peg.62,0.0,-0.01924214643357502
translation_469618.3.peg.65,5.314349844991509e-13,-3.465548613684812e-33
transcription_TU_469618.3.peg.65,7.483156792752736e-13,1.2767413750640984e-33
translation_469618.3.peg.67,0.0,-1.3823011815151453e-33
transcription_TU_469618.3.peg.67,0.0,-0.017523496781403913
translation_469618.3.peg.68,1.7146346317668883e-11,4.514594244602422e-35
transcription_TU_469618.3.peg.68,2.4143837282161422e-11,-5.808555325124081e-34
translation_469618.3.peg.70,6.286950295426938e-08,-4.736813856267084e-34
transcription_TU_469618.3.peg.70,8.85267928931353e-08,2.8150960726101138e-34
translation_469618.3.peg.72,1.545498896930457e-11,-9.6566088368004e-34
transcription_TU_469618.3.peg.72,2.1762230387705097e-11,2.3956725727189337e-34
translation_469618.3.peg.76,6.286950295426938e-08,-2.0213639320732726e-34
transcription_TU_469618.3.peg.76,8.85267928931353e-08,1.4393752906047914e-34
translation_469618.3.peg.77,6.286950295426938e-08,1.3633326828104719e-34
transcription_TU_469618.3.peg.77,8.85267928931353e-08,1.1540001259680048e-34
translation_469618.3.peg.81,0.0,-8.314822523469089e-35
transcription_TU_469618.3.peg.81,0.0,-0.018287517753531556
translation_469618.3.peg.82,0.0,1.689552936409782e-33
transcription_TU_469618.3.peg.82,0.0,-0.01795405123381232
translation_469618.3.peg.83,0.0,-2.4957226941620148e-34
transcription_TU_469618.3.peg.83,0.0,-0.02858384866656439
translation_469618.3.peg.84,0.0,-1.132448055128755
transcription_TU_469618.3.peg.84,0.0,-0.022511900428221536
translation_469618.3.peg.85,0.0,2.4414187161949008e-33
transcription_TU_469618.3.peg.85,0.0,-0.027595359381192872
translation_469618.3.peg.86,0.0,-1.1202077053420527
transcription_TU_469618.3.peg.86,0.0,-0.023037582925951813
translation_469618.3.peg.87,0.0,-1.3134262074030155e-33
transcription_TU_469618.3.peg.87,0.0,-0.02713043920642215
translation_469618.3.peg.88,0.0,-7.593288341357823e-35
transcription_TU_469618.3.peg.88,0.0,-0.011568770074679515
translation_469618.3.peg.96,0.0,9.005431350221973e-34
transcription_TU_469618.3.peg.96,0.0,0.059791088879620626
translation_469618.3.peg.98,3.8687006700783266e-13,2.1063880128071896e-33
transcription_TU_469618.3.peg.98,5.44753253790915e-13,1.649348738391525e-33
translation_469618.3.peg.101,0.0,4.106373920885122e-34
transcription_TU_469618.3.peg.101,0.0,-0.022701789729693493
translation_469618.3.peg.102,0.0,3.189371604149561e-33
transcription_TU_469618.3.peg.102,0.0,-0.036478502366467415
translation_469618.3.peg.104,2.8393620357761188e-14,5.517441350393869e-34
transcription_TU_469618.3.peg.104,3.998116782832209e-14,-1.882314164279162e-33
translation_469618.3.peg.105,1.4196810178880594e-14,5.26399432133847e-34
transcription_TU_469618.3.peg.105,1.9990583914161045e-14,-5.624760339386385e-35
translation_469618.3.peg.112,6.614793068156918e-14,-4.397670686718296e-33
transcription_TU_469618.3.peg.112,9.314315979269376e-14,7.99735904805622e-34
translation_469618.3.peg.113,0.0,-5.2212524168373055e-33
