,fluxes,reduced_costs
biomass_dilution,0.001153951960461661,0.012642457291845766
protein_biomass_to_biomass,0.0006002191347570504,-3.072272272884567e-36
mRNA_biomass_to_biomass,1.559072638007445e-06,2.4227100248901286e-36
tRNA_biomass_to_biomass,9.456087303360178e-06,0.0
rRNA_biomass_to_biomass,8.159705077367994e-06,-1.2638925072852522e-36
ncRNA_biomass_to_biomass,0.0,1.2690504133338583e-36
tmRNA_biomass_to_biomass,0.0,1.2690504133338583e-36
DNA_biomass_to_biomass,6.844563439540768e-05,1.2690504133338583e-36
lipid_biomass_to_biomass,0.0,1.2690504133338583e-36
constituent_biomass_to_biomass,0.00012827042362192567,1.2690504133338583e-36
prosthetic_group_biomass_to_biomass,2.1863936770083303e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,1.2690504133338583e-36
DM_4HBA,0.0,-8.162435857124312e-07
DM_5DRIB,0.0,-6.043784457888613e-08
DM_AMOB,0.0,-3.3020737517875914e-06
DM_atp_c_,0.0,-3.457202790924706e-08
DM_btn,0.0,-3.95034465436986e-08
DM_clpn140(c),0.0,-3.89633693212475e-06
DM_clpn160(c),0.0,-3.909963298945036e-06
DM_clpn180(c),0.0,-3.939991769781659e-06
DM_clpni16(c),0.0,-3.965852814414441e-06
DM_dad_5,-3.253988283565484e-49,0.0
DM_dhptd(c),8.871383505923481e-07,0.0
DM_kdo2lipid4L(c),0.0,-5.886840054951305e-06
EX_34dhpha(e),0.0,-1.1468226535346659e-07
EX_3hphac(e),0.0,0.0
EX_4abut(e),0.0,-1.0247409230924818e-08
EX_4hbz(e),0.0,0.0
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),0.1495480726946395,0.0
EX_acald(e),0.0,-2.0489214242842994e-08
EX_acgam(e),0.0,0.0
EX_adn(e),-0.0002348151120973715,0.0
EX_adocbl(e),-1.4565066211832086e-15,0.0
EX_akg(e),0.14901494060054268,0.0
EX_ala_D(e),-1.8406204655264345e-25,0.0
EX_ala_L(e),6.826859940878367e-26,0.0
EX_alaasp(e),0.0,-1.3414082360025877e-08
EX_alagln(e),0.0,-1.3235212417379421e-08
EX_alaglu(e),0.0,-1.3414082360025877e-08
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-1.3235212417379421e-08
EX_alaleu(e),0.0,-1.342828284752431e-08
EX_alathr(e),0.0,-1.6181021455976154e-08
EX_alltn(e),-6.372367644529809e-56,0.0
EX_arg_L(e),-0.00038190906705966955,0.0
EX_asn_L(e),-0.00036990234810782286,0.0
EX_asp_L(e),-0.00046291062455192436,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),1.884895676472767e-47,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.00043652625205996753
EX_cgly(e),0.0,0.0
EX_chol(e),-4.144011432018214e-05,0.0
EX_cl(e),9.529506925850965e-31,0.0
EX_co2(e),0.5513716841914487,0.0
EX_cobalt2(e),-9.011678263322669e-06,0.0
EX_csn(e),4.1761948595190557e-51,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-8.70528446903774e-05,0.0
EX_cytd(e),0.012731732322629339,0.0
EX_dad_2(e),0.00012076323773294261,0.0
EX_dcyt(e),0.0,0.0
EX_ddca(e),-2.6031257120692428e-23,0.0
EX_dgsn(e),-7.932312341276047e-05,0.0
EX_din(e),0.0,0.0
