,fluxes,reduced_costs
biomass_dilution,0.14955262211799558,-0.3989310079064478
protein_biomass_to_biomass,0.058758084137341494,-3.154842536087141e-35
mRNA_biomass_to_biomass,0.00021789132111033234,0.0
tRNA_biomass_to_biomass,0.0012813833735099995,-5.588579356416896e-35
rRNA_biomass_to_biomass,0.009685582025290223,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.008841176953802779,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.037688187284229194,0.0
prosthetic_group_biomass_to_biomass,2.889469545696586e-05,-6.863746836069605e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.057490700298302284
DM_5DRIB,0.0009261793887767466,0.0
DM_5MTR,0.0004630896943883733,0.0
DM_GCALD,0.0,0.0
DM_atp_c_,0.0,-0.008518644460318747
DM_clpn180(c),0.0,-0.5071283887099097
DM_clpnai17(c),0.0,-0.5499334729203368
DM_clpni17(c),0.0,-0.5499336107687279
DM_dad_5,0.0,-0.010656149639007623
DM_dhptd(c),0.0,0.0
DM_kdo2lipid4L(c),0.0,-0.5942772137577995
EX_4abz(e),0.0,0.0
EX_5mthf(e),0.9986107309168348,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),10.91478126718476,0.0
EX_acald(e),0.0,-0.0042624915351354015
EX_acgam(e),-1.0,-0.02768410628814245
EX_ala_L(e),-1.0,-0.004259278166612262
EX_alaasp(e),0.0,-0.023450872440140828
EX_alagln(e),0.0,-0.002135155333477163
EX_alaglu(e),0.0,-0.0021361218168924126
EX_alagly(e),0.0,-0.004260556394151732
EX_alahis(e),0.0,-1.8045097303593105e-05
EX_alaleu(e),0.0,-1.7857848189715216e-05
EX_alathr(e),0.0,-0.008522043041182564
EX_arab_L(e),-0.17878295,-0.019151602549049688
EX_arabinogal(e),-2.191e-05,-13.502028278669306
EX_arabttr(e),0.0,-0.057455934874780616
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.03035681987039535,0.0
EX_asp_L(e),-0.225,-0.023432827342837234
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.020009838702778306
EX_cgly(e),-0.6292264600958408,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.008517783364074012
EX_cobalt2(e),-0.0004631590461318088,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.6244280236588527,0.0
EX_cytd(e),0.0882347958951178,0.0
EX_ddca(e),-0.03518225435325846,0.0
EX_dextrin(e),0.0,-0.14477416387525419
EX_dgchol(e),0.0,-0.004241872183078404
EX_drib(e),0.0,0.0
EX_etoh(e),0.0,-9.646810709067365e-06
EX_fe2(e),-0.0004640726487369477,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-1.0,-0.006345195492688769
EX_for(e),6.883521308368053,0.0
EX_fru(e),-0.14898579,-0.01703233486565858
EX_gal(e),-0.14898579,-0.021268263556649465
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.025548229530921205
EX_gchola(e),0.0,-0.004241872183078404
EX_glc_D(e),-0.14898579,-0.025550389585662435
EX_glcur(e),0.00032865,0.0
EX_gln_L(e),-0.18,-0.00211711023617357
EX_glu_L(e),-0.18,-0.0021180767195888195
EX_gly(e),-0.45,-0.004242511296848139
EX_glyasn(e),0.0,-1.2782275394700465e-06
EX_glyasp(e),0.0,-0.023434105570376704
EX_glyc(e),-0.140216768832826,-4.457385047770229e-06
EX_glycys(e),0.0,3.494865692532346e-35
EX_glygln(e),0.0,-0.00211838846371304
EX_glyglu(e),0.0,-0.00211935494712829
EX_glyleu(e),0.0,-0.006380852498521088
EX_glymet(e),0.0,-0.002130196155503571
EX_glyphe(e),0.0,-3.3231052608677195e-07
EX_glypro(e),2.782857859178678e-57,0.0
EX_glytyr(e),0.0,-0.004249751051874188
EX_h(e),13.595902573291053,0.0
EX_h2o(e),-7.068557695893854,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.01707122943963901,0.0
EX_hxan(e),-0.014292548381163011,0.0
EX_ile_L(e),-0.061886896369698206,0.0
EX_k(e),-7.224737743918478e-07,0.0
EX_lac_L(e),0.0,-0.00426268366376663
EX_lcts(e),-0.07449289,-0.04257640092316183
EX_leu_L(e),-0.09384425940701827,0.0
EX_lys_L(e),-0.04076713216844643,0.0
EX_malt(e),-0.07449289,-0.05109865016607806
EX_malthx(e),0.0,-0.17884417752793239
EX_malttr(e),0.0,-0.07664709968561477
EX_man(e),0.0,0.0
EX_mantr(e),0.0,-0.06812350724934281
EX_melib(e),-0.07449289,-0.042576000694429274
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0021479182953683053
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.0313373174851549,0.0
EX_mg2(e),-0.0011216661623306185,0.0
EX_mn2(e),-8.754932881565417e-07,0.0
EX_mnl(e),0.0,0.0
EX_mqn7(e),-0.0009261793887767466,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0004632415346982931,0.0
EX_nh4(e),4.93477422796795,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.12778368241673652
EX_orn(e),5.1503566165498414e-36,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9461156336953856,0.0
EX_pi(e),-0.10993171328653209,0.0
EX_pnto_R(e),-0.0004630896943883733,0.0
EX_ppi(e),0.0,-2.0491893935967335e-07
EX_pro_L(e),0.20906140255831746,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.00046310582331812256,0.0
EX_pydxn(e),0.0,0.0
EX_raffin(e),-0.00470194,-0.07664317736708566
EX_rib_D(e),-0.17878295,-0.012771913432653687
EX_ribflv(e),-0.0009265166730009094,0.0
EX_rmn(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.00851195301053663
EX_sheme(e),-0.0004630896943883733,0.0
EX_so4(e),0.0,0.0
EX_stys(e),0.0,-0.1021906839219992
EX_succ(e),0.12409433044015722,0.0
EX_sucr(e),-0.07449289,-0.05109891891221857
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thf(e),0.0,-0.0021221108902992557
EX_thm(e),-0.000463162003570437,0.0
EX_thr_L(e),-0.225,-0.00850399794387897
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.007949168871412554,0.0
EX_tsul(e),0.0,0.0
EX_tyr_L(e),-1.0,-0.0042488051348608035
EX_val_L(e),-0.09152440124776473,0.0
EX_xan(e),-0.017750880292215686,0.0
EX_xyl_D(e),-0.17878295,-0.02129085783545474
EX_zn2(e),-6.657511499249574e-07,0.0
translation_565042.11.peg.1,0.0,-2.0648322260978945e-32
transcription_TU_565042.11.peg.1,0.0,1.3542111083443577e-32
translation_565042.11.peg.2,0.0,-1.6578500844796824e-32
transcription_TU_565042.11.peg.2,0.0,3.2009088907090216e-32
translation_565042.11.peg.5,0.0,6.240963579768438e-33
transcription_TU_565042.11.peg.5,0.0,-229.9425379076409
translation_565042.11.peg.6,0.0,-3.2596931367095327e-32
transcription_TU_565042.11.peg.6,0.0,3.32149740680415e-32
translation_565042.11.peg.10,6.801741743617879e-07,1.615719443914441e-32
transcription_TU_565042.11.peg.10,1.4900595098270508e-08,-8.283787310384008e-33
translation_565042.11.peg.12,-8.434914712988614e-41,2.1473291732212828e-32
transcription_TU_565042.11.peg.12,-5.061760797053211e-42,2.792640991492113e-32
translation_565042.11.peg.23,0.0,7.218002013288371e-33
transcription_TU_565042.11.peg.23,0.0,-40.00099575790336
translation_565042.11.peg.25,0.0,1.8009323750817923e-32
transcription_TU_565042.11.peg.25,0.0,-52.71879879705657
translation_565042.11.peg.27,3.8932223365673635e-07,1.8463423075384753e-32
transcription_TU_565042.11.peg.27,8.528893311652907e-09,4.321208685084005e-33
translation_565042.11.peg.35,1.0455553180781153e-07,-1.1879476903333683e-33
transcription_TU_565042.11.peg.35,2.290501026761812e-09,7.149409240044087e-33
translation_565042.11.peg.40,2.6280435843887007e-42,5.317300577495537e-32
transcription_TU_565042.11.peg.40,1.0554862888022238e-43,2.4024897517780657e-32
translation_565042.11.peg.42,9.398313347762029e-08,6.917802397228033e-33
transcription_TU_565042.11.peg.42,2.0588911940544364e-09,-4.746715233258318e-33
translation_565042.11.peg.45,1.0206628584198057e-08,5.51372759771561e-33
transcription_TU_565042.11.peg.45,2.235969044168304e-10,-1.0897648225201694e-32
translation_565042.11.peg.48,0.0,1.0623373406076944e-31
