,fluxes,reduced_costs
biomass_dilution,0.3528548946513176,-0.035494959786634216
protein_biomass_to_biomass,0.12398259003412371,0.0
mRNA_biomass_to_biomass,0.0005925399180281556,0.0
tRNA_biomass_to_biomass,0.003624482631876314,0.0
rRNA_biomass_to_biomass,0.025656955835737898,0.0
ncRNA_biomass_to_biomass,0.0,-3.764052266801393e-36
tmRNA_biomass_to_biomass,0.0,-3.764052266801393e-36
DNA_biomass_to_biomass,0.01919433792277702,-3.764052266801393e-36
lipid_biomass_to_biomass,0.0,-3.764052266801393e-36
constituent_biomass_to_biomass,0.10998450909286629,-3.764052266801393e-36
prosthetic_group_biomass_to_biomass,7.927232171361852e-05,4.3019149431575524e-36
peptidoglycan_biomass_to_biomass,0.0,-3.764052266801393e-36
DM_5DRIB,0.0,-2.5535083167830155e-05
DM_5MTR,0.0,-5.2022183679110534e-05
DM_GCALD,0.0,-1.087264682815353e-05
DM_atp_c_,0.0,-1.52786842088492e-05
DM_dad_5,0.005603124014126132,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-2.3538178525143833e-05
EX_12dgr180(e),-0.014669165964360296,0.0
EX_15dap(e),0.0,-2.215935826210288e-07
EX_26dap_M(e),-0.1473513995451095,0.0
EX_2ddglcn(e),0.0,-2.1236014849682818e-05
EX_3dhcdchol(e),0.0,-3.926948052209529e-06
EX_3dhchol(e),0.0,-3.926948052209529e-06
EX_4abz(e),-0.008404686021189198,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),8.410450318815853,0.0
EX_acald(e),0.0,-5.069146190833181e-06
EX_acgam(e),-1.0,-1.420535548549223e-05
EX_adn(e),1.0520859149923158e-34,0.0
EX_adocbl(e),-0.002801562007063066,0.0
EX_ala_L(e),-4.041317334423789e-24,0.0
EX_alaasp(e),2.1108202240333273e-23,0.0
EX_alagln(e),2.1630894251241904e-23,0.0
EX_alaglu(e),2.1094627461417787e-23,0.0
EX_alagly(e),2.1210787568889156e-23,0.0
