,fluxes,reduced_costs
biomass_dilution,0.0023649926579094645,-0.7671309461427951
protein_biomass_to_biomass,0.0011615578163430575,-8.588957885888799e-35
mRNA_biomass_to_biomass,2.9128944394940387e-06,7.701906600494238e-35
tRNA_biomass_to_biomass,1.782350157218545e-05,0.0
rRNA_biomass_to_biomass,0.00012518808733587628,0.0
ncRNA_biomass_to_biomass,0.0,8.458538717318398e-35
tmRNA_biomass_to_biomass,0.0,8.458538717318398e-35
DNA_biomass_to_biomass,0.00014027743641866397,8.458538717318398e-35
lipid_biomass_to_biomass,0.0,8.458538717318398e-35
constituent_biomass_to_biomass,0.00026288668894970847,8.458538717318398e-35
prosthetic_group_biomass_to_biomass,9.699611575090664e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,8.458538717318398e-35
DM_5DRIB,8.846231008258247e-25,2.317262409200544e-34
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.007993648035585695
DM_btn,0.0,0.0
DM_dad_5,0.0,-0.07194295631563946
DM_dhptd(c),8.744191766379752e-07,0.0
EX_ac(e),0.13897577509608666,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.0011998863463150865,0.0
EX_alaasp(e),0.0,-0.002497827953389399
EX_alagln(e),0.0,-0.0019983934700000855
EX_alaglu(e),0.0,0.0
EX_alagly(e),1.1698959456251127e-22,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.001998419245914628
EX_alathr(e),0.0,0.0
EX_asn_L(e),-0.000906051450240944,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.006494648737901023
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-3.2372809651536037e-15,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.051507734238251564
EX_cgly(e),4.1325973271096045e-38,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.088801447878421,0.0
EX_cobalt2(e),-1.8469764283264374e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0002498880625579346,0.0
EX_ddca(e),1.0207357183492924e-21,0.0
EX_fe2(e),-9.49859029804192e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-0.8005253204981797,0.0
EX_fum(e),-1.0,-0.006494708684542364
EX_gln_L(e),-0.003240423846719342,0.0
EX_glu_L(e),0.00022250331259361864,0.0
EX_gly(e),5.47651810602589e-06,0.0
EX_glyasn(e),1.1698959456251127e-22,0.0
EX_glyasp(e),0.0,-0.002497807739776938
EX_glycys(e),5.917741923554887e-24,0.0
EX_glygln(e),0.0,-0.0019983732563876246
EX_glyglu(e),1.1698959456251127e-22,0.0
EX_glyleu(e),0.0,-0.0079936421914191
EX_glymet(e),0.0,-0.0019983771823306002
EX_glyphe(e),1.1698959456251127e-22,0.0
EX_glypro(e),1.1698959456251127e-22,1.3481509610710652e-35
EX_glytyr(e),1.1698959456251127e-22,0.0
EX_h(e),-1.0,-0.002498020926476452
EX_h2(e),0.0,0.0
EX_h2o(e),-0.2067918762206141,0.0
EX_h2s(e),-9.01188874732155e-56,0.0
EX_hdca(e),1.607973285957954e-21,-1.666539156437216e-35
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00037964864274829806,0.0
EX_ile_L(e),-0.0011429270681064506,0.0
EX_k(e),-4.374036364762219e-12,0.0
EX_leu_L(e),-0.0014934411260089698,0.0
EX_lys_L(e),-0.0011564351610062781,0.0
EX_mal_L(e),0.0,-0.0064947211116224215
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0004916936076102659,0.0
EX_metala(e),0.0,-0.0019984126324030754
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),1.0331147086881517e-22,0.0
EX_mg2(e),-1.5130460934646285e-05,0.0
EX_mn2(e),-8.269971149420026e-10,0.0
EX_na1(e),1.048947839125638e-55,0.0
EX_nac(e),-1.846920343718601e-05,0.0
EX_nh4(e),0.21964785815072313,0.0
EX_o2(e),0.0,-0.020983831945981316
EX_ocdca(e),-4.99898299054241e-25,-0.01748535855256396
EX_pb(e),0.0,0.0
EX_ph2s(e),0.0,-0.006494712640105554
EX_phe_L(e),-0.0007821203931537843,0.0
EX_pi(e),-0.0014992285598295688,0.0
EX_ppi(e),0.0,-0.0024980832482247852
EX_pro_L(e),-0.0005563680601852381,0.0
EX_pydx(e),-1.846917660193358e-05,0.0
EX_so4(e),0.0,0.0
EX_succ(e),1.0761103876476765,0.0
EX_thr_L(e),-0.0005761034458073357,0.0
EX_trp_L(e),-0.00012736937403666666,0.0
EX_ttdca(e),-1.90663953345371e-56,-0.0014980348710953554
EX_tyr_L(e),-0.0006539328196158773,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.0009695768810331117,0.0
EX_zn2(e),-9.004102554093778e-06,0.0
translation_556267.4.peg.1,0.0,-1.1291816803293328e-31
transcription_TU_556267.4.peg.1,0.0,-2.2587961948604302e-32
translation_556267.4.peg.4,-3.2319855211029494e-30,-3.074000371051286e-32
transcription_TU_556267.4.peg.4,-3.219819571642789e-30,5.590251612527891e-33
translation_556267.4.peg.5,-3.2319855211029494e-30,-1.9667993923380137e-32
transcription_TU_556267.4.peg.5,-3.219819571642789e-30,1.74444226292458e-33
translation_556267.4.peg.15,9.818309798939008e-15,1.8864940375624561e-31
