,fluxes,reduced_costs
biomass_dilution,0.018343097445015076,-0.5007513072920904
protein_biomass_to_biomass,0.007933851437642926,4.689360901110855e-35
mRNA_biomass_to_biomass,2.1041743665036466e-05,0.0
tRNA_biomass_to_biomass,0.00012726647408166855,0.0
rRNA_biomass_to_biomass,8.475809475807934e-05,-1.1728641101484323e-34
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0010880035093301485,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.004622574195557407,0.0
prosthetic_group_biomass_to_biomass,2.810556305664387e-06,-7.312952938188846e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.04882557564609173
DM_atp_c_,0.0,-0.011159599480655901
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.002789404504960582
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-5.679940123848918e-05,0.0
EX_2hyoxplac(e),0.0,-0.03487157785081993
EX_2obut(e),1.0652771932203038e-05,0.0
EX_3mop(e),-0.010241380217518223,0.0
EX_ac(e),2.1847561519009027,0.0
EX_adn(e),-0.0014199989124659567,0.0
EX_akg(e),0.0,-0.004184774721080587
EX_ala_L(e),-0.21119225494530644,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.0027901939919403144
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arg_L(e),-0.15,-0.016738568771158716
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.004183417446555204
EX_asp_L(e),-0.225,-0.004183723318572608
EX_biomass(e),0.0,0.0
EX_ca2(e),-1.2478662258784499e-08,0.0
EX_cd2(e),0.0,-0.039521808974352035
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),2.4604669655043825,0.0
EX_cobalt2(e),-5.680025726152891e-05,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.004184155750363278
EX_cytd(e),0.0,-0.02510929660538756
EX_dad_2(e),0.0,0.0
EX_fe2(e),-1.8202680479924159e-10,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.00017039820371546755,0.0
EX_for(e),0.0011394396037240654,0.0
EX_gcald(e),0.0,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.014650353916224613,0.0
EX_gly(e),-0.005318478910091378,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),0.0005859519047835616,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0027904083237281475
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-5.679940123848918e-05,0.0
EX_gua(e),-0.000920325547507482,0.0
EX_h(e),-0.4804051425946211,0.0
EX_h2o(e),-1.7183688608864962,0.0
EX_h2s(e),0.9985361304002969,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.002359590087044688,0.0
EX_ins(e),0.0,-0.03487574210866305
EX_k(e),-2.8227820625249067e-10,0.0
EX_lac_L(e),0.0,-5.999204943419914e-07
EX_leu_L(e),-0.01075706283885295,0.0
EX_lys_L(e),-0.005322955812606771,0.0
EX_mal_L(e),0.0,-0.004184026253472648
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.006826839707683934,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.00010748940563633901,0.0
EX_mn2(e),-1.6127603961253123e-09,0.0
EX_mqn8(e),-5.679940123848918e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.005966896859677474,0.0
EX_nh4(e),3.1361515501155512,0.0
EX_nmn(e),-0.006023696768738524,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.009763526411670597
EX_o2(e),0.0,-0.030687259210889703
EX_ocdcea(e),0.0,0.0
EX_orn(e),0.1470004335214557,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9931783237474525,0.0
EX_pheme(e),-5.679940123848918e-05,0.0
EX_pi(e),-0.0039057696497300605,0.0
EX_ppa(e),0.0,-0.006973675495198039
EX_ppi(e),0.0,-2.8098233378380227e-07
EX_pro_L(e),-0.004641065142254206,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-5.689975828937927e-05,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-0.00011359949097755357,0.0
EX_ser_L(e),-1.0,-0.004184317961019059
EX_sheme(e),-5.679940123848918e-05,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-5.679940123848918e-05,0.0
EX_succ(e),0.37132535890085283,0.0
EX_thm(e),-5.679952430526782e-05,0.0
EX_thr_L(e),-0.005890075867688417,0.0
EX_thymd(e),-2.0056369435752307e-23,0.0
EX_tsul(e),0.0,-0.011157460363222753
EX_tyr_L(e),-1.0,-0.0041837044959728235
EX_ura(e),0.0,0.0
EX_uri(e),-0.0021504903518748055,0.0
EX_val_L(e),-0.009445400310089957,0.0
EX_zn2(e),-8.60887773859823e-08,0.0
translation_g.3162.peg.1,0.0,-1.493394671021943e-32
transcription_TU_g.3162.peg.1,0.0,-4.837584151936743e-32
translation_749219.3.peg.6,0.0,-1.139988749205676e-32
transcription_TU_749219.3.peg.6,0.0,-70.14776039838823
translation_g.3162.peg.7,6.266347345248939e-07,-8.054043250615296e-34
transcription_TU_g.3162.peg.7,8.3865188818975e-08,-1.3295582426479971e-33
translation_g.3162.peg.9,0.0,8.723269156969455e-33
transcription_TU_g.3162.peg.9,0.0,-10.69138472236443
translation_g.3162.peg.10,6.266341887978304e-07,5.379864379544974e-33
transcription_TU_g.3162.peg.10,8.386511578200355e-08,-9.474296234198413e-33
translation_749219.3.peg.12,4.299339704262852e-12,2.5851073556350727e-33
transcription_TU_749219.3.peg.12,5.753988986395652e-13,1.3509881494670647e-32
translation_749219.3.peg.15,0.0,-8.16934582198303e-33
transcription_TU_749219.3.peg.15,0.0,-84.90273901273162
translation_749219.3.peg.17,0.0,5.729960638523371e-33
transcription_TU_749219.3.peg.17,0.0,-7.566588326859009e-32
translation_g.3162.peg.20,0.0,-2.4056513365817516e-33
transcription_TU_g.3162.peg.20,0.0,-13.06361151744953
translation_g.3162.peg.22,0.0,7.466873593519586e-33
transcription_TU_g.3162.peg.22,0.0,-45.270968848938274
translation_g.3162.peg.23,0.0,-3.202169889435493e-33
transcription_TU_g.3162.peg.23,0.0,-63.08570462922808
translation_g.3162.peg.26,2.0089496024025819e-10,-1.0980483766580349e-32
transcription_TU_g.3162.peg.26,2.6886626043964402e-11,-1.2674914838608309e-32
translation_g.3162.peg.27,0.0,-1.0193760725437149e-32
transcription_TU_g.3162.peg.27,0.0,-53.23500299994974
translation_g.3162.peg.34,0.0,5.2204084535222786e-33
transcription_TU_g.3162.peg.34,0.0,-54.708953434927274
translation_g.3162.peg.38,1.1864742384637729e-44,4.206730536744984e-32
transcription_TU_g.3162.peg.38,-3.248551555544788e-45,-3.4931327614994e-33
translation_g.3162.peg.39,0.0,-1.8466914403867704e-33
transcription_TU_g.3162.peg.39,0.0,-2.198638899646647e-32
translation_g.3162.peg.46,0.0,-6.239468926118891e-33
transcription_TU_g.3162.peg.46,0.0,6.511168313519505e-33
translation_g.3162.peg.47,0.0,7.551121818673582e-33
transcription_TU_g.3162.peg.47,0.0,-44.83205587216079
translation_749219.3.peg.52,0.0,-6.294418826467697e-33
transcription_TU_749219.3.peg.52,0.0,-3.30328858967878e-33
translation_g.3162.peg.53,1.0636993198915213e-09,2.052905965216243e-32
transcription_TU_g.3162.peg.53,1.4235939917526841e-10,1.6117804957565438e-32
translation_g.3162.peg.55,2.4999571899935237e-11,1.34029600526336e-32
transcription_TU_g.3162.peg.55,3.3457989196389184e-12,2.1383593185942025e-32
translation_g.3162.peg.58,0.0,-8.482928029773631e-33
transcription_TU_g.3162.peg.58,0.0,-120.93947067399044
translation_g.3162.peg.65,0.0,1.0612140211297934e-32
transcription_TU_g.3162.peg.65,0.0,-62.87101573787317
translation_g.3162.peg.66,6.266341887978304e-07,2.7829106872873535e-33
transcription_TU_g.3162.peg.66,8.386511578200355e-08,-4.114542109260959e-33
translation_g.3162.peg.67,6.266341887978304e-07,2.623808827485744e-33
transcription_TU_g.3162.peg.67,8.386511578200355e-08,-2.0453658083976258e-32
translation_749219.3.peg.67,0.0,1.694198231904502e-32
transcription_TU_749219.3.peg.67,0.0,3.8203740449255797e-32
translation_g.3162.peg.68,0.0,-1.679823612326821e-33
transcription_TU_g.3162.peg.68,0.0,-44.059012905905476
translation_749219.3.peg.68,0.0,-1.7575583964180283e-33
transcription_TU_749219.3.peg.68,0.0,-6.28079846797487e-33
translation_749219.3.peg.69,0.0,-2.6122230099674765e-33
transcription_TU_749219.3.peg.69,0.0,-4.117244927723828e-33
translation_749219.3.peg.70,0.0,-3.25519418818872e-32
transcription_TU_749219.3.peg.70,0.0,-2.5470551099297425e-32
translation_g.3162.peg.71,0.0,-6.002398077566037e-33
transcription_TU_g.3162.peg.71,0.0,-44.293419393383424
translation_749219.3.peg.71,0.0,-1.0052500453004436e-32
transcription_TU_749219.3.peg.71,0.0,-2.35664302819342e-32
translation_g.3162.peg.74,0.0,9.449862771023521e-33
transcription_TU_g.3162.peg.74,0.0,-94.2067034597071
translation_g.3162.peg.75,0.0,3.175028826512484e-33
transcription_TU_g.3162.peg.75,0.0,-9.377282168089997e-33
translation_g.3162.peg.78,6.266347345248939e-07,-1.779647143885509e-33
transcription_TU_g.3162.peg.78,8.3865188818975e-08,6.274500292052093e-33
translation_g.3162.peg.82,0.0,3.490045624185657e-33
transcription_TU_g.3162.peg.82,0.0,1.1212071615744371e-31
translation_g.3162.peg.91,8.076455290694063e-11,-5.098662239740222e-32
transcription_TU_g.3162.peg.91,1.0809063248873564e-11,-5.88680699319612e-32
translation_g.3162.peg.92,0.0,1.3914389639157436e-32
transcription_TU_g.3162.peg.92,0.0,-70.25291793511862
translation_g.3162.peg.95,0.0,2.9303534440228865e-33
transcription_TU_g.3162.peg.95,0.0,-66.70316358862173
translation_g.3162.peg.96,1.2866400772090434e-33,2.830782093817184e-32
transcription_TU_g.3162.peg.96,0.0,-11.133344637212783
translation_749219.3.peg.97,-3.185285949487392e-31,8.956093263140272e-33
transcription_TU_749219.3.peg.97,0.0,-33.220252491430735
translation_749219.3.peg.98,0.0,6.784432204236503e-35
transcription_TU_749219.3.peg.98,0.0,-42.113495789590964
translation_749219.3.peg.99,0.0,-8.323014022056552e-33
transcription_TU_749219.3.peg.99,0.0,-59.4702964381247
translation_g.3162.peg.100,1.0258987792298496e-34,1.0920249854745447e-32
transcription_TU_g.3162.peg.100,0.0,-10.979260115839766
translation_g.3162.peg.101,4.709895404027565e-11,2.490707671835078e-32
transcription_TU_g.3162.peg.101,6.3034531221106855e-12,1.481855456041872e-32
translation_g.3162.peg.103,0.0,-1.1712936370569584e-33
transcription_TU_g.3162.peg.103,0.0,-3.9378467904885987e-32
translation_g.3162.peg.111,1.4479525689851316e-10,-9.054681452080022e-33
transcription_TU_g.3162.peg.111,1.937856440258243e-11,-3.5469683035083606e-33
translation_749219.3.peg.111,5.618509782820804e-12,6.0360874860453496e-33
transcription_TU_749219.3.peg.111,7.519490348309221e-13,-2.6928711962856386e-32
translation_g.3162.peg.113,4.4508573812125637e-17,6.703767608924684e-33
transcription_TU_g.3162.peg.113,5.956771530782285e-18,-2.505062228162925e-32
translation_749219.3.peg.117,0.0,1.346694523871333e-32
transcription_TU_749219.3.peg.117,0.0,-180.15525385470718
translation_g.3162.peg.118,0.0,-6.726884812378636e-33
transcription_TU_g.3162.peg.118,0.0,-50.04932022834204
translation_g.3162.peg.120,6.266341887978304e-07,-2.2613238420709733e-34
transcription_TU_g.3162.peg.120,8.386511578200355e-08,1.4752675088062376e-33
translation_749219.3.peg.120,0.0,-1.8808902289100716e-32
transcription_TU_749219.3.peg.120,0.0,-61.133736831063686
translation_g.3162.peg.125,0.0,1.7365954765459526e-34
transcription_TU_g.3162.peg.125,0.0,-101.73488588800349
translation_g.3162.peg.127,0.0,2.240423252678171e-33
transcription_TU_g.3162.peg.127,0.0,-38.07991176922738
translation_g.3162.peg.130,0.0,-1.0310875738486645e-33
transcription_TU_g.3162.peg.130,0.0,-1.7909421661628127e-32
translation_749219.3.peg.130,2.647825165100897e-10,-2.9672580146948e-32
transcription_TU_749219.3.peg.130,3.543696912990047e-11,3.4345800901906225e-33
translation_g.3162.peg.131,6.266341887978304e-07,-1.2867837801199139e-33
transcription_TU_g.3162.peg.131,8.386511578200355e-08,1.5842494972869983e-34
translation_749219.3.peg.134,0.0,-6.397303922790855e-33
transcription_TU_749219.3.peg.134,0.0,-36.45563284654162
translation_g.3162.peg.135,6.266341887978304e-07,-1.3129782340257525e-33
transcription_TU_g.3162.peg.135,8.386511578200355e-08,3.524977959332345e-33
translation_g.3162.peg.142,1.4151787359253385e-10,5.848677199542303e-33
transcription_TU_g.3162.peg.142,1.893993827057188e-11,-2.6928711962856386e-32
translation_g.3162.peg.145,6.266341887978304e-07,1.14094501097483e-32
transcription_TU_g.3162.peg.145,8.386511578200355e-08,-1.2292410125385116e-32
translation_g.3162.peg.149,3.329268693379515e-10,-3.03664323254822e-33
transcription_TU_g.3162.peg.149,4.4557017384468537e-11,-1.420205937192773e-32
translation_g.3162.peg.154,-7.332638584059177e-34,7.671927471753075e-34
transcription_TU_g.3162.peg.154,0.0,-44.04505318638208
translation_g.3162.peg.159,0.0,-2.818895104959058e-32
transcription_TU_g.3162.peg.159,0.0,3.8710594254021326e-33
translation_749219.3.peg.159,0.0,4.1200807617707357e-32
transcription_TU_749219.3.peg.159,0.0,-13.955846289871815
translation_g.3162.peg.165,1.9556964679321445e-10,-3.9097844689671975e-33
transcription_TU_g.3162.peg.165,2.6173916720413797e-11,-6.869438340339956e-33
translation_749219.3.peg.165,-7.484296622077461e-36,6.253860465733145e-33
transcription_TU_749219.3.peg.165,0.0,-13.4543608714976
translation_749219.3.peg.166,0.0,8.119714248975926e-33
transcription_TU_749219.3.peg.166,0.0,-2.90031593949373e-32
translation_749219.3.peg.167,0.0,-2.9081087997267774e-33
transcription_TU_749219.3.peg.167,0.0,-37.49982773440419
translation_749219.3.peg.168,0.0,-5.4293878792815616e-33
transcription_TU_749219.3.peg.168,0.0,4.0510520986850517e-32
translation_g.3162.peg.170,0.0,-9.304004424826514e-33
transcription_TU_g.3162.peg.170,0.0,-33.357370887894135
translation_749219.3.peg.173,0.0,-5.337172229841274e-33
transcription_TU_749219.3.peg.173,0.0,-32.85178763180406
translation_g.3162.peg.176,3.908180409090397e-11,6.920670111294492e-33
transcription_TU_g.3162.peg.176,5.230483883015017e-12,1.9294391686051117e-32
translation_g.3162.peg.181,0.0,-5.352665778675196e-32
transcription_TU_g.3162.peg.181,0.0,-102.66376493743222
translation_g.3162.peg.185,0.0,4.014599081543146e-34
transcription_TU_g.3162.peg.185,0.0,-3.952653013290848e-33
translation_g.3162.peg.186,6.26633643070767e-07,-2.4513715490150447e-33
transcription_TU_g.3162.peg.186,8.386504274503209e-08,1.2332453569441296e-32
translation_g.3162.peg.191,5.929840281677483e-13,-4.1587888894806255e-32
transcription_TU_g.3162.peg.191,7.936157182003288e-14,-1.7129785657352826e-32
translation_g.3162.peg.192,0.0,1.2721898707892804e-32
transcription_TU_g.3162.peg.192,0.0,3.359416633347455e-32
translation_g.3162.peg.193,0.0,-1.0723709117392338e-32
transcription_TU_g.3162.peg.193,0.0,-1.3635053476090836e-32
translation_g.3162.peg.194,1.786397579813667e-10,4.95430163703229e-32
transcription_TU_g.3162.peg.194,2.390811777301526e-11,-7.354719681307577e-32
translation_g.3162.peg.195,0.0,-2.9785672980358587e-33
transcription_TU_g.3162.peg.195,0.0,-1.0723182308312296e-32
translation_g.3162.peg.196,5.894565116498399e-13,5.948238914247046e-33
transcription_TU_g.3162.peg.196,7.888946929756301e-14,-1.084886424965679e-32
translation_749219.3.peg.199,0.0,-1.7923311073500624e-33
transcription_TU_749219.3.peg.199,0.0,6.968486465637821e-33
translation_g.3162.peg.203,0.0,-1.0939924985125473e-33
transcription_TU_g.3162.peg.203,0.0,-29.03594627252002
translation_g.3162.peg.207,9.239836381706416e-10,1.147764430262938e-31
transcription_TU_g.3162.peg.207,1.2366065589960678e-10,-1.3915415534475498e-33
translation_g.3162.peg.212,0.0,-8.504882063876212e-33
transcription_TU_g.3162.peg.212,0.0,2.9643622699870598e-33
translation_g.3162.peg.214,6.49207921993908e-11,-1.471547158207586e-32
transcription_TU_g.3162.peg.214,8.688625440157524e-12,-2.5011030847505976e-32
translation_g.3162.peg.218,0.0,-1.041119790599844e-32
transcription_TU_g.3162.peg.218,0.0,-2.6099099885999246e-32
translation_g.3162.peg.219,0.0,-1.4896499869727778e-33
transcription_TU_g.3162.peg.219,0.0,-1.7983365850652277e-32
translation_g.3162.peg.225,4.4508573812125637e-17,2.9771397186299363e-33
transcription_TU_g.3162.peg.225,5.956771530782285e-18,-5.988327265127033e-32
translation_g.3162.peg.226,0.0,-1.1444948398772416e-32
transcription_TU_g.3162.peg.226,0.0,-15.212868759492753
translation_g.3162.peg.227,8.931987899068324e-11,5.948913855202742e-33
transcription_TU_g.3162.peg.227,1.1954058886507617e-11,-8.04094633807246e-34
translation_749219.3.peg.228,0.0,2.637859627739634e-33
transcription_TU_749219.3.peg.228,0.0,-62.44336541330242
translation_g.3162.peg.231,9.824275194163987e-14,3.6657916950098694e-33
transcription_TU_g.3162.peg.231,1.3148244882927154e-14,2.369885760227745e-32
translation_g.3162.peg.235,1.1701136493099271e-10,1.5212831984509713e-33
transcription_TU_g.3162.peg.235,1.5660128098937758e-11,5.905277973454394e-33
translation_g.3162.peg.238,6.266341887978304e-07,-6.461419300189061e-34
transcription_TU_g.3162.peg.238,8.386511578200355e-08,1.5349793721564625e-34
translation_g.3162.peg.242,0.0,6.260858701005716e-33
transcription_TU_g.3162.peg.242,0.0,-2.5345008237932284e-32
translation_g.3162.peg.244,6.266347345248939e-07,-4.320927345653742e-33
transcription_TU_g.3162.peg.244,8.3865188818975e-08,7.321170113287483e-33
translation_749219.3.peg.245,0.0,8.117593643717812e-33
transcription_TU_749219.3.peg.245,0.0,-31.579255472056513
translation_g.3162.peg.247,0.0,2.097801885992778e-32
transcription_TU_g.3162.peg.247,0.0,-1.5405889313238115e-32
translation_g.3162.peg.248,3.990227191367749e-12,1.1370231865696853e-32
transcription_TU_g.3162.peg.248,5.340290577546505e-13,2.700525231149517e-32
translation_749219.3.peg.248,0.0,7.123188363659353e-33
transcription_TU_749219.3.peg.248,0.0,1.3621493178103647e-32
translation_g.3162.peg.249,7.212981095782656e-10,6.879882205406842e-32
transcription_TU_g.3162.peg.249,9.653439048573497e-11,9.22046485536706e-32
translation_g.3162.peg.258,0.0,-1.9528818214328717e-33
transcription_TU_g.3162.peg.258,0.0,-64.27146490084913
translation_g.3162.peg.259,6.266341887978304e-07,-1.7509497781394053e-33
transcription_TU_g.3162.peg.259,8.386511578200355e-08,-6.998597281168344e-33
translation_749219.3.peg.264,0.0,-5.1204791415395544e-33
transcription_TU_749219.3.peg.264,0.0,-9.624890891336378e-33
translation_g.3162.peg.266,6.266341887978304e-07,-7.736715803139724e-34
transcription_TU_g.3162.peg.266,8.386511578200355e-08,-2.703714798676076e-32
translation_g.3162.peg.267,6.146707197557577e-11,-3.0576533009529928e-33
transcription_TU_g.3162.peg.267,8.226399389254414e-12,2.0756574279013117e-32
translation_g.3162.peg.268,1.2096915724241365e-08,-2.439745821819348e-34
transcription_TU_g.3162.peg.268,1.618981625890748e-09,2.2059707325583517e-32
translation_g.3162.peg.269,0.0,-2.4623657265480704e-32
transcription_TU_g.3162.peg.269,0.0,1.3837345306063795e-32
translation_749219.3.peg.273,5.16978518485828e-12,-4.6280224197773525e-33
transcription_TU_749219.3.peg.273,6.918943154506149e-13,1.3006411969402777e-32
translation_g.3162.peg.282,1.8439894904400458e-09,1.2950822188555517e-32
transcription_TU_g.3162.peg.282,2.4678894781217465e-10,-2.1020432179847562e-32
translation_749219.3.peg.282,0.0,3.742211565508958e-33
transcription_TU_749219.3.peg.282,0.0,1.1161006083324245e-32
translation_g.3162.peg.285,0.0,3.4758082652114675e-33
transcription_TU_g.3162.peg.285,0.0,-35.49545860118079
translation_g.3162.peg.288,6.266341887978304e-07,-3.966253292583788e-33
transcription_TU_g.3162.peg.288,8.386511578200355e-08,2.2178620707932696e-33
translation_g.3162.peg.290,6.266347345248939e-07,7.26319553651693e-33
transcription_TU_g.3162.peg.290,8.3865188818975e-08,-1.4216709129753204e-32
