,fluxes,reduced_costs
biomass_dilution,0.27559065151437456,-0.4416629444464275
protein_biomass_to_biomass,0.10601472820043895,1.322448238044771e-34
mRNA_biomass_to_biomass,0.00047335181388701714,7.383241130120747e-35
tRNA_biomass_to_biomass,0.002821338869599334,5.430537326372584e-35
rRNA_biomass_to_biomass,0.02132211472243289,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.015785645093184957,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.06945055152467762,0.0
prosthetic_group_biomass_to_biomass,8.963667740688256e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-0.01088054290553291
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.045565623741960576
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.0006425314060641421,0.0
EX_2obut(e),-1.0,-0.010191393948110833
EX_4abz(e),1.414142819588237e-23,0.0
EX_ac(e),9.736059102339983,0.0
EX_acald(e),0.0,-0.010189103415748467
EX_acgam(e),-1.0,-0.021695481082562463
EX_ade(e),0.9456513460737263,0.0
EX_adocbl(e),-0.0008548489747449657,0.0
EX_ala_D(e),-1.0,-0.00950261313748761
EX_ala_L(e),-1.0,-0.009503311746368787
EX_alaasp(e),0.0,-0.025807430912716287
EX_alagln(e),0.0,-0.025119446580625798
EX_alaglu(e),0.0,-0.02580285785622163
EX_alagly(e),0.0,-0.008133105370461344
EX_alahis(e),0.0,-0.0033829599091260098
EX_alaleu(e),0.0,-0.0033829599091260098
EX_alathr(e),0.0,-0.01832026452782485
EX_arab_L(e),-0.17878295,-0.01287130465625865
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.1182770532546828,0.0
EX_asn_L(e),-0.225,-0.021740364570776945
EX_asp_L(e),-0.225,-0.02242447100359028
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.02225036622864362
EX_cgly(e),-0.0008533664524142608,-1.052068529139054e-34
EX_chol(e),0.0,0.0
EX_cit(e),-1.3190193271815346e-08,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.322643738186452,0.0
EX_cobalt2(e),-0.0008624898484090445,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.006284890092732436,0.0
EX_cytd(e),0.0,-0.03122367698907347
EX_dad_2(e),-0.9743319299425218,0.0
EX_dcyt(e),-0.017021670853139145,0.0
EX_drib(e),-0.17878295,-0.009478579266406911
EX_etoh(e),0.0,-0.010183570575140181
EX_fe2(e),0.0,0.0
EX_fe3(e),-6.595096635907673e-09,0.0
EX_fol(e),-0.0025600993572427824,0.0
EX_for(e),12.663293477165523,0.0
EX_fru(e),-0.14898579,-0.010145792557049069
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.019660018569518104
EX_gcald(e),5.296480798865623e-23,5.180778534188922e-35
