,fluxes,reduced_costs
biomass_dilution,0.13073652614139858,-0.4403418190128808
protein_biomass_to_biomass,0.062258926347985,9.377629750324378e-35
mRNA_biomass_to_biomass,0.0002173342501483004,0.0
tRNA_biomass_to_biomass,0.0013296235687662345,1.111358800948809e-34
rRNA_biomass_to_biomass,0.009609261640639263,-5.828370482930727e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.007739281889242965,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.014532346376279945,0.0
prosthetic_group_biomass_to_biomass,2.9105997595308925e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-0.10589558083585932
DM_atp_c_,0.0,-0.013139281028214237
DM_clpn140(c),0.0,-0.17440812042337187
DM_clpn160(c),0.0,-0.13139819181047946
DM_clpn180(c),0.0,-0.17440461915675134
DM_clpni16(c),0.0,0.0
EX_2ddglcn(e),0.0,-0.028658864586744544
EX_ac(e),9.22076517694229,0.0
EX_adocbl(e),-2.3142959203741683e-11,0.0
EX_akg(e),0.0,-0.00835819331876341
EX_ala_L(e),-1.0,-0.0023854499988374563
EX_alaasp(e),3.598223953170828e-23,0.0
EX_alagln(e),3.6290159641476344e-23,0.0
EX_alaglu(e),3.598223953170828e-23,0.0
EX_alagly(e),3.598223953170828e-23,0.0
EX_alahis(e),3.67067112858e-23,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.005965462098336195
EX_alltn(e),0.0,0.0
EX_arg_L(e),-0.06218809793169787,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.027800987674719144,0.0
EX_asp_L(e),-0.225,-0.0023845850129904527
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-2.80451571201272e-45,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.03811328359533708
EX_cgly(e),-0.9447324461627591,3.068572946422019e-34
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5526576915125062,0.0
EX_cobalt2(e),-0.0010210241249792994,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),-9.095774007794987e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.0035827972627123475
EX_drib(e),0.0,0.0
EX_dtmp(e),0.993312148918138,0.0
EX_fe2(e),-5.2237436263655535e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),6.089420128397284,0.0
EX_fru(e),-0.14898579,-0.05373395722570974
EX_fum(e),-1.0,-0.002384718963432255
EX_glc_D(e),-0.14898579,-0.0537337210230363
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.18,-0.0023839316067545153
EX_gly(e),-0.45,-0.014333945698682753
EX_glyasn(e),3.6058187298916895e-23,0.0
EX_glyasp(e),3.925155999382572e-23,-5.67862132840412e-36
EX_glyb(e),0.0,-0.014333474660644338
EX_glyc3p(e),-0.08583675604057737,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),3.629015964147635e-23,0.0
EX_glyglu(e),3.925155999382572e-23,-7.332725442267504e-36
EX_glyleu(e),0.0,-0.009558773213647322
EX_glymet(e),3.716542072201677e-23,0.0
EX_glyphe(e),3.603211213629519e-23,0.0
EX_glypro(e),3.629052077170457e-23,0.0
EX_glytyr(e),0.0,-0.002387544832490284
EX_h(e),9.336911679424444,0.0
EX_h2(e),0.0,0.0
EX_h2o(e),-10.0,-0.004775127678924753
EX_h2s(e),1.939816444874842,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.017993627066513047,0.0
EX_hxan(e),-0.017146312970630604,0.0
EX_ile_L(e),-0.0766987610647445,0.0
EX_ind3ac(e),0.0,0.0
EX_inulin(e),-0.00047019,-1.4603718433706143
EX_isoprene(e),0.0,-0.05852781406792636
EX_k(e),-2.356457636280743e-07,0.0
EX_leu_L(e),-0.09676429242708566,0.0
EX_lys_L(e),-0.0686945213385875,0.0
EX_malt(e),-0.07449289,-0.08954946527568369
EX_man(e),-0.14898579,-0.04059320059446834
EX_met_L(e),-0.030998820756800827,0.0
EX_metala(e),3.7165420722017e-23,0.0
EX_mg2(e),-0.0011218047066043904,0.0
EX_mn2(e),-1.2746035030333188e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.9989789367958507,0.0
EX_nh4(e),5.784355907698185,0.0
EX_nmn(e),-1.0,-0.01393495650673259
EX_o2(e),0.0,-0.013131563481374689
EX_ocdca(e),0.0,0.0
EX_orn(e),-0.0046727527959861855,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9466282251787831,0.0
EX_phpyr(e),0.0,-0.005972881402228261
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0010209738272486382,0.0
EX_ppa(e),0.0,-9.104377471562862e-07
EX_pro_L(e),0.0,0.0
EX_rib_D(e),0.0,0.0
EX_ribflv(e),-0.0020419918296607086,0.0
EX_ser_L(e),-0.2,-0.008358810981274284
EX_so4(e),0.0,0.0
EX_succ(e),0.10798670199731188,0.0
EX_thm(e),-3.9281284634531556e-08,0.0
EX_thr_L(e),-0.225,-0.021496755060893838
EX_thymd(e),-1.0,-0.01909690769678421
EX_tma(e),0.0,0.0
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-1.0,-0.005970342095202631
EX_ura(e),-2.805158822389905e-23,0.0
EX_urea(e),0.0,-0.004775030872492197
EX_val_L(e),-0.08776087986042118,0.0
EX_xan(e),-0.01443516031975481,0.0
EX_zn2(e),-2.9261342088721676e-07,0.0
translation_592015.5.peg.29,-1.6651902774325432e-28,4.394732779031916e-33
transcription_TU_592015.5.peg.29,-4.021601687770084e-30,5.784847856766207e-33
translation_592015.5.peg.31,2.962944513484477e-29,-6.768047360135906e-33
transcription_TU_592015.5.peg.31,0.0,-25.249819944116414
translation_592015.5.peg.32,2.962944513484477e-29,-5.977966574214504e-33
transcription_TU_592015.5.peg.32,0.0,-39.789156592107304
translation_592015.5.peg.33,2.962944513484477e-29,4.540968772716702e-34
transcription_TU_592015.5.peg.33,0.0,-62.48407663126712
translation_592015.5.peg.37,0.0,-1.2517076066175312e-31
transcription_TU_592015.5.peg.37,0.0,-53.51336858044229
translation_592015.5.peg.39,3.791216625223998e-08,-2.134867953767943e-31
transcription_TU_592015.5.peg.39,9.156168748601451e-10,6.172021063678728e-33
translation_592015.5.peg.51,0.0,-1.4095651689039738e-32
transcription_TU_592015.5.peg.51,0.0,-94.13992794757357
translation_592015.5.peg.53,1.542165696783607e-08,-2.192418977157975e-31
transcription_TU_592015.5.peg.53,3.7244849751155976e-10,3.9389445483079985e-32
translation_592015.5.peg.55,0.0,-3.3327054207829027e-32
transcription_TU_592015.5.peg.55,0.0,4.3836105303730936e-33
translation_592015.5.peg.57,0.0,-1.5722220372349557e-32
transcription_TU_592015.5.peg.57,0.0,-52.89796173781675
translation_592015.5.peg.58,0.0,-9.185724282512189e-34
transcription_TU_592015.5.peg.58,0.0,-1.891111683774842e-33
translation_592015.5.peg.59,0.0,-9.137149763842747e-33
transcription_TU_592015.5.peg.59,0.0,4.047049675160809e-32
translation_592015.5.peg.62,-4.665624331981885e-58,1.391554573477391e-32
transcription_TU_592015.5.peg.62,0.0,2.0651293977866718e-32
translation_592015.5.peg.78,5.7518745417220054e-09,3.1603072049180566e-33
transcription_TU_592015.5.peg.78,1.3891354446589999e-10,4.167267501345377e-32
translation_592015.5.peg.79,0.0,-2.5864353030914224e-32
transcription_TU_592015.5.peg.79,0.0,-2.187347880655606e-32
translation_592015.5.peg.80,0.0,6.629148679688506e-34
transcription_TU_592015.5.peg.80,0.0,-29.827745378612367
translation_592015.5.peg.88,0.0,1.9686586991656548e-32
transcription_TU_592015.5.peg.88,0.0,-57.10279861406979
translation_592015.5.peg.90,0.0,4.1324786387334486e-33
transcription_TU_592015.5.peg.90,-6.319066460478372e-65,-1.2788156141269536e-32
translation_592015.5.peg.105,2.8247803926850117e-06,-1.3820191766829823e-33
transcription_TU_592015.5.peg.105,6.822128226881917e-08,-2.6968955072572385e-33
translation_592015.5.peg.107,0.0,-8.978307021087586e-32
transcription_TU_592015.5.peg.107,0.0,1.5258882909862204e-32
translation_592015.5.peg.111,0.0,7.059053219670046e-33
transcription_TU_592015.5.peg.111,0.0,-44.02259630128866
translation_592015.5.peg.112,0.0,-2.1160693199052034e-33
transcription_TU_592015.5.peg.112,0.0,4.6683713055484565e-33
translation_592015.5.peg.114,0.0,4.5212141750107886e-33
transcription_TU_592015.5.peg.114,0.0,2.1501554168147742e-33
translation_592015.5.peg.120,0.003739296402593841,-3.3283641985948906e-32
transcription_TU_592015.5.peg.120,9.030776198699718e-05,-2.3805400851226445e-33
translation_592015.5.peg.121,0.003739296402593841,2.2753067223710608e-33
transcription_TU_592015.5.peg.121,9.030776198699718e-05,-2.4194969605869462e-33
translation_592015.5.peg.122,0.0,3.576767956400079e-33
transcription_TU_592015.5.peg.122,0.0,-28.831001365240894
translation_592015.5.peg.123,0.0,-3.846281800239057e-33
transcription_TU_592015.5.peg.123,0.0,-44.86990321561465
translation_592015.5.peg.125,0.0,-2.3113932263402526e-33
transcription_TU_592015.5.peg.125,0.0,-30.23019968867829
translation_592015.5.peg.140,0.0,7.558150651120796e-33
transcription_TU_592015.5.peg.140,0.0,-27.42922186018238
translation_592015.5.peg.143,-3.020242515172048e-29,2.364175028022771e-32
transcription_TU_592015.5.peg.143,-8.834400186895367e-26,-1.6503105953898104e-32
translation_592015.5.peg.144,5.183540810728636e-11,-1.2323551546591539e-33
transcription_TU_592015.5.peg.144,1.251877143145034e-12,-8.114313851930693e-33
translation_592015.5.peg.164,-2.102380866906251e-30,-2.341201059125307e-32
transcription_TU_592015.5.peg.164,-5.077460850741617e-32,1.5603690631886673e-32
translation_592015.5.peg.165,0.0,-1.4617658890112958e-31
transcription_TU_592015.5.peg.165,0.0,-89.29000619802616
translation_592015.5.peg.166,0.0,-4.137588538145462e-33
transcription_TU_592015.5.peg.166,0.0,-31.14207597811842
translation_592015.5.peg.168,0.0,-1.0545138157758268e-33
transcription_TU_592015.5.peg.168,0.0,-17.59588779660912
translation_592015.5.peg.169,2.662858565509397e-08,-4.0731917771207375e-33
transcription_TU_592015.5.peg.169,6.431070758986841e-10,8.086483734538545e-33
translation_592015.5.peg.219,0.0,4.4026797466350745e-34
transcription_TU_592015.5.peg.219,0.0,6.887799632134797e-32
translation_592015.5.peg.242,0.0,2.3811827492633445e-32
transcription_TU_592015.5.peg.242,0.0,-81.61176029521239
translation_592015.5.peg.243,5.823293468838718e-10,1.62133235852319e-33
transcription_TU_592015.5.peg.243,1.4063838325293726e-11,3.7368074650580567e-34
translation_592015.5.peg.245,0.0,2.9119494727630363e-33
transcription_TU_592015.5.peg.245,0.0,-6.0379007629269546e-33
translation_592015.5.peg.246,0.0,8.067847487541796e-33
transcription_TU_592015.5.peg.246,0.0,-7.237474967218261e-33
translation_592015.5.peg.247,0.0,-1.3049701685647825e-32
transcription_TU_592015.5.peg.247,0.0,-1.2653543784520858e-32
translation_592015.5.peg.248,0.0,-9.361676522474796e-34
transcription_TU_592015.5.peg.248,0.0,9.485698651924714e-33
translation_592015.5.peg.253,-1.6888117635147993e-28,7.470992835529146e-33
transcription_TU_592015.5.peg.253,-4.078649948010094e-30,-1.8162798653879261e-32
translation_592015.5.peg.254,-1.9989545417553194e-30,-7.11859245975835e-32
transcription_TU_592015.5.peg.254,-4.827675892538499e-32,1.3387445245760265e-32
translation_592015.5.peg.257,6.643881761543643e-11,1.817910336118909e-32
transcription_TU_592015.5.peg.257,1.6045641430699006e-12,9.978951194870195e-35
translation_592015.5.peg.258,2.3142959203741683e-11,3.567332807735229e-32
transcription_TU_592015.5.peg.258,5.589256978923965e-13,-4.575302800225858e-32
translation_592015.5.peg.260,0.0,-1.2364562006948965e-33
transcription_TU_592015.5.peg.260,-6.60175488251556e-64,-5.863005474634377e-33
translation_592015.5.peg.262,1.2994003195215334e-05,-1.1943127693156485e-32
transcription_TU_592015.5.peg.262,3.1381822179108154e-07,2.187197025882431e-33
translation_592015.5.peg.263,6.497021761076058e-06,-5.743178963212216e-33
transcription_TU_592015.5.peg.263,1.5690959786354444e-07,1.3212160480812017e-32
translation_592015.5.peg.264,6.497021761076058e-06,-1.8114062073977208e-32
transcription_TU_592015.5.peg.264,1.5690959786354444e-07,2.6849264286432574e-32
translation_592015.5.peg.265,6.496981434139277e-06,-4.100025592353885e-32
