,fluxes,reduced_costs
biomass_dilution,0.3537787827179627,-0.4305545562446797
protein_biomass_to_biomass,0.12413416698230162,9.815033638061272e-35
mRNA_biomass_to_biomass,0.0005928457507768504,5.168281090942819e-35
tRNA_biomass_to_biomass,0.003630941175103145,0.0
rRNA_biomass_to_biomass,0.026013071204310196,4.255858169855419e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.01922905106894725,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.11027248405653269,0.0
prosthetic_group_biomass_to_biomass,8.075355244629032e-05,6.618459078755026e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5DRIB,0.0,-0.05564776519554362
DM_5MTR,0.0,-0.06459402844999179
DM_atp_c_,0.0,-0.011933819354868192
DM_dad_5,0.0,-0.018382554335925082
DM_dhptd(c),0.008711163095196038,0.0
DM_hcys_L[c],0.0,-0.005968060062405943
EX_12dgr180(e),-0.0025558394378676495,0.0
EX_26dap_M(e),-0.4554113574673118,0.0
EX_3mop(e),-1.0,-0.004474465472233906
EX_4abut(e),0.7124168735974307,0.0
EX_4abz(e),-0.008426692203437424,0.0
EX_4hbz(e),0.0,0.0
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),7.91294267739369,0.0
EX_acald(e),0.0,-0.007449780383830349
EX_acgam(e),-1.0,-0.04169694245778392
EX_actn_R(e),0.0,-0.014896466786575257
EX_adn(e),-1.0,-0.00643644184475947
EX_adocbl(e),-0.0028088974011458083,0.0
EX_ala_D(e),-1.0,-0.005948821273816183
EX_ala_L(e),-1.0,-0.005948439858441041
EX_alaasp(e),0.0,-0.014883872250516714
EX_alagln(e),0.0,-0.005942413121465747
EX_alaglu(e),0.0,-0.005945473783118061
EX_alagly(e),3.1139946636302715e-23,0.0
EX_alahis(e),3.2434235599591055e-23,0.0
EX_alaleu(e),3.1139946636302715e-23,0.0
EX_alathr(e),0.0,-0.007425218831745826
EX_arab_L(e),-0.17878295,-0.03176475135942581
EX_arabttr(e),0.0,-0.0952929830503707
EX_arbt(e),0.0,-0.03872363283515545
EX_arg_L(e),-0.07423931371586164,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.01489690054838994
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.014903234232252344
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,-0.0029705979517137752
EX_ca2(e),3.821055797373185e-29,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),-0.07449289,-0.08042889963051994
EX_cgly(e),-1.0,-0.004451483321588136
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cit(e),-1.0,-0.03429134307739482
EX_cl(e),-3.971292692896333e-06,0.0
EX_co2(e),0.0,-0.0029895347519436955
EX_cobalt2(e),-0.002809054205530272,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.010423280118627124
EX_cytd(e),0.0,-0.014919243891741991
EX_dad_2(e),0.9514214884145118,0.0
EX_dcyt(e),1.806208788834817e-24,0.0
EX_dgsn(e),-0.043696294265138866,0.0
EX_din(e),3.0673789995495156e-23,0.0
EX_drib(e),-0.17878295,-0.016368235667412197
EX_duri(e),2.5156589721853826e-23,0.0
EX_etoh(e),0.0,-0.002976505312747769
EX_fe2(e),0.0,0.0
EX_fe3(e),-0.0028122376804453975,0.0
EX_fru(e),-0.14898579,-0.03872636372094352
EX_fum(e),-1.0,-0.014910418075065431
EX_gal(e),-0.14898579,-0.03573019466351273
EX_galctn_D(e),0.0,0.0
EX_galt(e),0.0,-0.03425191404236173
EX_gam(e),-1.0,-0.038720345804814156
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.02681903049356237
EX_glc_D(e),-0.14898579,-0.03872558645624909
EX_glcn(e),-0.14898579,-0.03326080763493981
EX_gln_L(e),-0.18,-0.0059624617171090445
EX_glu_L(e),-0.18,-0.005964835764853691
EX_gly(e),0.9987281446445895,0.0
EX_glyasn(e),0.0,-0.008925103751350952
EX_glyasp(e),0.0,-0.008932124049121023
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.01637120146826314
EX_glyc3p(e),-1.0,-0.028306448477070405
EX_glycys(e),0.0,-0.004451483321588136
EX_glygln(e),3.1139946636302715e-23,0.0
EX_glyglu(e),3.1139946636302715e-23,0.0
EX_glyleu(e),0.0,-0.0029823978154518353
EX_glymet(e),2.712992662551964e-23,0.0
EX_glyphe(e),2.876137155046414e-23,0.0
EX_glypro(e),2.8784456824797517e-23,0.0
EX_glytyr(e),2.865140374938744e-23,0.0
EX_gua(e),0.0,0.0
EX_h(e),15.523542534372902,0.0
EX_h2o(e),-0.5312284611203723,0.0
EX_h2s(e),1.9880635831452682,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.05060291288999571,0.0
EX_hxan(e),2.1401513634307092e-35,0.0
EX_icit[e],0.0,-0.03429352834083744
EX_ile_L(e),0.7906939269286622,0.0
EX_inost(e),0.0,0.0
EX_ins(e),0.0,-0.003466929418834414
EX_k(e),-2.510826857684292e-07,0.0
EX_lac_L(e),0.0,-0.005953182564767835
EX_leu_L(e),-0.15,-2.0997380242388403e-06
EX_lys_L(e),0.3391890890513841,0.0
EX_mal_L(e),0.0,-0.014907833748150844
EX_malt(e),-0.07449289,-0.07146803321985426
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.038725528220603184
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0647339048474405,0.0
EX_metala(e),2.712992662551964e-23,0.0
EX_metsox_R_L(e),0.0,0.0
