,fluxes,reduced_costs
biomass_dilution,0.08668803541064121,-0.28034532260275663
protein_biomass_to_biomass,0.04281262779297385,6.03227824779638e-35
mRNA_biomass_to_biomass,0.00013272051575669984,4.2736078807079723e-35
tRNA_biomass_to_biomass,0.000786068458069176,-2.8039006540499093e-35
rRNA_biomass_to_biomass,0.004049355022360187,0.0
ncRNA_biomass_to_biomass,0.0,-2.8858529017769165e-35
tmRNA_biomass_to_biomass,0.0,-2.8858529017769165e-35
DNA_biomass_to_biomass,0.005139786635226952,-2.8858529017769165e-35
lipid_biomass_to_biomass,0.0,-2.8858529017769165e-35
constituent_biomass_to_biomass,0.009636025940479243,-2.8858529017769165e-35
prosthetic_group_biomass_to_biomass,4.9347912227316e-05,-3.328800498049311e-35
peptidoglycan_biomass_to_biomass,0.0,-2.8858529017769165e-35
DM_4HBA,2.8810540500722512e-08,0.0
DM_AMOB,0.00450837824824203,0.0
DM_atp_c_,0.0,-0.006801606541697114
DM_btn,0.00450837824824203,0.0
DM_dad_5,0.00450837824824203,0.0
DM_pheme(c),0.0,-0.0068019770033869035
EX_2obut(e),-0.04182255353658248,0.0
EX_4hbz(e),0.0,0.0
EX_7dhcdchol(e),0.0,-7.523517090342368e-07
EX_7ocholate(e),0.0,-7.523517090342368e-07
EX_C02528(e),0.0,-6.879198280819189e-08
EX_ac(e),3.2904235177804386,0.0
EX_acgam(e),-1.0,-0.02719089750145339
EX_adn(e),0.004576121851428009,0.0
EX_adocbl(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,-7.238690106984795e-08
EX_arg_L(e),-0.028674742351434905,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.00849752125981352
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.013829235861339296
EX_cholate(e),0.0,-6.879198280819189e-08
EX_chtbs(e),0.0,-0.05098077906716358
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.540758411130867,0.0
EX_cobalt2(e),-0.0006771553538147557,0.0
