,fluxes,reduced_costs
biomass_dilution,0.14326495750199547,-0.4399299333619354
protein_biomass_to_biomass,0.05630397264908287,5.117575788101542e-35
mRNA_biomass_to_biomass,0.00020605976727844266,-5.893472570831999e-35
tRNA_biomass_to_biomass,0.0012256832240956433,0.0
rRNA_biomass_to_biomass,0.009253021061364518,8.260825522172706e-35
ncRNA_biomass_to_biomass,0.0,5.500511362929716e-35
tmRNA_biomass_to_biomass,0.0,5.500511362929716e-35
DNA_biomass_to_biomass,0.008473795313949593,5.500511362929716e-35
lipid_biomass_to_biomass,0.0,5.500511362929716e-35
constituent_biomass_to_biomass,0.036103656847569485,5.500511362929716e-35
prosthetic_group_biomass_to_biomass,2.778402354579841e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,5.500511362929716e-35
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.01113806023737439
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.002780958906131627
EX_26dap_M(e),0.0,0.0
EX_34dhphe(e),0.0,-0.0027815673373296494
EX_3mop(e),-0.4704109634925223,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.0027815673373296494
EX_ac(e),5.56008808757698,0.0
EX_acald(e),0.0,-1.450328405405023e-06
EX_acgam(e),-1.0,-0.030618843181155982
EX_akg(e),0.0,-0.005576026859423726
EX_ala_L(e),4.462562048641856,0.0
EX_alaasp(e),0.0,-0.0055453305231085385
EX_alagln(e),3.5580636138565704e-23,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),3.561428027525751e-23,0.0
EX_alaleu(e),0.0,-0.0027840997656844867
EX_alathr(e),3.3693031302145024e-23,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.011128857947861281
EX_arabttr(e),0.0,-0.033387013231676574
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.07840026440467379,0.0
EX_asn_L(e),-0.225,-0.011113448646393189
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.011114579908021232
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.021738732335520032
EX_cgly(e),-0.0501156002538824,-6.071654721165955e-35
EX_chol(e),0.0,0.0
EX_chtbs(e),0.0,-0.1169400875122756
EX_cl(e),0.0,0.0
EX_co2(e),0.569951294034997,0.0
EX_cobalt2(e),-0.0004440973965760271,0.0
EX_csn(e),-1.0,-0.0027813244068581365
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.0055690449353245994
EX_dcyt(e),-0.013754248848608307,0.0
EX_dopa(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-0.0004436856143788129,0.0
EX_fol(e),-0.001330859822714787,0.0
EX_for(e),0.0070550586071789914,0.0
EX_fru(e),-0.14898579,-0.022264141347156312
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.027835328684206562
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.02783529058152748
EX_gln_L(e),-0.06293590085246036,-1.400264514197145e-33
EX_glu_L(e),-0.18,-1.1108607668603894e-06
EX_gly(e),0.0,0.0
EX_glyasn(e),0.0,-0.005544403711068588
EX_glyasp(e),0.0,-0.005545534972696632
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.00555777890614775
EX_glyc3p(e),-1.0,-0.008343540888094098
EX_glycys(e),0.0,-6.071654721165955e-35
EX_glygln(e),3.5580636138565704e-23,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.011138002454155404
EX_glymet(e),3.6126047045112263e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),3.5965277458373775e-23,0.0
EX_gua(e),-0.018703107462502977,0.0
EX_h(e),8.526864051940375,0.0
EX_h2o(e),1.1879961043279863,0.0
EX_h2s(e),1.0499563685163549,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.0027815673373296494
EX_hista(e),0.1253281799914692,0.0
EX_hxan(e),-0.012468602545288194,0.0
EX_ile_L(e),0.0,0.0
EX_inost(e),0.0,-0.016676417032751755
EX_k(e),-2.7459945332441585e-07,0.0
EX_lac_L(e),2.9892976192762877,0.0
EX_leu_L(e),-0.06986572068927582,0.0
EX_lys_L(e),-0.01883766984376933,0.0
EX_malt(e),-0.07449289,-0.05566955103080782
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.027835160492236114
EX_mantr(e),0.0,-0.07236798968235837
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.013624101041997589,0.0
EX_metala(e),3.6126047045112263e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),1.713118290669015e-23,0.0
EX_mg2(e),-0.0010460356559435096,0.0
EX_mn2(e),-9.614799699096294e-07,0.0
EX_mnl(e),-0.14898579,-0.022263057583554357
EX_na1(e),0.0,0.0
EX_nac(e),-0.0004436246831732368,0.0
EX_nh4(e),0.0,-8.692661170892638e-07
EX_no2(e),0.0,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.03897804821665845
EX_ocdca(e),-0.012203885875723179,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9693091676889224,0.0
EX_pheme(e),-0.00044361994090492897,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0004438940732868818,0.0
EX_ppa(e),0.40961952792576667,0.0
EX_ppi(e),0.4473578530283224,0.0
EX_pro_L(e),0.33717644730592766,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.00044384543626493705,0.0
EX_pydxn(e),0.0,0.0
EX_pyr(e),0.0,-0.005572034078368863
EX_raffin(e),-0.00470194,-0.07236750963879736
EX_rib_D(e),-0.17878295,-0.011128888037175629
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-0.2,-0.005569019935413399
EX_so4(e),0.0,0.0
EX_spmd(e),-0.00044361994090492897,0.0
EX_srtn(e),0.0,0.0
EX_stys(e),0.0,-0.10020375669097493
EX_succ(e),0.0,-8.931362986124487e-06
EX_sucr(e),-0.07449289,-0.055670609736029435
EX_thm(e),-0.00044361994090492897,0.0
EX_thr_L(e),-0.05595787885446841,3.873227409520636e-35
EX_tre(e),-0.07449289,-0.05566926935640287
EX_trypta(e),0.0,-0.10024449456576512
EX_tym(e),0.0,-0.0027864227953565595
EX_tyr_L(e),-1.0,-0.0055679901326862085
EX_ura(e),1.0,0.0
EX_val_L(e),-0.09647747106150824,0.0
EX_zn2(e),-7.029187695795875e-07,0.0
translation_g.31863.CDS.3,0.0,-1.7230885660936924e-32
transcription_TU_g.31863.CDS.3,0.0,2.1671282165271112e-33
translation_g.31863.CDS.5,2.2246584372821864e-07,-2.5286169846348375e-34
transcription_TU_g.31863.CDS.5,5.025733928651349e-09,4.503480768148674e-33
translation_g.31863.CDS.10,0.0,4.6349280799134054e-32
transcription_TU_g.31863.CDS.10,0.0,-1.676520682804215e-34
translation_g.31863.CDS.11,0.0,6.867990227370522e-35
transcription_TU_g.31863.CDS.11,0.0,-49.87757384623214
translation_g.31863.CDS.16,0.0,-1.932720306684572e-33
transcription_TU_g.31863.CDS.16,0.0,-50.42899629920653
translation_g.31863.CDS.18,6.095106878364741e-06,6.627062484459145e-34
transcription_TU_g.31863.CDS.18,1.3769478012443455e-07,-4.060561372197356e-33
