,fluxes,reduced_costs
biomass_dilution,0.5247282236789199,-0.46236447173382467
protein_biomass_to_biomass,0.18174463745256456,-6.138104227017184e-35
mRNA_biomass_to_biomass,0.0010980149280391698,0.0
tRNA_biomass_to_biomass,0.006645564367007561,-5.97497930621155e-35
rRNA_biomass_to_biomass,0.04641557766502719,-4.544403356854431e-35
ncRNA_biomass_to_biomass,0.0,-6.007588818019719e-35
tmRNA_biomass_to_biomass,0.0,-6.007588818019719e-35
DNA_biomass_to_biomass,0.02288563618315342,-6.007588818019719e-35
lipid_biomass_to_biomass,0.0,-6.007588818019719e-35
constituent_biomass_to_biomass,0.16355724963239432,-6.007588818019719e-35
prosthetic_group_biomass_to_biomass,0.0001501848836661646,6.850009252361143e-35
peptidoglycan_biomass_to_biomass,0.0,-6.007588818019719e-35
DM_5DRIB,0.0,-1.3400872536841909e-05
DM_5MTR,0.0,-0.06055980474203583
DM_atp_c_,0.0,-0.01531007489450423
DM_btn,0.1,-0.015313314261144302
DM_dad_5,0.00833236935508704,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.030601535985440336
EX_12dgr180(e),-0.003790846579145989,0.0
EX_3mop(e),-1.0,-0.005729734190723828
EX_Lcyst(e),0.0,0.0
EX_Lcystin(e),0.0,-0.0038265368229736013
EX_ac(e),10.533482781326429,0.0
EX_acald(e),0.0,-0.009548077771322497
EX_acgam(e),-1.0,-0.04966793573836888
EX_acnam(e),-1.0,-0.055385435471175824
EX_adocbl(e),-0.00416618467754352,0.0
EX_ala_L(e),-0.27581397040885774,0.0
EX_alaasp(e),0.0,-0.0018922895560303345
EX_alagln(e),0.0,-0.008039815812562091
EX_alaglu(e),0.0,-0.009947689556664871
EX_alagly(e),2.0058885413654268e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.0248685215546028
EX_alathr(e),0.0,-0.003784821730750827
EX_amp(e),-0.6151413876450289,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.009540742162728743
EX_asp_L(e),-0.225,-0.011460543067511668
EX_biomass(e),0.0,0.0
EX_btn(e),-0.1,0.0
EX_but(e),5.253626935776415,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.03456140850556598
EX_cellb(e),-0.07449289,-0.09743807866624678
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.1942067564046488,0.0
EX_cobalt2(e),-0.00416618467754352,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.05493383395330087,0.0
EX_dcyt(e),-1.0,-0.049684435981564724
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-0.005714265081160646
EX_fe2(e),-0.00416633473457358,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-0.01249855403263056,0.0
EX_for(e),19.40262483743888,0.0
EX_fru(e),-0.14898579,-0.049675954598544396
