,fluxes,reduced_costs
biomass_dilution,0.10364563574048441,-0.2523367760963842
protein_biomass_to_biomass,0.03799042481206306,-1.2108129323364002e-34
mRNA_biomass_to_biomass,0.00011586685796036484,0.0
tRNA_biomass_to_biomass,0.0006772670037902162,0.0
rRNA_biomass_to_biomass,0.005028095920280046,-4.4495292717927827e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0061427596390367135,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0323062384547615,0.0
prosthetic_group_biomass_to_biomass,1.5369095807041697e-05,-7.477779705579335e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,-0.10236268733957739
DM_5DRIB,0.001645830508177448,0.0
DM_5MTR,0.0,-0.04338267873831426
DM_GCALD,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.006940685849064683
DM_clpn180(c),0.0,-0.10411976280858656
DM_clpnai17(c),0.0,-0.27080071215501006
DM_clpni17(c),0.0,-0.270801584639416
DM_dad_5,0.0,-0.003472196267419525
DM_dhptd(c),0.0,0.0
EX_C02528(e),0.0,-4.4293006726702697e-07
EX_ac(e),1.0147121313426157,0.0
EX_acald(e),0.0,-0.0034697525486856754
EX_acgam(e),-1.0,-0.015601841655692924
EX_ala_D(e),-0.013477995555183999,0.0
EX_ala_L(e),-0.028816107537471852,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-0.0017351987945074814
EX_alaglu(e),0.0,0.0
EX_alagly(e),2.020965099382014e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.013869237976292659
EX_arg_L(e),-0.009190641781904716,0.0
EX_asn_L(e),-0.225,-0.003465072134387725
EX_asp_L(e),-0.225,-0.003466971278696212
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.013171205793177689
EX_cellb(e),-0.07449289,-0.027738086724295334
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,-4.4293006726702697e-07
EX_chsterol(e),-0.00495795,-0.003469309618618408
EX_cl(e),0.0,0.0
EX_co2(e),0.11119951831881822,0.0
EX_cobalt2(e),-0.000822915254088724,0.0
EX_coprost(e),0.00495795,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0016500104828261327,0.0
EX_dextrin(e),0.0,-0.07626982154277226
EX_dgchol(e),0.0,-0.001727687552288522
EX_drib(e),-0.17878295,-0.0034626066344619474
EX_etoh(e),0.17083229874765457,8.535419637810357e-36
EX_fe2(e),-0.0008229154472185081,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.002468745762266172,0.0
EX_for(e),-0.44249577761323544,0.0
EX_fru(e),-0.14898579,-0.013870381658980198
EX_gal(e),-0.14898579,-0.006926178041739888
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.013868558969547896
EX_gchola(e),0.0,-0.001727687552288522
EX_glc_D(e),-0.14898579,-0.01386981549545759
EX_gln_L(e),-0.02065931037592322,0.0
EX_glu_L(e),-0.07683114049923623,0.0
EX_gly(e),-0.45,-0.001727687552288522
EX_glyasn(e),0.0,-0.0017230691591731406
EX_glyasp(e),0.0,-0.0017249683034816277
EX_glyc(e),-1.79965486,-0.0034639463807973983
EX_glyc3p(e),-0.11145869046430217,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.0034629534661456424
EX_glyglu(e),2.020965099382014e-23,0.0
EX_glyleu(e),0.0,-0.0034627727653564395
EX_glymet(e),0.0,0.0
EX_glyphe(e),2.020965099382014e-23,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),2.020965099382014e-23,0.0
EX_gua(e),-0.02104009703013457,0.0
EX_h(e),8.062971157109013,0.0
EX_h2o(e),-1.9603991100509015,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.004153105865414839,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.05585049475264859,0.0
EX_k(e),-5.804230933469339e-07,0.0
EX_kesto(e),0.0,-0.04161013588335072
EX_kestopt(e),-0.00282117,-0.06935089920131111
EX_kestottr(e),0.0,-0.055480517542330916
EX_lac_D(e),9.378145052559264,0.0
EX_lac_L(e),4.181221440395009e-23,0.0
EX_lcts(e),-0.07449289,-0.02079417487330426
EX_leu_L(e),-0.03518464402123717,0.0
EX_lys_L(e),0.0,0.0
EX_malt(e),-0.07449289,-0.027737776563951176
EX_malthx(e),0.0,-0.0832118690965315
EX_malttr(e),0.0,-0.04160560537287135
EX_man(e),-0.14898579,-0.013870222879849198
EX_mantr(e),0.0,-0.034660499692937274
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.013539542309862863,0.0
EX_mg2(e),-0.0005984550412320687,0.0
EX_mn2(e),-6.444840590588861e-07,0.0
EX_mnl(e),0.0,0.0
EX_mqn7(e),-0.001645830508177448,0.0
EX_nac(e),-0.000822968621185087,0.0
EX_nh4(e),3.0751564436595684,0.0
EX_o2(e),0.0,-0.013880230723041002
EX_ocdca(e),-0.00861767857102402,0.0
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.032845299849567015,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0008230144968616952,0.0
EX_pro_L(e),-0.019570325277074405,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.0008229263790577419,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),-0.17878295,-0.006933031994480649
EX_ribflv(e),-0.0016458305995401931,0.0
EX_salcn(e),0.0,-0.013869237976292659
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.2,-0.003466838416712715
EX_sheme(e),-0.000822915254088724,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.000822915254088724,0.0
EX_stys(e),0.0,-0.05720622996726426
EX_succ(e),0.2996441226327828,0.0
EX_sucr(e),-0.07449289,-0.029473625873883944
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thm(e),-0.000822915254088724,0.0
EX_thr_L(e),-0.019206906534146494,0.0
EX_tre(e),-0.07449289,-0.02773760117787773
EX_trp_L(e),-0.002205528879412389,0.0
EX_tyr_L(e),-0.020544396331129162,0.0
EX_ura(e),-0.020507483384421266,0.0
EX_urea(e),0.000822915254088724,0.0
EX_val_L(e),-0.028713898370355595,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-2.7374109118447674e-07,0.0
translation_272621.20.peg.1,0.0,1.3477673185126628e-32
transcription_TU_272621.20.peg.1,0.0,3.578107138996172e-33
translation_272621.20.peg.2,0.0,-9.965587900169453e-33
transcription_TU_272621.20.peg.2,0.0,-52.99983162662404
translation_272621.20.peg.5,0.0,3.770141553891712e-33
transcription_TU_272621.20.peg.5,0.0,-92.94340773710522
translation_272621.20.peg.6,0.0,-1.2787571754504403e-32
transcription_TU_272621.20.peg.6,0.0,-4.2216070184256355e-32
translation_272621.20.peg.7,3.4492923173288437e-06,8.335032958283067e-34
transcription_TU_272621.20.peg.7,9.940445576066651e-08,-3.62378120899765e-33
translation_272621.20.peg.8,0.0,9.975618475312567e-34
transcription_TU_272621.20.peg.8,0.0,-24.48910354583696
translation_272621.20.peg.9,3.4492923173288437e-06,-7.127307667664047e-34
transcription_TU_272621.20.peg.9,9.940445576066651e-08,4.265870925468009e-34
translation_272621.20.peg.11,3.4492923173288437e-06,-4.063461461786886e-33
transcription_TU_272621.20.peg.11,9.940445576066651e-08,-3.1718598993923414e-33
translation_272621.20.peg.15,0.0,-4.5537897045636725e-33
transcription_TU_272621.20.peg.15,0.0,-46.149635585975886
translation_272621.20.peg.36,0.0,1.4262381177425856e-33
transcription_TU_272621.20.peg.36,0.0,-2.298570600333372e-33
translation_272621.20.peg.49,3.4492244248642426e-06,1.393507968849744e-32
transcription_TU_272621.20.peg.49,9.940249918149807e-08,-1.5212120879857938e-32
translation_272621.20.peg.54,3.7006667930130775e-06,-1.3901166469059045e-33
transcription_TU_272621.20.peg.54,1.0664876579550427e-07,6.050717563859628e-33
translation_272621.20.peg.63,0.0,-4.33883465258148e-34
transcription_TU_272621.20.peg.63,0.0,4.787746314845334e-33
translation_272621.20.peg.64,5.64284919080714e-07,-4.656248087808453e-34
transcription_TU_272621.20.peg.64,1.626201264339593e-08,6.277938087023385e-34
translation_272621.20.peg.65,0.0,5.433039382747792e-33
transcription_TU_272621.20.peg.65,0.0,2.6862631013033095e-32
translation_272621.20.peg.77,1.0227970846201075e-10,2.4577419877788727e-33
transcription_TU_272621.20.peg.77,2.9475781753688123e-12,3.2049711692792505e-33
translation_272621.20.peg.78,1.0227970846201075e-10,-7.219399278170034e-33
transcription_TU_272621.20.peg.78,2.9475781753688123e-12,-3.2324576229469745e-32
translation_272621.20.peg.90,1.920327176791204e-10,-8.74933724796075e-34
transcription_TU_272621.20.peg.90,5.534151945671357e-12,5.7817708502636765e-33
translation_272621.20.peg.91,1.920327176791204e-10,-9.358304424574888e-33
transcription_TU_272621.20.peg.91,5.534151945671357e-12,4.340742514287704e-34
translation_272621.20.peg.97,0.0,2.5935253699950573e-33
transcription_TU_272621.20.peg.97,0.0,-64.37616376758533
translation_272621.20.peg.116,7.791005147701653e-10,-1.3937355748068995e-32
transcription_TU_272621.20.peg.116,2.2452739729973997e-11,-2.7194604209451926e-33
translation_272621.20.peg.128,1.7747931323026717e-08,9.92234610778403e-34
transcription_TU_272621.20.peg.128,5.114740334357581e-10,-1.403405967665904e-32
translation_272621.20.peg.134,0.0,-3.759886874563108e-33
transcription_TU_272621.20.peg.134,0.0,-51.094801840227646
translation_272621.20.peg.140,0.0,9.552109081710324e-33
transcription_TU_272621.20.peg.140,0.0,2.7824591535845026e-32
translation_272621.20.peg.141,5.129573007947973e-07,4.826111679684148e-33
transcription_TU_272621.20.peg.141,1.4782812421492456e-08,-4.838371137324668e-34
translation_272621.20.peg.154,-7.443242520785674e-44,-2.877733428997677e-32
transcription_TU_272621.20.peg.154,-3.643557465719338e-45,3.261881385184621e-32
translation_272621.20.peg.156,1.6896460725482053e-09,-2.508550096095725e-32
transcription_TU_272621.20.peg.156,4.869356749672933e-11,1.7400011561421082e-32
translation_272621.20.peg.177,0.0,-5.48129420137687e-34
transcription_TU_272621.20.peg.177,0.0,-32.655018764981826
translation_272621.20.peg.184,1.8267354162416e-08,-8.733090918323429e-33
transcription_TU_272621.20.peg.184,5.26443174902764e-10,-3.246582939286535e-33
translation_272621.20.peg.188,0.0,-3.056429639140217e-33
transcription_TU_272621.20.peg.188,0.0,-76.35499269373652
translation_272621.20.peg.189,0.0,1.3535045819904232e-32
transcription_TU_272621.20.peg.189,0.0,-76.64315115450678
translation_272621.20.peg.190,0.0,4.9426046628408126e-33
transcription_TU_272621.20.peg.190,0.0,1.7420350349242808e-33
translation_272621.20.peg.192,-1.1529977895363927e-53,4.597223623049668e-33
transcription_TU_272621.20.peg.192,0.0,-48.68479407049992
translation_272621.20.peg.193,0.0,-3.220236664574124e-33
transcription_TU_272621.20.peg.193,0.0,-50.00432773023043
translation_272621.20.peg.194,7.153378862699694e-31,-3.941293953781618e-34
transcription_TU_272621.20.peg.194,0.0,-44.71717520619717
translation_272621.20.peg.197,1.0227970846201075e-10,-2.0521687526631576e-33
transcription_TU_272621.20.peg.197,2.9475781753688123e-12,-5.959610588157977e-33
translation_272621.20.peg.200,2.021682574435999e-09,2.963637307546118e-33
transcription_TU_272621.20.peg.200,5.826246010609554e-11,3.962640623826405e-33
translation_272621.20.peg.201,2.3577866540204317e-09,-3.4439854941741164e-33
transcription_TU_272621.20.peg.201,6.794857541217764e-11,-1.4769243623378555e-33
translation_272621.20.peg.204,1.1387922098233995e-08,-5.90791040458368e-33
transcription_TU_272621.20.peg.204,3.2818621742573974e-10,-1.155343912664018e-32
translation_272621.20.peg.207,3.0555304130483867e-12,-3.882075136609584e-33
transcription_TU_272621.20.peg.207,8.805671129794317e-14,2.0432739944239826e-32
translation_272621.20.peg.209,0.0,-2.812287507133583e-33
transcription_TU_272621.20.peg.209,0.0,-2.4289906245605826e-33
translation_272621.20.peg.210,1.1362021626998364e-08,-2.0898284489905012e-32
transcription_TU_272621.20.peg.210,3.274397969979355e-10,2.3947898587421754e-33
translation_272621.20.peg.215,0.0,-4.704501589050174e-33
transcription_TU_272621.20.peg.215,0.0,6.18036583510782e-33
translation_272621.20.peg.216,0.0,-5.6581788103923226e-33
transcription_TU_272621.20.peg.216,0.0,-8.633442801136856e-33
translation_272621.20.peg.218,0.0,1.627000949882214e-32
transcription_TU_272621.20.peg.218,0.0,4.271453186118937e-33
translation_272621.20.peg.223,1.4320803701367608e-07,8.694035560370798e-34
transcription_TU_272621.20.peg.223,4.1270833754449496e-09,2.423561997840301e-33
translation_272621.20.peg.224,2.1853977106960674e-09,-9.313856253205819e-34
transcription_TU_272621.20.peg.224,6.298053341578771e-11,-1.3557309413987611e-33
translation_272621.20.peg.225,0.0,-6.609582775707354e-33
transcription_TU_272621.20.peg.225,0.0,-2.1350424347818748e-34
translation_272621.20.peg.230,0.0,-8.533168654921816e-33
transcription_TU_272621.20.peg.230,0.0,4.50833674352521e-33
translation_272621.20.peg.231,0.0,5.179664731333339e-33
transcription_TU_272621.20.peg.231,0.0,-27.395630190009612
translation_272621.20.peg.234,0.0,-2.787119393942923e-32
transcription_TU_272621.20.peg.234,0.0,-7.157977520871865e-33
translation_272621.20.peg.250,1.756790509011107e-07,-3.77689520598665e-33
transcription_TU_272621.20.peg.250,5.062858939395147e-09,-1.916596098544174e-32
translation_272621.20.peg.254,3.4492923173288437e-06,1.5028974250079149e-33
transcription_TU_272621.20.peg.254,9.940445576066651e-08,2.6627324344488573e-33
translation_272621.20.peg.255,0.0,-5.4512840043955696e-33
transcription_TU_272621.20.peg.255,0.0,-64.81848539818007
translation_272621.20.peg.257,0.0,3.571215235352945e-34
transcription_TU_272621.20.peg.257,0.0,5.549970408834619e-33
translation_272621.20.peg.258,0.0,-2.0244679617418654e-33
transcription_TU_272621.20.peg.258,0.0,1.0319993889512622e-32
translation_272621.20.peg.260,0.0,-3.3665889080136945e-33
transcription_TU_272621.20.peg.260,0.0,8.371520697049797e-33
translation_272621.20.peg.262,1.0227970846201075e-10,1.626784863007128e-32
transcription_TU_272621.20.peg.262,2.9475781753688123e-12,1.2441879970736223e-32
translation_272621.20.peg.266,6.789246460099881e-11,1.1627588410783738e-32
transcription_TU_272621.20.peg.266,1.9565791684303903e-12,-5.9718018330579676e-33
translation_272621.20.peg.269,0.0,1.3232269816864001e-33
transcription_TU_272621.20.peg.269,0.0,-48.74870561988268
translation_272621.20.peg.270,4.361578804780527e-08,9.11799564988271e-33
transcription_TU_272621.20.peg.270,1.25695455026618e-09,7.825830206269718e-33
translation_272621.20.peg.273,1.433103167221381e-07,4.763642154000692e-32
