,fluxes,reduced_costs
biomass_dilution,0.09373946536092369,-0.3585612523890659
protein_biomass_to_biomass,0.04634083093967232,-9.260780114992706e-35
mRNA_biomass_to_biomass,0.00014231937010082186,0.0
tRNA_biomass_to_biomass,0.0008190114991052745,-5.699763893788896e-35
rRNA_biomass_to_biomass,0.00437509482512888,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.005557084476287211,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.010419845317588501,0.0
prosthetic_group_biomass_to_biomass,1.856152947500306e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.00928964648522395
DM_dhptd(c),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),3.79989815774323,0.0
EX_acald(e),0.0,-0.0046446031073620496
EX_ala_D(e),-1.0,-0.004638699775467299
EX_ala_L(e),-1.0,-0.004639202039914476
EX_alaasp(e),0.0,-0.006968467601742945
EX_alagln(e),0.0,-1.425738308707729e-06
EX_alaglu(e),0.0,-2.9011668000983745e-06
EX_alagly(e),0.0,-0.004640003231926107
EX_alahis(e),0.0,-2.9011668000983745e-06
EX_alaleu(e),0.0,-3.060128329202619e-06
EX_alathr(e),0.0,-2.9011668000983745e-06
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.027854054569359944
EX_arg_L(e),-0.022018589745515484,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.0069636153665033835
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.006965566434942847
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.018301583596663208
EX_cellb(e),-0.07449289,-0.0557073398638097
EX_cgly(e),-0.07292944768078433,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.47751640356975344,0.0
EX_cobalt2(e),-0.0007320489807895974,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.07121275792527842,0.0
EX_dextrin(e),0.0,-0.15782817196148624
EX_drib(e),-0.17878295,-0.009280703198087577
EX_ethso3(e),0.0,0.0
EX_etoh(e),4.366241190347119,0.0
EX_fe2(e),-1.0645609586640021e-07,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),0.0,0.0
EX_for(e),7.648794320293643,0.0
EX_fru(e),-0.14898579,-0.027854911033165643
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.027854291137816876
EX_glcn(e),-0.14898579,-0.023213127554214147
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.11618919307742696,0.0
EX_gly(e),-0.45,-0.004637049314955742
EX_glyasn(e),0.0,-0.006964416558515016
EX_glyasp(e),0.0,-0.006966367626954478
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.009281631987598507
EX_glyc3p(e),-0.05801082197236363,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,-8.011920116318257e-07
EX_glyleu(e),0.0,-0.006963703502349701
EX_glymet(e),0.0,-0.0023199072860359475
EX_glyphe(e),0.0,-8.011920116318257e-07
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-8.011920116318257e-07
EX_h(e),7.829370023296816,0.0
EX_h2o(e),-4.977526573354298,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.019413845621840127,0.0
EX_ile_L(e),-0.04091939631585899,0.0
EX_inost(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-8.393064273652672e-08,0.0
EX_lac_D(e),0.0,-0.004640748520822751
EX_lac_L(e),0.0,-0.0069669893833365125
EX_lcts(e),-0.07449289,-0.05570741766277018
EX_leu_L(e),-0.04019798921882757,0.0
EX_lys_L(e),-0.04657040150373239,0.0
EX_mal_L(e),0.0,-0.006967372606615184
EX_malt(e),-0.07449289,-0.0557067647764918
EX_malthx(e),0.0,-0.1671202173809884
EX_malttr(e),0.0,-0.08355976427978637
EX_man(e),-0.14898579,-0.027854348717883552
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0023220072608244138
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.01843819196650035,0.0
EX_mg2(e),-0.0007229955414289496,0.0
EX_mn2(e),-2.977563660358792e-07,0.0
EX_mnl(e),-0.14898579,-0.023209191115663864
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0007320489807895974,0.0
EX_nh4(e),3.1192212614436685,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.0186018733558314
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.028680026807268326,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0007320489807895974,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.0007320489807895974,0.0
EX_rib_D(e),-0.17878295,-0.013924424681867274
EX_ribflv(e),-0.0014640980314946988,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.2,-0.00928464669391843
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.0,-0.0023208206210906584
EX_sucr(e),-0.07449289,-0.05570735407213854
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),0.0,0.0
EX_thr_L(e),-0.03982100509238525,0.0
EX_tre(e),-0.07449289,-0.05570662898369471
EX_trp_L(e),-0.0204708052541721,0.0
EX_tyr_L(e),-0.013478447034208856,0.0
EX_ura(e),-0.01848324231195021,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.03581182013907439,0.0
EX_xan(e),-0.01931697698707269,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-1.7146713300691075e-07,0.0
translation_525337.3.peg.8,2.3614021669050278e-07,5.581488045639346e-33
transcription_TU_525337.3.peg.8,7.367869483811407e-09,2.899755567826167e-33
translation_525337.3.peg.10,6.7663644789397825e-12,1.958496390624993e-33
transcription_TU_525337.3.peg.10,2.1111901674108586e-13,1.8608185108467968e-32
translation_525337.3.peg.11,0.0,-4.901284311198418e-33
transcription_TU_525337.3.peg.11,0.0,7.607627798879847e-33
translation_525337.3.peg.12,5.33367796956494e-09,2.116231422090992e-31
transcription_TU_525337.3.peg.12,1.6641740953401612e-10,1.9842367798844472e-32
translation_525337.3.peg.13,0.0,-1.302646844035098e-33
transcription_TU_525337.3.peg.13,0.0,-66.1709900440006
translation_525337.3.peg.14,0.0,-2.2377104824320335e-32
transcription_TU_525337.3.peg.14,0.0,9.846629510337584e-33
translation_525337.3.peg.15,0.0,-3.737801044468023e-33
transcription_TU_525337.3.peg.15,0.0,-75.81122071642913
translation_525337.3.peg.16,0.0,2.8558331429694255e-33
transcription_TU_525337.3.peg.16,0.0,-3.788957073362462e-32
translation_525337.3.peg.17,0.0,-6.466395892722598e-33
transcription_TU_525337.3.peg.17,0.0,-61.38002306561535
translation_525337.3.peg.18,0.0,-1.230529553343437e-32
transcription_TU_525337.3.peg.18,0.0,-49.927594666137985
translation_525337.3.peg.19,0.0,4.9943728610144796e-33
transcription_TU_525337.3.peg.19,0.0,-45.22457480960619
translation_525337.3.peg.21,0.0,7.774815617430742e-33
transcription_TU_525337.3.peg.21,0.0,-1.1724622702047371e-32
