,fluxes,reduced_costs
biomass_dilution,0.25983698654041343,-0.5017934854233986
protein_biomass_to_biomass,0.09258454229677743,6.385022537814102e-35
mRNA_biomass_to_biomass,0.00038251450003449767,6.648501374239743e-35
tRNA_biomass_to_biomass,0.002214948156181338,0.0
rRNA_biomass_to_biomass,0.016546907176002906,-4.886752430515033e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.01498720915641069,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.08099092245002634,0.0
prosthetic_group_biomass_to_biomass,5.113776304292661e-05,6.954172095081589e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.015493390779274058
DM_dhptd(c),0.00019337635102133807,0.0
DM_hcys_L[c],0.00019337635102133807,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.0020630277220349204,0.0
EX_2obut(e),-1.0,-0.007727863374677758
EX_34dhphe(e),0.0,-0.007749826368276745
EX_3mop(e),-1.0,-0.0077389124810558
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.007749826368276745
EX_ac(e),7.212982499047825,0.0
EX_acald(e),0.0,-0.007745747023057198
EX_acgam(e),-1.0,-0.054184634715600304
EX_ade(e),0.9638071966452473,0.0
EX_ala_L(e),-1.0,-0.007733756390145672
EX_alaasp(e),0.0,-0.038734063750306996
EX_alagln(e),0.0,-0.007749077398292139
EX_alaglu(e),0.0,-0.007749077398292139
EX_alagly(e),0.0,-0.01547798515058027
EX_alahis(e),0.0,-0.015498903766568884
EX_alaleu(e),0.0,-0.007749464697905375
EX_alathr(e),0.0,-0.015474719944025108
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.046438142609362694
EX_arg_L(e),-0.15,-0.030990901616426734
EX_asn_L(e),-0.225,-0.03098252996011787
EX_asp_L(e),-0.225,-0.030984986352014857
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.025627284580371022
EX_cellb(e),-0.07449289,-0.09287129017157766
EX_cgly(e),-0.006341993874878905,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.650581607076395,0.0
EX_cobalt2(e),-0.0020630277220349204,0.0
EX_csn(e),-0.018205980859554764,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_cytd(e),0.0,-0.054190549691874215
EX_dad_2(e),-1.0,-0.007747119814860686
EX_dcyt(e),0.9596446746917535,0.0
EX_dgsn(e),-0.008322955870411979,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),4.103718309857139,0.0
EX_fe2(e),-3.115430353821624e-08,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.006189083166104761,0.0
EX_for(e),11.547200365111355,0.0
EX_fru(e),-0.14898579,-0.04643662346098823
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.04643450224725326
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.046437170549896024
EX_gln_L(e),-0.04472163034821773,0.0
EX_glu_L(e),-0.15041407191077197,0.0
EX_gly(e),-0.45,-0.007728907752288132
EX_glyasn(e),0.0,-0.03872675872055247
EX_glyasp(e),0.0,-0.03872921511244946
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.015470133854775215
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.007744228760434599
EX_glyglu(e),0.0,-0.007744228760434599
EX_glyleu(e),0.0,-0.015483250927266157
EX_glymet(e),0.0,-0.007742007931489808
EX_glyphe(e),0.0,-0.007744228760434599
EX_glypro(e),0.0,-0.007744228760434599
EX_glytyr(e),0.0,-0.015494055128711343
EX_gua(e),-0.014023344043781923,0.0
EX_h(e),14.906812647622829,0.0
EX_h2o(e),-6.821069086030721,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.007749826368276745
EX_hista(e),0.1356884217783492,1.2955791700478865e-34
EX_ile_L(e),0.8989373673374706,0.0
EX_k(e),-1.159512155952922e-06,0.0
EX_lac_L(e),0.0,-0.007740164931862369
EX_leu_L(e),-0.10073625871845375,0.0
EX_lys_L(e),-0.09997478609297408,0.0
EX_malt(e),-0.07449289,-0.09286813647110438
