,fluxes,reduced_costs
biomass_dilution,0.0010098054857160216,-0.4997257452778046
protein_biomass_to_biomass,0.000375547479682841,-1.6426089907857927e-34
mRNA_biomass_to_biomass,9.456768503219185e-07,7.190180292265593e-35
tRNA_biomass_to_biomass,5.710455993199143e-06,-8.077669090402e-35
rRNA_biomass_to_biomass,4.1571656968004634e-05,0.0
ncRNA_biomass_to_biomass,0.0,7.892647795720312e-35
tmRNA_biomass_to_biomass,0.0,7.892647795720312e-35
DNA_biomass_to_biomass,5.9895714427032204e-05,7.892647795720312e-35
lipid_biomass_to_biomass,0.0,7.892647795720312e-35
constituent_biomass_to_biomass,0.00031475533515132244,7.892647795720312e-35
prosthetic_group_biomass_to_biomass,1.3370932170221027e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,7.892647795720312e-35
DM_2HYMEPH,0.0,0.0
DM_5MTR,8.017552614939495e-06,0.0
DM_atp_c_,0.0,-0.003407387725154528
DM_dhptd(c),8.499656010807087e-06,0.0
DM_hcys_L[c],8.499656010807087e-06,0.0
EX_12dgr180(e),-7.295238751006826e-06,0.0
EX_12ppd_S(e),0.0,-0.003833208085783466
EX_15dap(e),-6.2642906400817784e-49,0.0
EX_26dap_M(e),-0.00029960094733216754,0.0
EX_2ddglcn(e),0.0,-2.0490369563383952e-07
EX_34dhpha(e),0.0,-0.010221880807099733
EX_3hphac(e),0.0,0.0
EX_3mop(e),-8.396088299315005e-05,0.0
EX_4abz(e),-2.4052657844818488e-05,0.0
EX_4hbz(e),0.0,0.0
EX_Lcyst(e),0.0,-0.004258878018756524
EX_Lkynr[e],0.0,-0.022999370249677117
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),-0.00044327629555125696,0.0
EX_acac(e),0.0,-0.005111102217038686
EX_acald(e),0.0,-0.002555429952430169
EX_acgam(e),0.0,0.0
EX_adocbl(e),-8.017552614939495e-06,0.0
EX_akg(e),0.1796941965808885,0.0
EX_ala_L(e),1.069290523677952,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),1.5758209005228753e-22,0.0
