,fluxes,reduced_costs
biomass_dilution,0.003461855881384983,0.014013307301451672
protein_biomass_to_biomass,0.0018004682101021123,1.0882669123533245e-36
mRNA_biomass_to_biomass,4.702649253950177e-06,-2.8384877427848405e-36
tRNA_biomass_to_biomass,2.8524604271376358e-05,-2.2152693640564804e-36
rRNA_biomass_to_biomass,2.4611095927577732e-05,-1.4386443447969602e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00020533690290774106,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00038481127086577706,0.0
prosthetic_group_biomass_to_biomass,6.377798740100694e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,-5.078444948015261e-06
DM_5DRIB,0.0,-3.1966206146966033e-06
DM_AMOB,0.0,-7.530970136598027e-06
DM_atp_c_,0.0,-1.2178073279706126e-07
DM_btn,0.0,-1.3657498870041588e-07
DM_clpn140(c),0.0,-1.260652111036301e-05
DM_clpn160(c),0.0,-9.73397161839715e-06
DM_clpn180(c),0.0,-1.273751258984874e-05
DM_clpni16(c),0.0,-6.839182370531087e-06
DM_dad_5,0.0,-2.979978256482713e-06
DM_dhptd(c),2.675764239080071e-06,0.0
DM_kdo2lipid4L(c),0.0,-8.69283323619166e-06
EX_34dhpha(e),0.0,0.0
EX_3hphac(e),0.0,0.0
EX_4abut(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),0.2732820717218467,0.0
EX_acald(e),0.0,-6.113313706734669e-08
EX_acgam(e),-2.0880974297595278e-51,0.0
EX_adn(e),-0.000580577885145453,0.0
EX_adocbl(e),-1.3179235217499757e-14,0.0
EX_akg(e),0.14920799992824224,0.0
EX_ala_D(e),-1.4328323490506425e-26,0.0
EX_ala_L(e),-4.168029634426953e-26,0.0
EX_alaasp(e),0.0,-3.6052518502433584e-08
EX_alagln(e),0.0,-3.5539880509354826e-08
EX_alaglu(e),0.0,-3.6052518502433584e-08
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-3.5539880509354826e-08
EX_alaleu(e),0.0,-3.6083199441019305e-08
