,fluxes,reduced_costs
biomass_dilution,0.3219290983087961,-0.3206030185446461
protein_biomass_to_biomass,0.1377731941469571,9.127878536263892e-35
mRNA_biomass_to_biomass,0.0006509900339045694,6.126990920601833e-35
tRNA_biomass_to_biomass,0.003966161236389745,5.382991505172179e-35
rRNA_biomass_to_biomass,0.028023867709381846,4.50100184706123e-35
ncRNA_biomass_to_biomass,0.0,5.998413476220913e-35
tmRNA_biomass_to_biomass,0.0,5.998413476220913e-35
DNA_biomass_to_biomass,0.01794416148827209,5.998413476220913e-35
lipid_biomass_to_biomass,0.0,5.998413476220913e-35
constituent_biomass_to_biomass,0.0559840899378902,5.998413476220913e-35
prosthetic_group_biomass_to_biomass,8.921204833720041e-05,3.426800097725514e-35
peptidoglycan_biomass_to_biomass,0.0,5.998413476220913e-35
DM_4HBA,8.74064047198166e-08,0.0
DM_AMOB,0.012832368693796706,0.0
DM_atp_c_,0.0,-0.00782614736701343
DM_btn,0.012832368693796706,0.0
DM_dad_5,0.012832368693796706,0.0
DM_dhptd(c),0.013144017957257862,0.0
DM_kdo2lipid4L(c),0.0,-0.290892538867437
DM_pheme(c),0.0,-0.007827523132390818
DM_teich_45_BS(c),0.0,-3.557956722131896
EX_12ppd_S(e),0.14898579,0.0
EX_2obut(e),-0.16069359916338544,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),6.961968970796898,0.0
EX_acgam(e),-1.0,-0.030222933569531533
EX_adn(e),0.0,0.0
EX_adocbl(e),0.0,0.0
EX_amylopect900(e),-1.567e-05,-27.20822829796507
EX_amylose300(e),-4.702e-05,-8.2869313553145
EX_arg_L(e),-0.08646611358200612,0.0
EX_asn_L(e),-0.225,-0.009263631703003743
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.02950135716856901
EX_chtbs(e),0.0,-0.0565296630882007
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.0039535600549028,0.0
EX_cobalt2(e),-0.0025142478722024477,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-0.01762003163397988
EX_dad_2(e),-2.6267580119988793e-36,0.0
EX_dcyt(e),-0.01341074849996957,0.0
EX_ddca(e),-0.04682153553780845,0.0
EX_dgsn(e),2.6267580119988793e-36,0.0
EX_din(e),0.0,0.0
EX_duri(e),2.976542142625392e-23,0.0
EX_fe2(e),-1.2370541071310588e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),5.969036928841054,0.0
EX_fru(e),-0.14898579,-0.02827794525594533
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-0.023418059434555525
EX_gam(e),-1.0,-0.028273775271365476
EX_gcald(e),0.0,-0.003147036215699522
EX_glc_D(e),0.0,-0.022405931905960876
EX_glcur(e),0.0,-0.023426414029497813
EX_gly(e),-0.45,-0.0036452333878753307
EX_glyc3p(e),-1.0,-0.022437711916901738
EX_glygn2(e),0.0,-0.2621126552623536
EX_glygn4(e),0.0,-0.082866575780044
EX_glygn5(e),0.0,-0.06046201963946052
EX_glymet(e),7.568253264634677e-24,0.0
EX_gsn(e),0.0,-1.5235762692582137e-05
EX_h(e),17.65433720832044,0.0
EX_h2(e),0.6512697130427698,0.0
EX_h2o(e),-3.2468349575989675,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_indole(e),0.06085056086822104,0.0
EX_ins(e),0.0,-1.2530428989378157e-05
EX_inulin(e),-0.00047019,-0.8991926442050239
EX_isobut(e),0.0,-0.012198454738264296
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-2.181270862288954e-06,0.0
EX_kestopt(e),-0.00282117,-0.13551633716436481
EX_lac_D(e),0.0,-0.007311497239459422
EX_lcts(e),-0.07449289,-0.05262997857017956
EX_leu_L(e),-0.15,-0.022973721495711988
EX_lys_L(e),-0.1273424091096287,0.0
EX_malt(e),-0.07449289,-0.06046339540483791
EX_malttr(e),0.0,-0.09069409891243482
EX_man(e),-0.14898579,-0.022407309529616753
EX_mantr(e),0.0,-0.08285343789939761
EX_meoh(e),0.019343418693796705,0.0
EX_met_L(e),-0.07585240327939874,0.0
EX_mg2(e),-0.0033875532888679514,0.0
EX_mn2(e),-2.130617671415283e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0025144315389910234,0.0
EX_nh4(e),3.2005856782799573,2.513856022465748e-36
EX_o2(e),-0.01,-0.022498219732729093
EX_ocdca(e),0.0,0.0
EX_pac(e),0.9121873841052457,0.0
EX_pb(e),0.0,0.0
EX_pect(e),-3.339e-05,-9.133041803711277
EX_phe_L(e),-1.0,-0.007316822272216076
