,fluxes,reduced_costs
biomass_dilution,0.04780970001730235,-0.41781782462446587
protein_biomass_to_biomass,0.023986258413544608,-6.22826536506614e-35
mRNA_biomass_to_biomass,7.023944474885485e-05,0.0
tRNA_biomass_to_biomass,0.00042188090047409353,0.0
rRNA_biomass_to_biomass,0.003120992981551724,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0028356797038200914,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0038732824054521016,0.0
prosthetic_group_biomass_to_biomass,9.095810092035977e-06,6.754139639505089e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,-0.033763886315769806
DM_GCALD,0.0,-0.09652441857750592
DM_atp_c_,0.0,-0.009651601603785111
DM_dhptd(c),2.2903931838904098e-05,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_4abz(e),0.0,0.0
EX_5mthf(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),5.929079424838303,0.0
EX_acald(e),0.0,-0.0048243927292780375
EX_ade(e),-0.00802385980501665,0.0
EX_ala_L(e),-0.026148543889036143,0.0
EX_alaasp(e),0.0,-0.01206985085148264
EX_alagln(e),3.1514868408827837e-23,0.0
EX_alaglu(e),3.073035855884605e-23,0.0
EX_alagly(e),0.0,-4.086299146777975e-07
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.0048244128700822885
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.004819933265397587
EX_arabttr(e),0.0,-0.01445958175882206
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.012811436649516122,0.0
EX_asn_L(e),-0.225,-0.016889405736349793
EX_asp_L(e),-0.225,-0.016890515250483244
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.020987158130545927
EX_cellb(e),-0.07449289,-0.028942003395615416
EX_cgly(e),-0.0021396567184991406,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.4425477985232904,0.0
EX_cobalt2(e),-0.0009573434562407376,0.0
EX_csn(e),0.024037508413603536,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.00021365078876198622,0.0
EX_dextrin(e),0.0,-0.1061300214102539
EX_dgchol(e),0.0,-0.004820868713957942
