,fluxes,reduced_costs
biomass_dilution,0.575586285337437,-0.5450191213585185
protein_biomass_to_biomass,0.19905207035621747,1.9859938143193524e-34
mRNA_biomass_to_biomass,0.001235739465604349,0.0
tRNA_biomass_to_biomass,0.007271300245196315,9.215504424180731e-35
rRNA_biomass_to_biomass,0.053356055459820514,6.646900526853445e-35
ncRNA_biomass_to_biomass,0.0,6.655761348958215e-35
tmRNA_biomass_to_biomass,0.0,6.655761348958215e-35
DNA_biomass_to_biomass,0.02312930999528089,6.655761348958215e-35
lipid_biomass_to_biomass,0.0,6.655761348958215e-35
constituent_biomass_to_biomass,0.17940965533716474,6.655761348958215e-35
prosthetic_group_biomass_to_biomass,0.00016536490278043107,0.0
peptidoglycan_biomass_to_biomass,0.0,6.655761348958215e-35
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.01802913735413489
DM_dhptd(c),-6.113445251506575e-23,0.0
DM_hcys_L[c],9.890922181658098,0.0
EX_26dap_M(e),-0.1849322073359237,0.0
EX_2ddglcn(e),0.0,-0.04727749316486906
EX_3mop(e),-1.0,-0.0033846011739496573
EX_C02528(e),0.0,-0.003399573348217692
EX_Cit_Mg(e),0.0,0.0
EX_Lcyst(e),-2.200152948224431e-23,0.0
EX_Lkynr[e],0.0,0.0
EX_ac(e),11.550960526526977,0.0
EX_acald(e),0.0,-0.014633578491020052
EX_acgam(e),-1.0,-0.06298323122368353
EX_adn(e),-1.0,-0.007115544773977195
EX_adocbl(e),-0.004569982429693649,0.0
EX_ala_L(e),-1.0,-0.011221522723502722
EX_alaasp(e),0.0,-0.01455552261377764
EX_alagln(e),0.0,-0.0377451210140849
EX_alaglu(e),0.0,-0.04114987937042
EX_alagly(e),0.0,-0.0044105228362409585
EX_alahis(e),4.526051002539361e-23,0.0
EX_alaleu(e),0.0,-0.039309581733817
EX_alathr(e),0.0,-0.019038686021422186
EX_alltn(e),0.0,0.0
EX_amp(e),-1.0,-0.008216503315772833
EX_arab_L(e),-0.17878295,-0.036381220782402045
EX_arbt(e),0.0,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.012336750164213735
EX_asp_L(e),-0.225,-0.01574549251560892
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),2.3707322127864677e-28,0.0
EX_cbl1(e),-1.1962259970880952e-07,0.0
EX_cbl2(e),1.5643523201718815e-23,0.0
EX_cd2(e),0.0,0.0
