,fluxes,reduced_costs
biomass_dilution,0.21808716147800933,-0.47346334991753347
protein_biomass_to_biomass,0.07815654257782505,3.136727762006932e-35
mRNA_biomass_to_biomass,0.0003044596715700509,0.0
tRNA_biomass_to_biomass,0.0017994645516529319,5.533536948146523e-35
rRNA_biomass_to_biomass,0.013092968941522082,0.0
ncRNA_biomass_to_biomass,0.0,6.005871985553777e-35
tmRNA_biomass_to_biomass,0.0,6.005871985553777e-35
DNA_biomass_to_biomass,0.012751824691365566,6.005871985553777e-35
lipid_biomass_to_biomass,0.0,6.005871985553777e-35
constituent_biomass_to_biomass,0.06797754475906614,6.005871985553777e-35
prosthetic_group_biomass_to_biomass,4.130108498090755e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,6.005871985553777e-35
DM_5MTR,0.0,-0.060338213339079357
DM_atp_c_,0.0,-0.017250126667576242
DM_dad_5,0.0,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.004311103198720943
EX_12dgr180(e),-0.009066493946692986,0.0
EX_12dhchol(e),0.0,-0.008626683883177161
EX_26dap_M(e),-3.405272668944351e-24,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),7.410169750911487,0.0
EX_acald(e),0.0,-0.008621906835382501
EX_acgam(e),-1.0,-0.05601100690885082
EX_adocbl(e),-0.0017315466359869504,0.0
EX_ala_L(e),-1.0,-0.008609371083451292
EX_alaasp(e),0.0,-0.012905047298261542
EX_alagln(e),0.0,-0.008597786213445308
EX_alaglu(e),0.0,-0.008601287171449708
EX_alagly(e),2.2782169173988426e-23,0.0
EX_alahis(e),0.0,-0.012921321238443561
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.021550040452708513
EX_alltn(e),2.1377531371631155e-35,0.0
EX_amp(e),-0.028717723740521707,0.0
EX_arab_L(e),-0.17878295,-0.025832826524519965
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.06116792172237711,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.03635267886652602,0.0
EX_asp_L(e),-0.225,-0.012921485493226815
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),-1.8023067390276832e-07,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.03266078551869546
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.2303922643628098,0.0
EX_cobalt2(e),-0.001731558503553638,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.02092869382969845,0.0
EX_dcyt(e),-0.020707977595499586,0.0
EX_drib(e),2.034455143482214e-23,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),4.465945259174093,0.0
EX_fe2(e),-2.5005069138724357e-07,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0051946399079608515,0.0
EX_for(e),10.934599294904919,0.0
EX_fru(e),-0.14898579,-0.05170480154270741
EX_fum(e),-1.0,-0.012919439315014308
EX_gal(e),-0.14898579,-0.034445587357910645
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.05170295579703388
EX_gcald(e),0.0,-0.02587177755938619
EX_glc_D(e),0.0,-0.05170453307298298
EX_gln_L(e),-0.18,-0.008614224408410582
EX_glu_L(e),-0.18,-0.008616993253897852
EX_gly(e),-0.057877994983781274,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.004298656735741715
EX_glyb(e),0.0,0.0
