,fluxes,reduced_costs
biomass_dilution,0.0441114678723561,-0.3869497347941571
protein_biomass_to_biomass,0.0215012121211116,6.158357863111942e-35
mRNA_biomass_to_biomass,5.881551882446253e-05,0.0
tRNA_biomass_to_biomass,0.00034477906436773003,0.0
rRNA_biomass_to_biomass,0.002584687005258498,0.0
ncRNA_biomass_to_biomass,0.0,-5.813833804406098e-35
tmRNA_biomass_to_biomass,0.0,-5.813833804406098e-35
DNA_biomass_to_biomass,0.002616358276067915,-5.813833804406098e-35
lipid_biomass_to_biomass,0.0,-5.813833804406098e-35
constituent_biomass_to_biomass,0.004903320817886049,-5.813833804406098e-35
prosthetic_group_biomass_to_biomass,7.863250714573396e-06,0.0
peptidoglycan_biomass_to_biomass,0.0,-5.813833804406098e-35
DM_atp_c_,0.0,-0.009904842762976563
DM_dhptd(c),2.6341953126278712e-05,0.0
EX_13ppd(e),0.0,0.0
EX_ac(e),0.7865354318473499,0.0
EX_acald(e),0.0,-0.004951778279853017
EX_akg(e),0.0,-0.004952953765827298
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.019723632464591613,0.0
EX_alaasp(e),0.0,-0.007426435802031642
EX_alagln(e),5.080209649196119e-23,0.0
EX_alaglu(e),5.080209649196119e-23,0.0
EX_alagly(e),5.0818752922707384e-23,0.0
EX_alahis(e),5.1537423497674465e-23,0.0
EX_alaleu(e),5.097699214127661e-23,0.0
EX_alathr(e),5.085435846440028e-23,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.017330494171570072
EX_arg_L(e),-0.0214174323613598,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.012378254264201713
EX_asp_L(e),-0.225,-0.01237885953550652
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.019417706343172438
EX_cgly(e),2.880827952153828e-34,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.8674505721771518,0.0
EX_cobalt2(e),-0.00034448428433679607,0.0
EX_csn(e),-0.0035858448913168887,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0007274616713623196,0.0
EX_ddca(e),0.0,0.0
EX_dextrin(e),0.0,-0.10892487646505297
EX_diact(e),0.0,-0.017332324896078333
EX_drib(e),-0.17878295,-0.004949048786220891
EX_etha(e),0.0,-0.0024748960257190357
EX_etoh(e),0.0,-2.5467095297889486e-07
EX_fe2(e),-1.4759325876790826e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-0.43668788573651446,0.0
EX_gal(e),-0.14898579,-0.014851799752596827
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),0.0,-0.017328446554306855
EX_glcn(e),-0.14898579,-0.014854208673414785
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.061174303740381804,0.0
EX_gly(e),-0.45,-0.0024716989881180414
EX_glyasn(e),0.0,-0.009897559683510441
EX_glyasp(e),0.0,-0.00989816495481525
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.004949887113169219
EX_glyc3p(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),5.0818752922707384e-23,0.0
EX_glyglu(e),5.0818752922707384e-23,0.0
EX_glyleu(e),0.0,-0.004948095483318279
EX_glymet(e),5.2648769793360085e-23,0.0
EX_glyphe(e),5.089798165143312e-23,0.0
EX_glypro(e),5.1598937556595947e-23,0.0
EX_glytyr(e),5.115056326428395e-23,0.0
EX_h(e),3.3230793292113243,0.0
EX_h2(e),-0.014051053214745467,0.0
EX_h2o(e),0.47569071606269997,0.0
EX_hdca(e),8.998131781466693e-23,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.006645775829114134,0.0
EX_hxan(e),-0.005948946785254533,0.0
EX_ile_L(e),0.19060006477249622,0.0
EX_ind3ac(e),0.0,0.0
EX_k(e),-1.6294878609277907e-07,0.0
EX_lac_D(e),5.432693049306467,0.0
EX_lac_L(e),9.21161330261104e-23,0.0
EX_leu_L(e),-0.025813456871685174,0.0
EX_lys_L(e),-0.02957981594761905,0.0
EX_malt(e),-0.07449289,-0.03960953339054859
EX_man(e),-0.14898579,-0.01980527283502734
EX_mantr(e),0.0,-0.04950862473399874
EX_melib(e),-0.07449289,-0.02970399579160981
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),5.2648769793360085e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.010860577943356148,0.0
EX_mg2(e),-0.00030195720395511386,0.0
EX_mn2(e),-1.8274443522783757e-07,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.028456978919682376,0.0
EX_nh4(e),2.0375033673329788,0.0
EX_nmn(e),-0.028801485036610272,0.0
EX_o2(e),-0.01,-0.01980690409926011
EX_ocdca(e),0.0,0.0
EX_orn(e),0.0214174323613598,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.008612245779701863,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0003444840972023777,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
