,fluxes,reduced_costs
biomass_dilution,0.051858996228181894,-0.30583108481621946
protein_biomass_to_biomass,0.025249124917959106,-6.185515260869361e-35
mRNA_biomass_to_biomass,7.02730604273724e-05,0.0
tRNA_biomass_to_biomass,0.00041139818685342964,5.580685660621711e-35
rRNA_biomass_to_biomass,0.003075963602433363,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.003075806161750984,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.005764516758683338,0.0
prosthetic_group_biomass_to_biomass,9.280773722306743e-06,3.4087236445741023e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2obut[c],3.140613281653785e-05,0.0
DM_atp_c_,0.0,-0.008210781106256051
DM_clpn140(c),0.0,-0.016427400924239062
DM_clpn160(c),0.0,-0.016426157205936345
DM_clpn180(c),0.0,-0.016426157205936345
DM_clpni16(c),0.0,-0.01642864464254178
DM_dhptd(c),3.140613281653785e-05,0.0
EX_13ppd(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),1.1443550788819088,0.0
EX_acald(e),0.0,-0.0041046414063777
EX_adocbl(e),0.0,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.012197517358624628,0.0
EX_alahis(e),1.1902892867546116e-23,0.0
EX_arab_L(e),-0.17878295,-0.01436506462757468
EX_arg_L(e),-0.02113005104569596,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.004102367155379834
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cd2(e),0.0,-0.01575577909467871
EX_cgly(e),-1.0,-0.0020524195692031037
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.813895137265202,0.0
EX_cobalt2(e),-0.0004049876451443637,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9991018462899285,0.0
EX_ddca(e),-1.4989511786144593e-33,0.0
EX_dextrin(e),0.0,-0.09028525300778316
EX_dgchol(e),0.0,-2.1657480231591623e-07
EX_diact(e),0.0,0.0
EX_drib(e),-0.17878295,-0.004101500824614278
EX_etoh(e),0.0,-2.459915665316307e-07
EX_fe2(e),-4.3149460120009e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),-1.0,-0.002047957276752557
EX_gal(e),-0.14898579,-0.01230989988328657
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gchola(e),0.0,-2.1657480231591623e-07
EX_glc_D(e),0.0,-0.0143630564754014
EX_glcn(e),-0.14898579,-0.012312711133681186
EX_gln_L(e),-0.0215996175153033,0.0
EX_glu_L(e),-0.04507392137133253,0.0
EX_gly(e),-0.020316197260906377,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.004102542533113644
EX_h(e),3.041953981579313,0.0
EX_h2(e),-1.0,-4.879237147280696e-07
EX_h2o(e),0.43677976955834114,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0034686280233429665,0.0
EX_ile_L(e),-0.03422332073011432,0.0
EX_ind3ac(e),0.0,0.0
EX_k(e),-1.9674720618227817e-07,0.0
EX_lac_D(e),5.097428605053912,0.0
EX_lac_L(e),0.0,-2.8062597947751592e-08
EX_leu_L(e),-0.021143510659332933,0.0
EX_lys_L(e),-0.028130044959010603,0.0
EX_mal_L(e),0.0,-0.004103842519540152
EX_malt(e),-0.07449289,-0.03283164115131532
EX_mantr(e),0.0,-0.04103592769092023
EX_melib(e),-0.07449289,-0.02462017998948953
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.008142571555832097,0.0
EX_mg2(e),-0.0003598344456955038,0.0
EX_mn2(e),-3.885243857947237e-07,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.03359625596933122,0.0
EX_nh4(e),2.4013098871790457,0.0
EX_nmn(e),-0.03400124361447558,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.008208768369908538
EX_o2(e),-0.01,-0.016417769211068346
EX_ocdca(e),9.487168998328846e-24,0.0
EX_orn(e),0.00828658093258272,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.019108385025482667,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0004049876451443637,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.00040498764709278164,0.0
EX_pydxn(e),0.0,0.0
EX_raffin(e),-0.00470194,-0.04924728767674024
EX_rib_D(e),-0.17878295,-0.008207069845928455
EX_ribflv(e),-0.0008099753119104423,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.004103250939292344
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,-0.06566303537817093
EX_succ(e),0.17601011171250694,0.0
EX_sucr(e),-0.07449289,-0.0389901676607037
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,-2.1657480231591623e-07
EX_tdchola(e),0.0,-2.1657480231591623e-07
EX_thm(e),0.0,0.0
EX_thr_L(e),-0.021918333584383366,0.0
EX_thymd(e),-0.0030348423621603337,0.0
EX_trp_L(e),-0.001420935299135326,0.0
EX_ttdca(e),-1.1342530241184115e-57,0.0
EX_tyr_L(e),-0.012406788671703077,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.024211449375493743,0.0
EX_xan(e),-0.01146425716081474,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-1.4793467140442184e-07,0.0
translation_491077.3.peg.1,0.0,2.128690012523349e-32
transcription_TU_491077.3.peg.1,0.0,-7.416210745938323e-33
translation_491077.3.peg.12,1.678762935417344e-29,2.690801089886449e-33
transcription_TU_491077.3.peg.12,8.620898811204656e-31,-1.7439061121873658e-32
translation_491077.3.peg.14,0.0,2.367215129478655e-33
transcription_TU_491077.3.peg.14,0.0,1.5385119840117946e-33
translation_491077.3.peg.15,0.0,1.227698544794503e-32
transcription_TU_491077.3.peg.15,0.0,-3.391020417206622e-33
translation_491077.3.peg.20,0.0,4.464330624874755e-33
transcription_TU_491077.3.peg.20,0.0,1.8873427819521182e-32
translation_491077.3.peg.29,3.849409480787708e-08,5.58569351723604e-33
transcription_TU_491077.3.peg.29,1.9767752149672004e-09,1.3077062539719562e-32
translation_491077.3.peg.30,0.0,5.7195704147150945e-33
transcription_TU_491077.3.peg.30,0.0,-1.646080740901017e-32
translation_491077.3.peg.32,0.0,-9.677127396695981e-34
transcription_TU_491077.3.peg.32,0.0,-26.6951409238884
translation_491077.3.peg.33,7.338596546485685e-09,-3.2664084876582974e-34
transcription_TU_491077.3.peg.33,3.768566539397691e-10,-1.965485507849686e-32
translation_491077.3.peg.40,2.5788566191159306e-08,-2.545999488016993e-32
transcription_TU_491077.3.peg.40,1.3243121764690283e-09,1.8477992794149588e-32
translation_491077.3.peg.41,0.0,7.115087917707172e-33
transcription_TU_491077.3.peg.41,0.0,-3.232259612530762e-32
translation_491077.3.peg.44,2.531908364113762e-10,5.040390538324642e-34
transcription_TU_491077.3.peg.44,1.300202985867862e-11,7.2709580705226e-35
translation_491077.3.peg.54,6.697852004134726e-07,-2.2045633955833208e-32
transcription_TU_491077.3.peg.54,3.439526997939064e-08,1.9266572270331993e-32
translation_491077.3.peg.59,0.0,-1.9450494663425274e-32
transcription_TU_491077.3.peg.59,0.0,3.601563192336283e-32
translation_491077.3.peg.60,0.0,-2.2649876980889214e-33
