,fluxes,reduced_costs
biomass_dilution,0.12740275745421514,-0.5084364868837918
protein_biomass_to_biomass,0.046328252193243616,-1.078606242089534e-34
mRNA_biomass_to_biomass,0.00015600899374100855,8.820353461101698e-35
tRNA_biomass_to_biomass,0.0009590671368007852,0.0
rRNA_biomass_to_biomass,0.006624090700908941,8.070734567947566e-35
ncRNA_biomass_to_biomass,0.0,-5.522400679088299e-35
tmRNA_biomass_to_biomass,0.0,-5.522400679088299e-35
DNA_biomass_to_biomass,0.0075433514398176235,-5.522400679088299e-35
lipid_biomass_to_biomass,0.0,-5.522400679088299e-35
constituent_biomass_to_biomass,0.03971130894903979,-5.522400679088299e-35
prosthetic_group_biomass_to_biomass,2.103618196383958e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-5.522400679088299e-35
DM_2obut[c],0.0,-0.015408712678029353
DM_5DRIB,1.8636415355385937e-25,0.0
DM_5MTR,0.001011539673359232,0.0
DM_atp_c_,0.0,-0.012338390461760027
DM_dad_5,0.0,-0.0030828281326975874
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.003076651001269707
EX_2dmmq8(e),0.0,0.0
EX_2obut(e),-1.0,-0.012323706720418019
EX_Lcyst(e),3.6634886869914633e-23,0.0
EX_ac(e),7.499117022946257,0.0
EX_acald(e),0.0,-0.006167899364154436
EX_acgam(e),0.0,0.0
EX_ade(e),0.0026633293592345244,0.0
EX_adocbl(e),-0.001011539673359232,0.0
EX_ala_L(e),-1.0,-0.0061635305765636444
EX_amp(e),-0.02023050184051959,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_asp_L(e),-0.225,-0.009246911650225098
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.041552959854854306
EX_cellb(e),-0.07449289,-0.08632627566826614
EX_cgly(e),-1.0,-0.006155473007582291
EX_cl(e),0.0,0.0
EX_co2(e),0.166240635068613,0.0
EX_cobalt2(e),-0.0010115405135275746,0.0
EX_cro4(e),0.0,0.0
