,fluxes,reduced_costs
biomass_dilution,0.15731756968319976,-0.5484938082799956
protein_biomass_to_biomass,0.056426385453014975,-6.533536592457468e-35
mRNA_biomass_to_biomass,0.00020850398011514198,0.0
tRNA_biomass_to_biomass,0.0012473562926980375,-5.830587648469186e-35
rRNA_biomass_to_biomass,0.009338990200561009,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0092935059331421,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0490357252671453,0.0
prosthetic_group_biomass_to_biomass,2.7260739202271747e-05,6.953924601184188e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.013062984198207239
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],7.42762548634792e-05,0.0
EX_12dgr180(e),-0.0011365250504193083,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.001249054308013701,0.0
EX_2obut(e),-5.756797068278e-48,0.0
EX_34dhphe(e),0.0,-0.004349521413780576
EX_3mop(e),-0.07817265732974699,0.0
EX_5htrp(e),0.0,-0.004349521413780576
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),9.425927808081541,0.0
EX_acald(e),0.0,-0.006530859777250217
EX_ade(e),-0.012548199055536335,0.0
EX_ala_L(e),-0.11092099444083825,0.0
EX_alaasp(e),0.0,-0.01957806308630588
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.002171972149556771
EX_amylopect900(e),-1.567e-05,-31.334153200786147
EX_amylose300(e),-4.702e-05,-9.138615309358029
EX_arab_L(e),0.0,0.0
EX_asn_L(e),-0.02897650498704482,0.0
EX_asp_L(e),-0.225,-0.02393497161348663
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.04446209294567551
EX_cellb(e),-0.07449289,-0.0652772886671682
EX_cgly(e),-0.001249054308013701,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.3389705876799016,0.0
EX_cobalt2(e),-0.0012490545903739924,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00788738169814049,0.0
EX_cytd(e),0.0,-0.06312076825073248
EX_dad_2(e),-0.00768325105470655,0.0
EX_dextran40(e),-0.00017632,-2.6111171587176303
EX_dextrin(e),0.0,-0.22195915412343514
EX_dgsn(e),-0.007406822675129393,0.0
EX_diact(e),0.0,0.0
EX_dopa(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_etoh(e),3.76829842965167,0.0
EX_fe2(e),-8.652671144264239e-08,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0037471629240411032,0.0
EX_for(e),7.010150393525889,0.0
EX_fru(e),-0.14898579,-0.034817590561654094
EX_galur(e),0.0,-0.039169601045956785
EX_glc_D(e),0.0,-0.026108214041179936
EX_glcur(e),0.0,-0.039170945640569464
EX_gln_L(e),-0.07554888404509731,0.0
EX_glu_L(e),0.010907949200547705,0.0
EX_gly(e),0.13987539880686897,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.019576718491693203
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.013048199650784131
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glygn2(e),0.0,-0.3002498552540738
EX_glygn4(e),0.0,-0.09138481522194067
EX_glygn5(e),0.0,-0.06527727347806708
EX_glyleu(e),0.0,-0.004351294543616336
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-0.004351067032246205
EX_glytyr(e),2.4576837384329701e-23,0.0
EX_gua(e),-0.0075993784183077916,0.0
EX_h(e),13.811281678718066,0.0
EX_h2o(e),-4.804584744201946,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.004349521413780576
EX_hista(e),0.12726149394658234,0.0
EX_hxan(e),0.0,0.0
EX_inulin(e),-0.00047019,-1.1620666105610717
EX_k(e),-1.1254340900492383e-06,0.0
EX_lac_L(e),0.0,-0.00652584625020264
EX_lcts(e),-0.07449289,-0.06527265234862933
EX_leu_L(e),-0.10324167256044194,0.0
EX_lys_L(e),-0.03785175199889391,0.0
EX_malt(e),-0.07449289,-0.06527794577537342
EX_malthx(e),0.0,-0.22195956062338806
EX_malttr(e),0.0,-0.10444717957694485
EX_man(e),-0.14898579,-0.026106324584258
EX_mantr(e),0.0,-0.1044392548019981
EX_melib(e),-0.07449289,-0.06527200555135891
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.025860709026577305,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.001066205445420197,0.0
EX_mn2(e),-1.8342764001175609e-06,0.0
EX_mqn8(e),-0.001249054308013701,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0012491165280740888,0.0
EX_nh4(e),1.0321523768353411,0.0
EX_o2(e),-0.01,-0.013063928163370448
EX_ocdca(e),-0.010807213621012838,0.0
EX_orn(e),-0.03250460541612218,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.03669410905689309,0.0
