,fluxes,reduced_costs
biomass_dilution,0.5261204204900067,-0.504645965810639
protein_biomass_to_biomass,0.20921856310838302,-3.169802478142073e-35
mRNA_biomass_to_biomass,0.0012557862252838572,0.0
tRNA_biomass_to_biomass,0.0076242593324588204,-6.016660534835921e-35
rRNA_biomass_to_biomass,0.03468056204394156,-4.913919101338911e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02289576464710108,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.13258560539206243,0.0
prosthetic_group_biomass_to_biomass,0.0001744379923105227,6.975816127265175e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.0514042929908359
DM_5MTR,0.0,-0.058915149272551204
DM_atp_c_,0.0,-0.012866894552354834
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0032083401874121774
EX_26dap_M(e),-1.0,-0.0032055011442269432
EX_34dhphe(e),0.0,-0.003204657994917257
EX_3mop(e),-1.0,-0.006427624026565846
EX_4abut(e),0.0,-0.009672900150292908
EX_4abz(e),-0.004887395646141917,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.003204657994917257
EX_Lkynr[e],0.0,0.0
EX_ac(e),19.926784643399316,0.0
EX_acac(e),0.0,-0.010727473953135978
EX_acald(e),0.0,-0.006409434850395281
EX_acgam(e),-1.0,-0.03745027692505172
EX_adocbl(e),-0.0016291318820473059,0.0
EX_ala_D(e),-1.0,-0.004277629776199957
EX_ala_L(e),-1.0,-0.004279835637877574
EX_alaasp(e),0.0,-0.01607291215612692
EX_alagln(e),0.0,-0.0064612200295422915
EX_alaglu(e),0.0,-0.00859572548597547
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-0.005362633846239352
EX_alaleu(e),0.0,-0.021460498377440934
EX_alathr(e),0.0,-0.006419736852495266
EX_alltn(e),0.0,0.0
EX_amp(e),-1.0,-0.04281997841938249
EX_arab_L(e),-0.17878295,-0.0192192628606516
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.0053522523385415395
EX_asn_L(e),-0.225,-0.018214066157499712
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.02035628146301343
EX_biomass(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
