,fluxes,reduced_costs
biomass_dilution,0.043507970858940315,-0.8193792898012864
protein_biomass_to_biomass,0.020018597980466676,-1.7956775953981888e-34
mRNA_biomass_to_biomass,5.5373319443050015e-05,-7.951685278965126e-35
tRNA_biomass_to_biomass,0.0003220463798475145,0.0
rRNA_biomass_to_biomass,0.0013904273436408864,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0025805672349258593,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.007566119889062131,0.0
prosthetic_group_biomass_to_biomass,0.00031437734754169325,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,3.3598456302635144e-09,0.0
DM_AMOB,0.0,-4.4106624961051864e-05
DM_atp_c_,0.0,-2.623865208128992e-06
DM_btn,0.0,-2.809796707526173e-06
DM_dad_5,0.0,-1.832599671259289e-05
DM_kdo2lipid4L(c),0.0,-8.922844684164322e-05
DM_pheme(c),0.0,0.0
DM_teich_45_BS(c),0.0,-0.00045910985207139616
EX_12ppd_S(e),0.0,-2.9987468400463876e-06
EX_2obut(e),-0.021425884239555777,0.0
EX_4abut(e),0.0,-2.360124991639927e-06
EX_4hbz(e),0.0,0.0
EX_Ser_Thr(e),0.0,-1.8593149939718067e-07
EX_T_antigen(e),0.0,-3.7186299879436133e-07
EX_Tn_antigen(e),0.0,-5.57794498191542e-07
EX_ac(e),0.7437859353511179,0.0
EX_acgal(e),0.0,-5.57794498191542e-07
EX_acgalglcur(e),0.0,-3.842584320875067e-07
EX_acgalidour(e),0.0,-3.7186299879436133e-07
EX_acgalidour2s(e),0.0,-1.8593149939718067e-07
EX_acgam(e),-0.0025311197126897116,0.0
EX_acnam(e),0.0,0.0
EX_adn(e),-0.009242529496327909,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.1041994502303514,0.0
EX_arab_L(e),0.0,0.0
EX_arabinogal(e),0.0,0.0
EX_arabttr(e),0.0,-6.922530944467533e-06
EX_arg_L(e),-0.013605407028228976,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.031938579252820266,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.045979991042671836
EX_cellb(e),-5.629702141380341e-36,1.586476452780846e-32
EX_chtbs(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0796741339965188,0.0
EX_cobalt2(e),-0.0004764091292481858,0.0
EX_core2(e),0.0,-1.8593149939718067e-07
EX_core3(e),0.0,-3.7186299879436133e-07
EX_core4(e),0.0,-1.8593149939718067e-07
EX_core5(e),0.0,-9.296574969859033e-07
EX_core6(e),0.0,-3.7186299879436133e-07
EX_core7(e),0.0,-9.296574969859033e-07
EX_core8(e),0.0,-3.7186299879436133e-07
EX_cro4(e),0.0,0.0
EX_cspg_a(e),0.0,-2.1072236598347143e-07
EX_cspg_a_degr(e),0.0,-1.9832693269032605e-07
EX_cspg_ab_rest(e),0.0,0.0
EX_cspg_b(e),0.0,-1.2395433293145378e-08
EX_cspg_b_degr(e),0.0,0.0
EX_cspg_c(e),0.0,-2.1072236598347143e-07
EX_cspg_c_degr(e),0.0,-1.9832693269032605e-07
EX_cspg_c_rest(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0031218898338854196,0.0
EX_cytd(e),0.0,-7.703414492165319e-06
EX_dad_2(e),0.003800460340469926,0.0
EX_dcyt(e),-0.001777258599683517,0.0
EX_ddca(e),-0.006327802340721544,0.0
EX_dgsn(e),-0.003800460340469926,0.0
EX_din(e),0.0,-4.441110456508128e-06
EX_dsT_antigen(e),0.0,0.0
EX_duri(e),0.0,-8.439852327381798e-08
EX_f1a(e),0.0,-1.8593149939718067e-07
EX_fe2(e),-4.638609509936372e-10,0.0
EX_fe3(e),0.0,0.0
EX_for(e),1.7657399897143395,0.0
EX_fru(e),-0.14898579,-5.467745481288274e-07
EX_fuc_L(e),0.0,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-2.99889515156743e-10
EX_gam(e),-0.11234608377776872,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-1.3947950618058993e-06
EX_glc_D(e),0.00282117,0.0
EX_glcur(e),0.0,-1.2395433293145378e-08
EX_glyb(e),0.0,0.0
EX_gncore1(e),0.0,-1.8593149939718067e-07
EX_gncore2(e),0.0,0.0
EX_gsn(e),0.0,-3.781439911374247e-06
EX_h(e),0.5666501118565257,0.0
EX_h2(e),0.0,0.0
