,fluxes,reduced_costs
biomass_dilution,0.0350244053390192,-0.650120124769677
protein_biomass_to_biomass,0.013822177010351284,2.5436922891642204e-34
mRNA_biomass_to_biomass,3.699887467562728e-05,-7.887891652173519e-35
tRNA_biomass_to_biomass,0.00022703607160486108,0.0
rRNA_biomass_to_biomass,0.00016381569431703747,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.002077417510509147,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.010917071254709908,0.0
prosthetic_group_biomass_to_biomass,4.914354528741492e-06,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,-2.3059013796937436e-07
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.986789595788711e-06
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-9.963891890214738e-06
EX_12dgr180(e),-0.0014560625982779777,0.0
EX_26dap_M(e),1.4699403846027148e-35,0.0
EX_2dmmq8(e),-0.0002613947343227084,0.0
EX_2obut(e),0.0,0.0
EX_ac(e),1.4694372342252755,0.0
EX_acald(e),0.0,-3.650628719950864e-07
EX_acgam(e),-0.004554545650761786,0.0
EX_ade(e),0.9963337360420321,0.0
EX_ala_L(e),-0.011714851224936826,0.0
EX_alaasp(e),0.0,-1.9620163293579942e-07
EX_alagln(e),-9.443076161686028e-58,-6.740204861907283e-36
EX_alaglu(e),0.0,-1.9620163293579942e-07
EX_alagly(e),0.0,-1.9620163293579942e-07
EX_alahis(e),0.0,-1.9620163293579942e-07
EX_alaleu(e),0.0,-4.1708686482439e-07
EX_alathr(e),0.0,-1.9620163293579942e-07
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.01063159477785337,0.0
EX_asp_L(e),-0.13752199284366484,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0367107299867037
EX_cellb(e),0.0,0.0
EX_cgly(e),-0.0015724658257460031,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.1254506058367786,0.0
EX_cobalt2(e),-0.0002780870272736277,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),-0.0004070077013766297,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0286597505590451e-36,0.0
EX_cytd(e),0.0,-2.719110885421793e-06
EX_dad_2(e),-1.0,-8.194662488376353e-07
EX_dcyt(e),-0.00337404994732241,0.0
EX_dextrin(e),0.0,0.0
EX_dgsn(e),-0.0010947622876999556,0.0
EX_drib(e),0.0,0.0
EX_etoh(e),0.9977207123403775,0.0
EX_fe2(e),-9.361376917962613e-11,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.0008342498132106322,0.0
EX_for(e),1.5049374565480844,0.0
EX_fru(e),-0.023837130439383323,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.006072727534349048,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.017603368900293202,0.0
EX_gly(e),-0.0030467521696878365,0.0
EX_glyasn(e),0.0,-1.9620163293579942e-07
EX_glyasp(e),0.0,-1.9620163293579942e-07
EX_glyb(e),0.0,0.0
