,fluxes,reduced_costs
biomass_dilution,0.0010926476982566933,0.015220384202917587
protein_biomass_to_biomass,0.00044229896440341676,2.9339770364418394e-36
mRNA_biomass_to_biomass,1.1811166234146947e-06,0.0
tRNA_biomass_to_biomass,6.948893560451658e-06,-2.7239884748520598e-36
rRNA_biomass_to_biomass,5.309935349719082e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.480942659711078e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.000275353989146975,0.0
prosthetic_group_biomass_to_biomass,1.6278695121164902e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-9.275789137949754e-08
DM_dhptd(c),-1.8035835922973718e-26,0.0
DM_hcys_L[c],4.931251724941497e-07,-5.2897245787002936e-40
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-3.383383597651851e-06,0.0
EX_2obut(e),-1.0,-9.338869215869165e-09
EX_4abz(e),0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),0.262106017057373,0.0
EX_acald(e),0.0,-1.8676705264476275e-08
EX_acgam(e),-8.352389719038111e-50,0.0
EX_ade(e),1.000522076364572,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.0007229200724289447,0.0
EX_alaasp(e),0.0,-6.083306026857194e-09
EX_alagln(e),0.0,-6.083306026857194e-09
EX_alaglu(e),0.0,-6.083306026857194e-09
EX_alagly(e),0.0,-1.9093496864011594e-08
EX_alahis(e),0.0,-6.083306026857194e-09
EX_alaleu(e),0.0,-6.770238302650296e-09
EX_alathr(e),0.0,-6.083306026857194e-09
EX_alltn(e),0.0,0.0
EX_amp(e),-0.0006617274020911951,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.0003686448042947946,0.0
EX_asn_L(e),-0.00019028972071576447,0.0
EX_asp_L(e),-0.0003936711928660982,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0003567338727590592
EX_cgly(e),-0.00010570427314431563,0.0
EX_chol(e),0.0,0.0
EX_cit(e),1.3093701083415986e-22,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0005250494521194397,0.0
EX_cobalt2(e),-3.383386334649445e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),7.728316923642248e-05,0.0
EX_cytd(e),0.0,-2.5743617762745475e-07
EX_dad_2(e),-1.0,-1.3993573119886711e-08
EX_dcyt(e),-5.631789641309434e-05,0.0
EX_dgsn(e),0.9998947749734118,0.0
EX_drib(e),0.0,0.0
EX_fe2(e),-1.1196151291725527e-12,0.0
EX_fe3(e),6.546850541707993e-23,0.0
EX_fol(e),-1.0150150792955551e-05,0.0
EX_for(e),1.03320861196331,0.0
EX_fru(e),0.0,0.0
EX_fum(e),1.1469341954642515e-44,0.0
EX_gal(e),1.632097874400345e-22,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.00012753165404512474,0.0
EX_gln_L(e),-0.0004283244395007672,0.0
EX_glu_L(e),-0.00027917704101374245,0.0
EX_gly(e),0.0,0.0
EX_glyasn(e),0.0,-1.9093496864011594e-08
EX_glyasp(e),0.0,-1.9093496864011594e-08
EX_glyc(e),3.490353807311181e-05,0.0
EX_glyc3p(e),-0.0002443247665117827,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-1.9093496864011594e-08
EX_glyglu(e),0.0,-1.9093496864011594e-08
EX_glygn2(e),0.0,0.0
EX_glygn4(e),0.0,-4.669434607934583e-09
EX_glygn5(e),0.0,0.0
EX_glyleu(e),0.0,-6.547146949450217e-08
EX_glymet(e),0.0,-1.9093496864011594e-08
EX_glyphe(e),0.0,-1.9093496864011594e-08
EX_glypro(e),0.0,-1.9093496864011594e-08
EX_glytyr(e),0.0,-1.9093496864011594e-08
EX_gua(e),-0.999951092869825,0.0
EX_h(e),1.1229658195367827,0.0
EX_h2o(e),-1.1163904136267289,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00012507692316109927,0.0
EX_hxan(e),-7.519917596032239e-05,0.0
EX_ile_L(e),-0.0005396129256871659,0.0
EX_inost(e),0.0,-3.350647576291189e-05
EX_ins(e),0.0,-3.378859460171017e-05
EX_k(e),-1.2482859214452188e-12,0.0
EX_lac_D(e),0.0,-1.5161126062007095e-09
EX_lac_L(e),0.0,-5.852900685433892e-08
EX_lcts(e),-1.632097874400345e-22,0.0
EX_leu_L(e),-0.0005794657309517115,0.0
EX_lys_L(e),-0.0002471791306692638,0.0
EX_malt(e),-3.528884656293602e-49,0.0
EX_malthx(e),0.0,-9.348653183479995e-08
EX_malttr(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00016775906120711757,0.0
EX_metala(e),0.0,-6.083306026857194e-09
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),4.1761948595190557e-51,0.0
EX_mg2(e),-6.1826024685764745e-06,0.0
EX_mn2(e),-2.6527348698654215e-12,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-3.383383597651851e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-3.383385154507489e-06,0.0
EX_nh4(e),0.1649536823820655,0.0
EX_o2(e),0.0,-1.4657486313819446e-07
EX_ocdca(e),-0.00022927422737310812,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0002049853199161757,0.0
EX_pheme(e),-3.383383597651851e-06,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-3.383383597651851e-06,0.0
EX_ppa(e),1.0339840826072912,0.0
EX_ppi(e),1.7583641077500783e-22,0.0
EX_pro_L(e),-0.00027111982428610666,0.0
EX_ptrc(e),-3.383383597651851e-06,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-3.383699641799212e-06,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),4.931251724941497e-07,0.0
EX_ribflv(e),-6.766767913732364e-06,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-3.886713099979924e-24,0.0
EX_sheme(e),-3.383383597651851e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-3.383383597651851e-06,0.0
EX_succ(e),0.0,-9.028727869149076e-08
EX_sucr(e),0.0,0.0
EX_thm(e),-3.383383597651851e-06,0.0
EX_thr_L(e),-0.16592875444721497,1.179199137472667e-40
EX_thymd(e),-4.8907130175076737e-05,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-7.955670541301406e-05,0.0
EX_ttdca(e),-0.00016396926948658894,0.0
EX_tyr_L(e),-0.00014574601250614275,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-0.00020570454290352663,0.0
EX_val_L(e),-0.0005435184840695889,0.0
EX_zn2(e),-7.682922040085809e-08,0.0
translation_g.2746.peg.1,0.0,1.952619187215915e-34
transcription_TU_g.2746.peg.1,0.0,-1.124848619642703
translation_g.2746.peg.17,0.0,-4.6044523944826473e-32
transcription_TU_g.2746.peg.17,0.0,-24.431364795031392
translation_g.2746.peg.22,0.0,-5.536670220544554e-34
transcription_TU_g.2746.peg.22,0.0,-2.292227756534306
translation_g.2746.peg.34,0.0,3.6951386636857125e-30
transcription_TU_g.2746.peg.34,0.0,-7.443006431166945
translation_g.2746.peg.38,3.522328507878316e-08,-3.9557418649695445e-34
transcription_TU_g.2746.peg.38,7.569903931706347e-08,5.346064850790442e-34
translation_644284.3.peg.43,6.115505229427092e-58,-6.63010633477723e-30
transcription_TU_644284.3.peg.43,0.0,-5.2734308847220746
translation_g.2746.peg.44,4.387228403975408e-32,2.8500726354109452e-33
transcription_TU_g.2746.peg.44,0.0,-3.6400595309486428
translation_g.2746.peg.47,0.0,-2.475715330935229
transcription_TU_g.2746.peg.47,0.0,-11.288120730326892
translation_g.2746.peg.48,3.522325584275407e-08,-1.0071786107511689e-33
transcription_TU_g.2746.peg.48,7.569897648535114e-08,2.6638768415107695e-34
translation_g.2746.peg.56,1.0116573280822996e-13,3.07243559376085e-34
transcription_TU_g.2746.peg.56,2.1741722182530455e-13,-5.590877202483377e-35
translation_g.2746.peg.61,0.0,-3.721754375882413e-31
transcription_TU_g.2746.peg.61,0.0,-12.68632737188448
translation_g.2746.peg.64,0.0,-1.5292512734724628e-33
transcription_TU_g.2746.peg.64,0.0,-4.950816335856357
translation_g.2746.peg.65,3.5223226606724985e-08,-1.4000326182951384e-33
transcription_TU_g.2746.peg.65,7.569891365363882e-08,-5.736172338040973e-35
translation_g.2746.peg.67,-2.2519903959042882e-30,-6.96499041813562e-33
transcription_TU_g.2746.peg.67,0.0,-8.494918664704604
translation_g.2746.peg.68,0.0,-6.119120075971392e-34
transcription_TU_g.2746.peg.68,0.0,-4.1892145262099385
translation_g.2746.peg.73,3.004925983410765e-13,9.699983213865476e-34
transcription_TU_g.2746.peg.73,6.457944216568667e-13,3.4402106445825537e-34
translation_g.2746.peg.81,0.0,4.83245350149567e-32
transcription_TU_g.2746.peg.81,0.0,-2.471368820342551
translation_g.2746.peg.84,-6.665843432885921e-31,3.842692985183968e-33
transcription_TU_g.2746.peg.84,0.0,-10.422843996675066
translation_g.2746.peg.85,0.0,-1.1246185257500009e-33
transcription_TU_g.2746.peg.85,0.0,-3.7223654053124
translation_g.2746.peg.90,0.0,5.611062789956089e-33
transcription_TU_g.2746.peg.90,0.0,-5.8607798142163094
translation_g.2746.peg.93,0.0,-0.33455562372546116
transcription_TU_g.2746.peg.93,0.0,-1.4735730469594726
translation_g.2746.peg.95,6.388820307736423e-35,-4.599896821267734e-33
transcription_TU_g.2746.peg.95,0.0,-6.069492176357867
translation_g.2746.peg.100,3.522325584275407e-08,4.537071555269058e-34
transcription_TU_g.2746.peg.100,7.569897648535114e-08,1.2231661035194586e-34
translation_g.2746.peg.109,1.1541867871062448e-12,-7.869566933878512e-33
transcription_TU_g.2746.peg.109,2.4804850195253035e-12,9.884547492642603e-34
translation_g.2746.peg.110,1.5990609331223067e-12,2.5668265396534658e-33
transcription_TU_g.2746.peg.110,3.4365726017905957e-12,1.3315104967260028e-33
translation_g.2746.peg.113,7.662610400323647e-08,-3.5168336084761315e-34
transcription_TU_g.2746.peg.113,1.6467863365613087e-07,2.9732460113106998e-33
translation_g.2746.peg.120,3.522328507878316e-08,-1.2528450085445636e-33
transcription_TU_g.2746.peg.120,7.569903931706347e-08,-1.8119099541761275e-34
translation_g.2746.peg.126,0.0,1.2721413490493962e-33
transcription_TU_g.2746.peg.126,0.0,-4.1738154449963405
translation_g.2746.peg.127,0.0,-2.0805244121982454
transcription_TU_g.2746.peg.127,0.0,-9.48981736039634
translation_g.2746.peg.129,3.522328507878316e-08,2.1791528472657578e-33
transcription_TU_g.2746.peg.129,7.569903931706347e-08,-3.928939693023206e-35
translation_g.2746.peg.130,-2.229403671005868e-59,-1.2209279745861618e-33
transcription_TU_g.2746.peg.130,0.0,-1.9048844562019616
translation_g.2746.peg.132,0.0,9.522228612782348e-33
transcription_TU_g.2746.peg.132,0.0,-8.948918943348602
translation_g.2746.peg.137,0.0,4.747052413847186e-34
transcription_TU_g.2746.peg.137,0.0,-4.616140052634082
translation_g.2746.peg.142,0.0,1.3901134598890406e-33
transcription_TU_g.2746.peg.142,0.0,-3.0001768270429734
translation_g.2746.peg.144,0.0,-1.667273488105412
transcription_TU_g.2746.peg.144,0.0,-7.367575356994943
translation_g.2746.peg.147,0.0,8.255586434973589e-33
transcription_TU_g.2746.peg.147,0.0,-4.286680157111007
translation_g.2746.peg.154,0.0,-4.097700096114434e-34
transcription_TU_g.2746.peg.154,0.0,-2.575262632422214
translation_g.2746.peg.156,5.847205817473467e-14,3.36266708714118e-33
transcription_TU_g.2746.peg.156,1.2566342465839574e-13,-2.98631262178927e-34
translation_g.2746.peg.167,5.251043741661408e-60,-8.535810343101667e-33
transcription_TU_g.2746.peg.167,0.0,-8.117538634030984
translation_g.2746.peg.178,7.662610400323647e-08,-2.5478237901393843e-33
transcription_TU_g.2746.peg.178,1.6467863365613087e-07,5.863156305829666e-34
translation_g.2746.peg.183,3.522325584275407e-08,9.26131163679294e-34
transcription_TU_g.2746.peg.183,7.569897648535114e-08,-1.134496263942871e-35
translation_644284.3.peg.189,9.725783138045438e-60,1.7164364419589536e-33
transcription_TU_644284.3.peg.189,0.0,-2.2227214532863955
translation_g.2746.peg.191,0.0,3.2211873581284396e-33
transcription_TU_g.2746.peg.191,0.0,-8.835554704018167
translation_644284.3.peg.192,-1.1374919833177748e-31,-7.95641997399303e-30
transcription_TU_644284.3.peg.192,0.0,-4.9931585652678105
translation_g.2746.peg.196,1.6447255332056384e-16,-2.345634840052286e-33
transcription_TU_g.2746.peg.196,3.5347112719735277e-16,1.263470576054271e-34
translation_g.2746.peg.199,3.522328507878316e-08,-1.863346854145079e-33
transcription_TU_g.2746.peg.199,7.569903931706347e-08,-2.0214932113571528e-34
translation_g.2746.peg.200,0.0,3.6794952621298975e-33
transcription_TU_g.2746.peg.200,0.0,-4.146220249978641
translation_644284.3.peg.201,0.0,4.666299251151528e-33
transcription_TU_644284.3.peg.201,0.0,-9.058696995952337
translation_g.2746.peg.202,2.2554451605940258e-13,-2.8958113768419946e-33
transcription_TU_g.2746.peg.202,4.847220567514028e-13,1.94894516079449e-34
translation_644284.3.peg.202,0.0,1.9616341340124756e-33
transcription_TU_644284.3.peg.202,0.0,-4.394319868643494
translation_644284.3.peg.203,0.0,7.072373479481711e-33
transcription_TU_644284.3.peg.203,0.0,-6.508721205565717
translation_g.2746.peg.212,0.0,8.027751605036207e-34
transcription_TU_g.2746.peg.212,0.0,-1.7866645708171205
translation_g.2746.peg.214,0.0,-2.1377375846252193
transcription_TU_g.2746.peg.214,0.0,-9.726668437388211
translation_g.2746.peg.215,0.0,-9.059684464998573e-34
transcription_TU_g.2746.peg.215,0.0,-5.559325880557388
translation_g.2746.peg.216,0.0,-1.2248167578887367e-33
transcription_TU_g.2746.peg.216,0.0,-4.056898784448081
translation_g.2746.peg.217,1.0116573280822996e-13,-1.1482958790849051e-35
transcription_TU_g.2746.peg.217,2.1741722182530455e-13,1.5835179431455233e-34
translation_g.2746.peg.220,0.0,-4.436043304775233e-33
transcription_TU_g.2746.peg.220,0.0,-14.84838716255764
translation_g.2746.peg.221,0.0,1.2608884131903406e-32
transcription_TU_g.2746.peg.221,0.0,-10.807630173343664
translation_g.2746.peg.227,0.0,-5.548403241519997e-33
transcription_TU_g.2746.peg.227,0.0,-2.6954594273205488
translation_g.2746.peg.228,-6.665843432885921e-31,-4.701462097280152e-34
transcription_TU_g.2746.peg.228,0.0,-4.754777442219836
translation_g.2746.peg.229,8.051440027789498e-60,3.0485803648277976e-33
transcription_TU_g.2746.peg.229,0.0,-5.3091797081229535
translation_g.2746.peg.235,6.529317456995912e-09,1.1310286936613977e-32
transcription_TU_g.2746.peg.235,1.4032281707547007e-08,1.4651322628309232e-33
translation_644284.3.peg.236,0.0,-9.003777497760605e-34
transcription_TU_644284.3.peg.236,0.0,-1.1763222135217575
translation_g.2746.peg.243,3.522328507878316e-08,2.1595276584731766e-33
transcription_TU_g.2746.peg.243,7.569903931706347e-08,1.0611321722078988e-33
translation_g.2746.peg.246,0.0,2.0757533007792106e-33
transcription_TU_g.2746.peg.246,0.0,-5.061103954596099
translation_g.2746.peg.247,7.706905394735292e-15,3.8104383976972434e-36
transcription_TU_g.2746.peg.247,1.6563058589909074e-14,1.434341636158649e-34
translation_g.2746.peg.248,0.0,1.663396919020659e-33
transcription_TU_g.2746.peg.248,0.0,-3.506513984664279
translation_g.2746.peg.250,3.522328507878316e-08,-1.1469761808104707e-33
transcription_TU_g.2746.peg.250,7.569903931706347e-08,1.4330479123488898e-34
translation_644284.3.peg.251,3.1528565363439463e-57,-1.2350348443188166e-34
transcription_TU_644284.3.peg.251,0.0,-2.901962864502425
translation_644284.3.peg.252,0.0,-2.705855102320129e-33
transcription_TU_644284.3.peg.252,0.0,-3.956724632726239
translation_g.2746.peg.253,0.0,2.994413468142532e-34
transcription_TU_g.2746.peg.253,0.0,-4.075679605961933
translation_644284.3.peg.253,0.0,7.107769372772376e-33
transcription_TU_644284.3.peg.253,0.0,-4.271756230168056
translation_g.2746.peg.255,6.935335825901169e-60,-2.7060624713785182e-33
transcription_TU_g.2746.peg.255,0.0,-6.108990480488584
translation_644284.3.peg.258,0.0,-1.265096485622814e-33
transcription_TU_644284.3.peg.258,0.0,4.553509741488597e-34
translation_g.2746.peg.259,0.0,-1.0487258227959293
transcription_TU_g.2746.peg.259,0.0,-4.730198067043563
translation_644284.3.peg.259,0.0,1.0936067077166343e-33
transcription_TU_644284.3.peg.259,0.0,-2.229766521243924
translation_g.2746.peg.266,0.0,1.1230762095545199e-33
transcription_TU_g.2746.peg.266,0.0,-5.917330033772666
translation_g.2746.peg.267,3.522328507878316e-08,4.05642312474726e-34
