,fluxes,reduced_costs
biomass_dilution,0.002591893614611949,-0.0019367349029027511
protein_biomass_to_biomass,1.3382733674419545e-05,2.8584977977485518e-36
mRNA_biomass_to_biomass,0.001762298611459622,0.0
tRNA_biomass_to_biomass,2.1689306510768278e-07,0.0
rRNA_biomass_to_biomass,1.5524580895284205e-06,0.0
ncRNA_biomass_to_biomass,0.0,3.3989277775355268e-37
tmRNA_biomass_to_biomass,0.0,3.3989277775355268e-37
DNA_biomass_to_biomass,0.00015373586487177032,3.3989277775355268e-37
lipid_biomass_to_biomass,0.0,3.3989277775355268e-37
constituent_biomass_to_biomass,0.0006531732482177501,3.3989277775355268e-37
prosthetic_group_biomass_to_biomass,6.017541890131676e-09,-2.858151793293054e-37
peptidoglycan_biomass_to_biomass,0.0,3.3989277775355268e-37
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-4.244443617755677e-05
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],1.4934812964538632e-08,0.0
EX_12dgr180(e),-0.0003048714864187305,0.0
EX_26dap_M(e),0.0,0.0
EX_2ddglcn(e),0.0,0.0
EX_2dmmq8(e),-8.0257985776459e-06,0.0
EX_2obut(e),-7.510500713306925e-55,0.0
EX_34dhphe(e),0.0,0.0
EX_5htrp(e),3.9785114125421296e-50,0.0
EX_ac(e),1.0021799236682383,0.0
EX_acald(e),0.0,-0.00018065791020433026
EX_acgam(e),0.0,0.0
EX_ade(e),0.9981843008942622,0.0
EX_ala_L(e),-1.9434491333203568e-05,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-1.0601559816174368e-05
EX_alathr(e),0.0,0.0
EX_arab_D(e),-0.00019447755358517835,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-9.165586027273476e-06,0.0
EX_asn_L(e),-6.475297734020032e-06,0.0
EX_asp_L(e),-0.0019809568303996083,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0012275784995394662
EX_cellb(e),-0.00016206462798764863,0.0
EX_cgly(e),-8.0257985776459e-06,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0032142642931397994,0.0
EX_cobalt2(e),-8.025823283750769e-06,0.0
EX_csn(e),-0.05927625022910744,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0466820304806886e-05,0.0
EX_cytd(e),0.060846478694361036,0.0
EX_dad_2(e),-1.0,-1.0528630944601722e-05
EX_dcyt(e),-5.659901745661811e-54,0.0
EX_dgsn(e),0.9968558112766489,0.0
EX_dopa(e),0.0,-3.188040212403126e-05
EX_drib(e),0.0,0.0
EX_etoh(e),0.0,-0.0003189148816278052
EX_fe2(e),-8.329288992355122e-15,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-2.40773957329377e-05,0.0
EX_for(e),1.0009504843429309,0.0
EX_fru(e),0.0,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),-0.0025651562966207894,0.0
EX_glu_L(e),0.002535243509241463,0.0
EX_gly(e),-1.4732960713604484e-05,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.00019190121133224835,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-4.243765606645157e-05
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-1.060120469120654e-05
EX_glytyr(e),0.0,0.0
EX_gsn(e),0.0,0.0
EX_gua(e),-0.9985501576231424,0.0
EX_h(e),0.9950229682876885,0.0
EX_h2o(e),-0.9214094652644672,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-4.242350582644746e-06,0.0
EX_hista(e),0.0,-3.188040212403126e-05
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.00023203579872697015,0.0
EX_k(e),-7.681046873091882e-12,0.0
EX_lac_D(e),0.0,-0.00018062939897789935
EX_lac_L(e),0.0,-0.00018061357883330132
EX_leu_L(e),-0.0002372490509856358,0.0
EX_lys_L(e),-9.798364913257328e-06,0.0
EX_malt(e),0.0,0.0
EX_man(e),-0.0547743313089732,0.0
EX_met_L(e),-1.3318526705710226e-05,0.0
EX_metala(e),0.0,0.0
EX_mg2(e),-2.050012074195509e-07,0.0
EX_mn2(e),-6.878953205805769e-10,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-8.0257985776459e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-8.025829032048198e-06,0.0
EX_nh4(e),1.0018660720277848,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-2.1221796830528747e-05
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-6.682255570062989e-06,0.0
EX_pheme(e),-8.0257985776459e-06,0.0
EX_pi(e),-0.006758200081064324,0.0
EX_pnto_R(e),-8.0257985776459e-06,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),6.261427422462882e-18,0.0
EX_pro_L(e),-7.211014275355389e-06,0.0
EX_ptrc(e),-8.0257985776459e-06,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-8.025805805500495e-06,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_rib_D(e),1.4934812964538632e-08,0.0
EX_ribflv(e),-1.6051612079634765e-05,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-4.230665129065237e-05
EX_sheme(e),-8.0257985776459e-06,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-8.0257985776459e-06,0.0
EX_srtn(e),0.0,-3.188040212403126e-05
EX_succ(e),0.0,-0.0001383164435391699
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-8.0257985776459e-06,0.0
EX_thr_L(e),-1.0628972151096301e-05,0.0
EX_thymd(e),-0.00012553919457020967,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-1.5329173712168802e-06,0.0
EX_trypta(e),0.0,0.0
EX_tym(e),0.0,-3.188040212403126e-05
EX_tyr_L(e),-5.391459946090421e-06,0.0
EX_ura(e),-0.003924550001238775,0.0
EX_val_L(e),-1.43275417497834e-05,0.0
EX_xan(e),0.0,0.0
EX_zn2(e),-1.1253345150277203e-08,0.0
translation_g.2245.peg.2,0.0,1.4649107574831933e-34
transcription_TU_g.2245.peg.2,0.0,-0.015947883383231082
translation_g.2245.peg.12,1.0667724858836957e-09,-1.691901375140578e-34
transcription_TU_g.2245.peg.12,9.702974506114342e-10,2.332690125746736e-35
translation_g.2245.peg.13,0.0,9.781234872494825e-34
transcription_TU_g.2245.peg.13,0.0,-0.02255395161472375
translation_g.2245.peg.14,5.5298574241292455e-12,4.137710348281007e-34
transcription_TU_g.2245.peg.14,5.0297571711671445e-12,1.8155636400390258e-35
translation_g.2245.peg.15,0.0,-4.552085300755633e-34
transcription_TU_g.2245.peg.15,0.0,-0.011248029048343848
translation_g.2245.peg.20,0.0,3.805463031097896e-34
transcription_TU_g.2245.peg.20,0.0,7.33420259295022e-35
translation_g.2245.peg.23,0.0,-2.780848946980088e-34
transcription_TU_g.2245.peg.23,0.0,-0.0069240106391250614
translation_g.2245.peg.25,0.0,2.4158954465336916e-34
transcription_TU_g.2245.peg.25,0.0,-0.011666304481766688
translation_g.2245.peg.26,1.0667724858836957e-09,3.698321177858753e-35
transcription_TU_g.2245.peg.26,9.702974506114342e-10,2.8779213117646478e-36
translation_553184.4.peg.29,1.473385108875284e-13,2.2980561051991318e-34
transcription_TU_553184.4.peg.29,1.3401375024462362e-13,1.4951700565027273e-35
translation_g.2245.peg.41,0.0,-3.2493554353307463e-31
transcription_TU_g.2245.peg.41,0.0,-0.010953338473369838
translation_g.2245.peg.42,1.796432715896013e-14,1.895085204901699e-33
transcription_TU_g.2245.peg.42,1.6339698553295027e-14,1.0320045953906042e-34
translation_g.2245.peg.43,1.8246307343451913e-13,8.58734827151396e-34
transcription_TU_g.2245.peg.43,1.6596177472423384e-13,2.202509153909882e-34
translation_g.2245.peg.44,1.1816070316914348e-17,7.302265155652695e-34
transcription_TU_g.2245.peg.44,1.0747467765115767e-17,1.8886358608455501e-35
translation_g.2245.peg.45,0.0,1.8905773472593465e-35
transcription_TU_g.2245.peg.45,0.0,-0.003523392598664819
translation_g.2245.peg.46,1.0667724858836957e-09,4.550844723663974e-35
transcription_TU_g.2245.peg.46,9.702974506114342e-10,8.678731455790267e-36
translation_g.2245.peg.48,1.0667724858836957e-09,2.267561522413546e-34
transcription_TU_g.2245.peg.48,9.702974506114342e-10,-5.1431601567669e-35
translation_553184.4.peg.50,0.0,-2.0231390922459363e-34
transcription_TU_553184.4.peg.50,0.0,-0.0080653185768546
translation_553184.4.peg.51,0.0,-2.0962915866736973e-34
transcription_TU_553184.4.peg.51,0.0,-0.014081605753144592
translation_g.2245.peg.54,2.1745638079843264e-13,2.2995902914373847e-33
transcription_TU_g.2245.peg.54,1.9779041426356428e-13,-5.758090999554112e-35
translation_553184.4.peg.57,4.4741335483256647e-13,4.707580698917353e-35
transcription_TU_553184.4.peg.57,4.0695091344048635e-13,3.2106809634374354e-35
translation_g.2245.peg.64,2.98003395667803e-11,2.483505379370413e-34
transcription_TU_g.2245.peg.64,2.7105304918929496e-11,-1.7584548890086962e-34
translation_g.2245.peg.66,0.0,-0.6544956975654953
transcription_TU_g.2245.peg.66,0.0,-0.003958151465666779
translation_g.2245.peg.70,0.0,-9.540619782736872e-35
transcription_TU_g.2245.peg.70,0.0,-0.0038390608048915692
translation_g.2245.peg.74,0.0,-1.3971965297492429e-34
transcription_TU_g.2245.peg.74,0.0,-0.009460148927347624
translation_g.2245.peg.78,0.0,-3.5161858653748916e-34
transcription_TU_g.2245.peg.78,0.0,-0.003656298520512892
translation_g.2245.peg.79,1.5974514406127548e-13,-5.458945189781043e-34
transcription_TU_g.2245.peg.79,1.452983725033106e-13,3.543440615110223e-35
translation_g.2245.peg.82,0.0,6.238916915607288e-35
transcription_TU_g.2245.peg.82,0.0,-0.005070858383028792
