,fluxes,reduced_costs
biomass_dilution,0.0015853914408223229,0.014530854918082049
protein_biomass_to_biomass,0.0007211848059591521,-5.4536215439680405e-36
mRNA_biomass_to_biomass,1.8397445462232306e-06,0.0
tRNA_biomass_to_biomass,1.0816179932389415e-05,0.0
rRNA_biomass_to_biomass,7.58658874080657e-05,0.0
ncRNA_biomass_to_biomass,0.0,2.627542148994272e-36
tmRNA_biomass_to_biomass,0.0,2.627542148994272e-36
DNA_biomass_to_biomass,9.403608351572307e-05,2.627542148994272e-36
lipid_biomass_to_biomass,0.0,2.627542148994272e-36
constituent_biomass_to_biomass,0.00027570262357776165,2.627542148994272e-36
prosthetic_group_biomass_to_biomass,2.796625309846904e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,2.627542148994272e-36
DM_4HBA,4.916387225597732e-10,0.0
DM_5DRIB,0.0,-8.512545975320191e-07
DM_AMOB,0.0,-8.998697664652743e-06
DM_adocbl(c),2.944147764548569e-25,0.0
DM_atp_c_,0.0,-1.7956314013947563e-07
DM_btn,0.0,-1.8633831723700693e-07
DM_dad_5,0.0,-3.627326723452455e-06
DM_kdo2lipid4L(c),0.0,-4.295968368244215e-06
DM_pheme(c),-1.2744735289059618e-55,0.0
EX_4abut(e),0.0,-1.3776138559371025e-06
EX_4hbz(e),0.0,0.0
EX_Ser_Thr(e),0.0,0.0
EX_T_antigen(e),0.0,0.0
EX_Tn_antigen(e),0.0,0.0
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),9.223222410000202e-05,0.0
EX_acgal(e),0.0,0.0
EX_acgam(e),-9.223173246127946e-05,0.0
EX_acnam(e),8.352389719038111e-51,0.0
EX_adn(e),9.377601914063799e-07,0.0
EX_adocbl(e),0.0,0.0
EX_amylopect900(e),-6.230168140952492e-48,0.0
EX_amylose300(e),0.0,0.0
EX_arab_L(e),0.0055197,0.0
EX_arabinoxyl(e),-0.00030665,-1.9298979578119163e-06
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.0004616349137029814,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.0005121790838244907,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),6.372367644529809e-56,0.0
EX_ca2(e),4.798066918401419e-30,0.0
EX_cbl1(e),-9.160753581092338e-13,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0003309527295508038
EX_cgly(e),-0.1481189934173606,0.0
EX_chtbs(e),0.0,-2.677193273470745e-08
EX_cit(e),0.0,0.0
EX_cl(e),-2.8486879593763418e-30,0.0
EX_co2(e),0.7641261124580611,0.0
EX_cobalt2(e),-1.2391537800905357e-05,0.0
EX_core2(e),0.0,0.0
EX_core3(e),0.0,0.0
EX_core4(e),0.0,0.0
EX_core5(e),0.0,0.0
EX_core6(e),0.0,0.0
EX_core7(e),0.0,0.0
EX_core8(e),0.0,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),-7.965459555662261e-57,0.0
EX_cys_L(e),0.14869109964397664,0.0
EX_cytd(e),0.0,-2.9973906600221235e-07
EX_dad_2(e),0.0,0.0
EX_dcyt(e),-1.1250632513906817e-21,0.0
EX_ddca(e),-0.00023057933521495976,0.0
EX_dgsn(e),2.3451067413656377e-25,0.0
EX_din(e),0.0,-2.4733350396280756e-06
EX_dsT_antigen(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_f1a(e),0.0,0.0
EX_fe2(e),-2.474518112645067e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.00010766067430042513,0.0
EX_fru(e),0.1492163593311532,0.0
EX_gal(e),0.00091995,0.0
EX_galur(e),0.0,0.0
EX_gam(e),-0.4828856191696357,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),4.916387225597732e-10,0.0
EX_glc_D(e),0.00091995,0.0
EX_glcur(e),0.0,-2.623626720450927e-07
EX_gly(e),0.1458235222420341,0.0
EX_glyb(e),0.0,0.0
EX_glygn2(e),0.0,0.0
EX_glygn4(e),0.0,0.0
EX_glygn5(e),0.0,0.0
EX_gncore1(e),0.0,0.0
EX_gncore2(e),0.0,0.0
EX_gsn(e),0.0,-3.3069773269185593e-06
EX_h(e),0.5299315746427401,0.0
EX_h2(e),0.08106152790318892,0.0
EX_h2o(e),0.46114222953362055,0.0
EX_h2s(e),-0.000977690725919076,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),-1.5930919111324523e-56,0.0
EX_indole(e),0.08169558616938094,0.0
EX_ins(e),0.0,-2.7083082642134107e-06
EX_isobut(e),0.042428800609099586,0.0
EX_isocapr(e),0.0,-2.2358084421853253e-08
EX_isoval(e),0.0,0.0
EX_k(e),-1.6347536402600024e-12,0.0
EX_kesto(e),0.0,0.0
EX_kestopt(e),0.0,0.0
EX_kestottr(e),0.0,0.0
EX_lac_D(e),0.0,-6.483045478171657e-08
EX_lac_L(e),0.0,0.0
EX_lcts(e),-0.0002305793311531987,0.0
EX_leu_L(e),-0.0009240281396116659,0.0
EX_lys_L(e),-0.0006996695716011704,0.0
