,fluxes,reduced_costs
biomass_dilution,0.1180945467118558,-0.011473975173709343
protein_biomass_to_biomass,0.002477133507874504,0.0
mRNA_biomass_to_biomass,0.08628128486081107,-1.4360441325986171e-36
tRNA_biomass_to_biomass,4.9319513282988405e-05,0.0
rRNA_biomass_to_biomass,0.000359452592077767,1.4004350614549285e-36
ncRNA_biomass_to_biomass,0.0,-1.8283561582819927e-36
tmRNA_biomass_to_biomass,0.0,-1.8283561582819927e-36
DNA_biomass_to_biomass,0.006995408869509622,-1.8283561582819927e-36
lipid_biomass_to_biomass,0.0,-1.8283561582819927e-36
constituent_biomass_to_biomass,0.02053686901564022,-1.8283561582819927e-36
prosthetic_group_biomass_to_biomass,1.6907544802172485e-06,0.0
peptidoglycan_biomass_to_biomass,0.0,-1.8283561582819927e-36
DM_4HBA,0.0,0.0
DM_AMOB,0.001312308592628961,0.0
DM_atp_c_,0.0,-0.0005752118643819841
DM_btn,0.001312308592628961,0.0
DM_dad_5,0.001312308592628961,0.0
DM_dhptd(c),0.0013162993059796248,0.0
DM_kdo2lipid4L(c),0.0,-0.02134560195270141
DM_pheme(c),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),3.776553849500545,0.0
EX_acgam(e),-1.0,-0.0022067657549087365
EX_adn(e),0.0,0.0
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-1.0,-0.0005320268654449411
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.15,-0.0004529069595518057
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.000676144411191022
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.002281267067139455
EX_cholate(e),0.0,0.0
EX_chtbs(e),0.0,-0.004125909008951595
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.3499184083516427,0.0
EX_cobalt2(e),-0.0009222863375652336,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-0.0007200664797078829
EX_dad_2(e),0.0,0.0
EX_dcyt(e),-0.004910634883487119,0.0
EX_ddca(e),-0.017175693411039097,0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),0.0,0.0
EX_din(e),0.0,-0.007256559790306807
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-7.351355286546735e-11,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.579207490972003,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-0.0017151989167638532
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.00022806129027361618
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.00163425890596231
EX_glcur(e),0.0,-0.0017165347259155837
EX_glu_L(e),-0.18,-0.0006745867633971822
EX_gly(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_gsn(e),0.0,-3.7140620670202067e-06
EX_h(e),5.089944800636387,0.0
EX_h2(e),0.5033460753397531,0.0
EX_h2o(e),-4.461086933376295,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_ins(e),0.0,-0.007257728607942966
EX_isobut(e),0.0,-1.850484350185773e-06
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-1.2110778411601258e-07,0.0
EX_lac_D(e),0.0,-0.0005341335190303616
EX_lac_L(e),0.14898579,0.0
EX_leu_L(e),-0.0030025462944950265,0.0
EX_lys_L(e),-0.0024958459582192743,0.0
EX_met_L(e),-0.0045748915720503665,0.0
EX_metala(e),0.0,-0.0002440457448712538
EX_mg2(e),-4.704056728897015e-05,0.0
EX_mn2(e),-1.0083667517751808e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0009222740004487693,0.0
EX_nh4(e),3.835569665327377,0.0
EX_o2(e),0.0,-0.001653642845963913
EX_ocdca(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-0.322621677372387,0.0
EX_ppa(e),2.76562706552962,0.0
EX_ppi(e),0.0,-0.0005760041265666589
EX_pro_L(e),-0.18,-2.2740745927187848e-05
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-1.0,-3.290702997982006e-05
EX_pydxn(e),0.9990776609461782,0.0
EX_rib_D(e),-0.17878295,-0.0012668730069368302
EX_rmn(e),-0.14898579,-0.0009199923411140171
EX_ser_L(e),-1.0,-0.000569992534693333
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.0,-0.00013948336889153224
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thr_L(e),-0.225,-0.000798205983848428
EX_thymd(e),-0.00644903430263793,0.0
EX_ttdca(e),-0.003435135908389561,0.0
EX_urea(e),0.14847841167785958,0.0
EX_uri(e),-0.15427647505976158,0.0
EX_val_L(e),-0.0032376008985244373,0.0
EX_xan(e),-0.07383443332046417,0.0
EX_xyl_D(e),-0.17878295,-0.0018399308651909784
EX_zn2(e),-1.0543091674133312e-06,0.0
translation_457394.3.peg.1,0.0,1.7197195271336296e-35
transcription_TU_457394.3.peg.1,0.0,7.376371766999136e-34
translation_457394.3.peg.3,3.503551329360518e-10,-5.473072551270195e-34
transcription_TU_457394.3.peg.3,9.130939482736375e-12,-5.964524402069952e-35
translation_457394.3.peg.5,1.2721038846670438e-11,-3.1137205494642602e-34
transcription_TU_457394.3.peg.5,3.315351337743562e-13,1.3617869433660774e-33
translation_457394.3.peg.10,0.0,4.19216384290794e-34
transcription_TU_457394.3.peg.10,0.0,-1.7680861559057022
translation_457394.3.peg.11,0.0,-4.441083410617651e-35
transcription_TU_457394.3.peg.11,0.0,-7.486649657536038
translation_457394.3.peg.12,0.0,-5.2504053656455385e-34
transcription_TU_457394.3.peg.12,0.0,-6.823109884433937
translation_457394.3.peg.13,-3.937709055743448e-42,9.87988279152237e-35
transcription_TU_457394.3.peg.13,-4.2641882729632963e-44,-7.764144198470861e-35
translation_457394.3.peg.14,0.0,2.126989829768065e-34
transcription_TU_457394.3.peg.14,0.0,-3.5774338888503663
translation_457394.3.peg.19,1.8312580690110873e-07,-6.24683829708132e-35
transcription_TU_457394.3.peg.19,4.7726164207404125e-09,-1.3492108946738172e-34
translation_457394.3.peg.20,8.7932796355721e-08,3.6797299247437635e-35
transcription_TU_457394.3.peg.20,2.291700524959685e-09,7.349749501055267e-35
translation_457394.3.peg.21,1.1059116513865707e-08,-7.640743435910887e-34
transcription_TU_457394.3.peg.21,2.8822218979468907e-10,3.327794487997884e-34
translation_457394.3.peg.22,0.0,-2.4076868358124408e-33
transcription_TU_457394.3.peg.22,0.0,-3.7518620649805285
translation_457394.3.peg.28,0.0,2.919663375791956e-34
transcription_TU_457394.3.peg.28,0.0,-2.889464969880369e-34
translation_457394.3.peg.29,0.0,-1.4208366640435891e-33
transcription_TU_457394.3.peg.29,0.0,-5.193116103934742
translation_457394.3.peg.33,0.0,1.1618443105323602e-34
transcription_TU_457394.3.peg.33,0.0,4.559814521661577e-34
translation_457394.3.peg.36,0.0,-1.372046624748057e-33
transcription_TU_457394.3.peg.36,0.0,-5.657079049614458
translation_457394.3.peg.37,1.5734864724673442e-51,-3.5036846068876545e-33
transcription_TU_457394.3.peg.37,0.0,-5.537388307370203
translation_457394.3.peg.38,0.0,-7.507932746371258e-34
transcription_TU_457394.3.peg.38,0.0,-5.146826014248885
translation_457394.3.peg.40,0.0,-9.474713636770994e-35
transcription_TU_457394.3.peg.40,0.0,-4.332864082999351
translation_457394.3.peg.41,0.0,-4.873954298962243e-35
transcription_TU_457394.3.peg.41,0.0,-5.466785230528862
translation_457394.3.peg.47,2.4942098285919166e-07,3.6931976931292813e-34
transcription_TU_457394.3.peg.47,6.500398270538809e-09,-7.57997698183367e-35
translation_457394.3.peg.48,0.0,1.404400094708581e-33
transcription_TU_457394.3.peg.48,0.0,-7.433741217039806
translation_457394.3.peg.50,0.0,-8.005905891831194e-34
transcription_TU_457394.3.peg.50,0.0,-10.739753540322136
translation_457394.3.peg.68,0.0,5.40850521301542e-33
transcription_TU_457394.3.peg.68,0.0,4.314647721431178e-34
translation_457394.3.peg.70,0.0,5.5878829603763524e-33
transcription_TU_457394.3.peg.70,0.0,-6.978531050729334
translation_457394.3.peg.78,0.0,-3.653397229735542e-35
transcription_TU_457394.3.peg.78,0.0,-12.722284751008312
translation_457394.3.peg.87,1.1186162512392828e-10,-4.434465874428807e-33
transcription_TU_457394.3.peg.87,2.9153325680933074e-12,-6.403145370519355e-34
translation_457394.3.peg.88,7.007102658721036e-10,-3.049586360067224e-33
transcription_TU_457394.3.peg.88,1.826187896547275e-11,3.686708929810899e-34
translation_457394.3.peg.106,6.686413309393679e-07,4.688782987717199e-34
transcription_TU_457394.3.peg.106,1.7426099847031616e-08,3.562761268441315e-35
translation_457394.3.peg.107,0.0,-3.523232253996798e-33
transcription_TU_457394.3.peg.107,0.0,6.832347261659387e-34
translation_457394.3.peg.108,0.0,-2.8105142297981423e-33
transcription_TU_457394.3.peg.108,0.0,-7.777758553601125
translation_457394.3.peg.109,2.1935723357994585e-09,2.7331473550319502e-34
transcription_TU_457394.3.peg.109,5.716878209072898e-11,-1.1541317649048084e-34
translation_457394.3.peg.110,0.0,3.446178058259227e-33
transcription_TU_457394.3.peg.110,0.0,-9.35668082398965
translation_457394.3.peg.122,0.0,-1.3813702604100156e-33
transcription_TU_457394.3.peg.122,0.0,2.3541168703563837e-34
translation_457394.3.peg.123,0.0,6.731767106373853e-34
transcription_TU_457394.3.peg.123,0.0,-3.7443152080222237
translation_457394.3.peg.136,0.0,1.0650175527215844e-33
transcription_TU_457394.3.peg.136,0.0,-4.321399975726613
translation_457394.3.peg.137,1.564836174550947e-09,-1.9789969784200253e-33
transcription_TU_457394.3.peg.137,4.0782688954722326e-11,-2.4430362983597587e-35
translation_457394.3.peg.139,0.0,-1.4223947706062735e-35
transcription_TU_457394.3.peg.139,0.0,-4.275799047476393
translation_457394.3.peg.149,4.37031746214694e-08,7.212577708340592e-34
transcription_TU_457394.3.peg.149,1.138990142167929e-09,-4.905121684934064e-35
translation_457394.3.peg.150,5.119099443248362e-08,-3.955432100713982e-32
transcription_TU_457394.3.peg.150,1.3341373603035473e-09,9.84667893955388e-35
translation_457394.3.peg.151,3.500347742522919e-09,-2.443687549259282e-33
transcription_TU_457394.3.peg.151,9.12259030934289e-11,-3.557053952332544e-34
translation_457394.3.peg.152,3.5186565051362747e-10,6.228844534319652e-34
transcription_TU_457394.3.peg.152,9.170306522896081e-12,-3.247676562519526e-34
translation_457394.3.peg.157,0.0,-1.1625308048504431e-33
transcription_TU_457394.3.peg.157,0.0,-5.81395633214955
translation_457394.3.peg.161,0.0,-8.287521220992267e-34
transcription_TU_457394.3.peg.161,0.0,-3.6434428805694554
translation_457394.3.peg.180,0.0,2.9831077333542355e-34
transcription_TU_457394.3.peg.180,0.0,2.544748041611809e-35
translation_457394.3.peg.181,0.0,-4.900095161367092e-34
transcription_TU_457394.3.peg.181,0.0,-4.570934950895931e-34
translation_457394.3.peg.183,0.0,-7.532108509949976e-35
transcription_TU_457394.3.peg.183,0.0,-4.026528501366965e-34
translation_457394.3.peg.189,0.0,-4.998076116736202e-36
transcription_TU_457394.3.peg.189,0.0,3.372412785957761e-34
translation_457394.3.peg.190,8.116752117052564e-09,6.562522060084716e-34
transcription_TU_457394.3.peg.190,2.1153842318818496e-10,2.2844584823316724e-34
translation_457394.3.peg.191,0.0,6.290168470174134e-35
transcription_TU_457394.3.peg.191,0.0,-6.0761737582055195
translation_457394.3.peg.192,2.0024168099657504e-10,9.966712331607367e-34
transcription_TU_457394.3.peg.192,5.2186895501681e-12,1.0165721068244752e-33
translation_457394.3.peg.201,0.0,-4.244592226145675e-35
transcription_TU_457394.3.peg.201,0.0,-7.5992766140962535
translation_457394.3.peg.205,0.0,-2.882982299291516e-33
transcription_TU_457394.3.peg.205,0.0,-1.54560714394099e-33
translation_457394.3.peg.212,0.0,-2.4631863947335328e-34
transcription_TU_457394.3.peg.212,0.0,-4.3271483957075505
translation_457394.3.peg.213,1.0602901633537425e-07,-4.912285377800718e-34
transcription_TU_457394.3.peg.213,2.763323384073492e-09,-2.0960498457431702e-35
translation_457394.3.peg.214,1.0759795448231749e-07,-1.3474862042829847e-34
transcription_TU_457394.3.peg.214,2.804212978445469e-09,-1.6077007303621358e-34
translation_457394.3.peg.215,0.0,3.2955110389227116e-33
transcription_TU_457394.3.peg.215,0.0,-5.38638874113643e-35
translation_457394.3.peg.216,0.0,-1.3928263717316375e-34
transcription_TU_457394.3.peg.216,0.0,-5.887711847333171e-34
translation_457394.3.peg.218,6.645075873785671e-07,-6.701216039014801e-34
transcription_TU_457394.3.peg.218,1.731836641103337e-08,8.631629435865628e-35
translation_457394.3.peg.233,2.4942098285919166e-07,1.081278779412801e-34
transcription_TU_457394.3.peg.233,6.500398270538809e-09,4.937735199220733e-35
translation_457394.3.peg.234,1.0167109130532397e-09,-4.146867383773583e-34
transcription_TU_457394.3.peg.234,2.6497473408563537e-11,1.97602559528094e-34
translation_457394.3.peg.235,9.499118897145448e-10,8.48367197932976e-34
transcription_TU_457394.3.peg.235,2.4756560311329578e-11,1.3708725942264185e-34
translation_457394.3.peg.243,9.506568459475524e-10,4.5437099768530736e-33
transcription_TU_457394.3.peg.243,2.477597532667094e-11,-2.598674398838467e-34
translation_457394.3.peg.247,1.0525972637684867e-09,-4.589527412977859e-31
transcription_TU_457394.3.peg.247,2.7432741842883817e-11,-8.13456802453188e-34
translation_457394.3.peg.253,2.654945535572973e-09,6.868796885945903e-35
transcription_TU_457394.3.peg.253,6.919306936400073e-11,-9.973653923465355e-35
translation_457394.3.peg.254,2.9729702710037283e-07,3.5133763263434522e-31
transcription_TU_457394.3.peg.254,7.748141550266427e-09,3.353784801211828e-34
translation_457394.3.peg.258,1.4299325680570716e-06,-3.068730509515645e-34
transcription_TU_457394.3.peg.258,3.7266837319909e-08,-6.157037663606707e-34
translation_457394.3.peg.259,0.0,-8.663657251657131e-34
transcription_TU_457394.3.peg.259,0.0,-3.3985383549201487
translation_457394.3.peg.265,1.922193951458077e-09,2.3849120306375733e-34
transcription_TU_457394.3.peg.265,5.00961310249996e-11,3.010540456719058e-34
translation_457394.3.peg.269,0.0,7.511824830277292e-34
transcription_TU_457394.3.peg.269,0.0,-2.7540894723315557
translation_457394.3.peg.271,0.0,-2.8720867195057626e-34
transcription_TU_457394.3.peg.271,0.0,-5.661536199308427
translation_457394.3.peg.292,0.0,-4.958224184613601e-34
transcription_TU_457394.3.peg.292,0.0,-3.2096100345970537
translation_457394.3.peg.298,0.0,-8.681349209380537e-34
transcription_TU_457394.3.peg.298,0.0,4.464544395064647e-34
translation_457394.3.peg.303,2.494195844164901e-07,-2.5956433033199196e-33
transcription_TU_457394.3.peg.303,6.500361824388954e-09,-1.1457698436986275e-34
translation_457394.3.peg.307,2.4942098285919166e-07,3.7574389478322317e-35
transcription_TU_457394.3.peg.307,6.500398270538809e-09,5.35849969027981e-35
translation_457394.3.peg.310,1.717331746699423e-08,-2.7012502838044054e-31
transcription_TU_457394.3.peg.310,4.475702159544646e-10,4.307259023809872e-34
translation_457394.3.peg.312,3.503551329360518e-10,-4.199403896712919e-35
transcription_TU_457394.3.peg.312,9.130939482736375e-12,-2.4875820478872965e-34
translation_457394.3.peg.313,2.494195844164901e-07,-1.4035046668330757e-33
transcription_TU_457394.3.peg.313,6.500361824388954e-09,4.063722423393396e-34
translation_457394.3.peg.314,2.4942098285919166e-07,6.713785729986559e-35
transcription_TU_457394.3.peg.314,6.500398270538809e-09,3.0681146396345048e-34
translation_457394.3.peg.315,2.4942098285919166e-07,1.5383137777073514e-34
transcription_TU_457394.3.peg.315,6.500398270538809e-09,-4.3018428571127895e-34
translation_457394.3.peg.316,4.988405672756818e-07,-4.891791494848764e-35
transcription_TU_457394.3.peg.316,1.3000760094927763e-08,-2.5100682993055907e-34
translation_457394.3.peg.317,6.68991686072304e-07,-4.618240871163792e-31
transcription_TU_457394.3.peg.317,1.743523078651435e-08,1.3674152328699972e-33
translation_457394.3.peg.318,6.68991686072304e-07,1.9744477701261774e-33
transcription_TU_457394.3.peg.318,1.743523078651435e-08,-1.5547387799295601e-34
translation_457394.3.peg.320,2.4942098285919166e-07,1.7235741561696393e-34
transcription_TU_457394.3.peg.320,6.500398270538809e-09,1.1823986514785278e-34
translation_457394.3.peg.321,2.4942098285919166e-07,-1.2262560076471595e-33
transcription_TU_457394.3.peg.321,6.500398270538809e-09,-1.445319765410469e-34
translation_457394.3.peg.322,1.717357989895857e-08,-2.4387839540369858e-31
transcription_TU_457394.3.peg.322,4.475770554443405e-10,1.7043358647459266e-33
translation_457394.3.peg.323,2.4942238130189316e-07,7.294528004527287e-34
transcription_TU_457394.3.peg.323,6.500434716688664e-09,5.813308553617551e-35
translation_457394.3.peg.324,2.4942238130189316e-07,1.0569600077192932e-33
transcription_TU_457394.3.peg.324,6.500434716688664e-09,1.285686134703983e-34
translation_457394.3.peg.325,2.4942238130189316e-07,-5.527815986213163e-34
transcription_TU_457394.3.peg.325,6.500434716688664e-09,1.6082342991566986e-34
translation_457394.3.peg.326,2.4942098285919166e-07,2.8348559215885784e-34
transcription_TU_457394.3.peg.326,6.500398270538809e-09,-1.488618662169173e-35
translation_457394.3.peg.327,2.4942098285919166e-07,2.630251738535776e-34
transcription_TU_457394.3.peg.327,6.500398270538809e-09,1.1787632558712777e-34
translation_457394.3.peg.329,1.3984427015144451e-12,-1.3358427717755407e-34
transcription_TU_457394.3.peg.329,3.644614985541951e-14,9.225281693275043e-35
translation_457394.3.peg.330,2.4942098285919166e-07,3.4476747226588066e-34
transcription_TU_457394.3.peg.330,6.500398270538809e-09,1.1633602158695624e-34
translation_457394.3.peg.331,2.4942098285919166e-07,-4.922657605856807e-35
transcription_TU_457394.3.peg.331,6.500398270538809e-09,-1.5259690502901992e-34
translation_457394.3.peg.332,2.4942098285919166e-07,1.986469057793629e-34
transcription_TU_457394.3.peg.332,6.500398270538809e-09,5.757841893397486e-35
translation_457394.3.peg.333,1.3984427015144451e-12,7.966785207493119e-35
transcription_TU_457394.3.peg.333,3.644614985541951e-14,6.332010320553047e-35
translation_457394.3.peg.334,2.4942098285919166e-07,-5.231635335260154e-35
transcription_TU_457394.3.peg.334,6.500398270538809e-09,3.469340929166772e-35
translation_457394.3.peg.335,2.4942098285919166e-07,9.89914244375328e-35
transcription_TU_457394.3.peg.335,6.500398270538809e-09,-5.434268693779179e-36
translation_457394.3.peg.336,2.4942098285919166e-07,2.8524147723886804e-34
transcription_TU_457394.3.peg.336,6.500398270538809e-09,6.932197707926978e-35
translation_457394.3.peg.337,2.4942098285919166e-07,-4.369906460876436e-35
transcription_TU_457394.3.peg.337,6.500398270538809e-09,-5.37097701071846e-35
translation_457394.3.peg.338,2.4942098285919166e-07,-2.7276091152508725e-34
transcription_TU_457394.3.peg.338,6.500398270538809e-09,7.510846813452028e-35
translation_457394.3.peg.339,2.4942098285919166e-07,1.8438533470671348e-34
transcription_TU_457394.3.peg.339,6.500398270538809e-09,-2.3439784301888085e-34
translation_457394.3.peg.340,2.4942098285919166e-07,-2.537456054441471e-34
transcription_TU_457394.3.peg.340,6.500398270538809e-09,-1.4151053299566987e-34
translation_457394.3.peg.341,2.4942098285919166e-07,1.0099964192155224e-34
transcription_TU_457394.3.peg.341,6.500398270538809e-09,-1.7983717722349928e-35
translation_457394.3.peg.342,2.4942098285919166e-07,-4.446428979091211e-34
transcription_TU_457394.3.peg.342,6.500398270538809e-09,1.1604422417208854e-34
translation_457394.3.peg.343,2.4942098285919166e-07,1.6721297010885846e-34
transcription_TU_457394.3.peg.343,6.500398270538809e-09,-2.207762409469764e-35
translation_457394.3.peg.344,2.4942098285919166e-07,1.0663114169342208e-33
transcription_TU_457394.3.peg.344,6.500398270538809e-09,-1.2922137917152256e-34
translation_457394.3.peg.346,0.0,4.35880030752268e-34
transcription_TU_457394.3.peg.346,0.0,1.31912649273312e-34
translation_457394.3.peg.347,5.593081256196407e-11,-2.5380966282470453e-35
transcription_TU_457394.3.peg.347,1.4576662840466519e-12,1.1702196288617022e-34
translation_457394.3.peg.348,2.4942098285919166e-07,1.124608922115518e-34
transcription_TU_457394.3.peg.348,6.500398270538809e-09,-4.6002127969205217e-35
translation_457394.3.peg.349,2.4942098285919166e-07,2.3716404869971027e-34
transcription_TU_457394.3.peg.349,6.500398270538809e-09,1.6014238038253558e-35
translation_457394.3.peg.350,2.4942098285919166e-07,1.4644577693416037e-35
transcription_TU_457394.3.peg.350,6.500398270538809e-09,-1.2526104633557398e-34
translation_457394.3.peg.351,2.4942238130189316e-07,-8.301304879800541e-34
transcription_TU_457394.3.peg.351,6.500434716688664e-09,-8.473840433276252e-35
translation_457394.3.peg.352,1.3376330170116718e-06,-4.947662853182846e-34
transcription_TU_457394.3.peg.352,3.4861330633545965e-08,-2.98632806159876e-34
translation_457394.3.peg.353,2.4942098285919166e-07,5.181899879557814e-34
transcription_TU_457394.3.peg.353,6.500398270538809e-09,-2.5181056688832186e-34
translation_457394.3.peg.364,-2.8489806881720254e-30,-6.619463070413885e-35
transcription_TU_457394.3.peg.364,0.0,-5.013004871672949
translation_457394.3.peg.373,0.0,-1.2652334040012248e-34
transcription_TU_457394.3.peg.373,0.0,-0.026848268335224877
translation_457394.3.peg.419,0.0,-3.416969026098037e-34
transcription_TU_457394.3.peg.419,0.0,-1.8753868152910615
translation_457394.3.peg.445,8.814245716761067e-10,-1.6327434414863185e-34
transcription_TU_457394.3.peg.445,2.297164695469256e-11,4.3654916024529186e-35
translation_457394.3.peg.471,0.0,-1.1938001218505085e-30
transcription_TU_457394.3.peg.471,0.0,1.201280692889959e-33
translation_457394.3.peg.473,0.0,3.9738228130213235e-34
transcription_TU_457394.3.peg.473,0.0,-3.9194479282847934
translation_457394.3.peg.474,9.96523471522755e-09,5.566069230450439e-34
transcription_TU_457394.3.peg.474,2.5971349228845075e-10,4.1106298993927307e-35
translation_457394.3.peg.483,0.0,-1.5333175282933877e-33
transcription_TU_457394.3.peg.483,0.0,-4.788983156373451
translation_457394.3.peg.484,0.0,-8.668462183501325e-34
transcription_TU_457394.3.peg.484,0.0,-3.3231625599598567
translation_457394.3.peg.488,0.0,-1.6365726264387439e-34
transcription_TU_457394.3.peg.488,0.0,-3.8286665085383445e-34
translation_457394.3.peg.491,0.0,-2.996128938353861e-34
transcription_TU_457394.3.peg.491,0.0,-0.23112128691528655
translation_457394.3.peg.493,0.0,4.5973062893398815e-35
transcription_TU_457394.3.peg.493,0.0,-4.773811701935234
translation_457394.3.peg.506,1.0490828115480281e-16,-1.2756803323625038e-35
transcription_TU_457394.3.peg.506,2.734114834953022e-18,-4.082096863648217e-34
translation_457394.3.peg.507,1.0490828115480281e-16,8.614417918802868e-34
transcription_TU_457394.3.peg.507,2.734114834953022e-18,-6.6867628654303806e-34
translation_457394.3.peg.508,9.8039543328206e-30,1.014762831565908e-33
transcription_TU_457394.3.peg.508,0.0,-3.1589828194495255
translation_457394.3.peg.511,1.123654735090166e-09,-4.6356742769212345e-34
transcription_TU_457394.3.peg.511,2.928463841707488e-11,-1.1944986084198236e-34
translation_457394.3.peg.512,0.0,7.289833644747234e-34
transcription_TU_457394.3.peg.512,0.0,-7.522192027968928
translation_457394.3.peg.530,1.168542348614629e-09,4.318944172789119e-34
transcription_TU_457394.3.peg.530,3.04544973518693e-11,6.946964983409554e-35
translation_457394.3.peg.534,0.0,-1.0399301429936694
transcription_TU_457394.3.peg.534,0.0,-3.648780163694601
translation_457394.3.peg.535,0.0,1.2311875182803693e-33
transcription_TU_457394.3.peg.535,0.0,-6.721936918199147e-34
translation_457394.3.peg.539,4.617750219702944e-10,-1.2756718951370598e-33
transcription_TU_457394.3.peg.539,1.203475954502319e-11,-4.088833202561623e-34
translation_457394.3.peg.550,0.0,1.2448144845129222e-34
transcription_TU_457394.3.peg.550,0.0,-7.91632719683082
translation_457394.3.peg.554,1.3632866036363777e-09,5.078893406698725e-33
transcription_TU_457394.3.peg.554,3.5529913237209654e-11,2.015504946146801e-34
translation_457394.3.peg.557,3.503551329360518e-10,-1.515031923676478e-34
transcription_TU_457394.3.peg.557,9.130939482736375e-12,8.66584650596715e-35
translation_457394.3.peg.561,2.6343216957626567e-09,3.1286416551888586e-33
transcription_TU_457394.3.peg.561,6.865557179223254e-11,-1.2139893972749484e-34
translation_457394.3.peg.572,0.0,-1.2034670080337192e-34
transcription_TU_457394.3.peg.572,0.0,-1.8923553536580957
translation_457394.3.peg.574,0.0,1.0459193187231536e-34
transcription_TU_457394.3.peg.574,0.0,-2.761564428317292
translation_457394.3.peg.575,-3.0231559790966423e-52,-5.715122648211017e-34
transcription_TU_457394.3.peg.575,0.0,-3.6197139825686335
translation_457394.3.peg.584,0.0,-1.2808648781224677e-33
transcription_TU_457394.3.peg.584,0.0,-9.639398459490897
translation_457394.3.peg.596,0.0,-2.2667051194833284e-34
transcription_TU_457394.3.peg.596,0.0,-10.2126809673351
translation_457394.3.peg.598,1.5167161505209684e-09,-1.2994021580088008e-30
transcription_TU_457394.3.peg.598,3.952858708487545e-11,-1.230470290008231e-34
translation_457394.3.peg.600,2.494195844164901e-07,-4.556068618755224e-34
transcription_TU_457394.3.peg.600,6.500361824388954e-09,7.628378396635663e-36
translation_457394.3.peg.603,0.0,-2.166279676372336e-33
transcription_TU_457394.3.peg.603,0.0,-4.280888080276702
translation_457394.3.peg.612,0.0,-5.279372858487151e-33
transcription_TU_457394.3.peg.612,0.0,-7.206844766125674
translation_457394.3.peg.630,0.0,-6.2480639497204485e-34
transcription_TU_457394.3.peg.630,0.0,-11.171568471184782
