,fluxes,reduced_costs
biomass_dilution,0.0030475163177963293,-0.004665986935591581
protein_biomass_to_biomass,1.671955736801013e-05,0.0
mRNA_biomass_to_biomass,0.0025008310604818502,0.0
tRNA_biomass_to_biomass,2.726967772073787e-07,0.0
rRNA_biomass_to_biomass,7.630010359280608e-07,0.0
ncRNA_biomass_to_biomass,0.0,-6.803827108497019e-37
tmRNA_biomass_to_biomass,0.0,-6.803827108497019e-37
DNA_biomass_to_biomass,0.00018076072027125727,-6.803827108497019e-37
lipid_biomass_to_biomass,0.0,-6.803827108497019e-37
constituent_biomass_to_biomass,0.0003387543177465348,-6.803827108497019e-37
prosthetic_group_biomass_to_biomass,1.0213096035615672e-08,0.0
peptidoglycan_biomass_to_biomass,0.0,-6.803827108497019e-37
DM_4HBA,3.882900378727498e-37,0.0
DM_atp_c_,0.0,-0.0002902017735693041
DM_cholcoa_c_,0.0,-0.003483148975136854
DM_dcholcoa_c_,0.0,-0.003483148975136854
DM_udoholcoa_c_,0.0,-0.003483148975136854
EX_12dhchol(e),0.0,-4.560178986349578e-08
EX_26dap_M(e),-7.584503840585075e-23,0.0
EX_3dhcdchol(e),0.0,-3.307617287413602e-08
EX_3dhchol(e),0.0,-3.307617287413602e-08
EX_4abut(e),0.18,0.0
EX_C02528(e),0.0,-4.875076302106185e-09
EX_HC02191(e),-4.9784122222889134e-58,1.8657446336251347e-36
EX_HC02194(e),0.0,-4.875076302106185e-09
EX_ac(e),1.3003542692066068,0.0
EX_adchac(e),0.0,5.2218435681545237e-36
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-1.0,-0.00028998556606030327
EX_alaasp(e),0.0,-0.00028998501828481207
EX_alagln(e),0.0,-0.0002903140814420077
EX_alaglu(e),0.0,-0.0005801126158568926
EX_alagly(e),0.0,-0.00028998556606030327
EX_alahis(e),0.0,-0.0002900110654328274
EX_alaleu(e),0.0,-0.00029000648876895255
EX_alathr(e),0.0,-0.00028998556606030327
