,fluxes,reduced_costs
biomass_dilution,0.0008134006595633509,6.149713244634912e-05
protein_biomass_to_biomass,0.0001122919411783127,0.0
mRNA_biomass_to_biomass,0.0004884412091053267,-1.7134382530759303e-38
tRNA_biomass_to_biomass,1.7042968390903223e-06,-1.0432083116137712e-38
rRNA_biomass_to_biomass,9.095297248610725e-06,-9.474012249346313e-39
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,4.824613681488588e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,9.041558986112683e-05,0.0
prosthetic_group_biomass_to_biomass,4.197160319684956e-08,8.150597168709366e-39
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_HQN,0.0,-0.0003162579619954386
DM_atp_c_,0.0,-6.56737126442555e-05
DM_dhptd(c),9.956824444577827e-58,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),0.1769869104412558,0.0
EX_acald(e),0.0,-6.562478097644577e-05
EX_ala_D(e),-8.584496838122465e-49,0.0
EX_ala_L(e),-0.00015230637162669665,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-6.66412937003372e-05,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-6.558896982596533e-05
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-6.560155814842734e-05
EX_biomass(e),0.0,0.0
EX_btn(e),3.1861838222649046e-56,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),-2.9827231184682794e-26,0.0
EX_cd2(e),0.0,-0.00105140896273882
EX_cellb(e),0.0,0.0
EX_cgly(e),2.3563132538845523e-30,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-6.564648366932565e-05
EX_cobalt2(e),-6.3521718498454776e-06,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-6.974135319733736e-06,0.0
EX_dextrin(e),1.5930919111324523e-56,-1.298866156360933e-37
EX_drib(e),-0.17878295,-6.5580051453905e-05
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.17620307230138557,0.0
EX_fe2(e),-2.5997289511238697e-13,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-9.877169849021204e-55,0.0
EX_for(e),5.311050531215187e-06,0.0
EX_fru(e),0.0,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),1.0440487148797639e-51,0.0
EX_glcn(e),-0.14898579,-0.00013125601757315542
EX_gln_L(e),-0.003569116687718623,0.0
EX_glu_L(e),0.003391833837704547,0.0
EX_gly(e),0.0010075245940477672,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.7679817026609161,0.0
EX_glyc3p(e),-0.00206303843774173,0.0
EX_glycys(e),3.9827297778311307e-57,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),1.4405262999060695,0.0
EX_h2o(e),-0.05146244397155489,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-3.105798068207269e-05,0.0
EX_ile_L(e),-0.00010299135054469615,0.0
EX_inost(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-6.999261353893966e-10,0.0
EX_lac_D(e),1.4124089931020265,0.0
EX_lac_L(e),0.011320884411667209,0.0
EX_lcts(e),-1.879287686783575e-50,0.0
EX_leu_L(e),-0.0001560813845569589,0.0
EX_lys_L(e),-1.3432448953208415e-21,0.0
EX_mal_L(e),0.0,-6.562830994489755e-05
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,-6.560557642072511e-05
EX_malttr(e),0.0,-0.0004594512046776869
EX_man(e),-4.178548997345914e-22,0.0
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-5.2700749673603055e-05,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.5672066500790044e-06,0.0
EX_mn2(e),3.5569289579445115e-26,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),-1.8156241217830272e-50,0.0
EX_nac(e),-6.352171110794033e-06,0.0
EX_nh4(e),0.6717153068119619,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.0001312155852571171
EX_pb(e),0.0,0.0
EX_phe_L(e),-6.442742424857765e-05,0.0
EX_pi(e),-8.352389719038111e-51,0.0
EX_pnto_R(e),-6.352171110794033e-06,0.0
EX_pro_L(e),-6.232880853304658e-05,0.0
EX_ptrc(e),6.372367644529809e-56,0.0
EX_pydx(e),-6.35217119528495e-06,0.0
EX_rib_D(e),-0.17878295,-6.56185295502049e-05
EX_ribflv(e),-1.2704344546138476e-05,0.0
EX_salcn(e),3.1861838222649046e-56,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.002265144901625932,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.4487828325230885,0.0
EX_sucr(e),-1.9117102933589427e-55,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),0.0,0.0
EX_thr_L(e),-9.738517973459462e-05,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-1.4778169047998168e-05,0.0
EX_tyr_L(e),-5.0648814143481954e-05,0.0
EX_ura(e),6.545830465733061e-46,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.00011049202195792593,0.0
EX_xan(e),-2.0880974297595278e-51,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-2.860656091678543e-08,0.0
translation_525337.3.peg.8,4.547038545319426e-60,2.8020426405809127e-34
transcription_TU_525337.3.peg.8,0.0,-0.23730230667928653
translation_525337.3.peg.10,1.2205817234317757e-16,1.3030806790903624e-33
transcription_TU_525337.3.peg.10,3.521144787694382e-16,-4.823855160907039e-36
translation_525337.3.peg.11,7.732646192801564e-31,2.3464116869359795e-34
transcription_TU_525337.3.peg.11,0.0,-0.08212143440729168
translation_525337.3.peg.12,0.0,6.181737959723403e-14
transcription_TU_525337.3.peg.12,0.0,-0.05969584517597622
translation_525337.3.peg.13,3.340793521920001e-12,-1.4604741461403272e-34
transcription_TU_525337.3.peg.13,9.637550252184555e-12,4.4665325563954064e-36
translation_525337.3.peg.14,2.9562057782042945e-12,-9.974658675271332e-34
transcription_TU_525337.3.peg.14,8.52808817914263e-12,1.965274324813979e-35
translation_525337.3.peg.15,9.87535324666887e-13,6.507827926815299e-34
transcription_TU_525337.3.peg.15,2.848850506575071e-12,-1.3846250924825759e-35
translation_525337.3.peg.16,9.87535324666887e-13,5.755324751953913e-35
transcription_TU_525337.3.peg.16,2.848850506575071e-12,-1.1561371381531933e-34
translation_525337.3.peg.17,-2.5012184678482718e-30,-4.261971227813942e-34
transcription_TU_525337.3.peg.17,0.0,-0.1273642556469313
translation_525337.3.peg.18,3.785845268706392e-12,5.313750917092668e-34
transcription_TU_525337.3.peg.18,1.0921439407959524e-11,-1.3578258971442037e-35
translation_525337.3.peg.19,3.4886513890886986e-12,-1.3048714295481032e-34
transcription_TU_525337.3.peg.19,1.006409191531619e-11,-9.826371624069894e-36
translation_525337.3.peg.21,9.322337571432717e-31,-5.842368941842671e-35
transcription_TU_525337.3.peg.21,0.0,-0.09812737652004763
translation_525337.3.peg.22,7.534892465461526e-31,-1.2677145834028041e-33
transcription_TU_525337.3.peg.22,0.0,-0.18583427791183432
translation_525337.3.peg.23,1.0257443198476675e-39,-7.173449427249183e-34
transcription_TU_525337.3.peg.23,0.0,-0.21747818621809278
translation_525337.3.peg.24,3.051171212366896e-30,-1.3729340222559103e-35
transcription_TU_525337.3.peg.24,0.0,-0.18040665038843173
translation_525337.3.peg.25,3.051171212366896e-30,3.224200633566887e-34
transcription_TU_525337.3.peg.25,0.0,-0.1676840313697367
translation_525337.3.peg.26,2.378932614602813e-30,4.652926095408358e-35
transcription_TU_525337.3.peg.26,0.0,-0.17740358169260614
translation_525337.3.peg.27,7.922454205840727e-31,-8.313887427679474e-36
transcription_TU_525337.3.peg.27,0.0,-0.15970502474934367
translation_525337.3.peg.32,-9.113429897083229e-27,-1.6221129622866589e-34
transcription_TU_525337.3.peg.32,0.0,-0.08731501102242692
translation_525337.3.peg.33,2.4301910195671625e-31,-2.309471284872939e-34
