,fluxes,reduced_costs
biomass_dilution,0.003268870121334798,-0.005484626563611329
protein_biomass_to_biomass,0.0010465135866538867,2.9467706218689362e-36
mRNA_biomass_to_biomass,0.00028529830412804346,-7.802905174375851e-37
tRNA_biomass_to_biomass,1.653053919153525e-05,6.060084369960564e-37
rRNA_biomass_to_biomass,0.00011870491117903701,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00019389012422988877,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.001018903467213115,0.0
prosthetic_group_biomass_to_biomass,3.6529624648035536e-07,-9.73269313008343e-37
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,2.5953848102361892e-05,0.0
DM_atp_c_,0.0,-0.00043633296534465187
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.00043622969155481255
EX_12dgr180(e),-0.0001358960837802273,0.0
EX_26dap_M(e),-0.0008744306256718216,0.0
EX_2hyoxplac(e),0.0,-0.0015271193004249024
EX_34dhphe(e),-3.3347889050903295e-28,0.0
EX_3mop(e),-1.0,-0.00021813406574263238
EX_4abz(e),-7.786154430708567e-05,0.0
EX_5htrp(e),-2.4461785069869471e-32,0.0
EX_Cit_Mg(e),0.0,0.0
EX_Lcyst(e),0.0,-0.00010907383756321986
EX_ac(e),8.451916352290539e-26,0.0
EX_acald(e),0.0,-1.1129483877499748e-07
EX_acgam(e),1.1237557437553774e-21,0.0
EX_actn_R(e),0.0,-2.0996205503954675e-07
EX_adn(e),-0.0007219203638784907,0.0
EX_adocbl(e),-2.5953848102361892e-05,0.0
EX_akg(e),0.0,-0.0004362639206132781
EX_ala_L(e),-0.1575347141627489,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.0005449742571771876
EX_arsenb(e),0.0,0.0
EX_asn_L(e),0.09602726504647195,0.0
EX_asp_L(e),-0.225,-1.3027425198076844e-08
EX_biomass(e),0.0,0.0
EX_but(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),-1.2346880787784605e-13,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0019253891887299872
EX_cgly(e),-0.00014655799237394548,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cit(e),-1.2212421636048345e-21,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.6542583580188642,0.0
EX_cobalt2(e),-2.595385849212891e-05,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,-0.0001090797489535547
EX_csn(e),-2.0508948706878848e-49,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_cytd(e),0.0,-0.0014180359362564346
EX_dad_2(e),8.779968594490998e-44,0.0
EX_dcyt(e),-0.00014753428138896392,0.0
EX_dgsn(e),-0.00014753428138896392,0.0
EX_din(e),0.0,-0.0003278285964232122
EX_dopa(e),0.0,-6.968655689018893e-38
EX_drib(e),0.0,0.0
EX_duri(e),0.0,0.0
EX_etha(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.15543685543609956,0.0
EX_fe2(e),-2.595385305652384e-05,0.0
EX_fe3(e),-6.1062108180241725e-22,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),0.15940648239866162,0.0
EX_fru(e),0.0,0.0
EX_fum(e),-1.0,-0.00021809178512847342
EX_gal(e),-3.1238635263319465e-32,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-0.00042508125548228003,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),7.786154430708567e-05,0.0
EX_glc_D(e),-0.0013473351850885147,0.0
EX_gln_L(e),-0.17227642851699082,0.0
EX_glu_L(e),1.6541998482120003e-20,0.0
EX_gly(e),-0.0028772281776447365,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.00042292041082495627,0.0
EX_glyc3p(e),-0.002224748221059801,0.0
EX_glycys(e),0.0,-7.299501244798185e-26
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.00010906957531629277
EX_glymet(e),0.0,-0.00010906832222558867
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gsn(e),0.0,-1.0341252378530291e-07
EX_gua(e),-0.0004178836893941924,0.0
EX_h(e),-0.011008850417259108,0.0
EX_h2(e),-0.6242180375624307,0.0
EX_h2o(e),-1.129058621574706,0.0
EX_h2s(e),-4.665658420194538e-21,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00032822590840244877,0.0
EX_hista(e),1.6275086020465497e-21,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.9984686804145609,0.0
EX_ind3ac(e),0.0,0.0
EX_indole(e),-4.0705491445275815e-21,0.0
EX_ins(e),2.595384810236189e-05,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-8.946946397892053e-11,0.0
EX_leu_L(e),-0.001351086931831096,0.0
EX_lys_L(e),-2.3551378165023716e-20,0.0
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,-6.289935067460741e-08
EX_malttr(e),0.0,-1.582141809614711e-08
EX_man(e),2.4902666250132795e-32,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.0005145663494406547,0.0
EX_metala(e),0.0,-0.00010906832222558867
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-4.498294048794355e-22,0.0
EX_mg2(e),-1.4008655899400628e-05,0.0
EX_mn2(e),-9.82032269999702e-11,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mqn7(e),-5.1907696204723784e-05,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),-3.884708353030141e-36,0.0
EX_nac(e),-2.5953849639539555e-05,0.0
EX_nh4(e),0.3056572405337929,0.0
EX_o2(e),0.0,-0.0013088922254032122
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0005574681550024613,0.0
EX_pheme(e),-2.5953848102361892e-05,0.0
EX_pi(e),-0.002023795303981478,0.0
EX_ppa(e),0.0,-0.0006546825160577915
EX_ppi(e),0.0,-0.0008728925217650513
EX_pro_L(e),-0.18,-0.00010869246416168165
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-2.5953854813255848e-05,0.0
EX_pydxn(e),0.0,0.0
EX_rib_D(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.1581092885106277e-20,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_srtn(e),0.0,-5.332871643503469e-38
EX_strch1(e),0.0,0.0
EX_strch2(e),0.0,0.0
EX_succ(e),1.62258169611838,0.0
EX_sucr(e),0.0,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-2.5953848594266925e-05,0.0
EX_thr_L(e),-0.0007535078040448415,0.0
EX_thymd(e),-0.00016730068548008754,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.00018297994563216003,0.0
EX_trypta(e),0.0,-5.332871643503469e-38
EX_tsul(e),0.0,0.0
EX_tym(e),0.0,-5.332871643503469e-38
EX_tyr_L(e),-0.0005109146042677362,0.0
EX_ura(e),0.0,0.0
EX_uri(e),-6.235841040135917e-21,0.0
EX_val_L(e),-0.0010780380429499168,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),-1.212074727714228e-30,0.0
EX_zn2(e),-6.132957393742245e-08,0.0
translation_g.25496.CDS.4,0.0,1.0976546870709691e-33
transcription_TU_g.25496.CDS.4,0.0,-0.25628672784994233
translation_g.25496.CDS.13,0.0,-1.8290227315904735e-30
transcription_TU_g.25496.CDS.13,0.0,-0.22032557078669343
translation_g.25496.CDS.18,0.0,-1.171577152117824e-35
transcription_TU_g.25496.CDS.18,0.0,-0.24484944159833794
translation_g.25496.CDS.30,0.0,-1.3141935506961673e-33
transcription_TU_g.25496.CDS.30,0.0,-0.24083755613116722
translation_1206781.3.peg.31,-9.269235547808982e-59,3.260506631811651e-34
transcription_TU_1206781.3.peg.31,0.0,-0.4094476990717412
translation_g.25496.CDS.34,0.0,-6.286995826783276e-35
transcription_TU_g.25496.CDS.34,0.0,-1.8820031584127116e-35
translation_g.25496.CDS.37,-5.801173268816908e-34,9.049795251226676e-34
transcription_TU_g.25496.CDS.37,0.0,-0.2828656949157273
translation_g.25496.CDS.41,5.503352396809631e-58,-1.0665308639048557e-34
transcription_TU_g.25496.CDS.41,0.0,-0.03317827261762512
translation_g.25496.CDS.53,0.0,1.1887007467450138e-34
transcription_TU_g.25496.CDS.53,0.0,-0.38880061297403257
translation_g.25496.CDS.56,-3.735186827278956e-59,1.1628219194543627e-34
transcription_TU_g.25496.CDS.56,0.0,-0.1884303798077005
translation_g.25496.CDS.65,8.120323279929762e-08,-7.346405998958334e-34
transcription_TU_g.25496.CDS.65,5.866725949955006e-08,2.0968084988227086e-34
translation_1206781.3.peg.71,6.341965924023962e-60,4.458461824483374e-34
transcription_TU_1206781.3.peg.71,0.0,-1.313049411898932
translation_g.25496.CDS.73,0.0,1.454129563936869e-34
transcription_TU_g.25496.CDS.73,0.0,-0.16791802121336288
translation_g.25496.CDS.92,-9.497745012072887e-34,1.39735223975308e-34
transcription_TU_g.25496.CDS.92,0.0,-0.09814223447131207
translation_g.25496.CDS.93,0.0,3.2611923978801824e-34
transcription_TU_g.25496.CDS.93,0.0,-0.21910685732864674
translation_g.25496.CDS.106,0.0,4.861915418505625e-34
transcription_TU_g.25496.CDS.106,0.0,-0.23752766262547195
translation_g.25496.CDS.111,0.0,-1.5814134425937347e-34
transcription_TU_g.25496.CDS.111,0.0,-0.16414982717501225
translation_g.25496.CDS.115,0.0,1.6348228300469457e-34
transcription_TU_g.25496.CDS.115,0.0,-0.1781081537906746
translation_g.25496.CDS.126,0.0,6.464971874396322e-34
transcription_TU_g.25496.CDS.126,0.0,-0.26191410873017973
translation_g.25496.CDS.134,0.0,-2.154969551113391e-30
transcription_TU_g.25496.CDS.134,0.0,-0.1769346523286585
translation_g.25496.CDS.137,-2.2527293980790545e-59,-1.4099581509305543e-33
transcription_TU_g.25496.CDS.137,0.0,-0.337942001514615
translation_g.25496.CDS.165,0.0,-2.882032368128105e-35
transcription_TU_g.25496.CDS.165,0.0,-0.07952761231857232
translation_1206781.3.peg.165,0.0,1.0036778771859896e-33
transcription_TU_1206781.3.peg.165,0.0,-0.21347074224412477
translation_g.25496.CDS.166,0.0,-1.13543305198866e-33
transcription_TU_g.25496.CDS.166,0.0,-0.37734084486475306
translation_g.25496.CDS.175,7.43000968806958e-30,-3.758188833697413e-34
transcription_TU_g.25496.CDS.175,0.0,-0.15166591887151903
translation_g.25496.CDS.176,2.452706490657917e-27,5.108903350671737e-34
transcription_TU_g.25496.CDS.176,0.0,-0.6575560875306674
translation_1206781.3.peg.179,1.4559140690458712e-53,4.81924015166607e-34
transcription_TU_1206781.3.peg.179,0.0,-0.2685711181476862
translation_g.25496.CDS.182,0.0,1.6850964150164556e-33
transcription_TU_g.25496.CDS.182,0.0,-0.2758340344954006
translation_g.25496.CDS.197,0.0,5.629172708805533e-34
transcription_TU_g.25496.CDS.197,0.0,-0.33168625199984997
translation_g.25496.CDS.201,0.0,1.3548019824182605e-34
transcription_TU_g.25496.CDS.201,0.0,-0.23981585323646884
translation_1206781.3.peg.205,0.0,1.4154511628925754e-33
transcription_TU_1206781.3.peg.205,0.0,-0.25628672784994233
translation_g.25496.CDS.206,-1.540767384896344e-59,-8.235675774195225e-34
transcription_TU_g.25496.CDS.206,0.0,-0.5578467830410678
translation_g.25496.CDS.214,0.0,6.55009616043174e-34
transcription_TU_g.25496.CDS.214,0.0,-0.24988766367456566
translation_g.25496.CDS.245,0.0,-2.0851500143041435e-30
transcription_TU_g.25496.CDS.245,0.0,-0.652461037820912
translation_g.25496.CDS.252,0.0,-3.480054907773257e-34
transcription_TU_g.25496.CDS.252,0.0,-0.21363172431863556
translation_g.25496.CDS.259,0.0,-4.454459437656039e-34
transcription_TU_g.25496.CDS.259,0.0,-0.3022329055542
translation_g.25496.CDS.260,-1.6777908469426745e-59,-1.4851804127833428e-33
transcription_TU_g.25496.CDS.260,0.0,-0.2865192039150462
translation_g.25496.CDS.267,0.0,-4.883865000752912e-34
transcription_TU_g.25496.CDS.267,0.0,-0.3076990286231389
translation_g.25496.CDS.272,0.0,2.6485767771835517e-34
transcription_TU_g.25496.CDS.272,0.0,-0.508755581380311
translation_g.25496.CDS.275,0.0,6.862217286516921e-34
transcription_TU_g.25496.CDS.275,0.0,-0.2478184831047589
translation_g.25496.CDS.286,0.0,-9.69195360279463e-35
transcription_TU_g.25496.CDS.286,0.0,-0.05037834830893894
translation_g.25496.CDS.287,1.134371031852216e-15,-2.95394270815751e-34
transcription_TU_g.25496.CDS.287,8.195540670028836e-16,2.91627348852193e-34
translation_g.25496.CDS.293,3.020625383030029e-62,-9.824972362605864e-34
transcription_TU_g.25496.CDS.293,0.0,-0.22550730620627743
translation_g.25496.CDS.299,0.0,5.840161311506631e-34
transcription_TU_g.25496.CDS.299,0.0,-0.10579010028806074
translation_g.25496.CDS.307,0.0,-1.6926324246850765e-33
transcription_TU_g.25496.CDS.307,0.0,-1.313049411898932
translation_g.25496.CDS.314,-2.2527293980790545e-59,1.6483688550686943e-34
transcription_TU_g.25496.CDS.314,0.0,-0.2854934889055419
translation_g.25496.CDS.315,0.0,4.487803274987363e-34
transcription_TU_g.25496.CDS.315,0.0,-0.3157290340379568
translation_g.25496.CDS.326,6.132504911498665e-08,-8.951022491378423e-34
transcription_TU_g.25496.CDS.326,4.4305780031490246e-08,-4.180314485361054e-34
translation_g.25496.CDS.350,0.0,-2.8998153660550716e-34
transcription_TU_g.25496.CDS.350,0.0,-0.4939774100472554
translation_g.25496.CDS.358,0.0,-7.573388021810579e-34
transcription_TU_g.25496.CDS.358,0.0,-0.2007519681795603
translation_g.25496.CDS.360,0.0,-2.4304919530143225e-34
transcription_TU_g.25496.CDS.360,0.0,-0.12343119909042262
translation_g.25496.CDS.361,0.0,2.0054934167190186e-34
transcription_TU_g.25496.CDS.361,0.0,-0.059189659421567044
translation_g.25496.CDS.365,-1.9432844539953157e-38,-1.9184580666685978e-29
transcription_TU_g.25496.CDS.365,0.0,-0.12129530517591633
translation_g.25496.CDS.367,0.0,1.9861193792934317e-33
transcription_TU_g.25496.CDS.367,0.0,-0.32774362616740893
translation_1206781.3.peg.388,0.0,4.2341000960088705e-34
transcription_TU_1206781.3.peg.388,0.0,-0.3925256402655223
translation_g.25496.CDS.389,0.0,-4.664998328924261e-34
transcription_TU_g.25496.CDS.389,0.0,-0.4390076570886617
translation_1206781.3.peg.389,0.0,-1.495422851740116e-33
transcription_TU_1206781.3.peg.389,0.0,-0.39574232887044286
translation_g.25496.CDS.390,0.0,1.128359921640419e-30
transcription_TU_g.25496.CDS.390,0.0,-0.17413225449772776
translation_1206781.3.peg.390,0.0,2.073989135186917e-34
transcription_TU_1206781.3.peg.390,0.0,-0.337942001514615
translation_1206781.3.peg.391,0.0,-4.97713416102705e-35
transcription_TU_1206781.3.peg.391,0.0,-0.28803349583244586
translation_g.25496.CDS.392,0.0,-3.2917010520831756e-34
transcription_TU_g.25496.CDS.392,0.0,-0.5622094697704793
translation_1206781.3.peg.392,0.0,4.286597466610355e-34
transcription_TU_1206781.3.peg.392,0.0,-0.4351182589096349
translation_1206781.3.peg.393,0.0,6.559201979836941e-35
transcription_TU_1206781.3.peg.393,0.0,-0.719434246527186
translation_1206781.3.peg.394,0.0,1.1148593557835032e-35
transcription_TU_1206781.3.peg.394,0.0,-0.1718510687225067
translation_1206781.3.peg.395,0.0,1.0904235796419731e-35
transcription_TU_1206781.3.peg.395,0.0,-0.09862312651761926
translation_1206781.3.peg.396,0.0,-1.139455674243244e-34
transcription_TU_1206781.3.peg.396,0.0,-0.3099095454901899
translation_1206781.3.peg.397,1.2820485858902234e-50,-5.57387089525154e-31
transcription_TU_1206781.3.peg.397,0.0,-0.3640826333955067
translation_g.25496.CDS.398,0.0,-1.5265867077524666e-34
transcription_TU_g.25496.CDS.398,0.0,-0.05953366826825667
translation_1206781.3.peg.398,0.0,-9.099639354780345e-35
transcription_TU_1206781.3.peg.398,0.0,-0.37032676393876773
translation_1206781.3.peg.399,0.0,-3.5654792043016644e-34
transcription_TU_1206781.3.peg.399,0.0,-0.20628820820867452
translation_g.25496.CDS.403,3.65698043415299e-14,3.0120748863532576e-34
transcription_TU_g.25496.CDS.403,2.6420748622841332e-14,1.0634451581874238e-34
translation_g.25496.CDS.412,0.0,8.362091507627042e-35
transcription_TU_g.25496.CDS.412,0.0,-0.2309845912291749
translation_g.25496.CDS.416,0.0,3.022509705008309e-34
transcription_TU_g.25496.CDS.416,0.0,-0.3547564370182671
translation_1206781.3.peg.421,0.0,-1.0758461802998583e-33
transcription_TU_1206781.3.peg.421,0.0,-0.2581063478625479
translation_g.25496.CDS.426,0.0,6.040838852063356e-34
transcription_TU_g.25496.CDS.426,0.0,-0.30520150437557325
translation_g.25496.CDS.434,0.0,-6.786696648885264e-34
transcription_TU_g.25496.CDS.434,0.0,-0.4563199733001383
translation_g.25496.CDS.436,0.0,-1.738984941576314e-30
transcription_TU_g.25496.CDS.436,0.0,-0.1975653802924598
