,fluxes,reduced_costs
biomass_dilution,0.0012362441323738116,-0.16450072913770397
protein_biomass_to_biomass,0.0005648433437650077,0.0
mRNA_biomass_to_biomass,7.199184366137128e-05,0.0
tRNA_biomass_to_biomass,8.818173347425275e-06,-2.223684039978678e-35
rRNA_biomass_to_biomass,6.166637651540504e-05,-1.999460556004886e-35
ncRNA_biomass_to_biomass,0.0,-2.046527372151894e-35
tmRNA_biomass_to_biomass,0.0,-2.046527372151894e-35
DNA_biomass_to_biomass,7.332672139452061e-05,-2.046527372151894e-35
lipid_biomass_to_biomass,0.0,-2.046527372151894e-35
constituent_biomass_to_biomass,0.00013741781633289858,-2.046527372151894e-35
prosthetic_group_biomass_to_biomass,4.55476489366303e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,-2.046527372151894e-35
DM_atp_c_,0.0,-0.001458873085090801
DM_clpn140(c),0.0,0.0
DM_clpn160(c),0.0,0.0
DM_clpn180(c),0.0,-0.02625812856007511
DM_clpni16(c),0.0,-0.008752639373924427
DM_dhptd(c),6.531855757374277e-07,0.0
DM_teich_45_BS(c),0.0,0.0
EX_15dap(e),0.0,0.0
EX_26dap_M(e),7.17700014785621e-55,0.0
EX_ac(e),0.5904702052568571,0.0
EX_acald(e),0.0,-0.0007294272521384997
EX_ade(e),-0.00020378512765001897,0.0
EX_ala_L(e),-0.0006969828033526705,0.0
EX_alaasp(e),0.0,-2.4854643053066656e-08
EX_alagln(e),0.0,-1.0566189165588124e-08
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,4.5738981102174464e-36
EX_alahis(e),0.0,-2.4854643053066656e-08
EX_alaleu(e),0.0,-1.0566189165588124e-08
EX_alathr(e),0.0,-0.0007294166859493341
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.0004963527425465637,0.0
EX_asn_L(e),-0.0003074428279719699,0.0
EX_asp_L(e),-0.00041582732603636627,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.011578277334560712
EX_cellb(e),-0.07449289,-0.007293996045711098
EX_cellul(e),-2.821e-05,-1.4587846921938663
EX_cgly(e),-9.89456046869472e-18,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.00203409128627592,0.0
EX_cobalt2(e),-9.65434339790309e-06,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),-0.0003710691591065499,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.00012793559004907354,0.0
EX_dpcoa(e),0.0,-0.06336687137645453
EX_etoh(e),0.549609245225959,0.0
EX_fe2(e),-1.900743620333203e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.9154053441429163,0.0
EX_fum(e),-0.038021666453886896,0.0
EX_gal(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.002917569394953922
EX_gln_L(e),-0.0013950906143612783,0.0
EX_glu_L(e),0.0,0.0
EX_gly(e),0.22401835914397564,0.0
EX_glyasn(e),0.0,-1.4288453887478531e-08
EX_glyasp(e),0.0,-1.4288453887478531e-08
EX_glycys(e),0.0,4.5738981102174464e-36
EX_glygln(e),0.0,4.5738981102174464e-36
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0007294740774642864
EX_glymet(e),0.0,4.5738981102174464e-36
EX_glyphe(e),0.0,-3.722264721890406e-09
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-1.4288453887478531e-08
EX_h(e),1.4615342770498208,0.0
EX_h2o(e),-0.6898264496077761,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0001090757768171521,0.0
EX_hxan(e),-0.0001499130855008922,0.0
EX_ile_L(e),-0.00049340029395821,0.0
EX_k(e),-1.1952106500020434e-09,0.0
EX_lac_L(e),0.0,-0.0007294209426462752
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.0006372939202627845,0.0
EX_lys_L(e),-0.00047954562552538963,0.0
EX_malt(e),-0.07449289,-0.007294001582056036
EX_mantr(e),0.0,-0.0029175648510057664
EX_met_L(e),-0.00020505944014747465,0.0
EX_metala(e),0.0,-1.0566189165588124e-08
EX_mg2(e),-1.809592362869631e-05,0.0
EX_mn2(e),-5.0898229575748074e-09,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-9.654328492977873e-06,0.0
EX_nh4(e),0.0,-0.03564836098698282
EX_nmn(e),0.0,0.0
EX_no2(e),0.0,0.0
EX_o2(e),0.0,-0.03856661719489423
EX_ocdca(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.00047787676530337993,0.0
EX_pi(e),-0.0009921176142567855,0.0
EX_pnto_R(e),-9.654324927360045e-06,0.0
EX_pro_L(e),-1.342160346034602e-55,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-9.654327933034974e-06,0.0
EX_ribflv(e),-1.930866617940097e-05,0.0
EX_so4(e),0.0,0.0
EX_succ(e),0.038021666453886896,0.0
EX_thr_L(e),-0.225,-0.0007294061197601685
EX_ttdca(e),0.0,0.0
EX_tyr_L(e),-0.0003414190520557265,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.0005632822091686335,0.0
EX_xyl_D(e),0.0,0.0
EX_xylan(e),0.0,0.0
EX_zn2(e),-8.39355649806076e-08,0.0
translation_213810.4.peg.26,1.0535583634126764e-25,3.189617432787332e-33
transcription_TU_213810.4.peg.26,0.0,-1.7550550123206714
translation_213810.4.peg.33,0.0,7.416504912491313e-32
transcription_TU_213810.4.peg.33,0.0,-7.175120178212971
translation_213810.4.peg.35,0.0,-6.083438694646632e-32
transcription_TU_213810.4.peg.35,0.0,-10.282788367920078
translation_213810.4.peg.42,3.1733837902085416e-12,-4.817345251179603e-32
transcription_TU_213810.4.peg.42,6.030079502077255e-12,-5.505244662479912e-33
translation_213810.4.peg.43,0.0,-2.4578527834217353e-32
transcription_TU_213810.4.peg.43,0.0,1.962166047518575e-34
translation_213810.4.peg.48,0.0,1.7162231578784991e-32
transcription_TU_213810.4.peg.48,0.0,-4.840647981345852
translation_213810.4.peg.53,2.4846636416568064e-09,-3.7628165130792574e-32
transcription_TU_213810.4.peg.53,4.72137008493597e-09,3.166395852994168e-33
translation_213810.4.peg.54,0.0,-8.380421536252202e-33
transcription_TU_213810.4.peg.54,0.0,-5.097270722980479
translation_213810.4.peg.56,0.0,-4.105351755478805e-33
transcription_TU_213810.4.peg.56,0.0,-8.61434828395764
translation_213810.4.peg.58,7.802688417565616e-13,4.472744433175084e-32
transcription_TU_213810.4.peg.58,1.4826706947023904e-12,-6.0430452377768104e-33
translation_213810.4.peg.68,0.0,-2.4203062196465112e-32
transcription_TU_213810.4.peg.68,0.0,-10.112144414389507
translation_213810.4.peg.75,0.0,-5.880238521025998e-33
transcription_TU_213810.4.peg.75,0.0,-8.42099166718861
translation_213810.4.peg.76,0.0,-1.718059478516526e-32
transcription_TU_213810.4.peg.76,0.0,-5.7828818515021325
translation_213810.4.peg.80,7.445257379476373e-14,-1.1037293401364453e-32
transcription_TU_213810.4.peg.80,1.414751472866115e-13,-1.5327964943801357e-33
translation_213810.4.peg.82,0.0,1.1252485333038624e-32
transcription_TU_213810.4.peg.82,0.0,-8.408821138632907
translation_213810.4.peg.87,4.601121568983499e-16,-8.268851352091786e-33
transcription_TU_213810.4.peg.87,8.743073858667955e-16,-4.1910242317074366e-33
translation_213810.4.peg.92,0.0,2.431332810408162e-32
transcription_TU_213810.4.peg.92,0.0,-12.125926239661911
translation_213810.4.peg.94,0.0,-8.678821973571781e-33
transcription_TU_213810.4.peg.94,0.0,-10.472516206125524
translation_213810.4.peg.95,0.0,1.3550334617774873e-32
transcription_TU_213810.4.peg.95,0.0,-3.225328030048785
translation_213810.4.peg.96,0.0,3.45072558948572e-29
transcription_TU_213810.4.peg.96,0.0,-13.331490090737951
translation_213810.4.peg.97,0.0,-3.9175177567397193e-32
transcription_TU_213810.4.peg.97,0.0,-13.345814082570316
translation_213810.4.peg.99,0.0,1.30989845215416e-32
transcription_TU_213810.4.peg.99,0.0,-18.722086969684767
translation_213810.4.peg.101,0.0,2.7031102538146744e-32
transcription_TU_213810.4.peg.101,0.0,-13.685114929496844
translation_213810.4.peg.110,0.0,-3.188420498357329e-33
transcription_TU_213810.4.peg.110,0.0,-13.392661287962444
translation_213810.4.peg.122,1.4786018038404966e-12,-1.0368310732262114e-34
transcription_TU_213810.4.peg.122,2.809646427445545e-12,9.02299902846092e-33
