,fluxes,reduced_costs
biomass_dilution,0.00194169749539518,-0.004459754315695728
protein_biomass_to_biomass,0.0005202754942740136,2.9375178323329786e-36
mRNA_biomass_to_biomass,0.00045637492350291087,-6.294838704387886e-37
tRNA_biomass_to_biomass,8.457464469658348e-06,0.0
rRNA_biomass_to_biomass,5.9254295207514736e-05,6.478466404168324e-37
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00011517006029134289,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.000489319798071041,0.0
prosthetic_group_biomass_to_biomass,1.9049404956584612e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.0005906985100130868
DM_dhptd(c),5.429235823720355e-07,0.0
DM_hcys_L[c],0.0,-0.00014763360428206272
EX_12dgr180(e),-9.446670566935496e-26,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-6.0124662944911744e-06,0.0
EX_2obut(e),-0.0005540461296084088,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),-0.006233794616876971,0.0
EX_ade(e),5.429235823720355e-07,0.0
EX_adn(e),-0.0004876654599176082,0.0
EX_ala_L(e),-0.0009151964162292752,0.0
EX_arab_D(e),-0.00014569138817198654,0.0
EX_arg_L(e),-0.15,-0.0003937283859825001
EX_asn_L(e),-0.0001971269054638586,0.0
EX_aso3(e),-1.0899934855968238e-52,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-4.914232924885938e-05
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0020523961402996245
EX_cgly(e),-9.828144134383956e-05,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.0050218690159018,0.0
EX_cobalt2(e),-6.012471746618038e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-0.0009681765563438749
EX_dad_2(e),0.0,0.0
EX_dgsn(e),-0.00011684102933737387,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,-4.916356832636306e-05
EX_ethso3(e),0.0,0.0
EX_fe2(e),-2.285772194893594e-13,0.0
EX_fe3(e),-2.5219826037284903e-28,0.0
EX_fol(e),-1.8037398883473523e-05,0.0
EX_for(e),-0.8517687291261571,0.0
EX_gln_L(e),0.18916821959662578,0.0
EX_glu_L(e),-0.00125681991917761,0.0
EX_gly(e),-0.0007210040334347561,0.0
EX_glyc(e),-0.004504578379912878,0.0
EX_gsn(e),0.0,-0.0003282618287251398
EX_gthox(e),-3.0062331472455872e-06,0.0
EX_gua(e),-0.000506627265761163,0.0
EX_h(e),-1.0,-0.00024614544031687624
EX_h2(e),-1.3087005278028613e-30,0.0
EX_h2o(e),0.5675953561263842,0.0
EX_h2s(e),-3.0062331472455872e-06,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-4.026784734627535e-12,0.0
EX_lys_L(e),-0.00028764899770265193,0.0
EX_met_L(e),-0.00024489091428157877,0.0
EX_mg2(e),-7.250186468494263e-06,0.0
EX_mn2(e),-3.0812795343977764e-11,0.0
EX_mops(e),0.0,0.0
EX_mqn8(e),-6.0124662944911744e-06,0.0
EX_mso3(e),0.0,0.0
EX_n2(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-6.012472409822535e-06,0.0
EX_nh4(e),0.5214678144187828,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.00034448494947235674
EX_o2(e),0.0,-0.0006889989431353592
EX_orn(e),-0.039154530099388817,0.0
EX_pb(e),0.0,0.0
EX_ph2s(e),0.0,-4.916356832636306e-05
EX_phe_L(e),-0.00028594139762154984,0.0
EX_pheme(e),-6.0124662944911744e-06,0.0
EX_pi(e),-0.0025670161889589996,0.0
EX_ppa(e),0.0,0.0
EX_ppi(e),0.0,-0.0014275633854245807
EX_pro_L(e),-0.0002939137394443895,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),4.473513456959096e-47,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-1.2028232758732467e-05,0.0
EX_ser_L(e),-0.0004977015665907946,0.0
EX_sheme(e),-6.0124662944911744e-06,0.0
EX_so3(e),0.0,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-6.0124662944911744e-06,0.0
EX_succ(e),0.22287944317403008,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-6.0124662944911744e-06,0.0
EX_thymd(e),-7.012295393844281e-05,0.0
EX_trp_L(e),-7.069725688015089e-05,0.0
EX_tsul(e),0.0,-4.916356832636306e-05
EX_tyr_L(e),-0.00019252078633398277,0.0
EX_ura(e),-0.0008342936983126596,0.0
EX_val_L(e),-0.0013862459854897305,0.0
EX_zn2(e),-5.3846181156524435e-08,0.0
translation_g.2778.peg.2,2.7094519883610364e-13,3.0629001662765485e-32
transcription_TU_g.2778.peg.2,3.284048044494484e-13,-1.1483497342901975e-33
translation_649764.3.peg.3,1.5421385620028032e-35,4.26719535696539e-34
transcription_TU_649764.3.peg.3,0.0,-0.021135811777583727
translation_g.2778.peg.5,6.100056515090763e-12,9.656040364261151e-33
transcription_TU_g.2778.peg.5,7.393701293008576e-12,5.304514999195691e-34
translation_g.2778.peg.9,1.363621810586824e-59,1.6078446373368684e-33
transcription_TU_g.2778.peg.9,0.0,-0.08037982398011041
translation_649764.3.peg.10,1.0558252170003778e-13,-2.260562226453368e-34
transcription_TU_649764.3.peg.10,1.2797350734070374e-13,8.759889133427023e-35
translation_g.2778.peg.11,-7.623616523364526e-32,-8.213459979229787e-34
transcription_TU_g.2778.peg.11,0.0,-0.1048809488489562
translation_g.2778.peg.12,4.1763360190250645e-08,5.882691551932564e-35
transcription_TU_g.2778.peg.12,5.062015564530302e-08,3.7300173084269904e-35
translation_g.2778.peg.19,4.1763360190250645e-08,-5.990299397142017e-35
transcription_TU_g.2778.peg.19,5.062015564530302e-08,1.591126264433891e-35
translation_649764.3.peg.23,0.0,2.4880226740849727e-33
transcription_TU_649764.3.peg.23,0.0,-0.08913482206868216
translation_g.2778.peg.27,4.1763360190250645e-08,-9.073251662132171e-35
transcription_TU_g.2778.peg.27,5.062015564530302e-08,-4.660347965773582e-35
translation_g.2778.peg.29,0.0,1.5854063634994795e-33
transcription_TU_g.2778.peg.29,0.0,-0.05930396463757104
translation_649764.3.peg.29,0.0,1.6808165005421454e-33
transcription_TU_649764.3.peg.29,0.0,-0.02492988959908108
translation_g.2778.peg.31,0.0,8.725210408953179e-34
transcription_TU_g.2778.peg.31,0.0,-0.09027880634513696
translation_g.2778.peg.33,0.0,1.2958378622586224e-33
transcription_TU_g.2778.peg.33,0.0,-0.05958600634797499
translation_g.2778.peg.35,0.0,-4.880012658523819e-35
transcription_TU_g.2778.peg.35,0.0,-0.08533370716557687
translation_g.2778.peg.36,0.0,-8.249022262951345e-34
transcription_TU_g.2778.peg.36,0.0,-0.06138220984335444
translation_g.2778.peg.40,0.0,7.600718433309198e-34
transcription_TU_g.2778.peg.40,0.0,-0.010730936292137252
translation_g.2778.peg.42,0.0,1.0471418127791021e-30
transcription_TU_g.2778.peg.42,0.0,-0.023371827131159886
translation_g.2778.peg.43,0.0,1.330069002576831e-33
transcription_TU_g.2778.peg.43,0.0,-0.05492845199790753
translation_g.2778.peg.45,0.0,1.5649255565845754e-33
transcription_TU_g.2778.peg.45,0.0,-0.09684527194391376
translation_649764.3.peg.45,0.0,2.0533568418739018e-34
transcription_TU_649764.3.peg.45,0.0,-0.04577073363356001
translation_g.2778.peg.46,4.1763360190250645e-08,-6.9948088745362194e-34
transcription_TU_g.2778.peg.46,5.062015564530302e-08,-2.309524120165313e-35
translation_g.2778.peg.52,0.0,-4.006119246465153e-34
transcription_TU_g.2778.peg.52,0.0,-0.03857148728872866
translation_649764.3.peg.53,0.0,5.269183756790143e-34
transcription_TU_649764.3.peg.53,0.0,-2.7443370717479376
translation_g.2778.peg.54,0.0,-7.556959767354186e-35
transcription_TU_g.2778.peg.54,0.0,-0.03585907497870395
translation_g.2778.peg.56,0.0,1.1600198971348324e-34
transcription_TU_g.2778.peg.56,0.0,-0.04913386063996061
translation_g.2778.peg.59,0.0,4.132308650264652e-34
transcription_TU_g.2778.peg.59,0.0,-0.048512599062385385
translation_g.2778.peg.61,3.850047031319184e-15,-1.5146754566156674e-34
transcription_TU_g.2778.peg.61,4.66653016134965e-15,4.303866125108066e-35
translation_g.2778.peg.63,2.7094519883610364e-13,-6.8122957692267035e-34
transcription_TU_g.2778.peg.63,3.284048044494484e-13,1.8780506727744286e-34
translation_g.2778.peg.64,4.8777057413795055e-12,1.1909520689079126e-32
transcription_TU_g.2778.peg.64,5.912125429942252e-12,2.3439767858637793e-34
translation_g.2778.peg.66,2.4120161268314322e-11,-3.703283864098972e-34
transcription_TU_g.2778.peg.66,2.923534677357945e-11,-3.0257483061365796e-35
translation_g.2778.peg.68,4.1763360190250645e-08,-5.721745545351371e-34
transcription_TU_g.2778.peg.68,5.062015564530302e-08,1.643837756117664e-34
translation_g.2778.peg.77,0.0,-1.2753380361992853e-33
transcription_TU_g.2778.peg.77,0.0,-0.12563232538817112
translation_g.2778.peg.84,0.0,-1.5710678376638894e-33
transcription_TU_g.2778.peg.84,0.0,-0.10630407737532285
