,fluxes,reduced_costs
biomass_dilution,0.004769200587768784,-0.001757798928810977
protein_biomass_to_biomass,4.880854305035077e-05,-4.3779429758861966e-36
mRNA_biomass_to_biomass,1.2795229751666394e-07,-1.7489779708651175e-37
tRNA_biomass_to_biomass,0.003874203898745416,-1.856056371369871e-37
rRNA_biomass_to_biomass,5.565386159947891e-06,0.0
ncRNA_biomass_to_biomass,0.0,-1.730825369982104e-37
tmRNA_biomass_to_biomass,0.0,-1.730825369982104e-37
DNA_biomass_to_biomass,0.00028288089054994325,-1.730825369982104e-37
lipid_biomass_to_biomass,0.0,-1.730825369982104e-37
constituent_biomass_to_biomass,0.0005301324497826559,-1.730825369982104e-37
prosthetic_group_biomass_to_biomass,2.6661717130807817e-08,-2.8847411023133465e-37
peptidoglycan_biomass_to_biomass,0.0,-1.730825369982104e-37
DM_GCALD,0.0,-2.038119909302897e-08
DM_HQN,0.0,-0.00011871619557984885
DM_atp_c_,0.0,-0.00023751368975392212
DM_dhptd(c),6.516347119705962e-08,0.0
DM_thmpp(c),0.492900389000331,0.0
EX_4abut(e),0.0,0.0
EX_4abz(e),0.0,0.0
EX_5mthf(e),0.0,-0.0007122995740805524
EX_ac(e),1.7676893070334787,0.0
EX_acald(e),0.0,-0.00011872639113624484
EX_actn_R(e),0.0,-0.0004749198665166718
EX_ade(e),-0.00215733306744398,0.0
EX_ala_L(e),-0.9871189691497921,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-2.7511707718923228e-05,0.0
EX_asn_L(e),-3.101770351378244e-05,0.0
EX_asp_L(e),-0.006715649848081141,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0005498034950154416
EX_cgly(e),-4.059527130224772e-05,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.9625802612246233,0.0
EX_cobalt2(e),-3.72445951348002e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_diact(e),0.4788022694631357,0.0
EX_etoh(e),1.221286313498394,0.0
EX_fe2(e),-1.5570164326245948e-12,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),0.0,0.0
EX_for(e),2.0164199516858083,0.0
EX_fru(e),0.0,0.0
EX_fum(e),-0.006664191072663638,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),-4.142121622229956e-05,0.0
EX_gln_L(e),-0.010754818259243492,0.0
EX_glu_L(e),0.010649997210001044,0.0
EX_gly(e),-6.163057965863736e-06,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glycys(e),0.0,7.849694135401993e-37
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gsn(e),0.0,-0.0003557805473911448
EX_h(e),2.2979518034288473,0.0
EX_h2o(e),-3.723367960790144,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-1.1772751779027062e-05,0.0
EX_ile_L(e),-5.0169896099749484e-05,0.0
EX_ind3ac(e),0.0,0.0
EX_k(e),-8.253852138187167e-13,0.0
EX_lac_L(e),0.0,-0.00011866594433402201
EX_lcts(e),0.0,0.0
EX_leu_L(e),-6.0900837348638937e-05,0.0
EX_lys_L(e),-4.7386779874667886e-05,0.0
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-1.9195485744675945e-17,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-5.583216693682995e-05,0.0
EX_mg2(e),-8.327204618363637e-07,0.0
EX_mn2(e),-2.9111592216964798e-08,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.9999627554048652,0.0
EX_nh4(e),2.982450221709063,0.0
EX_nmn(e),-1.0,-5.85188652473188e-05
EX_o2(e),0.0,-0.00011860749490267734
EX_pb(e),0.0,0.0
EX_phe_L(e),-2.892910766432765e-05,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-3.724459507012154e-05,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),0.0,0.0
EX_ribflv(e),-7.44891901620114e-05,0.0
EX_salcn(e),0.0,0.0
EX_ser_L(e),-1.0,-0.0002373336479417206
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.006664191072663638,0.0
EX_sucr(e),0.0,0.0
EX_thf(e),-9.93646487433425e-57,0.0
EX_thm(e),-0.4929003890005785,0.0
EX_thr_L(e),-3.828437711820405e-05,0.0
EX_thymd(e),-0.00027808627620344887,0.0
EX_tre(e),0.0,0.0
EX_tyr_L(e),-2.3233721574585415e-05,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,-1.2439333263432472e-07
EX_val_L(e),-5.1300900758829714e-05,0.0
EX_xan(e),-0.004068543305879362,0.0
EX_zn2(e),-2.4859767684255897e-08,0.0
