,fluxes,reduced_costs
biomass_dilution,0.000869632036915135,-0.0007735343025088725
protein_biomass_to_biomass,4.721731285131472e-05,0.0
mRNA_biomass_to_biomass,0.0005218415667949265,1.1361154676732377e-37
tRNA_biomass_to_biomass,7.551683162683221e-07,7.850956628035282e-38
rRNA_biomass_to_biomass,2.505153113937354e-06,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.1581450959332e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00021915266085916087,0.0
prosthetic_group_biomass_to_biomass,1.8985541330669174e-08,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.00014930727095083588
DM_5MTR,2.692815602307715e-06,0.0
DM_atp_c_,0.0,-7.107623614034165e-05
DM_dhptd(c),2.7670581539654163e-06,0.0
DM_hcys_L[c],2.7670581539654163e-06,0.0
EX_26dap_M(e),-3.0265376801674225e-05,0.0
EX_34dhphe(e),-2.0428289466570718e-20,0.0
EX_3mop(e),0.1498844479045641,0.0
EX_4abut(e),3.073259973669459e-33,0.0
EX_4abz(e),-8.078446806923147e-06,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),4.3500733750568877e-05,0.0
EX_acac(e),0.0,0.0
EX_acald(e),0.0,-1.912119682791253e-08
EX_acgam(e),-4.3500733750568877e-05,0.0
EX_adn(e),0.999021049364061,0.0
EX_adocbl(e),-2.692815602307715e-06,0.0
EX_akg(e),2.964936231848028e-23,0.0
EX_ala_D(e),-0.14408449117611805,0.0
EX_ala_L(e),0.0,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,-1.7767986389801755e-05
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.00013147093951920572
EX_alltn(e),0.0,0.0
EX_amp(e),-1.0,-1.774781095491874e-05
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-3.1925568853442504e-05
EX_asn_L(e),-0.225,-2.1255564032070157e-05
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0010928132253250115
EX_cellb(e),0.0,0.0
EX_cgly(e),1.129371945695076e-26,0.0
EX_cit(e),-1.482211243466751e-23,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.35417882476322,0.0
EX_cobalt2(e),-2.6928174899679517e-06,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
