,fluxes,reduced_costs
biomass_dilution,0.001003039428963604,-0.05718082137798594
protein_biomass_to_biomass,0.0004068658906302706,-1.051969213736741e-35
mRNA_biomass_to_biomass,1.0830237893327862e-06,0.0
tRNA_biomass_to_biomass,6.568599810171366e-06,0.0
rRNA_biomass_to_biomass,4.660054163224747e-05,9.602956350684519e-36
ncRNA_biomass_to_biomass,0.0,9.846401014132229e-36
tmRNA_biomass_to_biomass,0.0,9.846401014132229e-36
DNA_biomass_to_biomass,5.9494391787419954e-05,9.846401014132229e-36
lipid_biomass_to_biomass,0.0,9.846401014132229e-36
constituent_biomass_to_biomass,0.00025277215014271446,9.846401014132229e-36
prosthetic_group_biomass_to_biomass,7.927676919202464e-07,1.6943821215606758e-35
peptidoglycan_biomass_to_biomass,0.0,9.846401014132229e-36
DM_4HBA,0.0,-1.201301405522919
DM_5DRIB,0.0,-9.17221003973588e-09
DM_5MTR,0.0,-1.5223406078971657e-07
DM_GCALD,0.0,-0.6006467439762917
DM_atp_c_,0.0,-5.407020086353832e-08
DM_dad_5,5.58191379727438e-22,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.1762293679006459,0.0
EX_26dap_M(e),-0.00015224597691470429,0.0
EX_2dmmq8(e),0.0,0.0
EX_2hyoxplac(e),0.0,-2.521416834216995e-06
EX_2obut(e),-0.17624303741424738,0.0
EX_34dhphe(e),-7.516286572859842e-25,0.0
EX_3mop(e),-0.9215520154421221,0.0
EX_4abz(e),-7.90045273901583e-32,0.0
EX_4hbz(e),-2.4777679563878914e-22,0.0
EX_5htrp(e),0.0,0.0
EX_Lcyst(e),0.0,-7.30932434774278e-07
EX_Lkynr[e],0.0,0.0
EX_ac(e),1.258314009892577,0.0
EX_acac(e),0.0,-6.963854081961214e-08
EX_acgam(e),0.0,0.0
EX_ade(e),0.0005568057893042211,0.0
EX_adn(e),-0.0006799215245110706,0.0
EX_adocbl(e),-3.1059115917857997e-06,0.0
EX_ala_D(e),-4.5563164051627376e-05,0.0
EX_ala_L(e),-1.0,-5.147591526649345e-09
EX_alaasp(e),1.5050063340199047e-22,0.0
EX_alagln(e),1.5050063340199047e-22,0.0
EX_alaglu(e),1.5050063340199047e-22,5.151358761198521e-25
EX_alagly(e),1.5050063340199047e-22,0.0
EX_alahis(e),1.5050063340199047e-22,0.0
EX_alaleu(e),1.5050063340199047e-22,5.151358761198521e-25
EX_alathr(e),1.5050063340199047e-22,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00039471972063927365,0.0
EX_asn_L(e),-0.00018993971839275197,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),0.07221923908835208,0.0
EX_bhb(e),0.0,-6.8975636498039e-08
EX_biomass(e),0.0,0.0
EX_but(e),0.0,-3.876927576438109e-08
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.003411021807603659
EX_cgly(e),4.1325973271096045e-38,0.0
EX_chol(e),-1.3325366481736643e-22,0.0
EX_cit(e),-0.07281472946705009,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0010737637605586097,0.0
EX_cobalt2(e),-3.1059137910797667e-06,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cynt(e),0.0,0.0
EX_cys_L(e),-0.00011012564827032638,0.0
EX_cytd(e),0.01246147203273512,0.0
EX_dad_2(e),-5.895885806910499e-23,0.0
EX_dgsn(e),-5.517409512890273e-05,0.0
EX_dhcinnm(e),2.0094737087228428e-23,0.0
EX_dhpppn(e),0.0,0.0
EX_dopa(e),0.0,-9.075628825286483e-09
EX_ethso3(e),0.0,-7.193975479433972e-07
EX_fe2(e),0.0,0.0
EX_fe3(e),-5.590104768125889e-14,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-9.317734775357399e-06,0.0
EX_for(e),1.1881104533658575,0.0
EX_fru(e),-2.0602614892836376e-05,0.0
EX_fum(e),-0.00013687743966815224,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-1.4100315219044257e-05,0.0
EX_gcald(e),0.0,-0.6006467396897984
EX_glc_D(e),-8.968310171678829e-42,0.0
EX_gln_L(e),0.005118980041303958,0.0
EX_glu_L(e),-0.005746181068664945,0.0
EX_gly(e),-0.00043088312367039734,0.0
EX_glyasn(e),1.5540063340199045e-22,0.0
EX_glyasp(e),1.5540063340199045e-22,0.0
EX_glyb(e),1.3325366481736643e-22,0.0
EX_glyc(e),3.2333428521556927e-05,0.0
EX_glyc3p(e),-0.00027044697169475155,0.0
EX_glycys(e),5.456776112116088e-24,0.0
EX_glygln(e),1.5540063340199045e-22,0.0
EX_glyglu(e),1.5540063340199045e-22,0.0
EX_glyleu(e),0.0,-5.593738967533733e-09
EX_glymet(e),1.5540063340199045e-22,0.0
EX_glyphe(e),1.5540063340199045e-22,0.0
EX_glypro(e),1.5540063340199045e-22,0.0
EX_glytyr(e),1.5540063340199045e-22,0.0
EX_gthrd(e),-3.1059115917857997e-06,0.0
EX_gua(e),-1.3341141611504705e-05,0.0
EX_h(e),1.1560566085175399,0.0
EX_h2o(e),-1.0280653380991573,0.0
EX_h2s(e),-0.17612672902571605,0.0
EX_hdca(e),8.486028083774741e-23,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00013435655214963583,0.0
EX_hista(e),0.0,-9.075628825286483e-09
EX_hxan(e),4.643905936601432e-22,0.0
EX_ile_L(e),0.9211753523424175,0.0
EX_ind3ac(e),0.0,-2.2817100389007944e-06
EX_indole(e),0.08176045827287366,0.0
EX_ins(e),0.0,-2.431960574651269e-08
EX_isetac(e),0.0,-0.6006474732182591
EX_k(e),-1.0599729079327336e-12,0.0
EX_lac_D(e),0.0,-3.218478761348975e-08
EX_lac_L(e),0.0,-3.442004003124634e-08
EX_leu_L(e),-0.000710634287875489,0.0
EX_lys_L(e),-3.2145596133391746e-05,0.0
EX_mal_L(e),0.0,-1.954228102491091e-08
EX_malt(e),0.0,0.0
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00014853860473793375,0.0
EX_metala(e),1.5050063340199047e-22,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),1.7188748274705942e-22,0.0
EX_mg2(e),-5.674806860540814e-06,0.0
EX_mn2(e),-1.2263739947270183e-10,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mqn8(e),-6.211823183571599e-06,0.0
EX_mso3(e),0.0,-7.321538593559495e-07
EX_n2(e),0.0,0.0
EX_n2o(e),0.0,-2.0618779377904673e-06
EX_na1(e),-2.1039838765025554e-37,0.0
EX_nac(e),-3.1059131631544317e-06,0.0
EX_ncam(e),-1.9020318228107822e-32,0.0
EX_nh4(e),1.9981352601758735e-05,0.0
EX_no2(e),0.0,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-4.165642688066429e-06
EX_ocdca(e),-2.8147282835310592e-05,0.0
EX_ocdcea(e),-1.7375047557522146e-22,0.0
