,fluxes,reduced_costs
biomass_dilution,0.0029737944836705213,0.014867193711430677
protein_biomass_to_biomass,0.0013482127716787987,-7.026090008311928e-37
mRNA_biomass_to_biomass,3.4542800700106053e-06,0.0
tRNA_biomass_to_biomass,2.036609038938951e-05,0.0
rRNA_biomass_to_biomass,0.000149389358429593,2.61560784363274e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0001763879752534504,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0005171485855277322,0.0
prosthetic_group_biomass_to_biomass,4.657382522227164e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,-1.0522883983983886e-31,0.0
DM_AMOB,0.00020114116943539752,0.0
DM_atp_c_,0.0,-1.2770758172350437e-07
DM_btn,0.00020114116943539752,0.0
DM_dad_5,0.00020114116943539752,0.0
DM_dhptd(c),0.00020279971946472405,0.0
DM_kdo2lipid4L(c),0.0,-3.6664435307951843e-06
DM_pheme(c),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_C02528(e),0.0,-1.266959504997381e-08
EX_ac(e),0.5489493000693616,0.0
EX_acgam(e),-0.012987206034773451,0.0
EX_adn(e),-6.97920533719683e-22,0.0
EX_adocbl(e),7.335727705549179e-23,0.0
EX_ala_L(e),2.3459903471320423e-34,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.0008559443459514673,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.12444894029511154,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),8.324077348506496e-24,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.000309593974239336
EX_cholate(e),0.0,0.0
EX_chtbs(e),5.466893199271333e-23,0.0
EX_cit(e),-1.3444754781737995e-56,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-4.612401252045446e-08
EX_cobalt2(e),-2.322362678606596e-05,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),0.0,-1.5564153032107893e-07
EX_dad_2(e),1.243955329062025e-22,0.0
EX_dcyt(e),-0.00012382077452007106,0.0
EX_ddca(e),-0.00043250868399606173,0.0
EX_dgchol(e),4.781702652021385e-24,9.22253190219285e-41
EX_dgsn(e),-8.283164280433735e-22,0.0
EX_din(e),0.0,-1.3002483032940026e-06
EX_drib(e),8.168133073666354e-23,0.0
EX_duri(e),0.0,-9.099252319795327e-09
EX_fe2(e),-8.714068230912176e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.5372162532727693,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-1.7500118180633364e-07
EX_gbbtn(e),0.0,0.0
EX_gcald(e),1.6875813306974122e-22,0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),5.466893199271333e-23,0.0
EX_glcur(e),0.0,-1.235349168651713e-07
EX_glu_L(e),-0.18,-1.4023948002436276e-08
EX_gly(e),-4.781702652021385e-24,0.0
EX_glyb(e),0.0,0.0
EX_gsn(e),0.0,-1.2672606350782705e-07
EX_h(e),0.9876216480523398,0.0
EX_h2(e),0.17787772104976124,0.0
EX_h2o(e),-0.7649841088098865,0.0
EX_hdca(e),-1.7038040930567483e-23,0.0
EX_hg2(e),0.0,0.0
EX_ins(e),0.0,-1.3530638020295752e-06
EX_isobut(e),0.0,-3.8910583839718705e-08
EX_isocapr(e),0.0,-5.954339606395384e-08
EX_isoval(e),4.428501173950153e-36,0.0
EX_k(e),-4.1608587787201714e-10,0.0
EX_lac_D(e),0.0,-8.618640662506246e-09
EX_lac_L(e),0.0,-1.2114419441360913e-07
EX_leu_L(e),-0.001609669966315956,0.0
EX_lys_L(e),-0.001358648991874779,0.0
EX_met_L(e),-0.0010143436640871297,0.0
EX_metala(e),5.00539256047251e-23,0.0
EX_mg2(e),-1.790185274129392e-05,0.0
EX_mn2(e),-3.048226693095906e-09,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-2.3223586942240207e-05,0.0
EX_nh4(e),0.8384660382257353,7.705192140761966e-36
EX_o2(e),0.0,-3.326579649861875e-07
EX_ocdca(e),-3.377532804889716e-24,0.0
EX_pb(e),0.0,0.0
EX_pheme(e),0.0,0.0
EX_pi(e),-0.0018216390181527663,0.0
EX_ppa(e),0.0,-2.812827557020316e-09
EX_ppi(e),0.0,-1.2502893634444717e-07
EX_pro_L(e),-0.0006031364500499478,0.0
EX_ptrc(e),1.391186403307491e-22,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-2.322357908029659e-05,0.0
EX_pydxn(e),4.603596602692441e-22,0.0
EX_rib_D(e),8.286258246829254e-23,0.0
EX_rmn(e),0.0,0.0
EX_ser_L(e),-0.41371602604470914,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.48131724790283675,0.0
EX_taur(e),4.781702652021385e-24,0.0
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,9.22253190219285e-41
EX_thr_L(e),-0.002174865300030661,0.0
EX_thymd(e),-0.00016261123891420128,0.0
EX_ttdca(e),-8.650173504031742e-05,0.0
EX_urea(e),3.742675801147106e-23,4.003338838241484e-34
EX_uri(e),-0.00030259077160038085,0.0
EX_val_L(e),-0.001185180397095031,0.0
EX_xan(e),-0.0002897700065022509,0.0
EX_xyl_D(e),-0.17878295,-1.679704585621063e-08
EX_zn2(e),-8.354607370014424e-08,0.0
translation_457394.3.peg.1,0.0,9.871583265107083e-34
transcription_TU_457394.3.peg.1,0.0,-1.389145066085393e-33
translation_457394.3.peg.3,6.449140728806233e-13,2.001836330552045e-34
transcription_TU_457394.3.peg.3,5.117709532702415e-13,-2.1276142174112354e-34
translation_457394.3.peg.5,1.978180360624106e-12,1.84214324780652e-33
transcription_TU_457394.3.peg.5,1.569783156343782e-12,9.062594021487638e-34
translation_457394.3.peg.10,0.0,4.628088521343974e-34
transcription_TU_457394.3.peg.10,0.0,-2.036848813982022e-34
translation_457394.3.peg.11,0.0,3.9169290410454535e-34
transcription_TU_457394.3.peg.11,0.0,6.7289857776539315e-34
translation_457394.3.peg.12,0.0,-3.7303284372362584e-33
transcription_TU_457394.3.peg.12,0.0,-0.03689640098602238
translation_457394.3.peg.13,-5.466985746399051e-31,-1.968476678673472e-34
transcription_TU_457394.3.peg.13,-4.338321374279297e-31,3.641247349408988e-34
translation_457394.3.peg.14,0.0,1.7819726314058412e-33
transcription_TU_457394.3.peg.14,0.0,-4.0124252649438196e-35
translation_457394.3.peg.19,-9.44469449415624e-42,7.862424447661543e-34
transcription_TU_457394.3.peg.19,-5.911329814294062e-42,-2.5661231438022466e-34
translation_457394.3.peg.20,2.7257702038791497e-11,4.208275047199492e-34
transcription_TU_457394.3.peg.20,2.163032370194639e-11,-6.582663716710111e-34
translation_457394.3.peg.21,7.0126578427145265e-12,-1.9563696377667147e-33
transcription_TU_457394.3.peg.21,5.56488800607762e-12,1.2612733025137077e-33
translation_457394.3.peg.22,2.3687469830308805e-27,-6.711870534324257e-34
transcription_TU_457394.3.peg.22,4.781887216205633e-38,-6.195824768089887e-34
translation_457394.3.peg.28,0.0,-7.000108101404259e-35
transcription_TU_457394.3.peg.28,0.0,-0.009634646006879894
translation_457394.3.peg.29,-9.452979331637586e-30,-1.1660578796144404e-33
transcription_TU_457394.3.peg.29,-7.50140281818731e-30,7.143260112701122e-34
translation_457394.3.peg.33,0.0,-3.6926575514500673e-34
transcription_TU_457394.3.peg.33,0.0,-7.832231254348312e-34
translation_457394.3.peg.36,0.0,1.0731922537780114e-33
transcription_TU_457394.3.peg.36,-2.9423842614964e-39,5.838250231658426e-34
translation_457394.3.peg.37,0.0,-1.1995637667269475e-34
transcription_TU_457394.3.peg.37,0.0,9.607186442062919e-34
translation_457394.3.peg.38,0.0,-6.462240984388278e-34
transcription_TU_457394.3.peg.38,0.0,-0.029524637145854685
translation_457394.3.peg.40,0.0,9.225826744182482e-34
transcription_TU_457394.3.peg.40,0.0,-1.4197812475955053e-34
translation_457394.3.peg.41,0.0,-1.7585668843238186e-33
