,fluxes,reduced_costs
biomass_dilution,0.0010269424925366142,-0.014854801383281605
protein_biomass_to_biomass,0.00039761261936844037,0.0
mRNA_biomass_to_biomass,1.036708809266238e-06,-2.3681562023607334e-36
tRNA_biomass_to_biomass,6.2475564124573884e-06,2.1058365856218182e-36
rRNA_biomass_to_biomass,1.72332580738105e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.091218074765779e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0003200969226170326,0.0
prosthetic_group_biomass_to_biomass,1.461481132016343e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-9.333758249365382e-08
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],5.00807240494477e-07,0.0
EX_26dap_M(e),-1.997851015931604e-05,0.0
EX_2dmmq8(e),-8.153615307992955e-06,0.0
EX_34dhphe(e),0.0,0.0
EX_3mop(e),-0.14549314561155569,0.0
EX_5htrp(e),0.0,0.0
EX_ac(e),1.144905563910619,0.0
EX_acald(e),0.0,-3.414937099156659e-08
EX_acgam(e),0.0,0.0
EX_ade(e),-0.00011732168228143233,0.0
EX_ala_D(e),-0.00013354278017546728,0.0
EX_ala_L(e),-0.0005313366258096567,0.0
EX_alaasp(e),0.0,-2.002254386977421e-08
EX_alagln(e),0.0,-2.002254386977421e-08
EX_alaglu(e),0.0,-3.4157423290427645e-08
EX_alagly(e),0.0,-2.002254386977421e-08
EX_alahis(e),0.0,-2.002254386977421e-08
EX_alaleu(e),0.0,-2.256251620875381e-08
EX_alathr(e),0.0,-2.002254386977421e-08
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.00016798986626843845,0.0
EX_asn_L(e),-0.00027848270239219446,0.0
EX_asp_L(e),-0.14562015957792745,0.0
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.001502687340199886
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.1455836592228028,0.0
EX_cobalt2(e),-8.153615307992955e-06,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-2.9747314021399265e-05,0.0
EX_dcyt(e),-0.00012995959632124487,0.0
EX_dopa(e),0.0,-4.014791347750133e-07
EX_fe2(e),0.0,0.0
EX_fe3(e),-1.0054608304014955e-13,0.0
EX_fol(e),-2.4460845923978865e-05,0.0
