,fluxes,reduced_costs
biomass_dilution,0.0011060187674733978,-0.07476967918576458
protein_biomass_to_biomass,0.0005401677974945306,-2.0883578630341498e-35
mRNA_biomass_to_biomass,1.4475395363611939e-06,-1.8687951204241953e-35
tRNA_biomass_to_biomass,8.423991669563366e-06,-8.441538474153171e-36
rRNA_biomass_to_biomass,6.338928527278873e-05,-9.796824893905005e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.56025196775746e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00012294228936606268,0.0
prosthetic_group_biomass_to_biomass,2.00958365843107e-07,-2.593403161199609e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,0.0
DM_HQN,0.0,-3.936788033167395e-06
DM_atp_c_,0.0,-1.3374015164581481e-06
DM_dhptd(c),0.0,0.0
EX_4abut(e),0.0,-2.330652886921782e-08
EX_Lcyst(e),0.0,0.0
EX_ac(e),2.225915863310012,0.0
EX_acald(e),0.0,-6.608636108283291e-07
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.000829674023131793,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-1.6018046087884386e-08
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),9.956824444577827e-58,1.1175235253412996e-35
EX_arg_L(e),-0.0002905583978457339,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-6.059382615369047e-07
EX_asp_L(e),-0.225,-6.22325952959215e-07
EX_biomass(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.003928837912096286
EX_cellb(e),2.8797606466560537e-21,0.0
EX_cgly(e),-0.0010545012438265282,0.0
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_chsterol(e),-0.00495795,-6.496276075120333e-07
EX_cit(e),-1.0,-1.2469893268894336e-06
EX_cl(e),0.0,0.0
EX_co2(e),1.2303624513422347,0.0
EX_cobalt2(e),-8.639004427847125e-06,0.0
EX_coprost(e),0.00495795,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0010249851324975216,0.0
EX_dextrin(e),0.0,0.0
EX_drib(e),3.30628456962011e-39,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0,-1.5962579245669267e-08
EX_fe2(e),-1.1324373902641147e-13,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),0.0,0.0
EX_for(e),1.2288258202600029,0.0
EX_fru(e),6.1354008899146654e-21,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),0.0,0.0
EX_glcn(e),4.2766612965366445e-22,0.0
EX_gln_L(e),-0.0028769829685754986,0.0
EX_glu_L(e),0.0022225609128676267,0.0
EX_gly(e),0.0,0.0
EX_glyasn(e),0.0,-6.219563076247891e-07
EX_glyasp(e),0.0,-6.383439990470994e-07
EX_glyb(e),0.0,0.0
EX_glyc(e),6.178540540077292e-22,0.0
EX_glyc3p(e),0.0,0.0
EX_glycys(e),0.0,-2.2063064692224677e-37
EX_glygln(e),0.0,-1.3648527838284636e-06
EX_glyglu(e),0.0,-6.564894229137404e-09
EX_glyleu(e),0.0,-1.3563657743064552e-06
EX_glymet(e),0.0,-1.3700751951708194e-06
EX_glyphe(e),0.0,-1.6018046087884386e-08
EX_glypro(e),0.0,-1.3637063314444267e-06
EX_glytyr(e),0.0,-1.6018046087884386e-08
EX_h(e),-0.04843930288701875,0.0
EX_h2o(e),-1.6190081255933635,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00014905683885110916,0.0
EX_ile_L(e),-0.0005567863627649986,0.0
EX_indole(e),0.0,0.0
EX_inost(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-1.719063961468729e-13,0.0
EX_kesto(e),0.0,0.0
EX_kestopt(e),0.0,0.0
EX_kestottr(e),0.0,0.0
EX_lac_D(e),0.0,-6.715659144860168e-07
EX_lac_L(e),0.0,-6.621127626272697e-07
EX_lcts(e),1.2211724706041016e-22,0.0
EX_leu_L(e),-0.0007934867944613329,0.0
EX_lys_L(e),-0.0003933847322546367,0.0
EX_mal_L(e),0.0,-6.437020371933957e-07
EX_malt(e),0.0,0.0
EX_malthx(e),1.228002167225706e-22,2.466281187573225e-35
EX_malttr(e),1.179002167225706e-22,-1.388870085383549e-35
EX_man(e),0.0,0.0
EX_mantr(e),0.0,0.0
EX_melib(e),6.135400889914441e-21,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00021518161786059336,0.0
EX_metala(e),0.0,-4.7760308358607925e-09
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-2.252408142086891e-05,0.0
EX_mg2(e),-7.605736941644861e-06,0.0
EX_mn2(e),-1.2151566667560175e-09,0.0
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),2.6810931214707663e-40,0.0
