,fluxes,reduced_costs
biomass_dilution,0.0011580780555354327,-0.032053156502842586
protein_biomass_to_biomass,0.0005671418855859412,-5.3567297632677924e-36
mRNA_biomass_to_biomass,1.4836389842913652e-06,0.0
tRNA_biomass_to_biomass,9.007933965908108e-06,0.0
rRNA_biomass_to_biomass,6.37052844482161e-05,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,6.86903700556048e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00012872907006575624,0.0
prosthetic_group_biomass_to_biomass,3.02561787622843e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-1.1238020550417755e-07
DM_btn,0.0,0.0
DM_dad_5,0.0,-4.55303132370359e-06
DM_kdo2lipid4L(c),0.0,-4.037055444086611e-06
EX_ac(e),1.2840974735158233,0.0
EX_adocbl(e),-3.484675927377981e-10,0.0
EX_ala_D(e),0.0,0.0
EX_ala_L(e),0.013065981606859461,0.0
EX_alaasp(e),0.0,-8.065369763543088e-08
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),2.3051591833705626e-22,0.0
EX_arg_L(e),-0.0006851470101546394,0.0
EX_asn_L(e),-0.0003104799543673926,0.0
EX_asp_L(e),-0.225,-1.2735721663690158e-07
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0025333011351071476
EX_cgly(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.1551916062397525,0.0
EX_cobalt2(e),-9.043904166359247e-06,0.0
EX_cro4(e),0.0,-2.614866651372937e-08
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.2241766016507852,0.0
EX_fe2(e),-1.7467599863077827e-13,0.0
EX_fe3(e),0.0,0.0
EX_for(e),0.4470329790770197,0.0
EX_gcald(e),1.1474713583002944e-38,0.0
EX_gln_L(e),-0.0008252723310836302,0.0
EX_glu_L(e),-0.0001786743364822742,0.0
EX_gly(e),0.4479693408989131,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-8.351609974928312e-08
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-3.272870395496062e-08
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),1.710321725513756e-22,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),-0.3816076875771301,0.0
EX_h2o(e),-0.40132462061167057,0.0
EX_hdca(e),-1.1594787246716943e-22,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00016852295093835906,0.0
EX_indole(e),-9.937099048099935e-05,0.0
EX_k(e),-8.517214824788264e-13,0.0
