,fluxes,reduced_costs
biomass_dilution,0.0010047164435303896,-0.015314226017708727
protein_biomass_to_biomass,0.0004080127188878568,0.0
mRNA_biomass_to_biomass,1.0820555726820932e-06,-2.885701162622963e-36
tRNA_biomass_to_biomass,6.573354519157587e-06,-1.6953049182028777e-36
rRNA_biomass_to_biomass,4.6599353492029694e-05,-1.9022725285822654e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.959386241517829e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.00025319476820300846,0.0
prosthetic_group_biomass_to_biomass,1.5317606605721916e-07,-1.8248375534952614e-36
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-3.540897651974031e-07
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-6.490312111285303e-07
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-7.627098185068518e-07
EX_12dgr180(e),-1.8022900412215997e-05,0.0
EX_26dap_M(e),-0.0001201141368311154,0.0
EX_2dmmq8(e),0.0,0.0
EX_2hyoxplac(e),0.0,-1.3150222942447261e-06
EX_2obut(e),0.0,0.0
EX_34dhphe(e),0.0,2.571393892423754e-41
EX_3mop(e),-7.890001717326648e-05,0.0
EX_4abz(e),3.5094242797146845e-33,0.0
EX_5htrp(e),0.0,2.571393892423754e-41
EX_Cit_Mg(e),0.0,0.0
EX_HC00319(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),-0.0004498112492693686,0.0
EX_acac(e),2.8528540641839266e-05,0.0
EX_acald(e),0.0,-1.4551046735232174e-08
EX_acgam(e),0.0,0.0
EX_adn(e),-8.418952940763614e-05,0.0
EX_adocbl(e),-3.1111044673918514e-06,0.0
EX_ala_L(e),-0.0005816425648094688,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-1.736357439805248e-07
EX_alathr(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-6.22177074806913e-07
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-9.000743005039632e-05,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),0.14665861198574578,0.0
EX_bhb(e),3.3382366662506056e-06,4.4999393117415693e-41
EX_biomass(e),0.0,0.0
EX_but(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-63.9473777900146
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.9513723968713959,0.0
EX_cobalt2(e),-3.1111069801882243e-06,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),8.861069404754867e-48,0.0
EX_cynt(e),0.0,0.0
EX_cys_L(e),-4.929496867131292e-05,0.0
EX_cytd(e),0.013465111296468857,0.0
EX_dad_2(e),0.0,0.0
EX_dopa(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),9.217648391037896e-05,0.0
EX_fe2(e),-8.051387403508365e-14,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-9.333313402175555e-06,0.0
EX_for(e),-0.7967744072786347,0.0
EX_fru(e),-5.322376519541127e-06,0.0
EX_fum(e),-1.0,-7.398362754792682e-09
EX_galct_D(e),5.349687574948044e-22,-1.0331493317774011e-40
EX_galt(e),0.0,0.0
EX_gam(e),-5.0257925938277146e-05,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-7.828102219761141e-08
EX_glc_D(e),-0.00018955999670819846,0.0
EX_glcr(e),5.939259722085407e-22,2.1994601329838895e-40
EX_gln_L(e),-0.0007970351873408093,0.0
EX_glu_L(e),0.1495896007542498,0.0
EX_gly(e),-0.0003565219926449108,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.573507396866536,1.2384016656905116e-39
EX_glyc3p(e),-0.00010357557772424224,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-6.581563455750958e-07
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-3.1111044673918514e-06,0.0
EX_gua(e),-7.309324965753096e-05,0.0
EX_h(e),-1.0,-1.2108734561009087e-07
EX_h2o(e),1.570742052125026,0.0
EX_h2s(e),-2.467004251628485e-06,0.0
EX_hdca(e),1.2076091421409357e-22,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.00014746002784772106,0.0
EX_hista(e),0.0,3.6734198463196485e-42
EX_hxan(e),-3.3100803229683475e-05,0.0
EX_ile_L(e),-0.0002219658135635037,0.0
EX_ind3ac(e),0.0,0.0
EX_ins(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-5.851318873105326e-14,0.0
EX_lac_D(e),5.8797654406716993e-05,-9.793195772888858e-30
EX_lac_L(e),6.745477600423841e-05,0.0
EX_leu_L(e),-0.0008380313067588371,0.0
EX_lys_L(e),-3.227460723858336e-05,0.0
EX_mal_L(e),1.2442516849633464e-22,1.6530389308438418e-40
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,-3.0130571012346267e-07
EX_malttr(e),0.0,0.0
EX_man(e),-3.097388914269092e-05,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.00010161951296294678,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-5.659940803471507e-06,0.0
EX_mn2(e),-5.001405305007226e-12,0.0
EX_mnl(e),-0.00012891646177729972,0.0
EX_mops(e),0.0,0.0
EX_mqn8(e),-6.222208934783703e-06,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.4875482654128321,0.0
EX_ncam(e),-0.4875205269553694,0.0
EX_nh4(e),0.0,-6.6206724538413176e-09
EX_nmn(e),-3.084956365966454e-05,0.0
EX_no2(e),0.20289944788626876,0.0
EX_no3(e),-1.0,-3.227620139926794e-07
EX_o2(e),0.0,-1.307781780257547e-06
EX_ocdca(e),-4.953996470126071e-05,0.0
EX_ocdcea(e),0.0,0.0
EX_orn(e),6.016943873335528e-05,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.00016392427503006879,0.0
EX_pheme(e),-3.1111044673918514e-06,0.0
EX_pi(e),-0.0005396871089897371,0.0
EX_ppa(e),0.0,-1.4018659342328144e-07
EX_ppi(e),0.0,0.0
EX_pppn(e),0.0,0.0
EX_pro_L(e),-0.0002442934720238731,0.0
EX_ptrc(e),0.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-3.1146096107979878e-06,0.0
EX_pydxn(e),-1.1396122363442534e-22,0.0
EX_q8(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),1.5724881170392597,0.0
EX_sheme(e),-3.1111044673918514e-06,0.0
EX_so4(e),1.9793408880442531e-22,0.0
EX_spmd(e),-3.1111044673918514e-06,0.0
EX_srtn(e),-1.430645635994291e-35,0.0
EX_succ(e),0.8505359434347504,0.0
EX_sucr(e),0.0,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-3.1111051957626927e-06,0.0
EX_thr_L(e),-0.00027873281314798147,0.0
EX_thymd(e),-1.8548241452178925e-05,0.0
EX_tre(e),0.0,0.0
EX_trypta(e),0.0,-3.166855319353057e-06
EX_tsul(e),1.4886144404597246e-22,0.0
EX_ttdca(e),-2.51289630770338e-05,0.0
EX_tym(e),6.350341137271396e-05,0.0
EX_tyr_L(e),-0.0002221326028273082,0.0
EX_ura(e),0.0,0.0
EX_urea(e),0.0,-6.916997059068017e-07
EX_uri(e),-0.013638626930564552,0.0
EX_val_L(e),-0.0003882010842995488,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),4.5917748078995606e-39,0.0
EX_zn2(e),-7.574341030842019e-08,0.0
translation_g.25866.CDS.7,9.379807195319062e-14,2.610114869451161e-32
transcription_TU_g.25866.CDS.7,2.1917479162633475e-13,36.58893379101802
translation_g.25866.CDS.11,0.0,5.949551979545766e-33
transcription_TU_g.25866.CDS.11,0.0,-0.018954342807140975
translation_g.25866.CDS.13,3.220501232439773e-08,-2.0807676583888585e-33
transcription_TU_g.25866.CDS.13,7.525236626447857e-08,2.4279687621104717e-35
translation_1248438.3.peg.14,9.379807195319062e-14,5.248143531661771e-32
transcription_TU_1248438.3.peg.14,2.1917479162633475e-13,81.06901878056996
translation_g.25866.CDS.15,0.0,6.0030222594769296e-33
transcription_TU_g.25866.CDS.15,0.0,-0.00891021374286027
translation_1248438.3.peg.16,9.379807195319062e-14,-5.6945550097666364e-33
transcription_TU_1248438.3.peg.16,2.1917479162633475e-13,1.1946545222890492
translation_g.25866.CDS.22,0.0,1.4089850162397132e-33
transcription_TU_g.25866.CDS.22,0.0,1.1387838691219238e-33
translation_g.25866.CDS.23,0.0,4.628242279031431e-33
transcription_TU_g.25866.CDS.23,0.0,-0.012430425908127454
translation_g.25866.CDS.24,9.379807195319062e-14,-1.1100439352974154e-33
transcription_TU_g.25866.CDS.24,2.1917479162633475e-13,0.05435398961532844
translation_g.25866.CDS.30,4.823107900484958e-13,2.9652620348292142e-33
transcription_TU_g.25866.CDS.30,1.1269993583745102e-12,6.611807947148574e-34
translation_1248438.3.peg.32,1.0465148367758608e-10,-3.773042342399982e-33
transcription_TU_1248438.3.peg.32,2.445355927984134e-10,-4.9848194276891366e-34
translation_g.25866.CDS.33,9.379807195319062e-14,3.618840770579282e-33
transcription_TU_g.25866.CDS.33,2.1917479162633475e-13,0.048816458285343006
translation_g.25866.CDS.35,3.220501232439773e-08,2.176309008432455e-33
transcription_TU_g.25866.CDS.35,7.525236626447857e-08,2.1530761344550876e-34
translation_g.25866.CDS.36,0.0,-4.7470750777902776e-33
transcription_TU_g.25866.CDS.36,0.0,-0.013628584207191412
translation_g.25866.CDS.42,2.4535911907406423e-13,-8.476967990419534e-33
transcription_TU_g.25866.CDS.42,5.733223794143226e-13,1.0264196367014449e-33
translation_g.25866.CDS.45,1.382773671066081e-16,-4.598336569791748e-33
transcription_TU_g.25866.CDS.45,3.231080606577234e-16,3.399987763106068e-34
translation_g.25866.CDS.54,0.0,-5.972021468749964e-34
transcription_TU_g.25866.CDS.54,0.0,-0.0135675233026867
translation_g.25866.CDS.58,1.1112362520419443e-13,3.073149696759532e-33
transcription_TU_g.25866.CDS.58,2.596588276467634e-13,5.83772660499558e-34
translation_g.25866.CDS.64,0.0,3.974184145672561e-33
transcription_TU_g.25866.CDS.64,0.0,8.661279661138263e-34
translation_1248438.3.peg.69,0.0,-1.022598140635075e-32
transcription_TU_1248438.3.peg.69,0.0,1.1387755541604098e-33
translation_g.25866.CDS.75,3.220501232439773e-08,1.0576319548880658e-33
transcription_TU_g.25866.CDS.75,7.525236626447857e-08,2.416535690028616e-34
translation_g.25866.CDS.76,0.0,-3.5090453107583455e-33
transcription_TU_g.25866.CDS.76,0.0,-0.011178172376301646
translation_1248438.3.peg.77,0.0,-4.093777244575691e-33
transcription_TU_1248438.3.peg.77,0.0,2.239052836510643e-34
translation_g.25866.CDS.81,0.0,-3.4996735831073365e-34
transcription_TU_g.25866.CDS.81,0.0,-0.008861967503885314
translation_g.25866.CDS.89,0.0,-7.0657953957356995e-34
transcription_TU_g.25866.CDS.89,0.0,6.66859913428972e-34
translation_g.25866.CDS.91,0.0,-1.615448295744166e-33
transcription_TU_g.25866.CDS.91,0.0,-0.011448783377633203
translation_g.25866.CDS.96,3.220501232439773e-08,-3.0282569433634675e-34
transcription_TU_g.25866.CDS.96,7.525236626447857e-08,2.9969200037111875e-34
translation_g.25866.CDS.100,0.0,3.596053498318132e-34
transcription_TU_g.25866.CDS.100,0.0,-0.011089859141697446
translation_g.25866.CDS.101,9.977354252212782e-34,8.258800345796136e-33
transcription_TU_g.25866.CDS.101,2.3313747219688734e-33,3.818463146186533e-33
translation_g.25866.CDS.104,3.220501232439773e-08,3.515609497283544e-33
transcription_TU_g.25866.CDS.104,7.525236626447857e-08,4.3304319565312795e-35
translation_g.25866.CDS.114,3.220501232439773e-08,-2.492921049017916e-33
transcription_TU_g.25866.CDS.114,7.525236626447857e-08,3.109130409343656e-34
translation_1248438.3.peg.118,0.0,3.5213502657622686e-34
transcription_TU_1248438.3.peg.118,0.0,-3.640705898938596e-34
translation_1248438.3.peg.126,0.0,2.1696582039137537e-33
transcription_TU_1248438.3.peg.126,0.0,1.1736360303081774e-33
translation_1248438.3.peg.127,5.225880022810878e-48,9.99017955401935e-33
transcription_TU_1248438.3.peg.127,0.0,2.7212790295195365e-34
translation_g.25866.CDS.128,1.1799376061642817e-12,-2.0805759825857197e-33
transcription_TU_g.25866.CDS.128,2.7571204138630035e-12,3.7986070180909173e-34
translation_1248438.3.peg.128,2.04382509586768e-13,2.223996083986177e-33
transcription_TU_1248438.3.peg.128,4.775737178595971e-13,2.3037848118977323e-33
translation_g.25866.CDS.129,0.0,-5.328029120492144e-33
transcription_TU_g.25866.CDS.129,0.0,6.202296092580285e-34
translation_g.25866.CDS.135,3.3795204002548445e-13,3.987661450571018e-33
transcription_TU_g.25866.CDS.135,7.896811353355406e-13,3.676875981524831e-34
translation_g.25866.CDS.136,3.220501232439773e-08,2.857204884393957e-33
transcription_TU_g.25866.CDS.136,7.525236626447857e-08,1.1234968123782934e-33
translation_g.25866.CDS.146,1.382773671066081e-16,1.8486307246429993e-33
transcription_TU_g.25866.CDS.146,3.231080606577234e-16,5.8828352712094474e-34
translation_g.25866.CDS.148,0.0,-4.711241561558382e-34
transcription_TU_g.25866.CDS.148,0.0,-0.006804477473854995
translation_g.25866.CDS.158,0.0,-6.883512379947827e-33
transcription_TU_g.25866.CDS.158,0.0,-1.2296913433553272e-33
translation_g.25866.CDS.160,0.0,1.5172504765690703e-33
transcription_TU_g.25866.CDS.160,0.0,-0.004862410187509923
translation_g.25866.CDS.161,9.379807195330354e-14,-2.4974461122678902e-33
transcription_TU_g.25866.CDS.161,2.1917479162633475e-13,4.15635377024106
translation_g.25866.CDS.162,0.0,3.448667013047545e-33
transcription_TU_g.25866.CDS.162,0.0,-0.01192428489634298
translation_g.25866.CDS.164,0.0,-2.9517950600141568e-33
transcription_TU_g.25866.CDS.164,0.0,2.219554251760133e-34
translation_g.25866.CDS.168,0.0,-1.1653027909032824e-33
transcription_TU_g.25866.CDS.168,0.0,8.763221089300846e-34
translation_g.25866.CDS.175,0.0,8.41629757947931e-35
transcription_TU_g.25866.CDS.175,0.0,4.761978459111874e-35
translation_g.25866.CDS.178,0.0,1.1567078889565968e-33
transcription_TU_g.25866.CDS.178,0.0,-0.009536017775896698
translation_g.25866.CDS.180,0.0,5.127237085548869e-34
transcription_TU_g.25866.CDS.180,0.0,4.138855243246947e-34
translation_g.25866.CDS.190,9.379807195319062e-14,9.381160040091388e-34
transcription_TU_g.25866.CDS.190,2.1917479162633475e-13,0.0006780991770888108
translation_g.25866.CDS.191,0.0,1.6684056683101459e-34
transcription_TU_g.25866.CDS.191,0.0,2.8171089609692735e-34
translation_g.25866.CDS.195,0.0,-4.850595887820169e-33
transcription_TU_g.25866.CDS.195,0.0,-0.01353918222951996
translation_g.25866.CDS.196,1.1112362520419443e-13,1.877046661584457e-33
transcription_TU_g.25866.CDS.196,2.596588276467634e-13,2.79772678567996e-33
translation_g.25866.CDS.198,1.1112362520419443e-13,2.2354105688482357e-33
transcription_TU_g.25866.CDS.198,2.596588276467634e-13,1.0072411779692264e-33
translation_g.25866.CDS.199,2.0037113933252413e-15,-2.411968002988327e-33
transcription_TU_g.25866.CDS.199,4.682004842599903e-15,2.5957646854645446e-34
translation_g.25866.CDS.206,1.382773671066081e-16,-5.245895766411569e-33
transcription_TU_g.25866.CDS.206,3.231080606577234e-16,1.2668758512462794e-33
translation_g.25866.CDS.207,-1.789417360099029e-48,-7.593255910930037e-33
transcription_TU_g.25866.CDS.207,0.0,1.645331324559492e-33
translation_g.25866.CDS.208,1.1112362520419443e-13,6.614256732490169e-33
transcription_TU_g.25866.CDS.208,2.596588276467634e-13,-3.977711289104135e-34
translation_g.25866.CDS.210,0.0,-5.030714656038463e-34
transcription_TU_g.25866.CDS.210,0.0,2.7384494250461052e-33
translation_g.25866.CDS.212,0.0,1.2280840356568194e-33
transcription_TU_g.25866.CDS.212,0.0,9.221957516032473e-34
translation_g.25866.CDS.216,9.379807195319062e-14,-1.4089428799177727e-33
transcription_TU_g.25866.CDS.216,2.1917479162633475e-13,0.8773566323874558
translation_g.25866.CDS.217,2.765547342132162e-16,3.290078844322569e-33
transcription_TU_g.25866.CDS.217,6.462161213154468e-16,6.979952868184332e-34
translation_g.25866.CDS.220,2.8248564092504577e-48,-6.020727666398388e-34
transcription_TU_g.25866.CDS.220,0.0,7.836126162373506e-32
translation_g.25866.CDS.221,0.0,3.35029092108644e-33
transcription_TU_g.25866.CDS.221,0.0,-0.019927067306210782
translation_g.25866.CDS.223,7.725870264956305e-65,-1.7266148794250332e-35
transcription_TU_g.25866.CDS.223,4.5441830471324487e-64,-2.776864547241141e-34
translation_g.25866.CDS.229,3.220501232439773e-08,8.9373136016945e-34
transcription_TU_g.25866.CDS.229,7.525236626447857e-08,2.1454263698621367e-34
translation_1248438.3.peg.229,9.379807195319062e-14,-2.568364239078665e-32
transcription_TU_1248438.3.peg.229,2.1917479162633475e-13,52.22600797333345
translation_g.25866.CDS.230,2.0754069546842826e-30,-2.4672000063887615e-33
transcription_TU_g.25866.CDS.230,4.8495334430730864e-30,6.364604141335066e-34
translation_g.25866.CDS.239,0.0,9.494166475522533e-34
transcription_TU_g.25866.CDS.239,0.0,-0.0032817993623085323
translation_g.25866.CDS.241,3.220501232439773e-08,2.9269258284855693e-33
transcription_TU_g.25866.CDS.241,7.525236626447857e-08,3.4423940668278605e-34
