,fluxes,reduced_costs
biomass_dilution,0.0009997425664248134,-0.028030137616582875
protein_biomass_to_biomass,0.000394750483973002,0.0
mRNA_biomass_to_biomass,9.888108433327402e-07,3.948307429753968e-36
tRNA_biomass_to_biomass,5.837415219674069e-06,3.9978109159334954e-36
rRNA_biomass_to_biomass,4.910441126154878e-06,4.353324098700384e-36
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,5.929884131763773e-05,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.000311618733519713,0.0
prosthetic_group_biomass_to_biomass,2.9069319048532293e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-1.4242143973303235e-07
DM_dhptd(c),1.3645460439480082e-05,0.0
DM_hcys_L[c],2.428933380384912e-05,0.0
EX_12dgr180(e),-4.156209776546548e-05,0.0
EX_26dap_M(e),-0.8850425751891561,0.0
EX_3mop(e),-9.751974513379898e-05,0.0
EX_4abz(e),-2.381296816392927e-05,0.0
EX_4hbz(e),4.780106230785029e-32,0.0
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),0.44198210714503633,0.0
EX_acald(e),0.0,-6.536863772123477e-08
EX_acgam(e),-1.9117008112919133e-05,0.0
EX_actn_R(e),0.0,-1.1792006305240782e-07
EX_adn(e),-1.3103756453950252e-05,0.0
EX_akg(e),0.0,-9.76816584418141e-08
EX_ala_D(e),-0.00015068906792455817,0.0
EX_ala_L(e),-0.00031079688507342325,0.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,-5.779581970913913e-08
EX_alaglu(e),0.0,-1.2252687832863595e-07
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),1.7115627633301758e-22,-6.194332486495645e-33
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-1.492980996680814e-07
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.00024073300233684087,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),0.14924885493206097,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.003257409614520345
EX_cgly(e),-7.93765605464309e-06,0.0
EX_chol(e),-2.29962487597268e-05,0.0
EX_chols(e),0.0,0.0
EX_cit(e),-1.587531233508246e-05,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.4335509131124389,0.0
EX_cobalt2(e),-7.937656356197891e-06,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_cytd(e),0.0,-0.16579717382515996
EX_dad_2(e),-9.94917524340528e-06,0.0
EX_dcyt(e),-2.130292182687321e-05,0.0
EX_dgsn(e),-3.614038432223179e-05,0.0
EX_diact(e),0.0,-1.1277860841060902e-07
EX_din(e),0.0,-0.3315942666058967
EX_drib(e),0.0,0.0
EX_duri(e),1.744068503972313e-22,1.419786169965576e-34
EX_etoh(e),0.0,-8.509500626193163e-08
EX_fe2(e),0.0,0.0
EX_fe3(e),-7.93765616754123e-06,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),-2.1140960234333342e-05,0.0
EX_fru(e),-2.0354574457950347e-05,0.0
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-7.943462587993991e-05,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),2.381296816392927e-05,0.0
EX_glc_D(e),-0.00011322352102220231,0.0
EX_glcn(e),-2.8528502725389758e-05,0.0
EX_gln_L(e),-0.18,-1.2062865780748994e-07
EX_glu_L(e),-8.800489923724758e-05,0.0
EX_gly(e),0.22435779144927637,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),2.29962487597268e-05,0.0
EX_glyc(e),-0.0006778042126232328,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-3.2281962090300355e-08
