,fluxes,reduced_costs
biomass_dilution,0.12373534391047682,-0.38413417863938576
protein_biomass_to_biomass,0.05971823581067528,-6.282493328270689e-35
mRNA_biomass_to_biomass,0.0001976460870144616,0.0
tRNA_biomass_to_biomass,0.001211856204732134,0.0
rRNA_biomass_to_biomass,0.007908134790057584,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.007327610746248657,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.013754112410408997,0.0
prosthetic_group_biomass_to_biomass,2.6240217834865332e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.00917772559670969
DM_clpn140(c),0.0,-0.14453812521902376
DM_clpn160(c),0.0,0.0
DM_clpn180(c),0.0,-0.14454120104591167
DM_clpni16(c),0.0,0.0
EX_12dhchol(e),0.0,-0.003442264780934435
EX_3dhcdchol(e),0.0,-0.0034411796536597777
EX_3dhchol(e),0.0,-0.0034427298782505754
EX_C02528(e),0.0,0.0
EX_ac(e),4.823543121239858,0.0
EX_acald(e),0.0,-0.0057309930171886864
EX_acgam(e),-1.0,-0.032097360240444794
EX_adocbl(e),0.0,0.0
EX_ala_D(e),-1.0,-0.005729134809367827
EX_ala_L(e),-1.0,-0.005729439666344301
EX_alaasp(e),0.0,-0.009163228291646727
EX_alagln(e),0.0,-0.021777477052157036
EX_alaglu(e),0.0,-0.021779507538000197
EX_alagly(e),0.0,-0.004573909935109078
EX_alahis(e),0.0,-0.0011405305891729377
EX_alaleu(e),0.0,-0.0011400018056519528
EX_alathr(e),0.0,-0.010303841929104473
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.029806771797527068
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.008020422043178148
EX_asp_L(e),-0.225,-0.008022697702473788
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),2.300804143161789,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.03167801594721521
EX_cellb(e),-0.07449289,-0.05961035441986514
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.49720857576844507,0.0
EX_cobalt2(e),-0.0009664311339667933,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.017130174339441914,0.0
EX_dgchol(e),0.0,-0.003433576906074356
EX_drib(e),0.0,0.0
EX_etoh(e),0.0,-0.002289706671780582
EX_fe2(e),-5.634305591887214e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),7.399972036083654,0.0
EX_fru(e),-0.14898579,-0.029807326055922862
EX_galt(e),0.0,-0.026364959185180475
EX_gchola(e),0.0,-0.003433576906074356
EX_glc_D(e),-0.14898579,-0.02980678237161851
EX_gln_L(e),-0.18,-0.013753184559599606
EX_glu_L(e),-0.18,-0.020638976948827256
EX_gly(e),-0.45,-0.0034333793459361403
EX_glyasn(e),0.0,-0.006864685275778837
EX_glyasp(e),0.0,-0.006866960935074477
