,fluxes,reduced_costs
biomass_dilution,0.04383946021821695,-0.6530974803617109
protein_biomass_to_biomass,0.021370280583084038,-4.975836938611667e-35
mRNA_biomass_to_biomass,5.924357849323314e-05,-6.959405761824845e-35
tRNA_biomass_to_biomass,0.00034743776627532225,-9.604811577107685e-35
rRNA_biomass_to_biomass,0.002560553422345982,-7.792665291244283e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0026002266011127878,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.004873085125049342,0.0
prosthetic_group_biomass_to_biomass,7.850313871469813e-06,-1.2564380054238637e-34
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.016733373356907184
DM_dhptd(c),2.8428136541142507e-05,0.0
EX_26dap_M(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),3.1722907712186506,0.0
EX_acald(e),0.0,-0.008366198235465146
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.018690391038399964,0.0
EX_alaasp(e),0.0,-0.00418169642614163
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.0041853956982080215
EX_alathr(e),0.0,-0.008362480672926949
EX_arab_L(e),-0.17878295,-0.030669125841259973
EX_arabttr(e),0.0,-0.0920090807509816
EX_arbt(e),0.0,-0.05856110539634782
EX_asn_L(e),-0.012438075201986669,0.0
EX_asp_L(e),-0.225,-0.012546641663228013
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.053568453093535306
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.2191145967253269,0.0
EX_cobalt2(e),-0.0003423704823704265,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0035739946642278073,0.0
EX_dextrin(e),0.0,-0.3346090020566976
EX_dgchol(e),0.0,-0.00836311143169965
EX_drib(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.5236947880242182,0.0
EX_fe2(e),-5.841917476906218e-10,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.835092510257717,0.0
EX_fru(e),-0.14898579,-0.05019227542297859
EX_gchola(e),0.0,-0.00836311143169965
EX_glc_D(e),-0.14898579,-0.05855843343073424
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.18,-0.004179714480620409
EX_gly(e),-0.45,-0.00836158385584894
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.01254328028199057
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.0041754542885730035
EX_glyglu(e),0.0,-0.004176605533592323
EX_glyleu(e),0.0,-0.025097033144440457
EX_glymet(e),0.0,-0.012546858714402627
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),3.3920199778330655,0.0
EX_h2o(e),-1.9085008051360473,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.004637076417198722,0.0
EX_hxan(e),-0.0056932077745461265,0.0
EX_ile_L(e),-0.021229834836842026,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-5.648725266353926e-08,0.0
EX_lac_D(e),0.0,-0.008365285653906861
EX_lac_L(e),0.0,-0.008364934587040553
EX_leu_L(e),-0.025330160335172682,0.0
EX_lys_L(e),-0.020705789016888222,0.0
EX_malt(e),-0.07449289,-0.10038074071057197
EX_malthx(e),0.0,-0.3346090133966603
EX_malttr(e),0.0,-0.158937232965093
EX_man(e),-0.14898579,-0.05855837694896698
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.010115336138024395,0.0
EX_metala(e),0.0,-0.004185274858553688
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.0003041975656937762,0.0
EX_mn2(e),-2.9511468156671384e-07,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.00034236006351203975,0.0
EX_nh4(e),1.7400599018165925,0.0
EX_no2(e),0.0,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.020914838613501532
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.010752001553908534,0.0
EX_pi(e),-0.028625137856527965,0.0
EX_pnto_R(e),-0.00034235988062814347,0.0
EX_pro_L(e),0.10807287417867041,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.00034236148231710304,0.0
EX_rib_D(e),0.0,0.0
EX_ribflv(e),-0.0006847198415917684,0.0
EX_salcn(e),0.0,-0.05856110539634782
EX_ser_L(e),-1.0,-0.016730187321411787
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.009617019243525734,0.0
EX_sucr(e),-0.07449289,-0.1171154147156068
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_tchola(e),0.0,-1.5275758507101004e-06
EX_tdchola(e),0.0,-1.5275758507101004e-06
EX_thr_L(e),-0.225,-0.016727425910013333
EX_tsul(e),0.0,0.0
EX_tyr_L(e),-0.0129734441243904,0.0
EX_urea(e),0.0,-0.008366316805831454
EX_val_L(e),-0.019074419016048196,0.0
EX_xan(e),-0.003833716912343607,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-1.2560952133152936e-07,0.0
translation_457412.4.peg.3,0.0,-1.4991881211955935e-32
transcription_TU_457412.4.peg.3,0.0,2.7385550256997818e-33
translation_457412.4.peg.4,3.3287237205487587e-13,1.7502674733672237e-32
transcription_TU_457412.4.peg.4,1.9841900153187043e-14,-6.684130013169747e-34
translation_457412.4.peg.5,1.5553463146462825e-10,1.1438292043849241e-32
transcription_TU_457412.4.peg.5,9.271128777774133e-12,-9.801415393515986e-33
translation_457412.4.peg.8,0.0,2.5757274616203336e-32
transcription_TU_457412.4.peg.8,0.0,-9.060219232483816e-33
translation_457412.4.peg.9,0.0,2.3216052301182117e-32
transcription_TU_457412.4.peg.9,0.0,-135.02762370424577
translation_457412.4.peg.12,6.657447441097517e-13,1.2283051150806003e-33
transcription_TU_457412.4.peg.12,3.9683800306374086e-14,1.1546713948679144e-32
translation_457412.4.peg.30,1.2559278433299445e-07,-3.3755056731959734e-34
transcription_TU_457412.4.peg.30,7.486351214168083e-09,3.792886666332803e-33
translation_457412.4.peg.39,2.4853920618082052e-08,1.736617168266371e-32
transcription_TU_457412.4.peg.39,1.4814957705108747e-09,3.132327367072283e-32
translation_457412.4.peg.40,0.0,-1.0122274625234049e-32
transcription_TU_457412.4.peg.40,0.0,-92.37818268294191
translation_457412.4.peg.42,3.287330587292515e-08,-1.5273307473029373e-32
transcription_TU_457412.4.peg.42,1.9595163419817487e-09,7.250951218314073e-34
translation_457412.4.peg.51,0.0,4.775893620122156e-32
transcription_TU_457412.4.peg.51,0.0,-143.59251914441884
translation_457412.4.peg.53,0.0,-8.798300737581343e-33
transcription_TU_457412.4.peg.53,0.0,-2.1785091675591563e-32
translation_457412.4.peg.54,0.0,6.477606222188384e-33
transcription_TU_457412.4.peg.54,0.0,2.1138110381331954e-32
translation_457412.4.peg.57,2.6136852373204315e-07,2.345452755143595e-32
transcription_TU_457412.4.peg.57,1.5579689353798788e-08,-4.173957374816214e-33
translation_457412.4.peg.58,2.6136852373204315e-07,-1.757358594756687e-31
transcription_TU_457412.4.peg.58,1.5579689353798788e-08,-8.996427343702187e-33
translation_457412.4.peg.59,0.0,2.1190235948557174e-32
transcription_TU_457412.4.peg.59,0.0,-2.4654901548480423e-32
translation_457412.4.peg.65,0.0,1.906347912101408e-32
transcription_TU_457412.4.peg.65,0.0,-2.3413766466989902e-32
translation_457412.4.peg.67,2.5152997021779216e-09,-2.082678613347912e-32
transcription_TU_457412.4.peg.67,1.4993231561352818e-10,9.9344170178152e-33
translation_457412.4.peg.68,0.0,-3.3297179669912453e-32
transcription_TU_457412.4.peg.68,0.0,-1.7060381816946353e-32
translation_457412.4.peg.72,0.0,3.861565646259792e-33
transcription_TU_457412.4.peg.72,0.0,-83.56274242172519
translation_457412.4.peg.73,0.0,-3.260546200970514e-32
transcription_TU_457412.4.peg.73,0.0,-147.4115902549571
translation_457412.4.peg.74,0.0,7.257225531351554e-32
transcription_TU_457412.4.peg.74,0.0,-376.31141175978917
translation_457412.4.peg.76,0.0,-6.914761929653978e-33
transcription_TU_457412.4.peg.76,0.0,-395.1968655551105
translation_457412.4.peg.77,1.256286884114513e-09,-2.855058255804319e-32
transcription_TU_457412.4.peg.77,7.488491389201039e-11,-1.040675337163926e-31
translation_457412.4.peg.79,0.0,7.565415807171434e-33
transcription_TU_457412.4.peg.79,0.0,-100.147260290281
translation_457412.4.peg.81,0.0,8.473345723655536e-33
transcription_TU_457412.4.peg.81,0.0,1.9733207695007715e-32
translation_457412.4.peg.82,0.0,1.124945671642389e-32
transcription_TU_457412.4.peg.82,0.0,-87.52902226954421
translation_457412.4.peg.83,0.0,-3.627435919980186e-32
transcription_TU_457412.4.peg.83,0.0,-175.120938113814
translation_457412.4.peg.87,0.0,-3.4269661212780227e-31
transcription_TU_457412.4.peg.87,0.0,-1.0364735493733919e-31
translation_457412.4.peg.99,0.0,-1.3725907997732376e-31
transcription_TU_457412.4.peg.99,0.0,-106.54493037666334
