,fluxes,reduced_costs
biomass_dilution,0.5057962229629975,-0.29564822729127294
protein_biomass_to_biomass,0.17580863035055663,0.0
mRNA_biomass_to_biomass,0.0009970716182842246,0.0
tRNA_biomass_to_biomass,0.0060714271491455205,0.0
rRNA_biomass_to_biomass,0.04351428317865645,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.022723949909944894,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.1576561644088377,0.0
prosthetic_group_biomass_to_biomass,0.00013234177538399801,-3.1456509229589017e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5DRIB,0.0,-6.924513148949851e-06
DM_5MTR,0.004015870271459311,0.0
DM_atp_c_,0.0,-0.010717660896312407
DM_dad_5,0.0,0.0
DM_dhptd(c),0.00029746746210108964,0.0
DM_hcys_L[c],0.0,-0.003547161856045558
EX_12dgr180(e),-0.021027365217996103,0.0
EX_12ppd_S(e),0.14898579,0.0
EX_26dap_M(e),-0.03474628469347004,0.0
EX_2ddglcn(e),0.0,-0.018714176655850557
EX_2dmmq8(e),-0.004015870271459311,0.0
EX_2obut(e),-1.0,-0.0017927067336598965
EX_34dhpha(e),0.0,-0.02588508850769987
EX_3hphac(e),0.0,0.0
EX_3mop(e),-1.0,-0.003582239334542426
EX_4abut(e),6.245549026348965,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_ac(e),18.407923899555996,0.0
EX_acald(e),-1.0,-0.006243319941876916
EX_acgam(e),-1.0,-0.028491354813583288
EX_actn_R(e),0.0,-0.012491123412996257
EX_adn(e),-1.0,-0.028815101202006525
EX_adocbl(e),-0.004015870271459311,0.0
EX_akg(e),0.0,-0.006253029772346477
EX_ala_D(e),-1.0,-0.002645238934755045
EX_ala_L(e),-1.0,-0.0026435486506165254
EX_alaasp(e),0.0,-0.002614242993374269
EX_alagln(e),0.0,-0.0008282405567993432
EX_alaglu(e),3.65000676907732e-23,0.0
EX_alagly(e),3.2693709259880753e-23,0.0
EX_alahis(e),3.367041018199696e-23,0.0
EX_alaleu(e),3.65000676907732e-23,0.0
EX_alathr(e),0.0,-0.0035281795698358224
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.018100399583540063
EX_arabttr(e),0.0,-0.05430066528049141
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.13304145120543204,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.006193668714774191
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.005323286414384308
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,-0.0017805695034081327
EX_ca2(e),-3.178004800451155e-06,0.0
EX_cbl1(e),-4.894174489248363e-09,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),-0.07449289,-0.04988444484218721
EX_cgly(e),-1.0,-0.0017435651840115075
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_chor(e),-1.0,-0.0062518597479258595
EX_cit(e),-1.0,-0.022296995235396987
EX_cl(e),-7.542867365406678e-06,0.0
EX_co2(e),13.018003764979916,0.0
EX_cobalt2(e),-0.004015909671525216,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.007105349967799891
EX_cytd(e),0.0,-0.025890522294418607
EX_dad_2(e),0.9316484962476499,0.0
EX_dcyt(e),0.87335013078664,0.0
