,fluxes,reduced_costs
biomass_dilution,0.4696647628947095,-0.23800839851765904
protein_biomass_to_biomass,0.17966865874768573,6.378484953472683e-35
mRNA_biomass_to_biomass,0.001045102131097028,0.0
tRNA_biomass_to_biomass,0.0061976542637087705,3.6014837023942975e-35
rRNA_biomass_to_biomass,0.04088802145513249,3.1811575291317403e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02227314421168165,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.11835842992316874,0.0
prosthetic_group_biomass_to_biomass,0.00017013161666185376,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.007474539438609598
DM_dhptd(c),0.0019168031468798363,0.0
DM_hcys_L[c],0.0019168031468798363,0.0
EX_26dap_M(e),0.0,0.0
EX_34dhphe(e),0.0,-0.0031019350472159695
EX_3mop(e),-1.0,-0.004965174836931241
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.0031019350472159695
EX_Lcyst(e),0.0,0.0
EX_ac(e),20.03560509592007,0.0
EX_acald(e),0.0,0.0
EX_acgam(e),-1.0,-0.022996753649266077
EX_adn(e),-1.0,-0.001855147250143508
EX_akg(e),0.0,-0.007449681687709226
EX_ala_D(e),-1.0,-0.0024696534636105653
EX_ala_L(e),-1.0,-0.0024720027002495203
EX_alaasp(e),0.0,-0.007419635536095033
EX_alagln(e),0.0,-0.0011924084439564099
EX_alaglu(e),0.0,-0.001198481424132866
EX_alagly(e),0.0,-0.0036830541569454383
EX_alahis(e),0.0,-0.0018346622538722144
EX_alaleu(e),2.706540568943792e-23,0.0
EX_alathr(e),0.0,-0.006186150993803506
EX_alltn(e),0.0,0.0
EX_arab_L(e),-0.17878295,-0.009930865220128015
EX_arabttr(e),0.0,-0.029791307616654356
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.02678739472252586
EX_asn_L(e),-0.225,-0.0086772340159084
EX_asp_L(e),-0.225,-0.008686908329438787
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.012329139837826615
EX_cellb(e),-0.07449289,-0.03479850438133579
EX_cgly(e),-1.0,-0.0012069216767105584
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.001243220142853307
EX_cobalt2(e),-0.0014685461037828474,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9924177867722038,0.0
EX_cytd(e),0.0,-0.01682155500187553
EX_dad_2(e),0.03640731001057764,0.0
EX_dcyt(e),-0.026204931569951417,0.0
EX_dgsn(e),-0.06261224158052905,0.0
EX_din(e),1.8503347072727086e-23,0.0
EX_dopa(e),0.0,0.0
EX_duri(e),1.8503347072727086e-23,0.0
EX_ethso3(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-4.208899538857322e-06,0.0
EX_fol(e),-0.004362950814910404,0.0
EX_for(e),15.066159780197443,0.0
EX_fru(e),-0.14898579,-0.019887183751206492
EX_fum(e),-1.0,-0.008685483850438635
EX_gal(e),-0.14898579,-0.013657522894103777
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.021137126065772678
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.02114384154676994
EX_gln_L(e),-0.18,-0.0024596812373001648
EX_glu_L(e),-0.18,-0.002465339377743696
EX_gly(e),-0.45,-0.004950326950289193
EX_glyasn(e),0.0,-0.009888169921361649
EX_glyasp(e),0.0,-0.009897844234892036
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.004962373285500188
EX_glyc3p(e),-1.0,-0.006827106827308724
EX_glycys(e),0.0,-0.0012069216767105584
EX_glygln(e),0.0,-0.003670617142753413
EX_glyglu(e),0.0,-0.0036766901229298692
EX_glyleu(e),0.0,-0.006813328034260593
EX_glymet(e),0.0,-0.0012109359054532482
EX_glyphe(e),0.0,-0.0012069216767105584
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.006178433943183044
EX_gua(e),0.0,0.0
EX_h(e),23.320351371726474,0.0
EX_h2o(e),-9.137289493768572,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.0031019350472159695
EX_hista(e),0.054758671441259,0.0
EX_hxan(e),6.392336192804225e-23,0.0
EX_indole(e),0.018159595130666145,0.0
EX_ins(e),0.9178475776863841,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-2.9633512602927715e-06,0.0
EX_lac_D(e),0.0,-0.0024837489606343286
EX_lac_L(e),0.0,-0.0024834731349176443
EX_lcts(e),-0.07449289,-0.03479577149463195
EX_leu_L(e),0.5171331584135471,0.0
EX_lys_L(e),-0.07090069013050751,0.0
EX_malt(e),-0.07449289,-0.04227987144218166
EX_malthx(e),0.0,-0.03480181328608882
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.021143413451352344
EX_mantr(e),0.0,-0.05592762223660022
EX_melib(e),-0.07449289,-0.04040032011527053
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.08217343947594688,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.005315914673937913,0.0
EX_mn2(e),-1.0678567476854256e-05,0.0
EX_mnl(e),-0.14898579,-0.016163484193458644
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0014820259326186857,0.0
EX_nh4(e),7.305564064941151,0.0
EX_no2(e),-1.0,-0.01680311495302487
EX_no3(e),-1.0,-0.025516644472795294
EX_o2(e),0.0,-0.02861960679954029
EX_ocdca(e),-0.0400079633126617,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.8424853630094412,0.0
EX_pheme(e),-0.001454316938303468,0.0
EX_pi(e),0.6314924169307872,0.0
EX_ppa(e),0.11303326943739936,0.0
EX_ppi(e),0.0,-0.006213992682396325
EX_pro_L(e),0.8339524163612627,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.001454316938303468,0.0
EX_pydxn(e),0.0,0.0
EX_ribflv(e),-0.002923396356184506,0.0
EX_salcn(e),0.0,-0.02114100546749308
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.007453505242365108
EX_so4(e),0.0,0.0
EX_spmd(e),-0.001454316938303468,0.0
EX_srtn(e),0.0,0.0
EX_strch1(e),-0.25733909,-0.23257043113436843
EX_strch2(e),0.0,-0.06342170587458026
EX_stys(e),0.0,-0.07706640268301285
EX_succ(e),0.0,-0.003712069473950519
EX_sucr(e),-0.07449289,-0.042281468507361385
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),-0.001454316938303468,0.0
EX_thr_L(e),-0.225,-0.007453423787147261
EX_thymd(e),-5.82258276606962e-23,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08181818,-0.009317928951155744
EX_trypta(e),0.0,-0.006215393752724688
EX_tym(e),0.0,-0.0018649628392987403
EX_tyr_L(e),-1.0,-0.004967498037729796
EX_ura(e),-4.0689725130807033e-36,0.0
EX_uri(e),-0.09460580227202624,0.0
EX_val_L(e),0.015419357544001986,0.0
EX_zn2(e),-1.735316037243044e-06,0.0
translation_g.23654.CDS.1,0.0,8.045966855139033e-34
transcription_TU_g.23654.CDS.1,0.0,7.843528166428183e-33
translation_g.23654.CDS.7,0.0,5.71671486441052e-33
transcription_TU_g.23654.CDS.7,0.0,-6.130276999286292e-32
translation_g.23654.CDS.8,0.0,5.851599784648317e-33
transcription_TU_g.23654.CDS.8,0.0,-32.22822906607895
translation_1064537.3.peg.10,0.0,5.01298517592669e-33
transcription_TU_1064537.3.peg.10,0.0,-17.79978548388264
translation_g.23654.CDS.13,0.0,2.0854948975083824e-33
transcription_TU_g.23654.CDS.13,0.0,-33.85909009750145
translation_g.23654.CDS.16,6.243328638815701e-07,2.8642405083235798e-33
transcription_TU_g.23654.CDS.16,7.114542237856841e-09,-9.595110638717554e-35
translation_g.23654.CDS.17,0.0,1.660280795877683e-33
transcription_TU_g.23654.CDS.17,0.0,-25.3265612698993
translation_g.23654.CDS.18,3.1657993661466256e-07,-9.094050959808098e-33
transcription_TU_g.23654.CDS.18,3.607564908084515e-09,-2.2581728794386562e-32
translation_g.23654.CDS.25,0.0,-5.86562453815001e-33
transcription_TU_g.23654.CDS.25,0.0,7.050021166402927e-33
translation_g.23654.CDS.29,2.2970393780881634e-40,6.02453933314099e-34
transcription_TU_g.23654.CDS.29,-3.24685804506242e-42,7.43163224509558e-33
translation_1064537.3.peg.34,0.0,-1.590519451328095e-33
transcription_TU_1064537.3.peg.34,0.0,-5.4606516753266725e-33
translation_g.23654.CDS.37,0.0,-3.271718017256138e-33
transcription_TU_g.23654.CDS.37,0.0,-5.97983163312512e-33
translation_g.23654.CDS.38,0.0,-2.4975817163071723e-33
transcription_TU_g.23654.CDS.38,0.0,-42.91998999668273
translation_1064537.3.peg.43,0.0,2.283292385167572e-33
transcription_TU_1064537.3.peg.43,0.0,-28.549561841271963
translation_g.23654.CDS.45,0.0,3.6426344691178533e-34
transcription_TU_g.23654.CDS.45,0.0,-26.573624057522686
translation_g.23654.CDS.47,0.0,2.766842669806808e-33
transcription_TU_g.23654.CDS.47,0.0,-2.629963432432779e-33
