,fluxes,reduced_costs
biomass_dilution,0.3155643871897763,-0.2156102545517032
protein_biomass_to_biomass,0.1114402820265156,0.0
mRNA_biomass_to_biomass,0.0005003511682433318,0.0
tRNA_biomass_to_biomass,0.0030743926414081523,-2.8611625495162234e-35
rRNA_biomass_to_biomass,0.021768158714732595,0.0
ncRNA_biomass_to_biomass,0.0,-3.03339174229994e-35
tmRNA_biomass_to_biomass,0.0,-3.03339174229994e-35
DNA_biomass_to_biomass,0.01766665879290802,-3.03339174229994e-35
lipid_biomass_to_biomass,0.0,-3.03339174229994e-35
constituent_biomass_to_biomass,0.09836109612863812,-3.03339174229994e-35
prosthetic_group_biomass_to_biomass,6.82890774154722e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-3.03339174229994e-35
DM_5DRIB,0.0,-0.013141180823428794
DM_5MTR,0.0,-0.023503068152956712
DM_GCALD,0.0,-0.00829405848852771
DM_atp_c_,0.0,-0.006228348120046839
DM_dad_5,0.005010973129941333,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.008293957760919643
EX_12dgr180(e),-0.013118895155763134,0.0
EX_15dap(e),0.0,-4.992747619826631e-06
EX_26dap_M(e),-1.0,-0.002064065271777371
EX_2ddglcn(e),0.0,-0.016582716978170757
EX_4abz(e),-0.007516459694912,0.0
EX_4hphac(e),0.9332763941958223,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),11.533022780105501,0.0
EX_acald(e),-1.0,-0.004142418611064002
EX_acgam(e),-1.0,-0.022776725284519534
EX_adn(e),-1.0,-0.0020565939436496096
EX_adocbl(e),-0.0025054865649706665,0.0
EX_ala_L(e),-1.0,-0.004132863563235187
EX_alaasp(e),0.0,-0.008238960980150516
EX_alagln(e),0.0,-0.006158380322311033
EX_alaglu(e),0.0,-0.00616760181723411
EX_alagly(e),0.0,-0.0020421822698749362
EX_alahis(e),0.0,-0.0020394643189476204
EX_alaleu(e),0.0,-0.00617209832339239
EX_alathr(e),0.0,-0.008250069341222459
EX_alltn(e),0.0,0.0
EX_amp(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.15,-0.010349674858369046
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.006190389737058778
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.006199496661202895
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_btoh(e),0.0,-6.286336103670699e-06
EX_but(e),0.7056822679635967,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.01872778228332005
EX_cellb(e),-0.07449289,-0.04144332265637672
EX_cgly(e),-6.066963751046123e-36,0.0
EX_chol(e),-1.0,-0.00413972147954956
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-1.0364886207728116e-06
EX_cobalt2(e),-0.002505506420103523,0.0
EX_cro4(e),0.0,0.0
