,fluxes,reduced_costs
biomass_dilution,0.6199128134486568,-0.2783665436629233
protein_biomass_to_biomass,0.23301145720244917,8.18117341713575e-35
mRNA_biomass_to_biomass,0.0015202149048381354,0.0
tRNA_biomass_to_biomass,0.009201321562056148,0.0
rRNA_biomass_to_biomass,0.06545813074695417,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.02319595359819176,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.15622186948158573,0.0
prosthetic_group_biomass_to_biomass,0.00023492127620401267,-3.176940174230309e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.003839120053687531,0.0
DM_5MTR,0.0,-0.052294987289121034
DM_atp_c_,0.0,-0.010095074705480019
DM_dhptd(c),0.0066595100379322715,0.0
DM_hcys_L[c],0.0,-0.005058311274698321
EX_15dap(e),0.0,-3.498628661400229e-06
EX_26dap_M(e),-1.0,-0.002511236905577252
EX_2hyoxplac(e),0.0,-0.1203666560885991
EX_34dhphe(e),0.0,-0.0025097037143498825
EX_3mop(e),-1.0,-0.003154223618017437
EX_4abut(e),1.1538854911053122,0.0
EX_4abz(e),-0.005758680080531297,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.0025097037143498825
EX_7dhcdchol(e),0.0,-8.116014590885927e-06
EX_7ocholate(e),0.0,-8.116014590885927e-06
EX_C02528(e),0.0,0.0
EX_ac(e),18.578639676961014,0.0
EX_acac(e),0.0,-0.006925566838251634
EX_acald(e),-1.0,-0.0069016927254305915
EX_acgam(e),-1.0,-0.030164756229879654
EX_adn(e),-1.0,-0.004390235555472471
EX_adocbl(e),-0.0019195600268437656,0.0
EX_akg(e),0.0,-0.014550132560778023
EX_ala_D(e),-1.0,-0.0037506210434296748
EX_ala_L(e),-1.0,-0.0037531958468091345
EX_alaasp(e),0.0,-0.009430315927530419
EX_alagln(e),0.0,-0.0037724944954458032
EX_alaglu(e),0.0,-0.006935254771876189
EX_alagly(e),2.511287148777421e-23,-1.2173331695655838e-35
EX_alahis(e),0.0,-0.0031197743661614645
EX_alaleu(e),0.0,-0.01318971206562156
EX_alathr(e),0.0,-0.004321419332472505
EX_arab_D(e),-1.0,-0.018201202218017534
EX_arab_L(e),-0.17878295,-0.025773563765328245
EX_arbt(e),0.0,-0.030810668716808425
EX_arg_L(e),-0.15,-0.02145319698947884
EX_asn_L(e),-0.225,-0.02081269679062465
EX_asp_L(e),-0.225,-0.013881279241637524
EX_bhb(e),0.0,-0.00944225456096909
EX_biomass(e),0.0,0.0
EX_but(e),0.0,-0.0037389710493019213
EX_ca2(e),-3.798152674733822e-07,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),-0.07449289,-0.06477550785984558
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_cit(e),-1.0,-0.0296458884556957
EX_cl(e),0.0,0.0
EX_co2(e),4.0780524592901894,0.0
EX_cobalt2(e),-0.001922838038873977,0.0
EX_crn(e),0.0,-0.003161680122616034
EX_ctbt(e),0.0,-5.432602009250342e-06
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.0037519869014037257
EX_cytd(e),0.0,-0.009463185167919767
EX_dad_2(e),0.9245807976949161,0.0
EX_dcyt(e),-0.01901609100143725,0.0
EX_dgsn(e),-0.0841062158519017,0.0
EX_din(e),4.7932238062925025e-23,0.0
EX_dopa(e),0.0,0.0
EX_drib(e),-0.17878295,-0.01379178711943626
EX_duri(e),2.6322551278222554e-23,0.0
EX_etoh(e),0.0,-0.006897612317201323
EX_fe2(e),0.0,0.0
EX_fe3(e),-0.0038393364033610226,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),17.532123837803816,0.0
EX_fru(e),-0.14898579,-0.03396792082623536
EX_fuc1p_L(e),0.0,-0.03332032583843393
EX_fum(e),-1.0,-0.013883843312748343
EX_g6p(e),0.0,-0.038386669568997944
EX_gal(e),-0.14898579,-0.02890458718604711
EX_galct_D(e),0.0,-0.030296667539429094
EX_galctn_D(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,-0.0282991668512339
EX_gam(e),-1.0,-0.030806443436345404
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.005758680080531297,0.0
EX_glc_D(e),-0.14898579,-0.03397054798664395
EX_glcn(e),-0.14898579,-0.02828610364222779
EX_glcr(e),0.0,0.0
EX_glcur(e),0.0,-0.02830629796742497
EX_gln_L(e),-0.18,-0.008223557099663025
EX_glu_L(e),-0.18,-0.011388024283238976
EX_gly(e),-0.45,-0.0018649348593752133
EX_glyasn(e),0.0,-0.014472757414259851
EX_glyasp(e),0.0,-0.00754143915538284
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.016971242883456947
EX_glyc3p(e),-1.0,-0.02390676351220675
EX_glyclt(e),0.0,-0.004427726493604317
EX_glycys(e),0.0,-5.178918339077748e-35
EX_glygln(e),0.0,-0.0018836177232982245
EX_glyglu(e),0.0,-0.005042687216649113
EX_glyleu(e),0.0,-0.018872803622598362
EX_glymet(e),2.376574041551049e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.533717805496219e-23,0.0
EX_glytyr(e),2.5415760243439288e-23,0.0
EX_gsn(e),0.0,-0.004409632619032496
EX_gthrd(e),-0.0019195600268437656,0.0
EX_gua(e),0.0,0.0
EX_h(e),21.384481225865855,0.0
EX_h2(e),2.8747608487610448,0.0
EX_h2o(e),-10.0,-0.00315373235533377
EX_h2s(e),1.2021528658639087,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.045015200102210134,0.0
EX_hista(e),0.0,-0.005061133256028805
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.7391976989424084,0.0
EX_indole(e),0.028749257617549186,0.0
EX_ins(e),0.0,-0.0018871418268596185
EX_k(e),-6.457767020063959e-06,0.0
EX_lac_D(e),0.0,-0.006911537235739088
EX_lac_L(e),0.0,-0.0069179216201389095
EX_leu_L(e),-0.15,-0.01763987383889657
EX_lys_L(e),0.8612001682984864,0.0
EX_mal_L(e),0.0,-0.017038610177693828
EX_malt(e),-0.07449289,-0.06477306464433955
EX_malthx(e),0.0,-0.07169754876639335
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.03396883122558093
EX_man6p(e),0.0,-0.03838165258713755
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),2.376574041551049e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.17947384967355312,0.0
EX_mg2(e),-0.00777514647476778,0.0
EX_mn2(e),-1.2121483540788284e-05,0.0
EX_mnl(e),-0.14898579,-0.033955741155479446
EX_na1(e),0.0,0.0
EX_nac(e),0.9980795995185404,0.0
EX_nh4(e),6.850144106368434,0.0
EX_nmn(e),-1.0,-0.04152325631055183
